DateTime,AddedIPs,RemovedIPs
1528125311,7,6
1528128901,2,11
1528132486,8,13
1528136130,9,6
1528139698,9,31
1528143315,19,11
1528147272,6,19
1528151528,16,7
1528154763,24,6
1528157752,28,11
1528161325,6,5
1528164894,24,4
1528168548,7,44
1528172115,16,10
1528175712,10,3
1528179328,6,5
1528182925,3,4
1528186548,8,4
1528190124,7,10
1528193721,8,2
1528197334,5,5
1528200892,6,13
1528204518,4,9
1528208089,15,9
1528211726,6,5
1528215297,3,9
1528218914,6,3
1528222507,3,36
1528226099,10,15
1528229728,15,10
1528233340,21,9
1528236903,22,4
1528240557,5,7
1528244190,25,11
1528247663,12,8
1528251292,2,13
1528254941,13,25
1528258498,5,19
1528262115,16,9
1528265698,6,9
1528269338,8,11
1528272933,6,8
1528276499,13,17
1528280082,9,19
1528283691,10,14
1528287318,10,9
1528290898,43,10
1528294507,20,10
1528298149,5,4
1528301693,5,4
1528305280,6,6
1528308893,5,28
1528312482,9,10
1528316096,24,17
1528319690,14,14
1528323309,10,3
1528326961,6,2
1528330568,23,11
1528334104,10,7
1528337714,9,7
1528341333,3,31
1528344905,6,44
1528348524,10,12
1528352078,21,19
1528355702,30,9
1528359267,9,5
1528362919,9,8
1528366490,8,10
1528370117,9,17
1528373749,18,11
1528377288,17,7
1528380890,11,11
1528384490,6,6
1528388103,8,11
1528391719,9,11
1528395285,17,4
1528398900,6,4
1528402508,3,2
1528406119,4,5
1528409712,3,20
1528413282,20,6
1528416980,29,6
1528420528,5,12
1528424105,8,8
1528427733,6,55
1528431310,22,13
1528434901,15,17
1528438551,19,20
1528442130,10,12
1528445695,39,8
1528449302,15,5
1528452923,9,14
1528456529,4,7
1528460137,3,19
1528463776,4,25
1528467313,18,15
1528470921,10,6
1528474483,25,2
1528478144,12,5
1528481726,17,6
1528485236,11,1
1528488854,4,4
1528492462,2,4
1528496087,2,5
1528499683,5,5
1528503293,23,4
1528506922,9,6
1528510519,7,5
1528514144,4,20
1528517684,6,7
1528521290,6,4
1528524919,6,6
1528528489,2,8
1528532121,4,4
1528535691,7,5
1528539306,9,4
1528542914,4,9
1528546508,10,6
1528550091,4,5
1528553679,6,7
1528557312,4,3
1528560909,3,6
1528564491,7,6
1528568087,10,3
1528571700,5,1
1528575257,5,5
1528578924,4,2
1528582661,3,4
1528587336,3,12
1528590438,18,12
1528593291,15,3
1528596875,4,4
1528600538,7,24
1528604106,1,5
1528607687,2,3
1528611258,4,4
1528614902,2,3
1528618511,4,4
1528622079,3,6
1528625741,5,2
1528629315,4,3
1528632880,3,4
1528636514,3,5
1528640084,1,5
1528643662,5,14
1528647293,4,10
1528650882,12,2
1528654491,10,2
1528658104,5,3
1528661705,4,5
1528665343,4,1
1528668870,4,3
1528672488,5,5
1528676141,23,10
1528679667,8,3
1528683275,5,5
1528686893,1,30
1528690485,2,5
1528694130,1,7
1528697685,6,4
1528701289,3,3
1528704927,6,4
1528708525,2,3
1528712125,2,6
1528715676,10,7
1528719297,12,4
1528722919,4,3
1528726515,3,1
1528730097,4,5
1528733680,6,0
1528737324,0,5
1528740890,3,4
1528744546,3,3
1528748093,2,4
1528751685,4,3
1528755314,4,4
1528758900,1,7
1528762556,21,4
1528766092,8,4
1528769711,3,2
1528773286,7,20
1528776934,3,4
1528780467,4,5
1528784088,2,5
1528787730,3,6
1528791287,3,7
1528794899,8,6
1528798494,7,2
1528802114,5,3
1528805701,4,8
1528809321,6,7
1528812910,4,5
1528816504,5,5
1528820072,3,5
1528823713,5,5
1528827302,4,2
1528830936,4,3
1528834481,4,9
1528838156,9,7
1528841688,5,8
1528845315,3,8
1528848946,25,3
1528852514,10,2
1528856094,3,4
1528859702,8,14
1528863320,5,6
1528866879,3,9
1528870468,7,2
1528874090,6,4
1528877680,7,6
1528881319,3,3
1528884885,3,7
1528888525,3,3
1528892137,8,10
1528895690,7,5
1528899276,3,3
1528902951,4,4
1528906483,6,7
1528910106,7,7
1528913680,5,2
1528917288,4,4
1528920900,5,5
1528924483,5,5
1528928124,4,2
