DateTime,AddedIPs,RemovedIPs
1527419239,2,0
1527426428,1,1
1527430031,1,0
1527433637,0,2
1527444629,0,2
1527448253,2,0
1527451766,1,0
1527462436,0,2
1527466037,2,3
1527480380,0,3
1527484037,1,0
1527487645,2,0
1527498445,1,1
1527502020,2,1
1527512847,1,0
1527516467,0,3
1527527230,1,1
1527530832,1,0
1527538028,1,0
1527541654,0,1
1527556064,1,0
1527559685,1,0
1527570485,0,1
1527574063,1,2
1527577665,1,0
1527588465,0,2
1527592065,1,1
1527602874,1,0
1527606486,0,1
1527610070,1,0
1527617276,3,2
1527624478,1,1
1527628059,3,0
1527631704,0,3
1527635271,2,0
1527638835,2,0
1527642441,3,1
1527646060,1,0
1527653276,0,2
1527660447,2,1
1527664044,2,0
1527674847,0,3
1527678470,0,2
1527682031,2,2
1527685681,0,1
1527689246,3,0
1527692854,3,1
1527696457,0,1
1527700059,3,0
1527714434,0,7
1527719585,8,0
1527723162,2,0
1527732442,0,1
1527736065,0,2
1527739647,0,1
1527743237,1,1
1527746850,2,1
1527750459,1,0
1527754066,0,1
1527757655,1,0
1527761241,1,0
1527772060,0,1
1527775651,0,1
1527779266,1,0
1527786452,0,2
1527790041,0,6
1527793638,2,1
1527797241,1,0
1527804458,1,1
1527808055,0,1
1527811664,5,1
1527815309,1,0
1527818885,0,1
1527826078,0,1
1527829687,1,0
1527836879,1,2
1527844080,0,1
1527847689,1,0
1527862067,1,0
1527865685,0,1
1527869290,1,1
1527872901,0,1
1527876469,4,2
1527883975,2,1
1527887301,0,1
1527890881,3,0
1527898132,1,1
1527901694,1,0
1527905298,0,1
1527908900,0,2
1527912501,0,2
1527916090,1,3
1527919685,1,0
1527923284,4,0
1527926898,0,0
1527930491,1,0
1527934090,1,1
1527937685,2,2
1527941266,1,0
1527944900,0,2
1527948476,2,0
1527952067,1,2
1527955670,1,2
1527959282,2,0
1527962873,2,1
1527966476,0,3
1527970092,0,2
1527973680,2,2
1527977289,1,2
1527980894,3,0
1527984512,0,0
1527988062,1,4
1527991645,1,0
1527995265,0,4
1527998856,2,1
1528002447,4,1
1528006054,3,1
1528013240,2,0
1528016857,0,3
1528020444,3,3
1528024050,2,0
1528027636,3,1
1528034847,0,2
1528038458,1,1
1528042057,1,3
1528045639,2,2
1528049257,0,3
1528056437,3,1
1528060043,0,2
1528067247,2,2
1528070878,1,1
1528074448,7,0
1528081653,0,3
1528085293,0,1
1528088848,2,3
1528099656,2,0
1528103269,0,2
1528110462,0,4
1528114037,4,1
1528128460,0,2
1528132055,2,0
1528135659,0,1
1528139264,0,1
1528146483,0,3
1528150337,4,0
1528157291,1,0
1528160868,1,0
1528164446,5,1
1528168077,1,0
1528171658,4,0
1528178870,0,1
1528182479,1,1
1528186058,1,2
1528189671,3,1
1528193276,1,1
1528196865,3,0
1528200435,0,3
1528204064,1,1
1528207651,2,2
1528211266,1,2
1528214870,1,1
1528218462,2,1
1528222069,0,6
1528225662,1,1
1528229268,1,1
1528232879,1,2
1528236469,2,0
1528243696,2,0
1528247249,1,1
1528250858,1,5
1528258063,0,2
1528261664,2,0
1528265260,0,2
1528268859,1,1
1528272451,1,0
1528276050,2,2
1528286869,1,1
1528290464,4,2
1528294032,5,0
1528304840,0,1
1528308453,0,5
1528312052,2,1
1528315652,4,0
1528319240,1,2
1528322853,1,0
1528330085,2,3
1528333661,2,2
1528337261,3,1
1528340853,0,2
1528344458,0,2
1528348067,1,4
1528351650,1,3
1528362471,0,1
1528366056,0,2
1528369654,2,0
1528373256,3,1
1528376859,3,0
1528384046,0,1
1528387673,0,3
1528391277,2,3
1528394845,5,0
1528398461,1,0
1528405674,1,1
1528409284,0,4
1528412831,4,2
1528416484,1,0
1528420083,0,1
1528427290,0,3
1528430876,3,1
1528434471,1,0
1528438081,1,0
1528441681,0,1
1528445261,1,2
1528452484,4,2
1528456077,1,0
1528459684,1,3
1528466892,3,3
1528470496,0,1
1528474051,3,0
1528477668,2,0
1528481244,1,0
1528484798,2,0
1528488421,0,1
1528492011,0,2
1528495646,0,4
1528499234,1,1
1528502833,3,0
1528506447,4,3
1528510047,2,0
1528513652,3,0
1528517249,2,1
1528520835,1,2
1528524479,0,1
1528528040,1,4
1528535245,2,0
1528538857,2,0
1528542452,0,2
1528546056,1,0
1528549644,3,3
1528553236,3,3
1528556864,2,1
1528560480,2,2
1528564044,2,2
1528567634,5,1
1528571252,1,0
1528574832,0,1
1528582030,1,0
1528585925,0,6
1528589315,0,1
1528592853,4,0
1528596425,1,2
1528600052,0,3
1528632433,0,2
1528643235,0,5
1528646847,0,4
1528650446,4,0
1528654038,5,0
1528657654,1,0
1528661241,1,0
1528668432,0,1
1528675674,0,5
1528679241,3,0
1528686451,1,0
1528690057,0,1
1528693671,0,3
1528697244,3,0
1528704464,1,0
1528708063,1,0
1528711666,0,3
1528715239,1,3
1528718839,7,0
1528729656,0,1
1528733237,1,0
1528747646,0,1
1528751226,1,1
1528754857,0,2
1528758453,0,1
1528762078,2,0
1528765642,2,0
1528780019,0,2
1528783635,0,3
1528790852,0,2
1528794450,1,0
1528798041,1,1
1528808853,0,1
1528812454,1,2
1528819640,1,2
1528826875,0,1
1528830470,1,0
1528837715,1,0
1528841257,0,1
1528844879,0,1
1528852037,5,0
1528855645,0,1
1528859235,4,0
1528862843,2,0
1528866430,0,2
1528873648,4,1
1528877214,3,0
1528880842,0,1
1528888047,0,1
1528891663,0,7
1528895234,2,1
1528898838,1,0
1528902427,1,1
1528906058,1,0
1528909668,1,2
1528913240,2,0
1528916850,1,2
1528920433,3,1
1528924051,3,0
1528927665,1,1
1528931274,0,3
1528934847,1,2
1528938423,3,1
1528942031,1,2
1528945634,0,3
1528949231,1,0
1528952844,0,1
1528956450,0,1
1528960076,0,1
1528963650,1,4
1528967237,2,0
1528970806,2,0
1528974443,1,0
1528978035,0,3
1528981650,6,1
1528985226,1,0
1528999638,0,2
1529003249,0,4
1529006812,2,0
1529017631,1,0
1529021314,0,3
1529025034,5,0
1529028603,1,0
1529032044,1,1
1529039250,1,0
1529046434,0,1
1529053633,0,5
1529057241,4,1
1529060824,1,3
1529064432,3,0
1529071667,0,5
1529075220,6,0
1529078804,0,1
1529086026,1,0
1529089635,0,4
1529093241,1,0
1529096840,1,1
1529100408,1,0
1529111225,1,0
1529114810,0,4
1529122037,1,0
1529125621,3,2
1529129239,0,1
1529147222,0,1
1529150825,1,1
1529154426,1,0
1529165219,0,5
1529168823,3,1
1529172436,3,0
1529186829,0,1
1529194033,7,1
1529201215,1,4
1529204841,3,0
1529208457,1,0
1529215660,1,1
1529219214,4,4
1529222826,2,3
1529226424,1,0
1529230017,0,1
1529233623,0,2
1529237216,2,2
1529240862,2,2
1529244442,0,1
1529248038,0,1
1529251636,2,3
1529258825,4,1
1529262418,4,0
1529266025,0,1
1529276862,2,3
1529280435,1,0
1529284055,2,0
1529287648,0,2
1529291269,0,5
1529294845,1,0
1529298432,1,0
1529302053,1,4
1529312879,0,2
1529316450,1,3
1529323633,0,1
1529327247,5,0
1529330856,3,0
1529345250,0,4
1529348874,1,0
1529352467,0,2
1529356042,2,0
1529359654,1,0
1529366874,2,0
1529370461,1,0
1529374021,1,1
1529381250,0,1
1529384871,0,1
1529388444,0,7
1529392059,9,0
1529406439,0,5
1529413650,1,0
1529424454,0,1
1529428056,2,5
1529431642,1,0
1529435264,1,1
1529438849,6,0
1529442440,1,0
1529456854,2,3
1529460427,0,1
1529464034,1,1
1529467651,0,1
1529471246,2,2
1529474853,1,4
1529485655,2,0
1529489256,0,1
1529510837,0,1
1529514470,0,2
1529518071,1,0
1529525277,0,2
1529532472,4,1
1529539721,4,0
1529543431,3,0
1529546983,0,1
1529554057,0,1
1529557668,0,2
1529561268,0,1
1529564863,3,0
1529568468,0,2
1529572057,2,0
1529575661,1,0
1529579241,0,3
1529582856,4,0
1529586461,2,0
1529597277,1,0
1529600867,0,1
1529604481,0,1
1529608067,0,1
1529611637,0,1
1529615270,1,1
1529618858,4,0
1529626090,1,0
1529633269,0,5
1529636841,1,4
1529640461,1,1
1529644059,1,0
1529654850,0,1
1529658461,0,6
1529662045,4,0
1529665673,0,1
1529669248,3,1
1529672852,1,0
1529676457,0,2
1529680041,1,0
1529683669,1,0
1529687235,1,0
1529701659,0,6
1529716043,4,3
1529719641,5,0
1529723232,1,0
1529734037,0,2
1529737626,1,0
1529744829,0,1
1529759231,1,4
1529762804,2,0
1529770024,1,2
1529773656,1,1
1529777228,0,1
1529780847,1,0
1529784445,1,2
1529788022,1,0
1529791632,2,0
1529795216,0,1
1529798836,1,1
1529802428,2,0
1529806047,1,0
1529816838,0,5
1529820428,0,1
1529824040,1,0
1529827624,1,0
1529838412,0,1
1529842053,0,1
1529845623,0,4
1529849240,5,0
1529870834,0,1
1529878022,1,0
1529885260,1,0
1529888864,1,1
1529892475,3,1
1529896047,2,0
1529899639,2,0
1529906848,1,0
1529914039,2,4
1529917640,0,4
1529921254,0,1
