DateTime,Entries,UniqueIPs
1527998919,137,137
1527998919,137,137
1528002512,137,137
1528002512,137,137
1528006117,140,140
1528009725,139,139
1528013303,140,140
1528016920,136,136
1528020507,138,138
1528024114,140,140
1528027699,141,141
1528031313,141,141
1528034911,141,141
1528038522,138,138
1528042120,138,138
1528045702,134,134
1528049320,122,122
1528052912,129,129
1528056501,135,135
1528060107,136,136
1528063730,132,132
1528067311,135,135
1528070943,130,130
1528074513,135,135
1528078123,139,139
1528081717,133,133
1528085356,131,131
1528088911,136,136
1528092530,138,138
1528096115,143,143
1528099719,146,146
1528103333,145,145
1528106912,143,143
1528110526,136,136
1528114101,146,146
1528117706,147,147
1528121330,146,146
1528124934,147,147
1528128523,139,139
1528132119,130,130
1528135723,136,136
1528139326,133,133
1528142922,125,125
1528146548,120,120
1528150412,126,126
1528153947,146,146
1528160933,145,145
1528164514,147,147
1528168140,129,129
1528171723,132,132
1528175328,140,140
1528178933,143,143
1528182543,145,145
1528186125,147,147
1528189734,148,148
1528193339,148,148
1528196928,146,146
1528200498,139,139
1528204128,135,135
1528207714,143,143
1528211329,142,142
1528214933,143,143
1528218527,143,143
1528222132,134,134
1528225725,129,129
1528229331,134,134
1528232943,136,136
1528236532,141,141
1528240150,142,142
1528243761,135,135
1528247311,140,140
1528250921,136,136
1528254532,144,144
1528258127,143,143
1528261728,137,137
1528265326,137,137
1528268921,128,128
1528272514,127,127
1528276113,136,136
1528279716,137,137
1528283327,134,134
1528286936,134,134
1528290528,144,144
1528294096,138,138
1528297745,141,141
1528301322,141,141
1528304904,140,140
1528308516,135,135
1528312115,131,131
1528315717,126,126
1528319302,128,128
1528322917,137,137
1528326532,141,141
1528330149,141,141
1528333724,142,142
1528337325,142,142
1528340917,136,136
1528344521,122,122
1528348131,122,122
1528351714,125,125
1528355319,134,134
1528358915,140,140
1528362534,139,139
1528366120,138,138
1528369717,130,130
1528373319,126,126
1528376921,136,136
1528380514,139,139
1528384110,136,136
1528387737,136,136
1528391340,136,136
1528394909,142,142
1528398524,145,145
1528402111,147,147
1528405740,147,147
1528409347,136,136
1528412893,139,139
1528416547,135,135
1528420146,129,129
1528423735,124,124
1528427354,103,103
1528430940,120,120
1528434533,122,122
1528438146,137,137
1528441744,138,138
1528445325,141,141
1528448928,145,145
1528452548,133,133
1528456142,132,132
1528459748,121,121
1528463352,115,115
1528466955,122,122
1528470559,129,129
1528474114,132,132
1528477732,140,140
1528481309,147,147
1528484861,149,149
1528488483,149,149
1528492074,149,149
1528495709,148,148
1528499297,149,149
1528502900,148,148
1528506510,150,150
1528510133,147,147
1528513728,146,146
1528517313,146,146
1528520898,144,144
1528524543,148,148
1528528102,146,146
1528531712,145,145
1528535311,146,146
1528538922,145,145
1528542515,140,140
1528546120,147,147
1528556927,148,148
1528560543,146,146
1528564106,147,147
1528567697,147,147
1528571317,147,147
1528574895,148,148
1528578538,148,148
1528582095,147,147
1528586122,145,145
1528589499,140,140
1528592916,149,149
1528603699,147,147
1528607303,146,146
1528610897,147,147
1528614515,148,148
1528618106,148,148
1528621712,146,146
1528625325,148,148
1528628918,147,147
1528632497,148,148
1528636109,148,148
1528639697,146,146
1528643298,147,147
1528646910,141,141
1528650508,145,145
1528654101,146,146
1528661306,147,147
1528664942,148,148
1528668497,147,147
1528672099,147,147
1528675739,148,148
1528679304,149,149
1528682900,148,148
1528686513,147,147
1528693734,147,147
1528697306,147,147
1528700924,145,145
1528704530,147,147
1528708129,148,148
1528711729,145,145
1528715304,148,148
