DateTime,AddedIPs,RemovedIPs
1528949306,102,100
1528951277,96,235
1528953188,118,116
1528955099,558,65
1528957039,206,92
1528958936,89,72
1528960860,96,106
1528962792,134,99
1528964692,148,114
1528966611,77,86
1528968531,149,125
1528970488,246,158
1528972335,188,93
1528974299,208,113
1528976187,139,102
1528978110,167,101
1528980015,119,453
1528981934,108,117
1528983879,110,105
1528985790,476,115
1528987695,75,91
1528989769,101,1179
1528991781,157,112
1528993685,98,131
1528995633,76,113
1528997544,97,185
1528999457,103,207
1529001366,71,201
1529003303,75,328
1529005208,53,308
1529007133,68,348
1529009066,102,295
1529011235,104,354
1529013140,177,101
1529014941,76,110
1529016825,74,167
1529018665,70,140
1529020568,67,158
1529022503,75,272
1529024430,100,96
1529026332,78,93
1529028277,88,104
1529030172,110,54
1529032095,134,113
1529034025,64,173
1529035939,70,91
1529037854,127,95
1529039786,176,133
1529041698,84,606
1529043626,93,201
1529045546,66,230
1529047462,88,104
1529049383,75,149
1529051296,106,143
1529053234,80,1295
1529055149,77,91
1529057062,78,104
1529058972,60,100
1529060915,143,124
1529062812,67,122
1529065887,119,227
1529067851,86,195
1529069776,108,89
1529071703,101,90
1529073611,88,88
1529075542,92,103
1529077462,139,148
1529079370,155,124
1529081300,85,113
1529083225,96,105
1529085126,135,89
1529087072,173,125
1529088974,93,82
1529091773,106,105
1529093875,216,88
1529096006,204,109
1529097835,211,74
1529099856,202,205
1529101732,123,70
1529103642,75,77
1529105573,91,78
1529107454,130,98
1529109392,125,76
1529111317,109,91
1529113238,90,66
1529115143,134,97
1529117094,70,150
1529118980,125,106
1529120928,110,74
1529122827,90,106
1529124774,74,166
1529126653,93,126
1529128606,99,97
1529130752,105,666
1529132658,132,84
1529134583,55,78
1529136541,434,124
1529138416,1752,83
1529140372,511,110
1529142287,90,70
1529144193,105,72
1529146095,102,71
1529148048,158,134
1529149938,150,72
1529151874,172,93
1529153792,118,65
1529155710,212,128
1529157641,128,86
1529159578,119,108
1529161461,111,98
1529163390,138,170
1529165332,128,160
1529167253,109,74
1529169137,154,100
1529171240,107,140
1529173220,126,200
1529175128,1819,236
1529177050,142,68
1529178980,118,105
1529180888,168,111
1529182825,731,128
1529184745,306,138
1529186670,213,175
1529189071,110,132
1529190978,168,84
1529192899,62,97
1529194835,100,140
1529196728,122,87
1529198652,97,107
1529200606,94,100
1529202500,116,118
1529205395,147,157
1529207295,65,106
1529209248,104,82
1529211137,117,74
1529213071,120,88
1529214985,90,96
1529216905,247,102
1529218834,118,146
1529220780,280,81
1529222663,91,201
1529224595,983,1734
1529226532,2182,679
1529228437,2066,80
1529230338,865,106
1529232299,1037,101
1529234175,1331,119
1529236111,137,103
1529238037,89,123
1529239951,102,100
1529241860,360,174
1529243807,215,127
1529245701,111,95
1529247660,96,91
1529249558,129,141
1529251473,226,136
1529253373,96,96
1529255324,118,138
1529257219,77,104
1529259167,106,135
1529261072,111,1797
1529262993,117,137
1529264896,69,134
1529266843,77,183
1529268738,51,811
1529270681,92,362
1529272587,124,245
1529274505,111,99
1529277379,101,192
1529279309,106,69
1529281216,97,99
1529283131,61,110
