DateTime,Entries,UniqueIPs
1528949306,11789,11789
1528951277,11650,11650
1528953188,11652,11652
1528955099,12145,12145
1528957039,12259,12259
1528958936,12276,12276
1528960860,12266,12266
1528962792,12301,12301
1528964692,12335,12335
1528966611,12326,12326
1528968531,12350,12350
1528970488,12438,12438
1528972335,12533,12533
1528974299,12628,12628
1528976187,12665,12665
1528978110,12731,12731
1528980015,12397,12397
1528981934,12388,12388
1528983879,12393,12393
1528985790,12754,12754
1528987695,12738,12738
1528989769,11660,11660
1528991781,11705,11705
1528993685,11672,11672
1528995633,11635,11635
1528997544,11547,11547
1528999457,11443,11443
1529001366,11313,11313
1529003303,11060,11060
1529005208,10805,10805
1529007133,10525,10525
1529009066,10332,10332
1529011235,10082,10082
1529013140,10158,10158
1529014941,10124,10124
1529016825,10031,10031
1529018665,9961,9961
1529020568,9870,9870
1529022503,9673,9673
1529024430,9677,9677
1529026332,9662,9662
1529028277,9646,9646
1529030172,9702,9702
1529032095,9723,9723
1529034025,9614,9614
1529035939,9593,9593
1529037854,9625,9625
1529039786,9668,9668
1529041698,9146,9146
1529043626,9038,9038
1529045546,8874,8874
1529047462,8858,8858
1529049383,8784,8784
1529051296,8747,8747
1529053234,7532,7532
1529055149,7518,7518
1529057062,7492,7492
1529058972,7452,7452
1529060915,7471,7471
1529062812,7416,7416
1529065887,7308,7308
1529067851,7199,7199
1529069776,7218,7218
1529071703,7229,7229
1529073611,7229,7229
1529075542,7218,7218
1529077462,7209,7209
1529079370,7240,7240
1529081300,7212,7212
1529083225,7203,7203
1529085126,7249,7249
1529087072,7297,7297
1529088974,7308,7308
1529091773,7309,7309
1529093875,7437,7437
1529096006,7532,7532
1529097835,7669,7669
1529099856,7666,7666
1529101732,7719,7719
1529103642,7717,7717
1529105573,7730,7730
1529107454,7762,7762
1529109392,7811,7811
1529111317,7829,7829
1529113238,7853,7853
1529115143,7890,7890
1529117094,7810,7810
1529118980,7829,7829
1529120928,7865,7865
1529122827,7849,7849
1529124774,7757,7757
1529126653,7724,7724
1529128606,7726,7726
1529130752,7165,7165
1529132658,7213,7213
1529134583,7190,7190
1529136541,7500,7500
1529138416,9169,9169
1529140372,9570,9570
1529142287,9590,9590
1529144193,9623,9623
1529146095,9654,9654
1529148048,9678,9678
1529149938,9756,9756
1529151874,9835,9835
1529153792,9888,9888
1529155710,9972,9972
1529157641,10014,10014
1529159578,10025,10025
1529161461,10038,10038
1529163390,10006,10006
1529165332,9974,9974
1529167253,10009,10009
1529169137,10063,10063
1529171240,10030,10030
1529173220,9956,9956
1529175128,11539,11539
1529177050,11613,11613
1529178980,11626,11626
1529180888,11683,11683
1529182825,12286,12286
1529184745,12454,12454
1529186670,12492,12492
1529189071,12470,12470
1529190978,12554,12554
1529192899,12519,12519
1529194835,12479,12479
1529196728,12514,12514
1529198652,12504,12504
1529200606,12498,12498
1529202500,12496,12496
1529205395,12486,12486
1529207295,12445,12445
1529209248,12467,12467
1529211137,12510,12510
1529213071,12542,12542
1529214985,12536,12536
1529216905,12681,12681
1529218834,12653,12653
1529220780,12852,12852
1529222663,12742,12742
1529224595,11991,11991
1529226532,13494,13494
1529228437,15480,15480
1529230338,16239,16239
1529232299,17175,17175
1529234175,18387,18387
1529236111,18421,18421
1529238037,18387,18387
1529239951,18389,18389
1529241860,18575,18575
1529243807,18663,18663
1529245701,18679,18679
1529247660,18684,18684
1529249558,18672,18672
1529251473,18762,18762
1529253373,18762,18762
1529255324,18742,18742
1529257219,18715,18715
1529259167,18686,18686
1529261072,17000,17000
1529262993,16980,16980
1529264896,16915,16915
1529266843,16809,16809
1529268738,16049,16049
1529270681,15779,15779
1529272587,15658,15658
1529274505,15670,15670
1529277379,15579,15579
1529279309,15616,15616
1529281216,15614,15614
1529283131,15565,15565
1529285069,15865,15865
1529286973,15854,15854
1529288892,15834,15834
1529290844,15816,15816
1529292738,15799,15799
1529294658,15824,15824
1529296587,15832,15832
1529298501,15821,15821
1529300411,15819,15819
1529302351,15785,15785
1529304252,15659,15659
1529306172,15479,15479
1529308107,15484,15484
1529310039,15436,15436
1529311931,13721,13721
1529313871,11929,11929
1529315774,10440,10440
1529317691,10519,10519
1529319656,8599,8599
1529321540,8288,8288
1529323461,8342,8342
1529325390,8358,8358
1529327303,8272,8272
1529329229,8037,8037
1529331143,8005,8005
1529333071,8013,8013
1529334985,8017,8017
1529337142,7899,7899
1529339054,7811,7811
1529340977,7801,7801
1529342892,7789,7789
1529344835,7762,7762
1529346738,7756,7756
1529348663,7702,7702
1529350571,7688,7688
1529352686,7694,7694
1529354651,7694,7694
1529356583,7694,7694
1529358546,7653,7653
1529360420,7610,7610
1529362581,7647,7647
1529364488,7633,7633
1529366552,7535,7535
1529368576,7567,7567
1529370500,7538,7538
1529372409,7191,7191
1529374351,7160,7160
1529376256,7152,7152
1529378179,7136,7136
1529380100,7077,7077
1529382024,7062,7062
1529383950,6943,6943
1529385863,6874,6874
1529387770,6833,6833
1529389694,6925,6925
1529391630,6872,6872
1529393555,6866,6866
1529395462,6879,6879
1529397380,7177,7177
1529399300,7137,7137
1529401246,8575,8575
1529403133,8960,8960
1529405060,9004,9004
1529406977,9053,9053
1529408893,12139,12139
1529410831,12315,12315
1529412742,12748,12748
1529414900,13051,13051
1529417781,14148,14148
1529419698,14981,14981
1529421758,15095,15095
1529423780,15149,15149
1529425687,15193,15193
1529427634,15390,15390
1529429547,16152,16152
1529431453,16801,16801
1529433367,16793,16793
1529435311,16798,16798
1529437208,16948,16948
1529439132,17044,17044
1529441064,17137,17137
1529442968,17132,17132
1529444887,17141,17141
1529446820,17264,17264
1529449019,17316,17316
1529450901,17382,17382
1529452839,17492,17492
1529454754,17479,17479
1529456659,17534,17534
1529458573,17561,17561
1529460512,17541,17541
1529462414,17527,17527
1529464337,17648,17648
1529466266,17662,17662
1529468173,17678,17678
1529470095,17688,17688
1529472025,17742,17742
1529473933,17756,17756
1529475963,17765,17765
1529477787,17785,17785
1529479706,17820,17820
1529481639,17821,17821
1529483555,17594,17594
1529485460,17686,17686
1529487374,16972,16972
1529489327,16533,16533
1529491222,16492,16492
1529493141,16431,16431
1529495072,13717,13717
1529496977,13290,13290
1529499144,13086,13086
1529501058,12928,12928
1529502989,12218,12218
1529504893,12460,12460
1529506851,12539,12539
1529508756,12475,12475
1529510933,12469,12469
1529512834,12469,12469
1529514748,12477,12477
1529516658,11122,11122
1529518599,10598,10598
1529520505,10605,10605
1529522434,10585,10585
1529524577,10372,10372
1529526496,10330,10330
1529528461,10371,10371
1529530363,10383,10383
1529532278,10393,10393
1529534196,11900,11900
1529536211,11947,11947
1529538028,11917,11917
1529539942,11866,11866
1529541860,11849,11849
1529543794,11754,11754
1529545696,11739,11739
1529547621,11724,11724
1529549589,11727,11727
1529551474,11551,11551
1529553375,11525,11525
1529555307,11507,11507
1529557262,11491,11491
1529559160,10665,10665
1529561062,10774,10774
1529563080,15054,15054
1529564921,21298,21298
1529566815,25296,25296
1529568740,25298,25298
1529570670,25300,25300
1529572576,25312,25312
1529574510,25128,25128
1529576416,25119,25119
1529578330,25140,25140
1529580274,25150,25150
1529582167,25438,25438
1529584093,25453,25453
1529586044,25462,25462
1529587958,25402,25402
1529589868,25136,25136
1529591773,25210,25210
1529593720,25309,25309
1529595625,25307,25307
1529597580,25320,25320
1529599461,25342,25342
1529601396,25172,25172
1529603298,25225,25225
1529605235,25144,25144
1529607159,25151,25151
1529609058,25169,25169
1529610989,25145,25145
1529612912,25139,25139
1529614865,25077,25077
1529616742,25132,25132
1529618823,25129,25129
1529621726,24889,24889
1529623707,24924,24924
1529625635,24897,24897
1529627560,24881,24881
1529629464,24891,24891
1529631284,24893,24893
1529633322,24912,24912
1529635232,24917,24917
1529637141,24915,24915
1529639059,24924,24924
1529640988,24938,24938
1529642897,24914,24914
1529644833,24897,24897
1529646744,24839,24839
1529648654,23884,23884
1529650590,16604,16604
1529652758,10471,10471
1529654668,10471,10471
1529656575,10391,10391
1529658531,10291,10291
1529660676,10205,10205
1529662581,10199,10199
1529664511,10176,10176
1529666527,10153,10153
1529668353,9841,9841
1529670258,9791,9791
1529672185,9708,9708
1529674097,9672,9672
1529676052,9685,9685
1529677937,9380,9380
1529679961,8977,8977
1529681787,8964,8964
1529683718,8908,8908
1529685628,8902,8902
1529687556,9231,9231
1529689453,9077,9077
1529691393,9071,9071
1529693298,9034,9034
1529695226,9105,9105
1529697132,9251,9251
1529699087,9299,9299
1529700969,9381,9381
1529702908,9409,9409
1529704844,9272,9272
1529706737,9076,9076
1529708676,8641,8641
1529710571,8668,8668
1529712508,8668,8668
1529714410,8679,8679
1529716335,8678,8678
1529718266,8657,8657
1529720171,8649,8649
1529722112,8644,8644
1529724259,8620,8620
1529726177,8606,8606
1529728099,8462,8462
1529730056,8456,8456
1529731950,8447,8447
1529733893,8404,8404
1529735789,8306,8306
1529737708,8299,8299
1529739618,7481,7481
1529741545,7462,7462
1529743474,7432,7432
1529745379,7549,7549
1529747311,7501,7501
1529749216,7521,7521
1529751142,7488,7488
1529753061,7450,7450
1529755000,7458,7458
1529756899,7338,7338
1529758852,7325,7325
1529760738,7199,7199
1529762834,7162,7162
1529764825,7190,7190
1529766739,7212,7212
1529768665,7197,7197
1529770835,7231,7231
1529772740,7209,7209
1529774654,6845,6845
1529776593,6899,6899
1529778499,6924,6924
1529780451,6907,6907
1529782341,6897,6897
1529784266,6880,6880
1529786435,6836,6836
1529788347,6788,6788
1529790256,6863,6863
1529792189,6853,6853
1529794699,6842,6842
1529796508,6834,6834
1529798436,6836,6836
1529800356,6860,6860
1529802257,6901,6901
1529804186,6889,6889
1529806101,6893,6893
1529808031,6893,6893
1529809957,6901,6901
1529811862,6913,6913
1529813793,6966,6966
1529815692,6998,6998
1529817628,6985,6985
1529819551,6989,6989
1529821468,7004,7004
1529823371,7195,7195
1529825308,7218,7218
1529828197,7305,7305
1529830093,8120,8120
1529832024,9090,9090
1529833948,9144,9144
1529835854,9168,9168
1529837769,9177,9177
1529839704,9219,9219
1529841689,9944,9944
1529843556,11043,11043
1529845452,11026,11026
1529847400,11004,11004
1529849315,10997,10997
1529851210,10965,10965
1529853414,10995,10995
1529855337,11029,11029
1529857241,11012,11012
1529859138,11020,11020
1529861307,11037,11037
1529863239,11072,11072
1529865159,11088,11088
1529867070,11130,11130
1529868970,11182,11182
1529871808,11257,11257
1529873767,11258,11258
1529875687,11233,11233
1529877698,11143,11143
1529879532,11158,11158
1529881466,11263,11263
1529883384,11384,11384
1529885316,12486,12486
1529887226,12632,12632
1529889135,14483,14483
1529891054,16384,16384
1529892970,17352,17352
1529894889,17363,17363
1529896816,17403,17403
1529898739,17401,17401
1529900660,17401,17401
1529902569,17383,17383
1529904496,17412,17412
1529906440,17411,17411
1529908336,17358,17358
1529910271,17389,17389
1529912178,18138,18138
1529914116,22392,22392
1529916013,22396,22396
1529917937,20711,20711
1529919868,20692,20692
1529921778,20935,20935
