DateTime,Entries,UniqueIPs
1528672477,70,70
1528674405,70,70
1528676332,70,70
1528678225,71,71
1528680162,72,72
1528682078,74,74
1528683994,75,75
1528686295,75,75
1528688196,74,74
1528690111,76,76
1528692034,74,74
1528693949,75,75
1528695892,75,75
1528697788,75,75
1528699704,76,76
1528701675,77,77
1528705492,78,78
1528707378,76,76
1528715076,75,75
1528720816,76,76
1528722739,80,80
1528724676,78,78
1528726587,77,77
1528730612,78,78
1528733963,74,74
1528736246,73,73
1528738213,74,74
1528740092,73,73
1528741962,75,75
1528743879,77,77
1528745776,77,77
1528747695,75,75
1528749544,74,74
1528751531,71,71
1528753557,71,71
1528755374,75,75
1528757546,76,76
1528759454,78,78
1528761377,75,75
1528763302,74,74
1528765310,75,75
1528767151,74,74
1528769325,73,73
1528771213,71,71
1528773137,72,72
1528775070,74,74
1528776974,74,74
1528779133,75,75
1528781052,72,72
1528784896,71,71
1528786900,72,72
1528788749,71,71
1528790656,70,70
1528792569,69,69
1528794509,70,70
1528798335,72,72
1528800269,73,73
1528802169,73,73
1528804094,74,74
1528807930,72,72
1528809850,71,71
1528811784,72,72
1528813693,73,73
1528815708,74,74
1528817556,73,73
1528819888,74,74
1528821867,76,76
1528823772,79,79
1528825702,80,80
1528827623,77,77
1528829529,78,78
1528831452,79,79
1528833383,79,79
1528837104,79,79
1528838906,79,79
1528840921,78,78
1528842733,78,78
1528846571,76,76
1528848533,76,76
1528850414,78,78
1528852336,79,79
1528856171,79,79
1528858093,81,81
1528860024,79,79
1528861933,79,79
1528865869,79,79
1528869865,77,77
1528873718,76,76
1528877535,80,80
1528879466,79,79
1528881379,80,80
1528885225,80,80
1528887139,79,79
1528889052,78,78
1528892894,79,79
1528894890,80,80
1528896752,82,82
1528898659,81,81
1528900570,79,79
1528902499,81,81
1528904415,80,80
1528906349,81,81
1528908258,80,80
1528910176,78,78
1528912107,77,77
1528915952,79,79
1528918908,78,78
1528920746,76,76
1528922655,77,77
1528924586,78,78
1528926493,76,76
1528928429,79,79
1528931666,80,80
1528933468,81,81
1528935392,80,80
1528937424,80,80
1528939228,78,78
1528941138,76,76
1528943055,74,74
1528945487,73,73
1528947385,74,74
1528949309,72,72
1528955101,73,73
1528957042,72,72
