DateTime,AddedIPs,RemovedIPs
1528943056,146,3
1528945487,2,1
1528947386,3,4
1528949309,2,2
1528951280,1,3
1528953191,2,2
1528955102,556,4
1528957042,70,3
1528958939,2,1
1528960863,0,1
1528962795,1,2
1528964696,0,1
1528966614,3,2
1528968535,3,4
1528972338,2,1
1528974302,3,2
1528976190,0,1
1528978113,2,5
1528980019,2,432
1528981937,4,1
1528983882,2,50
1528985793,433,7
1528987698,1,0
1528989772,4,0
1528991783,3,2
1528993687,2,2
1528995701,2,1
1528997546,0,28
1528999459,2,0
1529001368,5,2
1529003305,2,2
1529005210,4,1
1529007134,5,2
1529009068,6,4
1529011237,0,1
1529013142,23,6
1529015070,2,26
1529017302,15,3
1529019144,4,3
1529021082,4,3
1529022981,3,2
1529024906,28,1
1529026838,3,0
1529028742,0,4
1529030668,1,4
1529032597,3,2
1529034498,2,3
1529036421,3,2
1529038360,1,1
1529040265,3,484
1529042178,1,87
1529044116,1,227
1529046095,8,1
1529047986,6,0
1529049865,25,1
1529051824,1,1
1529053719,1,1567
1529055641,2,3
1529057547,2,3
1529059498,3,7
1529061379,1,1
1529063327,3,2
1529065890,3,3
1529067853,3,65
1529069779,22,2
1529071707,3,3
1529073614,3,1
1529075545,3,3
1529077464,2,3
1529079372,54,3
1529081302,1,56
1529083228,6,1
1529085129,3,2
1529087075,0,2
1529088977,6,3
1529091776,5,7
1529093878,2,3
1529096009,0,8
1529097838,1,0
1529099859,3,57
1529101734,1,1
1529104824,4,27
1529106730,0,7
1529108651,2,7
1529110584,2,2
1529112491,0,7
1529114506,2,1
1529116349,3,1
1529118257,1,4
1529120172,2,0
1529122107,6,5
1529124011,1,1
1529125937,32,4
1529127865,3,2
1529129769,2,2
1529131694,2,629
1529133625,2,6
1529135534,3,4
1529137454,1,28
1529139386,3,0
1529141297,0,4
1529143295,1,1
1529145149,0,2
1529147059,2,1
1529148972,3,4
1529150913,6,2
1529152814,2,2
1529154738,95,4
1529156666,2,23
1529158576,0,2
1529160495,5,2
1529162427,1,3
1529164335,2,62
1529166256,9,2
1529168185,4,1
1529170093,3,3
1529172093,1,2
1529173954,3,1
1529175860,3,151
1529177773,3,4
1529179714,0,1
1529181620,1,0
1529183540,4,0
1529185471,67,2
1529187369,1,28
1529189552,3,26
1529191454,17,0
1529193387,2,1
1529195293,0,1
1529197294,4,2
1529200405,7,2
1529202251,2,3
1529204280,2,3
1529206087,2,2
1529208103,6,7
1529209950,52,0
1529211855,3,5
1529213768,7,2
1529215711,1,2
1529217610,197,40
