DateTime,Entries,UniqueIPs
1528943056,3186,3186
1528945487,3187,3187
1528947386,3186,3186
1528949309,3186,3186
1528951280,3184,3184
1528953191,3184,3184
1528955102,3736,3736
1528957042,3803,3803
1528958939,3804,3804
1528960863,3803,3803
1528962795,3802,3802
1528964696,3801,3801
1528966614,3802,3802
1528968535,3801,3801
1528972338,3802,3802
1528974302,3803,3803
1528976190,3802,3802
1528978113,3799,3799
1528980019,3369,3369
1528981937,3372,3372
1528983882,3324,3324
1528985793,3750,3750
1528987698,3751,3751
1528989772,3755,3755
1528991783,3756,3756
1528993687,3756,3756
1528995701,3757,3757
1528997546,3729,3729
1528999459,3731,3731
1529001368,3734,3734
1529003305,3734,3734
1529005210,3737,3737
1529007134,3740,3740
1529009068,3742,3742
1529011237,3741,3741
1529013142,3758,3758
1529015070,3734,3734
1529017302,3746,3746
1529019144,3747,3747
1529021082,3748,3748
1529022981,3749,3749
1529024906,3776,3776
1529026838,3779,3779
1529028742,3775,3775
1529030668,3772,3772
1529032597,3773,3773
1529034498,3772,3772
1529036421,3773,3773
1529038360,3773,3773
1529040265,3292,3292
1529042178,3206,3206
1529044116,2980,2980
1529046095,2987,2987
1529047986,2993,2993
1529049865,3017,3017
1529051824,3017,3017
1529053719,1451,1451
1529055641,1450,1450
1529057547,1449,1449
1529059498,1445,1445
1529061379,1445,1445
1529063327,1446,1446
1529065890,1446,1446
1529067853,1384,1384
1529069779,1404,1404
1529071707,1404,1404
1529073614,1406,1406
1529075545,1406,1406
1529077464,1405,1405
1529079372,1456,1456
1529081302,1401,1401
1529083228,1406,1406
1529085129,1407,1407
1529087075,1405,1405
1529088977,1408,1408
1529091776,1406,1406
1529093878,1405,1405
1529096009,1397,1397
1529097838,1398,1398
1529099859,1344,1344
1529101734,1344,1344
1529104824,1321,1321
1529106730,1314,1314
1529108651,1309,1309
1529110584,1309,1309
1529112491,1302,1302
1529114506,1303,1303
1529116349,1305,1305
1529118257,1302,1302
1529120172,1304,1304
1529122107,1305,1305
1529124011,1305,1305
1529125937,1333,1333
1529127865,1334,1334
1529129769,1334,1334
1529131694,707,707
1529133625,703,703
1529135534,702,702
1529137454,675,675
1529139386,678,678
1529141297,674,674
1529143295,674,674
1529145149,672,672
1529147059,673,673
1529148972,672,672
1529150913,676,676
1529152814,676,676
1529154738,767,767
1529156666,746,746
1529158576,744,744
1529160495,747,747
1529162427,745,745
1529164335,685,685
1529166256,692,692
1529168185,695,695
1529170093,695,695
1529172093,694,694
1529173954,696,696
1529175860,548,548
1529177773,547,547
1529179714,546,546
1529181620,547,547
1529183540,551,551
1529185471,616,616
1529187369,589,589
1529189552,566,566
1529191454,583,583
1529193387,584,584
1529195293,583,583
1529197294,585,585
1529200405,590,590
1529202251,589,589
1529204280,588,588
1529206087,588,588
1529208103,587,587
1529209950,639,639
1529211855,637,637
1529213768,642,642
1529215711,641,641
1529217610,798,798
1529219534,810,810
1529221462,807,807
1529223372,893,893
1529225292,894,894
1529227221,894,894
1529229128,894,894
1529231050,898,898
1529232981,2925,2925
1529234887,3504,3504
1529236889,3502,3502
1529238750,3503,3503
1529240652,3505,3505
1529242567,3826,3826
1529244516,3825,3825
1529246409,3829,3829
1529248335,3834,3834
1529250263,3836,3836
1529252170,3838,3838
1529254090,3838,3838
