DateTime,AddedIPs,RemovedIPs
1528947386,4,4
1528949309,3,3
1528951281,1,3
1528953191,2,2
1528955102,556,4
1528957043,70,4
1528958940,3,3
1528960863,0,1
1528962796,2,2
1528964696,2,1
1528966615,5,4
1528968535,3,7
1528970495,2,0
1528972339,3,1
1528974303,9,4
1528976191,2,2
1528978114,6,11
1528980020,8,433
1528981938,5,1
1528983882,3,50
1528985793,435,8
1528987698,5,2
1528989773,8,2
1528991784,4,4
1528993688,7,2
1528995701,5,4
1528997546,3,28
1528999459,5,2
1529001369,7,2
1529003305,5,3
1529005210,4,3
1529007134,5,2
1529009068,7,6
1529011237,2,7
1529013142,23,11
1529015070,5,36
1529017302,16,3
1529019144,5,5
1529021083,8,8
1529022982,5,4
1529024906,30,4
1529026839,4,0
1529028742,1,4
1529030669,5,7
1529032597,6,3
1529034498,2,4
1529036421,4,2
1529038361,1,1
1529040266,4,486
1529042179,1,85
1529044117,1,227
1529046106,10,2
1529047986,9,0
1529049866,33,2
1529051824,4,4
1529053720,3,1568
1529055641,3,3
1529057548,2,6
1529059499,3,10
1529061379,3,6
1529063328,8,3
1529065890,3,10
1529067854,6,67
1529069779,23,3
1529071708,4,5
1529073615,4,4
1529075545,4,7
1529077465,5,5
1529079373,54,7
1529081302,3,57
1529083228,6,3
1529085129,3,5
1529087075,1,5
1529088978,6,5
1529091777,8,10
1529093879,3,3
1529096010,3,9
1529097839,2,2
1529099859,5,58
1529101735,2,3
1529104824,6,29
1529106730,0,11
1529108651,2,7
1529110585,6,5
1529112491,3,9
1529114507,5,2
1529116350,4,3
1529118258,2,8
1529120173,3,1
1529122108,7,6
1529124011,5,1
1529125938,32,4
1529127865,3,3
1529129770,2,2
1529131695,3,630
1529133625,3,8
1529135535,5,12
1529137455,1,30
1529139387,7,4
1529141298,1,5
1529143295,2,2
1529145149,2,2
1529147059,10,3
1529148972,7,5
1529150913,9,6
1529152815,4,2
1529154739,97,7
1529156667,6,24
1529158576,1,3
1529160496,6,4
1529162427,3,5
1529164336,9,64
1529166256,14,2
1529168186,6,3
1529170093,6,3
1529172093,1,2
1529173954,4,2
1529175860,5,151
1529177773,3,6
1529179715,1,3
1529181621,3,3
1529183541,5,1
1529185472,68,4
1529187369,2,29
1529189552,4,27
1529191454,19,1
1529193387,6,1
1529195293,1,1
1529197295,6,8
1529200406,9,6
1529202252,2,3
1529204280,3,4
1529206088,2,2
1529208104,8,9
1529209950,52,3
1529211855,5,7
1529213768,8,2
1529215712,2,2
1529217611,199,41
1529219535,16,2
1529221463,2,4
1529223372,88,3
1529225292,6,2
1529227222,6,5
1529229129,3,2
1529231050,6,2
1529232982,2029,9
1529234888,585,6
1529236900,8,7
1529238751,2,5
1529240652,7,3
1529242568,392,73
1529244516,9,6
1529246409,6,3
1529248336,9,4
1529250264,2,4
1529252171,11,12
1529254090,7,5
1529256021,9,7
1529257930,6,0
1529259852,6,4
1529261782,8,5
1529263687,9,2
1529266571,13,4
1529268493,6,5
1529270425,4,2
1529272331,10,10
1529274274,3,3
1529276169,8,1
1529278358,5,5
1529280257,4,2
1529282210,4,3
1529284099,7,3
1529286035,298,7
1529287956,5,3
1529289873,5,2
1529291775,3,4
1529293739,1,3
1529295640,1,2
1529297562,74,4
1529299470,5,3
1529301485,2,7
1529303300,7,130
1529305294,22,1
1529307148,2,5
1529309084,9,0
1529310989,1,78
1529312930,5,5
