DateTime,Entries,UniqueIPs
1528947386,3259,3259
1528949309,3259,3259
1528951281,3257,3257
1528953191,3257,3257
1528955102,3809,3809
1528957043,3875,3875
1528958940,3875,3875
1528960863,3874,3874
1528962796,3874,3874
1528964696,3875,3875
1528966615,3876,3876
1528968535,3872,3872
1528970495,3874,3874
1528972339,3876,3876
1528974303,3881,3881
1528976191,3881,3881
1528978114,3876,3876
1528980020,3451,3451
1528981938,3455,3455
1528983882,3408,3408
1528985793,3835,3835
1528987698,3838,3838
1528989773,3844,3844
1528991784,3844,3844
1528993688,3849,3849
1528995701,3850,3850
1528997546,3825,3825
1528999459,3828,3828
1529001369,3833,3833
1529003305,3835,3835
1529005210,3836,3836
1529007134,3839,3839
1529009068,3840,3840
1529011237,3835,3835
1529013142,3847,3847
1529015070,3816,3816
1529017302,3829,3829
1529019144,3829,3829
1529021083,3829,3829
1529022982,3830,3830
1529024906,3856,3856
1529026839,3860,3860
1529028742,3857,3857
1529030669,3855,3855
1529032597,3858,3858
1529034498,3856,3856
1529036421,3858,3858
1529038361,3858,3858
1529040266,3376,3376
1529042179,3292,3292
1529044117,3066,3066
1529046106,3074,3074
1529047986,3083,3083
1529049866,3114,3114
1529051824,3114,3114
1529053720,1549,1549
1529055641,1549,1549
1529057548,1545,1545
1529059499,1538,1538
1529061379,1535,1535
1529063328,1540,1540
1529065890,1533,1533
1529067854,1472,1472
1529069779,1492,1492
1529071708,1491,1491
1529073615,1491,1491
1529075545,1488,1488
1529077465,1488,1488
1529079373,1535,1535
1529081302,1481,1481
1529083228,1484,1484
1529085129,1482,1482
1529087075,1478,1478
1529088978,1479,1479
1529091777,1477,1477
1529093879,1477,1477
1529096010,1471,1471
1529097839,1471,1471
1529099859,1418,1418
1529101735,1417,1417
1529104824,1394,1394
1529106730,1383,1383
1529108651,1378,1378
1529110585,1379,1379
1529112491,1373,1373
1529114507,1376,1376
1529116350,1377,1377
1529118258,1371,1371
1529120173,1373,1373
1529122108,1374,1374
1529124011,1378,1378
1529125938,1406,1406
1529127865,1406,1406
1529129770,1406,1406
1529131695,779,779
