DateTime,Entries,UniqueIPs
1528945938,211,211
1528947854,215,215
1528949808,210,210
1528951702,208,208
1528953609,206,206
1528955549,200,200
1528957450,197,197
1528959747,193,193
1528961770,191,191
1528963698,188,188
1528965629,189,189
1528967531,189,189
1528969466,193,193
1528971371,208,208
1528973305,218,218
1528975212,217,217
1528977130,207,207
1528979058,216,216
1528980977,232,232
1528982889,236,236
1528984871,247,247
1528986750,255,255
1528988659,263,263
1528990572,269,269
1528992533,278,278
1528994414,287,287
1528996338,294,294
1528998269,303,303
1529000181,307,307
1529002094,313,313
1529004025,315,315
1529005937,317,317
1529007852,315,315
1529009784,315,315
1529011854,316,316
1529013688,316,316
1529015534,317,317
1529017699,313,313
1529019633,315,315
1529021540,308,308
1529023453,311,311
1529025388,313,313
1529027305,316,316
1529029216,319,319
1529032098,327,327
1529034027,329,329
1529035942,331,331
1529037856,336,336
1529039789,343,343
1529041701,343,343
1529043630,351,351
1529045550,356,356
1529047465,361,361
1529049386,366,366
1529051300,370,370
1529053298,371,371
1529055152,375,375
1529057065,372,372
1529058975,365,365
1529060917,357,357
1529062814,354,354
1529065891,349,349
1529067854,340,340
1529069780,337,337
1529071709,335,335
1529073616,336,336
1529075547,330,330
1529077466,329,329
1529079374,326,326
1529081304,326,326
1529083230,323,323
1529085131,315,315
1529087076,312,312
1529088978,308,308
1529091778,303,303
1529093880,305,305
1529096011,302,302
1529097840,305,305
1529099860,295,295
1529101736,287,287
1529104825,282,282
1529106731,305,305
1529108652,317,317
1529110585,318,318
1529112492,320,320
1529114507,314,314
1529116351,313,313
1529118259,302,302
1529120174,301,301
1529122109,294,294
1529124012,293,293
1529125938,287,287
1529127866,289,289
1529129771,286,286
1529131696,276,276
1529133626,276,276
1529135536,273,273
1529137456,270,270
1529139388,265,265
1529141299,263,263
1529143296,265,265
1529145150,263,263
1529147060,258,258
1529148973,260,260
1529150914,258,258
1529152817,263,263
1529154740,263,263
1529156668,266,266
1529158578,261,261
1529160497,260,260
1529162428,259,259
1529164337,262,262
1529166257,261,261
1529168187,257,257
1529170094,259,259
1529172094,255,255
1529173955,256,256
1529175861,256,256
1529177775,254,254
1529179717,257,257
1529181622,252,252
1529183542,250,250
1529185472,253,253
1529187370,253,253
1529189553,255,255
1529191455,262,262
1529193388,233,233
1529195294,223,223
1529197296,226,226
1529200407,230,230
1529202253,231,231
1529204281,232,232
1529206089,235,235
1529208105,235,235
1529209951,241,241
1529211857,244,244
1529213770,247,247
1529215713,248,248
1529217612,250,250
1529219535,247,247
1529221463,247,247
1529223373,249,249
1529225293,256,256
1529227224,263,263
1529229130,268,268
1529231052,272,272
1529232983,275,275
1529234889,281,281
1529236902,284,284
1529238753,293,293
1529240654,301,301
1529242569,306,306
1529244517,313,313
1529246410,314,314
1529248337,321,321
1529250265,323,323
1529252172,318,318
1529254092,325,325
1529256023,330,330
1529257931,336,336
1529259854,341,341
1529261784,344,344
1529263689,351,351
1529266572,355,355
1529268494,358,358
1529270426,359,359
1529272332,354,354
1529274275,362,362
1529276170,361,361
1529278359,362,362
1529280258,367,367
1529282211,365,365
1529284100,366,366
1529286036,368,368
1529287957,370,370
1529289874,369,369
1529291776,378,378
1529293740,381,381
1529295641,376,376
1529297563,382,382
1529299470,383,383
1529301486,385,385
1529303301,382,382
1529305295,378,378
1529307150,378,378
1529309085,383,383
1529310991,383,383
1529312931,378,378
