DateTime,AddedIPs,RemovedIPs
1528744593,0,1
1528746425,0,1
1528748413,0,1
1528750330,3,0
1528752258,4,1
1528754186,4,0
1528756096,1,0
1528758110,3,0
1528760050,4,1
1528761868,2,0
1528763771,1,0
1528765707,3,1
1528767621,1,2
1528769536,2,0
1528771466,3,4
1528773368,4,0
1528775291,1,0
1528777228,10,0
1528779136,3,4
1528781055,0,1
1528782988,3,0
1528784898,5,0
1528786903,3,0
1528788751,5,0
1528790658,6,0
1528792572,1,0
1528794515,1,0
1528798339,0,4
1528800273,2,1
1528802173,0,3
1528804098,0,3
1528806055,1,2
1528807933,21,0
1528809853,0,2
1528811787,1,2
1528825707,1,0
1528827625,1,1
1528831455,1,0
1528833386,0,1
1528835289,1,0
1528837107,0,3
1528838909,2,5
1528840945,3,3
1528842968,5,1
1528844895,1,4
1528846828,25,0
1528848731,1,0
1528850664,3,0
1528852567,2,0
1528854489,3,0
1528856422,1,1
1528858345,1,0
1528860251,2,4
1528862182,0,4
1528864090,0,7
1528866104,0,2
1528867952,2,0
1528869867,0,2
1528873721,2,2
1528875618,7,2
1528877539,5,4
1528881383,1,1
1528885229,1,0
1528887142,3,1
1528889055,1,0
1528890988,1,0
1528892897,2,1
1528894899,0,21
1528896755,0,1
1528898663,3,0
1528900573,2,0
1528902503,4,0
1528904418,5,0
1528906352,2,0
1528912110,4,1
1528914012,0,1
1528915954,6,0
1528918910,4,0
1528920749,18,0
1528922657,1,1
1528924588,0,1
1528928432,0,4
1528931669,0,72
1528937426,0,3
1528939230,0,4
1528941140,1,1
1528943058,0,1
1528946182,0,2
1528948087,0,1
1528953851,1,1
1528955767,0,1
1528957706,4,0
1528959748,2,1
1528961771,0,9
1528963698,0,4
1528965630,1,1
1528967531,0,1
1528969466,1,0
1528971372,0,1
1528973306,0,2
1528975214,2,2
1528977130,0,1
1528979059,1,1
1528980978,1,1
1528982891,1,0
1528984892,1,3
1528986751,0,1
1528988660,1,4
1528990573,0,6
1528992534,0,2
1528994415,2,0
1528996339,1,0
1528998269,1,1
1529000181,1,3
1529002095,0,4
1529004026,1,3
1529005938,0,2
1529007853,4,0
1529009785,0,1
1529011855,1,0
1529013716,1,0
1529015535,2,0
1529017700,2,0
1529019634,1,0
1529027306,0,1
1529032098,1,0
1529034028,2,0
1529041701,1,1
1529043630,0,1
1529045551,0,3
1529047466,1,0
1529049387,0,1
1529051300,0,1
1529055153,1,2
1529060917,0,3
1529065892,1,1
1529069781,0,2
1529079375,0,1
1529083230,4,1
1529085131,1,2
1529087076,3,0
1529088979,3,0
1529091778,4,1
1529093880,1,2
1529096011,3,2
1529097840,1,0
1529099861,3,2
1529101736,0,2
1529103738,0,3
1529105575,2,1
1529107456,1,0
1529109394,1,0
1529111319,3,0
1529115146,2,0
1529117096,2,1
1529120930,0,2
1529122830,4,0
1529128607,0,1
1529130754,2,0
1529134584,3,1
1529136544,4,0
1529142289,0,1
1529144195,2,0
1529151876,2,1
1529159579,3,0
1529163391,2,0
1529165334,1,1
1529167254,1,0
1529169138,0,3
1529171241,2,0
1529173221,1,2
1529175129,3,5
1529177052,1,3
1529178982,0,1
1529182855,0,4
1529186671,0,3
1529189072,1,0
1529190979,0,2
1529194837,2,1
1529196730,0,1
1529198653,2,3
1529202502,2,2
1529204496,0,1
1529208264,2,5
1529210176,2,0
1529214035,2,1
1529215940,2,0
1529217877,1,2
1529219779,0,2
1529221699,0,6
1529227467,1,0
1529229391,2,2
1529233297,1,0
1529235155,3,0
1529237071,2,1
1529240915,2,0
1529242817,1,0
1529244745,2,1
1529246679,1,2
1529248581,0,1
1529250498,1,1
1529252436,0,1
1529254343,2,1
1529256263,0,1
1529258200,0,2
1529260098,0,1
1529262091,0,3
1529263957,1,0
1529265875,1,0
1529267776,1,0
1529271625,2,0
1529273699,0,1
1529281465,2,2
1529283367,1,0
1529285289,2,2
1529288172,2,1
1529290107,1,2
1529293928,2,1
1529295866,1,3
1529297767,2,0
