DateTime,AddedIPs,RemovedIPs
1528935396,3,1
1528937428,5,5
1528939232,2,3
1528941142,2,2
1528943060,2,3
1528946183,3,3
1528948088,5,2
1528950008,2,2
1528951944,0,1
1528953852,4,4
1528955768,4,2
1528957707,3,2
1528959749,0,13
1528961772,8,3
1528963700,2,4
1528965632,6,3
1528967532,3,3
1528969468,10,8
1528971373,8,40
1528973307,6,6
1528975215,4,2
1528977132,3,2
1528979060,19,1
1528980979,3,2
1528982913,3,1
1528984894,4,1
1528986753,2,2
1528988662,3,2
1528990575,1,3
1528992536,4,2
1528994416,2,1
1528996341,1,0
1528998271,3,1
1529000183,5,1
1529002096,2,3
1529004027,0,1
1529005939,2,0
1529007854,0,1
1529009786,3,1
1529011856,8,4
1529013738,3,0
1529016828,0,4
1529018669,4,3
1529020572,3,6
1529022507,2,5
1529024498,1,5
1529026336,5,0
1529028280,3,3
1529030176,4,3
1529032099,2,2
1529034028,3,3
1529035943,4,3
1529037857,5,1
1529039791,5,2
1529041702,4,2
1529043632,2,1
1529045552,1,3
1529047468,3,5
1529049389,5,5
1529051302,0,3
1529053300,4,4
1529055154,2,9
1529057067,1,4
1529058977,2,8
1529060918,1,6
1529062816,1,4
1529065893,4,20
1529067856,1,3
1529069782,2,5
1529071711,1,3
1529073617,5,4
1529075548,3,3
1529077468,5,1
1529079376,3,4
1529081305,4,3
1529083231,1,1
1529085132,3,2
1529087077,64,4
1529088980,3,3
1529091779,1,2
1529093882,1,0
1529096013,2,1
1529097842,4,9
1529099862,0,3
1529101738,2,1
1529103758,2,0
1529105577,1,3
1529107458,2,2
1529109395,0,3
1529111320,2,2
1529113242,1,5
1529115148,1,3
1529117098,3,6
1529118985,0,2
1529120932,2,2
1529122832,0,5
1529124777,2,5
1529126657,2,4
1529128609,3,3
1529130755,3,2
1529132660,3,2
1529134585,6,3
1529136544,18,2
1529138419,0,1
1529140374,2,3
1529142290,1,3
1529144196,0,2
1529146098,0,3
1529148051,2,1
1529149941,2,0
1529151877,3,3
1529153795,4,2
1529155713,5,0
1529157695,1,4
1529159580,1,4
1529161463,1,2
1529163392,2,7
1529165335,2,2
1529167256,2,0
1529169139,2,6
1529173223,3,66
1529175131,252,3
1529177053,33,0
1529178983,12,3
1529180893,1,1
1529182901,3,3
1529184748,0,3
1529189074,3,0
1529190981,0,3
1529192902,1,2
1529194841,2,0
1529196732,3,1
1529198655,1,1
1529200609,4,2
1529202505,0,2
1529204499,1,1
1529206358,4,2
1529208265,4,0
1529210178,2,1
1529212117,4,1
1529214037,4,2
1529215941,6,5
1529217878,4,2
1529219781,5,6
1529221701,0,14
1529223635,4,5
1529225540,1,0
1529227469,9,2
1529229392,3,0
1529231302,10,2
1529233299,4,1
1529235156,4,3
1529237072,3,4
1529238980,2,2
1529240916,4,4
1529242819,6,5
1529244746,1,2
1529246680,2,1
1529248582,0,1
1529250499,1,2
1529252438,2,1
1529254344,0,2
1529256264,5,1
1529258201,1,1
1529260099,1,111
1529262093,2,141
1529263958,2,46
1529265876,1,1
1529267777,1,0
1529269716,1,3
1529273701,1,2
1529275713,3,0
1529277608,3,0
1529279529,1,1
1529281466,2,2
1529283369,1,2
1529285290,4,1
1529288174,4,4
1529290108,3,1
1529292007,5,5
1529293929,3,2
1529295867,1,5
1529297768,2,3
1529299688,3,5
1529301488,2,3
1529303302,2,4
1529305296,1,4
1529307151,2,4
1529309086,4,2
1529310992,4,2
1529312933,7,7
1529314819,2,6
1529316779,9,7
1529318659,0,7
1529320615,6,3
1529322512,6,3
1529324554,0,1
1529326468,2,3
1529328406,1,7
1529330307,3,1
1529332242,3,1
1529334173,9,1
1529336091,3,1
1529338274,2,2
1529340153,1,0
1529342091,4,4
1529343992,2,0
1529345794,3,2
1529347841,5,1
1529349853,0,2
1529351785,2,1
1529353689,2,1
1529355513,2,1
1529358552,3,0
1529360427,1,2
1529362587,1,4
1529364494,2,2
1529366558,1,1
1529368582,7,0
1529370505,5,2
1529372415,4,4
1529374357,5,3
1529376261,3,3
1529378184,2,5
1529380105,5,1
1529382030,5,1
1529383955,6,2
1529385868,3,5
1529387776,8,2
1529389699,5,2
1529391709,4,2
1529393560,2,2
1529395466,8,4
1529397385,3,4
1529399306,2,7
1529401252,2,2
1529403139,5,9
1529405066,4,0
1529406983,1,4
1529408899,6,8
1529410837,2,0
1529412748,5,3
1529414905,1,1
1529417788,5,5
1529419703,5,2
1529421764,4,12
1529423787,18,2
1529425694,2,0
1529427729,26,5
1529429554,1,1
1529431458,0,3
1529433372,2,2
1529435317,2,5
1529437213,3,2
1529439137,4,2
1529441069,2,2
1529442974,2,2
1529444893,1,1
1529446826,1,0
1529449026,2,1
1529450906,4,2
1529452851,6,1
1529454760,2,4
1529456665,1,7
1529458579,4,4
1529460518,4,6
1529462420,1,2
1529464342,4,3
1529466272,4,4
1529468179,1,4
1529470100,1,9
1529472030,4,2
1529473938,4,7
1529475971,4,4
1529477793,3,5
1529479713,5,3
1529481703,1,9
1529483562,4,2
1529485467,4,2
1529487381,2,2
1529489334,2,4
1529491228,2,3
1529493147,1,1
1529495078,2,7
1529496983,1,1
1529499150,5,6
1529501065,0,1
1529502995,1,2
1529504899,2,4
1529506893,2,6
1529508762,2,11
1529510938,2,13
1529512840,2,1
1529514755,1,25
1529518605,1,2
1529520511,2,1
1529522440,1,1
1529524583,6,3
1529526503,0,6
1529528495,1,1
1529530371,1,1
1529532285,3,2
1529534204,1,0
1529536220,2,3
1529538036,0,3
1529539950,4,6
1529541868,6,4
1529543802,5,4
1529545704,4,4
1529547630,2,3
1529549721,6,1
1529551697,5,2
1529553715,3,4
1529555540,2,0
1529557461,4,2
1529559378,4,4
1529561298,2,4
1529563485,4,6
1529565390,5,5
1529567307,2,2
1529569239,7,1
1529571176,7,6
1529573082,5,2
1529574984,5,3
1529577162,9,2
1529579231,6,1
1529581216,1,1
1529583158,15,1
1529585060,1,3
1529587129,4,2
1529589140,2,1
1529591061,3,2
1529593004,2,2
1529594897,2,3
1529596899,4,2
1529598746,2,0
1529600921,3,3
1529602826,1,0
1529604750,2,1
1529606673,2,2
1529608594,6,1
1529610511,2,3
1529612438,3,3
1529614386,1,1
1529616272,3,0
1529618184,1,3
1529621734,15,2
1529623714,7,1
1529625731,2,4
1529627567,6,6
1529629472,3,2
1529631292,3,6
1529633330,5,1
1529635239,2,3
1529637149,4,8
1529639066,2,5
1529640995,3,2
1529642905,6,4
1529644841,5,2
1529646754,6,4
1529648662,2,1
1529650597,4,2
1529652765,5,5
1529654674,4,6
1529656582,2,6
1529658539,4,5
1529660684,7,9
1529662588,2,4
1529664518,3,6
1529666534,3,5
1529668360,7,1
1529670265,2,14
1529672191,3,3
1529674103,4,2
1529676105,4,4
1529677942,3,1
1529679968,1,2
1529681792,1,0
1529683723,4,4
1529685633,1,0
1529687561,1,2
1529689458,2,0
1529691398,2,5
1529693303,3,1
1529695231,2,6
1529697137,4,2
1529699092,5,3
1529702913,3,3
1529706743,5,6
1529708682,0,14
1529710577,7,6
1529712514,3,2
1529714417,7,7
1529716341,4,2
1529718272,2,6
1529720177,4,4
1529722117,5,2
1529724265,2,2
1529726182,6,2
1529728105,6,4
1529730106,5,6
1529731955,3,3
1529733898,4,6
1529735794,2,1
1529737713,5,4
1529739624,2,3
1529741550,2,4
1529743479,4,2
1529745384,4,3
1529747316,2,8
1529749221,1,2
1529751147,5,2
1529753071,7,3
1529755005,4,8
1529756905,2,2
1529758892,5,3
1529760742,0,4
1529762838,2,6
1529764830,2,1
1529766744,2,1
1529768671,3,4
1529770841,4,2
1529772746,1,2
1529774660,2,1
1529776599,6,3
1529778506,3,2
1529780498,3,3
1529782347,14,1
1529784272,1,1
1529786441,6,5
1529788353,1,1
1529790261,5,3
1529792195,2,2
1529794707,1,7
1529796515,4,6
1529798491,0,3
1529800364,5,8
1529802264,16,2
1529804192,14,3
1529806107,4,3
1529808037,1,4
1529809962,1,3
1529811867,16,1
1529813799,23,6
1529815698,2,5
1529817634,3,3
1529819557,3,5
1529821474,2,1
1529823377,3,8
1529825314,7,0
1529827294,1,4
1529829160,4,2
1529831070,256,6
1529833007,4,2
1529834903,7,3
