DateTime,AddedIPs,RemovedIPs
1528948089,15,7
1528950009,21,20
1528951944,12,6
1528953852,26,38
1528955769,10,13
1528957707,41,26
1528959749,30,23
1528961772,18,11
1528963700,26,33
1528965632,14,8
1528967533,35,31
1528969468,13,12
1528971373,27,36
1528973307,24,17
1528975216,32,31
1528977132,9,11
1528979061,30,25
1528980979,10,14
1528982914,22,33
1528984894,13,8
1528986753,19,33
1528988662,30,120
1528990575,17,17
1528992536,37,28
1528994417,13,21
1528996341,26,37
1528998272,14,11
1529000184,20,34
1529002097,18,16
1529004027,24,34
1529005939,11,15
1529007854,19,32
1529009786,14,13
1529011856,21,32
1529013739,110,13
1529016828,23,31
1529018669,24,22
1529020572,8,13
1529022508,22,22
1529024499,19,15
1529026336,31,18
1529028280,25,24
1529030176,16,7
1529032100,17,20
1529034029,10,89
1529035944,18,18
1529037857,20,6
1529039791,17,36
1529041702,15,10
1529043632,22,34
1529045552,15,15
1529047468,31,30
1529049389,10,10
1529051303,34,24
1529053300,21,14
1529055155,22,29
1529057067,30,32
1529058977,6,8
1529060919,28,49
1529062816,7,8
1529065893,36,33
1529067856,26,27
1529069782,13,7
1529071711,28,20
1529073618,18,9
1529075549,34,33
1529077468,12,14
1529079376,41,37
1529081306,19,14
1529083232,26,26
1529085133,16,16
1529087077,35,20
1529088980,10,15
1529091780,25,29
1529093882,27,18
1529096013,15,15
1529097842,24,19
1529099863,14,116
1529101738,26,20
1529103758,19,21
1529105577,17,13
1529107458,26,22
1529109396,11,15
1529111321,37,29
1529113242,8,14
1529115148,25,21
1529117098,11,8
1529118985,29,21
1529120932,14,14
1529122832,27,26
1529124778,10,19
1529126657,27,19
1529128609,9,14
1529130755,26,24
1529132660,35,27
1529134585,10,15
1529136545,35,28
1529138419,15,15
1529140375,21,30
1529142290,8,16
1529144196,21,23
1529146098,11,10
1529148051,32,28
1529149941,10,12
1529151878,42,31
1529153795,10,15
1529155713,25,35
1529157696,21,12
1529159580,26,35
1529161464,35,29
1529163392,8,14
1529165336,29,43
1529167256,10,17
1529169139,50,31
1529171243,12,15
1529173223,33,32
1529175131,11,11
1529177053,32,23
1529178983,22,12
1529180893,32,23
1529182901,15,13
1529184748,30,24
1529186673,36,27
1529189074,12,19
1529190981,31,28
1529192902,8,8
1529194841,26,28
1529196732,8,11
1529198655,23,31
1529200609,12,10
1529202506,28,23
1529204499,17,9
1529206359,27,28
1529208266,26,23
1529210178,15,14
1529212118,26,28
1529214037,11,14
1529215942,24,23
1529217879,14,15
1529219781,28,30
1529221701,16,16
1529223636,40,28
1529225540,13,10
1529227469,33,24
1529229392,16,7
1529231302,30,25
1529233299,21,23
1529235156,20,21
1529237072,24,36
1529238980,8,14
1529240916,30,24
1529242820,10,13
1529244746,35,35
1529246680,11,9
1529248583,30,34
1529250500,15,8
1529252438,30,28
1529254345,13,12
1529256264,34,47
1529258201,13,10
1529260099,30,36
1529262093,21,13
1529263958,34,32
1529265876,24,34
1529267777,8,17
1529269717,17,31
1529271627,16,10
1529273701,22,35
1529275713,7,9
1529277608,29,27
1529279529,12,8
1529281467,30,26
1529283369,6,6
1529285290,24,24
1529288174,30,37
1529290108,5,14
1529292008,24,29
1529293930,9,17
1529295867,29,26
1529297769,13,8
1529299688,23,26
1529301488,8,8
1529303303,20,33
1529305296,14,20
1529307151,21,20
1529309087,30,43
1529310993,8,11
1529312933,26,33
1529314819,4,12
1529316779,25,34
1529318660,7,8
1529320615,28,31
1529322512,10,11
1529324554,30,23
1529326468,10,10
1529328407,29,31
1529330307,11,8
1529332242,35,38
1529334173,21,25
1529336091,8,18
1529338274,40,31
1529340153,10,11
1529342091,36,35
1529343992,8,15
1529345794,31,34
1529347841,9,17
1529349853,25,45
1529351785,9,8
1529353690,13,29
1529355513,9,8
1529358553,36,32
1529360427,22,25
1529362587,8,12
1529364494,19,28
1529366558,17,30
1529368582,8,15
1529370506,21,19
1529372415,12,8
1529374357,20,28
1529376262,15,8
1529378184,14,24
1529380105,10,11
1529382031,20,27
1529383956,9,11
1529385869,21,26
1529387776,11,8
1529389699,20,22
1529391710,16,27
1529393560,12,15
1529395467,18,27
1529397385,10,7
1529399306,26,29
1529401253,5,5
1529403140,18,26
1529405066,10,5
1529406983,27,29
1529408899,7,9
1529410837,29,29
1529412748,5,9
1529414906,30,28
1529417788,39,39
1529419704,11,8
1529421765,29,20
1529423787,10,13
1529425694,27,32
1529427729,27,30
1529429554,18,10
1529431459,32,32
1529433372,8,10
1529435317,24,30
1529437213,13,9
1529439137,25,12
1529441070,10,6
1529442974,22,30
1529444893,9,7
1529446826,108,26
1529449026,10,6
1529450907,21,22
1529452852,15,11
1529454760,14,12
1529456665,17,20
1529458579,14,15
1529460518,22,17
1529462421,9,9
1529464343,23,20
1529466272,13,7
1529468179,18,18
1529470101,6,7
1529472031,17,16
1529473938,7,12
1529475971,18,23
1529477794,11,7
1529479713,23,21
1529481703,21,21
1529483562,10,9
1529485467,33,24
1529487381,8,6
1529489334,30,19
1529491228,13,7
1529493147,18,19
1529495078,18,10
1529496983,32,32
1529499150,13,8
1529501065,26,28
1529502995,11,11
1529504899,34,31
1529506893,24,8
1529508762,26,28
1529510939,34,25
1529512840,17,15
1529514755,23,24
1529516665,15,12
1529518605,31,30
1529520511,8,6
1529522441,18,25
1529524583,8,10
1529526503,23,17
1529528496,9,13
1529530371,10,20
1529532286,9,51
1529534204,4,6
1529536220,20,21
1529538036,4,9
1529539950,18,20
1529541868,14,12
1529543803,18,21
1529545704,8,15
