DateTime,Entries,UniqueIPs
1528948089,1223,1223
1528950009,1224,1224
1528951944,1230,1230
1528953852,1218,1218
1528955769,1215,1215
1528957707,1230,1230
1528959749,1237,1237
1528961772,1244,1244
1528963700,1237,1237
1528965632,1243,1243
1528967533,1247,1247
1528969468,1248,1248
1528971373,1239,1239
1528973307,1246,1246
1528975216,1247,1247
1528977132,1245,1245
1528979061,1250,1250
1528980979,1246,1246
1528982914,1235,1235
1528984894,1240,1240
1528986753,1226,1226
1528988662,1136,1136
1528990575,1136,1136
1528992536,1145,1145
1528994417,1137,1137
1528996341,1126,1126
1528998272,1129,1129
1529000184,1115,1115
1529002097,1117,1117
1529004027,1107,1107
1529005939,1103,1103
1529007854,1090,1090
1529009786,1091,1091
1529011856,1080,1080
1529013739,1177,1177
1529016828,1169,1169
1529018669,1171,1171
1529020572,1166,1166
1529022508,1166,1166
1529024499,1170,1170
1529026336,1183,1183
1529028280,1184,1184
1529030176,1193,1193
1529032100,1190,1190
1529034029,1111,1111
1529035944,1111,1111
1529037857,1125,1125
1529039791,1106,1106
1529041702,1111,1111
1529043632,1099,1099
1529045552,1099,1099
1529047468,1100,1100
1529049389,1100,1100
1529051303,1110,1110
1529053300,1117,1117
1529055155,1110,1110
1529057067,1108,1108
1529058977,1106,1106
1529060919,1085,1085
1529062816,1084,1084
1529065893,1087,1087
1529067856,1086,1086
1529069782,1092,1092
1529071711,1100,1100
1529073618,1109,1109
1529075549,1110,1110
1529077468,1108,1108
1529079376,1112,1112
1529081306,1117,1117
1529083232,1117,1117
1529085133,1117,1117
1529087077,1132,1132
1529088980,1127,1127
1529091780,1123,1123
1529093882,1132,1132
1529096013,1132,1132
1529097842,1137,1137
1529099863,1035,1035
1529101738,1041,1041
1529103758,1039,1039
1529105577,1043,1043
1529107458,1047,1047
1529109396,1043,1043
1529111321,1051,1051
1529113242,1045,1045
1529115148,1049,1049
1529117098,1052,1052
1529118985,1060,1060
1529120932,1060,1060
1529122832,1061,1061
1529124778,1052,1052
1529126657,1060,1060
1529128609,1055,1055
1529130755,1057,1057
1529132660,1065,1065
1529134585,1060,1060
1529136545,1067,1067
1529138419,1067,1067
1529140375,1058,1058
1529142290,1050,1050
1529144196,1048,1048
1529146098,1049,1049
1529148051,1053,1053
1529149941,1051,1051
1529151878,1062,1062
1529153795,1057,1057
1529155713,1047,1047
1529157696,1056,1056
1529159580,1047,1047
1529161464,1053,1053
1529163392,1047,1047
1529165336,1033,1033
1529167256,1026,1026
1529169139,1045,1045
1529171243,1042,1042
1529173223,1043,1043
1529175131,1043,1043
1529177053,1052,1052
1529178983,1062,1062
1529180893,1071,1071
1529182901,1073,1073
1529184748,1079,1079
1529186673,1088,1088
1529189074,1081,1081
1529190981,1084,1084
1529192902,1084,1084
1529194841,1082,1082
1529196732,1079,1079
1529198655,1071,1071
1529200609,1073,1073
1529202506,1078,1078
1529204499,1086,1086
1529206359,1085,1085
1529208266,1088,1088
1529210178,1089,1089
1529212118,1087,1087
1529214037,1084,1084
1529215942,1085,1085
1529217879,1084,1084
1529219781,1082,1082
1529221701,1082,1082
1529223636,1094,1094
1529225540,1097,1097
1529227469,1106,1106
1529229392,1115,1115
1529231302,1120,1120
1529233299,1118,1118
1529235156,1117,1117
1529237072,1105,1105
1529238980,1099,1099
1529240916,1105,1105
1529242820,1102,1102
1529244746,1102,1102
1529246680,1104,1104
1529248583,1100,1100
1529250500,1107,1107
1529252438,1109,1109
1529254345,1110,1110
1529256264,1097,1097
1529258201,1100,1100
1529260099,1094,1094
1529262093,1102,1102
1529263958,1104,1104
1529265876,1094,1094
1529267777,1085,1085
1529269717,1071,1071
1529271627,1077,1077
1529273701,1064,1064
1529275713,1062,1062
1529277608,1064,1064
1529279529,1068,1068
1529281467,1072,1072
1529283369,1072,1072
1529285290,1072,1072
1529288174,1065,1065
1529290108,1056,1056
1529292008,1051,1051
1529293930,1043,1043
1529295867,1046,1046
1529297769,1051,1051
1529299688,1048,1048
1529301488,1048,1048
1529303303,1035,1035
1529305296,1029,1029
1529307151,1030,1030
1529309087,1017,1017
1529310993,1014,1014
1529312933,1007,1007
1529314819,999,999
1529316779,990,990
1529318660,989,989
1529320615,986,986
1529322512,985,985
1529324554,992,992
1529326468,992,992
1529328407,990,990
1529330307,993,993
1529332242,990,990
1529334173,986,986
1529336091,976,976
1529338274,985,985
1529340153,984,984
1529342091,985,985
1529343992,978,978
1529345794,975,975
1529347841,967,967
1529349853,947,947
1529351785,948,948
1529353690,932,932
1529355513,933,933
1529358553,937,937
1529360427,934,934
1529362587,930,930
1529364494,921,921
1529366558,908,908
1529368582,901,901
1529370506,903,903
1529372415,907,907
1529374357,899,899
1529376262,906,906
1529378184,896,896
1529380105,895,895
1529382031,888,888
1529383956,886,886
1529385869,881,881
1529387776,884,884
1529389699,882,882
1529391710,871,871
1529393560,868,868
1529395467,859,859
1529397385,862,862
1529399306,859,859
1529401253,859,859
1529403140,851,851
1529405066,856,856
1529406983,854,854
1529408899,852,852
1529410837,852,852
1529412748,848,848
1529414906,850,850
1529417788,850,850
1529419704,853,853
1529421765,862,862
1529423787,859,859
1529425694,854,854
1529427729,851,851
1529429554,859,859
1529431459,859,859
1529433372,857,857
1529435317,851,851
1529437213,855,855
1529439137,868,868
1529441070,872,872
1529442974,864,864
1529444893,866,866
1529446826,948,948
1529449026,952,952
1529450907,951,951
1529452852,955,955
1529454760,957,957
1529456665,954,954
1529458579,953,953
1529460518,958,958
1529462421,958,958
1529464343,961,961
1529466272,967,967
1529468179,967,967
1529470101,966,966
1529472031,967,967
1529473938,962,962
1529475971,957,957
1529477794,961,961
1529479713,963,963
1529481703,963,963
1529483562,964,964
1529485467,973,973
1529487381,975,975
1529489334,986,986
1529491228,992,992
1529493147,991,991
1529495078,999,999
1529496983,999,999
1529499150,1004,1004
1529501065,1002,1002
1529502995,1002,1002
1529504899,1005,1005
1529506893,1021,1021
1529508762,1019,1019
1529510939,1028,1028
1529512840,1030,1030
1529514755,1029,1029
1529516665,1032,1032
1529518605,1033,1033
1529520511,1035,1035
1529522441,1028,1028
1529524583,1026,1026
1529526503,1032,1032
1529528496,1028,1028
1529530371,1018,1018
1529532286,976,976
1529534204,974,974
1529536220,973,973
1529538036,968,968
1529539950,966,966
1529541868,968,968
1529543803,965,965
1529545704,958,958
1529547630,958,958
1529549722,953,953
1529551697,952,952
1529553715,961,961
1529555541,953,953
1529557461,951,951
1529559379,953,953
1529561299,955,955
1529563486,951,951
1529565390,956,956
1529567307,954,954
1529569240,961,961
1529571177,959,959
1529573082,948,948
1529574985,950,950
1529577162,944,944
1529579231,936,936
1529581216,938,938
1529583158,930,930
1529585060,934,934
1529587130,943,943
1529589141,940,940
1529591061,933,933
1529593005,929,929
1529594897,923,923
1529596899,926,926
1529598747,912,912
1529600922,908,908
1529602827,906,906
1529604751,901,901
1529606674,804,804
1529608595,805,805
1529610511,807,807
1529612438,807,807
1529614387,811,811
1529616272,819,819
1529618184,819,819
1529621735,836,836
1529623714,848,848
1529625734,839,839
1529627568,842,842
1529629472,849,849
1529631292,852,852
1529633331,851,851
1529635240,851,851
1529637149,851,851
1529639066,851,851
1529640996,864,864
1529642905,864,864
1529644841,871,871
1529646754,874,874
1529648662,873,873
1529650597,870,870
1529652766,866,866
1529654675,859,859
1529656582,858,858
1529658539,852,852
1529660685,851,851
1529662588,857,857
1529664518,859,859
1529666534,871,871
1529668360,868,868
1529670265,857,857
1529672192,851,851
1529674104,844,844
1529676105,848,848
1529677943,839,839
1529679968,832,832
1529681793,831,831
1529683723,831,831
1529685634,827,827
1529687561,833,833
1529689458,828,828
1529691398,826,826
1529693304,827,827
1529695232,831,831
1529697138,832,832
1529699092,831,831
1529700975,830,830
1529702913,828,828
1529704940,840,840
1529706743,833,833
1529708682,823,823
1529710577,826,826
1529712514,823,823
1529714417,828,828
1529716341,821,821
1529718272,822,822
1529720177,819,819
1529722118,816,816
1529724265,807,807
1529726182,802,802
1529728105,790,790
1529730106,800,800
1529731956,784,784
1529733899,773,773
1529735794,771,771
1529737714,773,773
1529739624,771,771
1529741551,777,777
1529743479,777,777
1529745384,783,783
1529747316,780,780
1529749222,782,782
1529751148,783,783
1529753072,776,776
1529755006,778,778
1529756905,775,775
1529758892,778,778
1529760743,769,769
1529762839,773,773
1529764830,779,779
1529766745,787,787
1529768671,790,790
1529770841,781,781
1529772746,780,780
1529774660,785,785
1529776600,778,778
1529778506,781,781
1529780499,777,777
1529782348,782,782
1529784273,786,786
1529786442,777,777
1529788354,783,783
1529790262,866,866
1529792195,862,862
1529794707,851,851
1529796515,856,856
1529798492,858,858
1529800364,861,861
1529802265,871,871
1529804193,866,866
1529806107,871,871
1529808037,870,870
1529809963,875,875
1529811868,879,879
1529813800,882,882
1529815698,886,886
1529817635,885,885
1529819558,890,890
1529821474,888,888
1529823377,891,891
1529825314,889,889
1529827295,898,898
1529829161,885,885
1529831070,878,878
1529833007,884,884
1529834904,893,893
1529836838,901,901
1529838753,905,905
1529840660,907,907
1529842594,918,918
1529844402,926,926
1529846432,929,929
1529848346,924,924
1529850276,916,916
1529852177,923,923
1529854111,933,933
1529856092,938,938
1529857963,945,945
1529860126,948,948
1529862281,956,956
1529864213,942,942
1529866096,940,940
1529868031,941,941
1529869962,933,933
1529871815,936,936
1529873775,936,936
1529875694,930,930
1529877716,855,855
1529879539,849,849
1529881473,838,838
1529883392,836,836
1529885324,826,826
1529887234,823,823
1529889143,809,809
1529891062,812,812
1529892977,801,801
1529894897,802,802
1529896825,803,803
1529898748,804,804
1529900669,813,813
1529902577,812,812
1529904504,810,810
1529906510,801,801
1529908344,805,805
1529910278,799,799
1529912185,804,804
1529914123,814,814
1529916021,825,825
1529917945,815,815
1529919876,817,817
1529921785,818,818
