DateTime,AddedIPs,RemovedIPs
1528950009,38,36
1528951945,27,227
1528953853,44,23
1528955769,40,27
1528957708,61,32
1528959750,30,28
1528961773,55,44
1528963701,53,41
1528965632,39,43
1528967533,18,44
1528969469,19,58
1528971374,14,68
1528973308,30,33
1528975216,23,40
1528977133,23,34
1528979061,40,19
1528980980,35,48
1528982914,22,16
1528984895,26,40
1528986753,23,58
1528988663,19,102
1528990576,28,57
1528992537,28,74
1528994417,17,57
1528996342,20,70
1528998272,25,108
1529000184,14,123
1529002097,18,206
1529004028,18,236
1529005940,9,230
1529007854,16,248
1529009787,20,244
1529011856,23,182
1529013741,25,33
1529016829,31,77
1529018670,10,26
1529020573,11,21
1529022508,18,57
1529024500,19,44
1529026337,5,43
1529028281,28,49
1529030177,54,12
1529032100,85,48
1529034029,25,48
1529035944,12,45
1529037858,17,33
1529039791,21,48
1529041703,36,39
1529043633,35,55
1529045552,18,42
1529047468,24,32
1529049389,13,89
1529051303,19,47
1529053301,9,30
1529055155,15,14
1529057067,16,17
1529058978,14,27
1529060919,62,26
1529062817,29,26
1529065894,34,47
1529067857,24,67
1529069782,34,27
1529071711,38,19
1529073618,31,23
1529075549,18,17
1529077469,17,28
1529079377,24,23
1529081306,17,22
1529083232,18,23
1529085133,91,19
1529087078,58,15
1529088980,24,17
1529091781,31,20
1529093882,144,14
1529096013,132,25
1529097843,136,15
1529099863,159,24
1529101738,49,20
1529103759,22,18
1529105578,38,11
1529107458,43,13
1529109396,54,20
1529111321,33,9
1529113243,29,6
1529115148,56,27
1529117099,23,87
1529118986,26,49
1529120933,51,22
1529122832,28,10
1529124778,24,23
1529126657,32,16
1529128610,35,43
1529130756,39,24
1529132661,60,18
1529134586,24,17
1529136545,41,18
1529138420,63,14
1529140375,30,16
1529142291,43,13
1529144197,51,22
1529146099,50,12
1529148052,47,57
1529149942,40,26
1529151878,53,25
1529153796,43,15
1529155713,44,33
1529157697,58,36
1529159581,28,28
1529161464,30,27
1529163393,68,24
1529165336,51,23
1529167256,53,20
1529169140,48,11
1529171243,47,79
1529173224,51,85
1529175132,1541,26
1529177054,54,17
1529178984,54,46
1529180894,98,45
1529182902,663,51
1529184749,49,69
1529186673,21,96
1529189075,36,54
1529190982,36,29
1529192903,25,37
1529194842,34,51
1529196733,59,38
1529198656,40,32
1529200610,32,43
1529202506,27,35
1529204500,46,28
1529206359,27,31
1529208266,32,49
1529210179,38,25
1529212118,56,30
1529214038,43,30
1529215942,41,30
1529217879,65,46
1529219782,209,49
1529221702,24,29
1529223637,39,44
1529225541,32,55
1529227470,62,31
1529229393,39,64
1529231303,48,31
1529233300,63,71
1529235157,66,28
1529237073,24,39
1529238981,34,47
1529240917,69,37
1529242820,47,48
1529244747,49,45
1529246681,34,25
1529248583,48,35
1529250500,25,77
1529252439,40,36
1529254345,61,48
1529256265,22,67
1529258202,37,24
1529260100,42,192
1529262094,33,1401
1529263959,20,54
1529265877,23,93
1529267778,17,144
1529269717,13,799
1529271627,16,78
1529273702,16,24
1529275714,16,39
1529277609,19,37
1529279530,18,24
1529281467,23,41
1529283370,11,60
1529285291,13,31
1529287275,14,37
1529289137,17,27
1529291054,25,48
1529292983,13,27
1529294893,19,32
1529296810,19,39
1529298753,23,55
1529300653,15,49
1529302568,14,44
1529304504,25,61
1529306410,14,217
1529308327,26,30
1529310267,15,45
1529312168,18,34
1529314090,116,70
1529316079,17,43
1529317936,13,42
1529319852,20,67
1529321790,20,67
1529323691,19,41
1529325614,26,26
1529327556,17,77
1529329452,19,45
1529331384,33,52
1529333292,42,37
1529335223,16,42
1529337143,11,43
1529339056,15,37
1529340979,17,58
1529342894,20,29
1529344897,19,39
1529346740,37,46
1529348665,14,26
1529350573,8,18
1529352688,26,27
1529354653,26,14
1529356585,15,12
1529358553,22,14
1529360428,23,14
1529362588,20,10
1529364495,17,13
1529366559,13,19
1529368583,15,17
1529370506,15,17
1529372416,11,8
1529374357,30,10
1529376262,21,21
1529378184,27,13
1529380105,11,20
1529382031,22,13
1529383956,9,23
1529385869,16,17
1529387776,19,23
1529389699,11,17
1529391710,27,20
1529393561,22,23
1529395467,15,24
1529397385,301,15
1529399307,20,47
1529401253,27,97
1529403140,22,15
1529405067,20,14
1529406984,24,27
1529408900,3120,31
1529410838,22,16
1529412748,20,22
1529414906,24,17
1529417789,52,42
1529419704,11,44
1529421766,27,19
1529423788,18,10
1529425695,15,17
1529427730,207,15
1529429554,79,17
1529431459,22,11
1529433373,25,37
1529435318,22,15
1529437214,154,11
1529439138,113,21
1529441070,23,24
1529442975,13,10
1529444893,45,19
1529446827,49,29
1529449027,35,20
1529450907,35,9
1529452852,80,16
1529454760,51,13
1529456666,37,11
1529458579,46,11
1529460519,19,19
1529462421,16,24
1529464343,24,25
1529466273,12,10
1529468180,40,14
1529470101,34,14
1529472031,68,15
1529473939,42,23
1529475972,29,12
1529477794,43,25
1529479714,23,25
1529481704,23,16
1529483563,24,298
1529485468,40,19
1529487382,26,27
1529489335,33,23
1529491229,23,18
1529493148,21,27
1529495079,21,2755
1529496983,32,404
1529499151,28,26
1529501065,26,24
1529502996,34,21
1529504900,26,20
1529506893,33,14
1529508763,36,33
1529510939,30,19
1529512841,35,19
1529514756,12,189
1529516666,24,81
1529518606,27,29
1529520512,23,19
1529522441,24,20
1529524584,63,246
1529526504,21,46
1529528496,21,13
1529530372,19,16
1529532286,23,50
1529534205,17,51
1529536221,23,23
1529538037,47,63
1529539950,32,66
1529541869,26,41
1529543803,31,48
1529545705,18,21
1529547631,22,22
1529549722,26,21
1529551697,18,18
1529553716,12,17
1529555541,21,37
1529557462,26,70
1529559379,25,42
1529561300,44,49
1529563486,54,38
1529565391,32,29
1529567308,40,24
1529569241,40,26
1529571178,41,30
1529573083,48,34
1529574986,52,59
1529577163,37,26
1529579232,46,24
1529581217,80,20
1529583159,51,28
1529585061,41,16
1529587130,48,38
1529589141,26,32
1529591062,26,36
1529593005,39,31
1529594898,28,31
1529596900,31,30
1529598747,42,38
1529600923,35,17
1529602827,29,23
1529604751,33,25
1529606674,39,24
1529608596,23,30
1529610512,26,61
1529612439,19,15
1529614388,17,10
1529616273,21,24
1529618185,150,18
1529621736,235,33
1529623715,33,36
1529625735,18,29
1529627569,21,13
1529629473,20,19
1529631293,25,13
1529633331,24,23
1529635240,14,16
1529637150,24,18
1529639067,37,8
1529640996,22,23
1529642906,17,19
1529644842,16,24
1529646755,41,22
1529648663,20,66
1529650598,25,24
1529652766,35,36
1529654675,28,30
1529656583,29,34
1529658540,25,44
1529660685,53,159
1529662589,25,43
1529664519,41,33
1529666535,39,45
1529668360,12,102
1529670266,28,29
1529672192,29,40
1529674105,21,45
1529676105,22,27
1529677943,18,23
1529679968,29,36
1529681793,28,29
1529683724,4,35
1529685635,30,31
1529687562,27,31
1529689458,26,33
1529691399,31,37
1529693304,33,42
1529695232,37,19
1529697138,23,27
1529699093,22,18
1529700975,72,16
1529702914,47,20
1529704940,14,158
1529706744,20,199
1529708683,16,34
1529710578,21,27
1529712514,11,17
1529714418,22,18
1529716341,26,25
1529718272,17,27
1529720178,15,17
1529722118,27,18
1529724265,26,30
1529726182,27,39
1529728105,19,18
1529730107,24,12
1529731956,21,31
1529733899,18,35
1529735795,28,25
1529737714,14,33
1529739624,20,29
1529741551,17,32
1529743480,9,28
1529745385,15,30
1529747316,22,47
1529749222,20,27
1529751148,21,36
1529753073,20,35
1529755006,35,18
1529756905,29,25
1529758892,30,22
1529760743,38,20
1529762839,26,22
1529764830,22,21
1529766745,42,27
1529768672,34,34
1529770842,25,16
1529772747,17,36
1529774661,21,30
1529776600,27,20
1529778506,34,34
1529780499,11,31
1529782348,25,33
1529784273,20,22
1529786442,24,33
1529788354,29,79
1529790262,11,17
1529792195,20,21
1529794708,21,23
1529796516,22,20
1529798495,9,15
1529800364,45,21
1529802265,34,27
1529804193,12,17
1529806107,20,17
1529808038,10,20
1529809963,18,22
1529811868,19,29
1529813800,36,18
1529815699,21,24
1529817636,20,26
1529819558,29,21
1529821475,36,22
1529823378,16,17
1529825315,18,14
1529827295,42,28
1529829161,26,14
1529831071,1640,14
1529833008,29,12
1529834904,25,18
1529836839,16,13
1529838754,17,22
1529840660,18,25
1529842595,16,33
1529844403,19,22
1529846433,10,44
1529848346,25,26
1529850277,21,26
1529852178,35,30
1529854112,38,38
1529856092,64,31
1529857964,37,20
1529860127,42,20
1529862282,50,34
1529864214,42,25
1529866097,58,22
1529868031,36,18
1529869962,44,19
1529871816,47,16
1529873775,20,30
1529875695,25,17
1529877716,20,17
1529879540,19,12
1529881473,11,16
1529883393,28,19
1529885324,16,10
1529887234,13,44
1529889143,14,17
1529891062,18,13
1529892978,15,11
1529894897,16,11
1529896826,16,10
1529898749,21,20
1529900669,27,26
1529902578,20,22
1529904505,18,15
1529906511,19,33
1529908344,12,28
1529910279,22,16
1529912186,17,27
1529914124,19,38
1529916022,16,24
1529917945,16,1654
1529919876,46,20
1529921786,26,21
