DateTime,Entries,UniqueIPs
1528950009,3672,3672
1528951945,3472,3472
1528953853,3493,3493
1528955769,3506,3506
1528957708,3535,3535
1528959750,3537,3537
1528961773,3548,3548
1528963701,3560,3560
1528965632,3556,3556
1528967533,3530,3530
1528969469,3491,3491
1528971374,3437,3437
1528973308,3434,3434
1528975216,3417,3417
1528977133,3406,3406
1528979061,3427,3427
1528980980,3414,3414
1528982914,3420,3420
1528984895,3406,3406
1528986753,3371,3371
1528988663,3288,3288
1528990576,3259,3259
1528992537,3213,3213
1528994417,3173,3173
1528996342,3123,3123
1528998272,3040,3040
1529000184,2931,2931
1529002097,2743,2743
1529004028,2525,2525
1529005940,2304,2304
1529007854,2072,2072
1529009787,1848,1848
1529011856,1689,1689
1529013741,1681,1681
1529016829,1635,1635
1529018670,1619,1619
1529020573,1609,1609
1529022508,1570,1570
1529024500,1545,1545
1529026337,1507,1507
1529028281,1486,1486
1529030177,1528,1528
1529032100,1565,1565
1529034029,1542,1542
1529035944,1509,1509
1529037858,1493,1493
1529039791,1466,1466
1529041703,1463,1463
1529043633,1443,1443
1529045552,1419,1419
1529047468,1411,1411
1529049389,1335,1335
1529051303,1307,1307
1529053301,1286,1286
1529055155,1287,1287
1529057067,1286,1286
1529058978,1273,1273
1529060919,1309,1309
1529062817,1312,1312
1529065894,1299,1299
1529067857,1256,1256
1529069782,1263,1263
1529071711,1282,1282
1529073618,1290,1290
1529075549,1291,1291
1529077469,1280,1280
1529079377,1281,1281
1529081306,1276,1276
1529083232,1271,1271
1529085133,1343,1343
1529087078,1386,1386
1529088980,1393,1393
1529091781,1404,1404
1529093882,1534,1534
1529096013,1641,1641
1529097843,1762,1762
1529099863,1897,1897
1529101738,1926,1926
1529103759,1930,1930
1529105578,1957,1957
1529107458,1987,1987
1529109396,2021,2021
1529111321,2045,2045
1529113243,2068,2068
1529115148,2097,2097
1529117099,2033,2033
1529118986,2010,2010
1529120933,2039,2039
1529122832,2057,2057
1529124778,2058,2058
1529126657,2074,2074
1529128610,2066,2066
1529130756,2081,2081
1529132661,2123,2123
1529134586,2130,2130
1529136545,2153,2153
1529138420,2202,2202
1529140375,2216,2216
1529142291,2246,2246
1529144197,2275,2275
1529146099,2313,2313
1529148052,2303,2303
1529149942,2317,2317
1529151878,2345,2345
1529153796,2373,2373
1529155713,2384,2384
1529157697,2406,2406
1529159581,2406,2406
1529161464,2409,2409
1529163393,2453,2453
1529165336,2481,2481
1529167256,2514,2514
1529169140,2551,2551
1529171243,2519,2519
1529173224,2485,2485
1529175132,4000,4000
1529177054,4037,4037
1529178984,4045,4045
1529180894,4098,4098
1529182902,4710,4710
1529184749,4690,4690
1529186673,4615,4615
1529189075,4597,4597
1529190982,4604,4604
1529192903,4592,4592
1529194842,4575,4575
1529196733,4596,4596
1529198656,4604,4604
1529200610,4593,4593
1529202506,4585,4585
1529204500,4603,4603
1529206359,4599,4599
1529208266,4582,4582
1529210179,4595,4595
1529212118,4621,4621
1529214038,4634,4634
1529215942,4645,4645
1529217879,4664,4664
1529219782,4824,4824
1529221702,4819,4819
1529223637,4814,4814
1529225541,4791,4791
1529227470,4822,4822
1529229393,4797,4797
1529231303,4814,4814
1529233300,4806,4806
1529235157,4844,4844
1529237073,4829,4829
1529238981,4816,4816
1529240917,4848,4848
1529242820,4847,4847
1529244747,4851,4851
1529246681,4860,4860
1529248583,4873,4873
1529250500,4821,4821
1529252439,4825,4825
1529254345,4838,4838
1529256265,4793,4793
1529258202,4806,4806
1529260100,4656,4656
1529262094,3288,3288
1529263959,3254,3254
1529265877,3184,3184
1529267778,3057,3057
1529269717,2271,2271
1529271627,2209,2209
1529273702,2201,2201
1529275714,2178,2178
1529277609,2160,2160
1529279530,2154,2154
1529281467,2136,2136
1529283370,2087,2087
1529285291,2069,2069
1529287275,2046,2046
1529289137,2036,2036
1529291054,2013,2013
1529292983,1999,1999
1529294893,1986,1986
1529296810,1966,1966
1529298753,1934,1934
1529300653,1900,1900
1529302568,1870,1870
1529304504,1834,1834
1529306410,1631,1631
1529308327,1627,1627
1529310267,1597,1597
1529312168,1581,1581
1529314090,1627,1627
1529316079,1601,1601
1529317936,1572,1572
1529319852,1525,1525
1529321790,1478,1478
1529323691,1456,1456
1529325614,1456,1456
1529327556,1396,1396
1529329452,1370,1370
1529331384,1351,1351
1529333292,1356,1356
1529335223,1330,1330
1529337143,1298,1298
1529339056,1276,1276
1529340979,1235,1235
1529342894,1226,1226
1529344897,1206,1206
1529346740,1197,1197
1529348665,1185,1185
1529350573,1175,1175
1529352688,1174,1174
1529354653,1186,1186
1529356585,1189,1189
1529358553,1197,1197
1529360428,1206,1206
1529362588,1216,1216
1529364495,1220,1220
1529366559,1214,1214
1529368583,1212,1212
1529370506,1210,1210
1529372416,1213,1213
1529374357,1233,1233
1529376262,1233,1233
1529378184,1247,1247
1529380105,1238,1238
1529382031,1247,1247
1529383956,1233,1233
1529385869,1232,1232
1529387776,1228,1228
1529389699,1222,1222
1529391710,1229,1229
1529393561,1228,1228
1529395467,1219,1219
1529397385,1505,1505
1529399307,1478,1478
1529401253,1408,1408
1529403140,1415,1415
1529405067,1421,1421
1529406984,1418,1418
1529408900,4507,4507
1529410838,4513,4513
1529412748,4511,4511
1529414906,4518,4518
1529417789,4528,4528
1529419704,4495,4495
1529421766,4503,4503
1529423788,4511,4511
1529425695,4509,4509
1529427730,4701,4701
1529429554,4763,4763
1529431459,4774,4774
1529433373,4762,4762
1529435318,4769,4769
1529437214,4912,4912
1529439138,5004,5004
1529441070,5003,5003
1529442975,5006,5006
1529444893,5032,5032
1529446827,5052,5052
1529449027,5067,5067
1529450907,5093,5093
1529452852,5157,5157
1529454760,5195,5195
1529456666,5221,5221
1529458579,5256,5256
1529460519,5256,5256
1529462421,5248,5248
1529464343,5247,5247
1529466273,5249,5249
1529468180,5275,5275
1529470101,5295,5295
1529472031,5348,5348
1529473939,5367,5367
1529475972,5384,5384
1529477794,5402,5402
1529479714,5400,5400
1529481704,5407,5407
1529483563,5133,5133
1529485468,5154,5154
1529487382,5153,5153
1529489335,5163,5163
1529491229,5168,5168
1529493148,5162,5162
1529495079,2428,2428
1529496983,2056,2056
1529499151,2058,2058
1529501065,2060,2060
1529502996,2073,2073
1529504900,2079,2079
1529506893,2098,2098
1529508763,2101,2101
1529510939,2112,2112
1529512841,2128,2128
1529514756,1951,1951
1529516666,1894,1894
1529518606,1892,1892
1529520512,1896,1896
1529522441,1900,1900
1529524584,1717,1717
1529526504,1692,1692
1529528496,1700,1700
1529530372,1703,1703
1529532286,1676,1676
1529534205,1642,1642
1529536221,1642,1642
1529538037,1626,1626
1529539950,1592,1592
1529541869,1577,1577
1529543803,1560,1560
1529545705,1557,1557
1529547631,1557,1557
1529549722,1562,1562
1529551697,1562,1562
1529553716,1557,1557
1529555541,1541,1541
1529557462,1497,1497
1529559379,1480,1480
1529561300,1475,1475
1529563486,1491,1491
1529565391,1494,1494
1529567308,1510,1510
1529569241,1524,1524
1529571178,1535,1535
1529573083,1549,1549
1529574986,1542,1542
1529577163,1553,1553
1529579232,1575,1575
1529581217,1635,1635
1529583159,1658,1658
1529585061,1683,1683
1529587130,1693,1693
1529589141,1687,1687
1529591062,1677,1677
1529593005,1685,1685
1529594898,1682,1682
1529596900,1683,1683
1529598747,1687,1687
1529600923,1705,1705
1529602827,1711,1711
1529604751,1719,1719
1529606674,1734,1734
1529608596,1727,1727
1529610512,1692,1692
1529612439,1696,1696
1529614388,1703,1703
1529616273,1700,1700
1529618185,1832,1832
1529621736,2034,2034
1529623715,2031,2031
1529625735,2020,2020
1529627569,2028,2028
1529629473,2029,2029
1529631293,2041,2041
1529633331,2042,2042
1529635240,2040,2040
1529637150,2046,2046
1529639067,2075,2075
1529640996,2074,2074
1529642906,2072,2072
1529644842,2064,2064
1529646755,2083,2083
1529648663,2037,2037
1529650598,2038,2038
1529652766,2037,2037
1529654675,2035,2035
1529656583,2030,2030
1529658540,2011,2011
1529660685,1905,1905
1529662589,1887,1887
1529664519,1895,1895
1529666535,1889,1889
1529668360,1799,1799
1529670266,1798,1798
1529672192,1787,1787
1529674105,1763,1763
1529676105,1758,1758
1529677943,1753,1753
1529679968,1746,1746
1529681793,1745,1745
1529683724,1714,1714
1529685635,1713,1713
1529687562,1709,1709
1529689458,1702,1702
1529691399,1696,1696
1529693304,1687,1687
1529695232,1705,1705
1529697138,1701,1701
1529699093,1705,1705
1529700975,1761,1761
1529702914,1788,1788
1529704940,1644,1644
1529706744,1465,1465
1529708683,1447,1447
1529710578,1441,1441
1529712514,1435,1435
1529714418,1439,1439
1529716341,1440,1440
1529718272,1430,1430
1529720178,1428,1428
1529722118,1437,1437
1529724265,1433,1433
1529726182,1421,1421
1529728105,1422,1422
1529730107,1434,1434
1529731956,1424,1424
1529733899,1407,1407
1529735795,1410,1410
1529737714,1391,1391
1529739624,1382,1382
1529741551,1367,1367
1529743480,1348,1348
1529745385,1333,1333
1529747316,1308,1308
1529749222,1301,1301
1529751148,1286,1286
1529753073,1271,1271
1529755006,1288,1288
1529756905,1292,1292
1529758892,1300,1300
1529760743,1318,1318
1529762839,1322,1322
1529764830,1323,1323
1529766745,1338,1338
1529768672,1338,1338
1529770842,1347,1347
1529772747,1328,1328
1529774661,1319,1319
1529776600,1326,1326
1529778506,1326,1326
1529780499,1306,1306
1529782348,1298,1298
1529784273,1296,1296
1529786442,1287,1287
1529788354,1237,1237
1529790262,1231,1231
1529792195,1230,1230
1529794708,1228,1228
1529796516,1230,1230
1529798495,1224,1224
1529800364,1248,1248
1529802265,1255,1255
1529804193,1250,1250
1529806107,1253,1253
1529808038,1243,1243
1529809963,1239,1239
1529811868,1229,1229
1529813800,1247,1247
1529815699,1244,1244
1529817636,1238,1238
1529819558,1246,1246
1529821475,1260,1260
1529823378,1259,1259
1529825315,1263,1263
1529827295,1277,1277
1529829161,1289,1289
1529831071,2915,2915
1529833008,2932,2932
1529834904,2939,2939
1529836839,2942,2942
1529838754,2937,2937
1529840660,2930,2930
1529842595,2913,2913
1529844403,2910,2910
1529846433,2876,2876
1529848346,2875,2875
1529850277,2870,2870
