DateTime,AddedIPs,RemovedIPs
1528950010,24,8
1528951946,17,5
1528953854,17,8
1528955770,21,12
1528957709,35,12
1528959751,12,10
1528961774,25,15
1528963701,23,14
1528965633,21,14
1528967534,5,11
1528969470,6,12
1528971375,6,45
1528973309,7,13
1528975217,12,15
1528977133,7,21
1528979062,16,10
1528980981,12,15
1528982915,12,10
1528984896,8,16
1528986754,7,18
1528988664,10,71
1528990577,12,31
1528992537,10,36
1528994418,7,21
1528996343,11,40
1528998273,8,27
1529000185,3,26
1529002098,10,30
1529004029,3,30
1529005941,3,21
1529007855,4,9
1529009788,9,13
1529011857,4,13
1529013742,6,19
1529016830,14,40
1529018671,3,14
1529020574,4,10
1529022509,2,18
1529024501,6,23
1529026338,1,18
1529028281,10,17
1529030178,5,5
1529032101,4,16
1529034030,9,24
1529035945,4,25
1529037859,7,20
1529039792,10,16
1529041704,6,17
1529043634,16,29
1529045553,8,18
1529047469,10,17
1529049390,2,25
1529051304,9,25
1529053302,3,11
1529055156,6,3
1529057068,10,4
1529058979,6,7
1529060920,43,8
1529062818,17,9
1529065894,18,16
1529067857,14,48
1529069783,16,12
1529071712,20,9
1529073619,11,9
1529075550,7,9
1529077470,10,12
1529079377,15,9
1529081307,10,8
1529083233,8,11
1529085134,56,5
1529087079,41,6
1529088981,10,6
1529091782,15,5
1529093883,17,4
1529096014,8,8
1529097843,7,4
1529099864,20,5
1529101739,41,7
1529103760,7,9
1529105578,12,3
1529107459,24,3
1529109397,38,4
1529111322,15,5
1529113243,23,1
1529115149,45,8
1529117099,12,6
1529118987,18,4
1529120933,44,10
1529122833,10,2
1529124779,15,9
1529126658,21,8
1529128611,15,10
1529130757,22,13
1529132661,49,12
1529134586,8,2
1529136546,14,7
1529138421,54,3
1529140376,25,7
1529142292,32,5
1529144198,30,14
1529146099,48,8
1529148053,39,41
1529149943,28,15
1529151879,47,17
1529153797,27,9
1529155714,23,15
1529157698,49,21
1529159582,13,12
1529161465,10,6
1529163394,48,13
1529165337,31,14
1529167257,25,12
1529169141,34,3
1529171244,31,34
1529173225,16,68
1529175133,10,10
1529177055,10,6
1529178985,8,12
1529180895,33,15
1529182903,574,7
1529184750,8,8
1529186674,8,20
1529189076,29,40
1529190982,23,8
1529192904,12,15
1529194843,13,31
1529196734,38,22
1529198657,30,17
1529200611,12,39
1529202507,14,27
1529204501,34,16
1529206360,17,25
1529208267,16,33
1529210180,26,9
1529212119,39,23
1529214039,14,13
1529215943,19,13
1529217880,50,35
1529219783,179,31
1529221703,10,8
1529223638,12,26
1529225542,11,46
1529227471,47,22
1529229394,17,44
1529231304,21,20
1529233301,38,58
1529235158,42,20
1529237074,9,32
1529238982,14,42
1529240918,22,24
1529242821,34,29
1529244748,21,35
1529246682,20,11
1529248584,42,16
1529250501,12,59
1529252440,16,18
1529254346,48,22
1529256266,8,52
1529258203,22,11
1529260101,31,18
1529262095,17,6
1529263960,9,11
1529265878,14,11
1529267779,14,39
1529269718,3,570
1529271628,4,10
1529273704,4,7
1529275715,8,32
1529277610,4,21
1529279531,7,10
1529281468,6,18
1529283370,5,43
1529285292,3,19
1529287291,3,17
1529289138,8,14
1529291055,12,34
1529292984,6,17
1529294894,5,13
1529296811,5,28
1529298754,10,39
1529300654,5,17
1529302569,3,20
1529304504,9,45
1529306411,4,188
1529308328,9,7
1529310268,5,15
1529312168,1,13
1529314091,6,51
1529316095,11,11
1529317936,8,20
1529319852,11,40
1529321791,10,38
1529323692,4,16
1529325615,12,11
1529327557,7,26
1529329453,11,29
1529331385,8,23
1529333292,3,22
1529335224,7,37
1529337144,3,17
1529339057,6,18
1529340979,8,43
1529342895,11,11
1529344898,13,23
1529346741,7,38
1529348666,9,14
1529350574,3,12
1529352689,7,18
1529354654,8,12
1529356586,9,4
1529358554,10,6
1529360429,6,3
1529362588,8,4
1529364495,10,4
1529366560,3,11
1529368583,10,4
1529370507,8,5
1529372416,2,3
1529374358,12,3
1529376263,6,11
1529378185,8,6
1529380106,7,9
1529382032,6,3
1529383957,5,8
1529385870,7,9
1529387777,8,4
1529389700,1,5
1529391711,6,6
1529393561,7,13
1529395468,6,12
1529397386,5,3
1529399308,12,4
1529401254,13,13
1529403141,16,11
1529405067,8,8
1529406985,12,13
1529408900,17,8
1529410839,12,5
1529412749,8,11
1529414907,10,6
1529417789,23,14
1529419705,8,5
1529421767,5,6
1529423788,8,3
1529425695,8,8
1529427731,5,7
1529429555,6,9
1529431460,9,7
1529433373,7,6
1529435318,7,8
1529437215,7,6
1529439139,8,5
1529441071,6,8
1529442976,7,4
1529444894,35,10
1529446827,31,8
1529449028,24,8
1529450908,7,6
1529452853,14,3
1529454761,30,5
1529456666,25,6
1529458580,35,2
1529460520,5,9
1529462422,4,6
1529464344,4,9
1529466274,6,6
1529468181,11,4
1529470102,10,7
1529472032,8,5
1529473940,7,8
1529475973,6,6
1529477795,10,5
1529479715,8,7
1529481704,10,4
1529483564,4,8
1529485469,9,9
1529487383,11,14
1529489336,6,16
1529491230,7,7
1529493149,10,15
1529495080,15,23
1529496984,5,22
1529499152,18,14
1529501066,16,9
1529502997,28,10
1529504901,16,10
1529506895,18,9
1529508764,18,4
1529510940,16,11
1529512842,15,9
1529514757,5,3
1529516667,8,7
1529518607,9,14
1529520513,15,6
1529522442,12,6
1529524586,55,12
1529526505,9,8
1529528497,10,4
1529530373,10,11
1529532287,4,39
1529534206,11,34
1529536222,15,13
1529538038,15,5
1529539952,14,22
1529541870,15,30
1529543804,13,32
1529545706,10,17
1529547632,7,4
1529549724,14,4
1529551698,6,7
1529553717,6,5
1529555542,7,10
1529557463,17,12
1529559381,10,5
1529561301,19,8
1529563488,9,9
1529565392,12,9
1529567309,22,7
1529569242,15,6
1529571180,13,7
1529573084,23,8
1529574987,17,12
1529577164,15,6
1529579233,19,10
1529581218,22,10
1529583160,14,9
1529585062,9,10
1529587132,17,21
1529589143,9,26
1529591063,9,23
1529593007,18,19
1529594900,10,14
1529596901,7,12
1529598749,8,19
1529600924,7,8
1529602829,4,7
1529604753,11,5
1529606676,12,11
1529608597,3,9
1529610513,4,48
1529612440,3,3
1529614389,5,4
1529616275,5,3
1529618186,4,7
1529621737,18,11
1529623716,7,11
1529625736,3,7
1529627570,8,7
1529629475,6,5
1529631294,0,5
1529633333,5,12
1529635242,4,5
1529637151,6,7
1529639069,4,5
1529640998,2,4
1529642907,3,6
1529644843,3,10
1529646756,11,8
1529648664,11,11
1529650599,10,7
1529652767,19,13
1529654676,5,15
1529656584,13,11
1529658541,17,18
1529660686,16,116
1529662590,9,18
1529664520,23,11
1529666536,25,26
1529668361,4,19
1529670267,10,10
1529672194,9,13
1529674106,8,20
1529676107,10,11
1529677944,8,8
1529679970,8,17
1529681795,11,12
1529683725,2,8
1529685636,13,8
1529687563,8,6
1529689460,14,7
1529691400,14,13
1529693305,17,10
1529695234,12,4
1529697140,13,4
