DateTime,AddedIPs,RemovedIPs
1528821874,2,1
1528823778,121,1
1528825711,1,1
1528827631,1,1
1528831459,2,0
1528835293,3,0
1528837111,1,0
1528840949,0,1
1528842972,0,1
1528844899,1,0
1528846832,0,2
1528848735,1,1
1528850668,2,1
1528852571,1,0
1528854492,0,4
1528856426,1,1
1528860254,2,2
1528862186,3,2
1528864094,0,3
1528866108,1,0
1528867955,1,1
1528869871,0,3
1528871778,5,0
1528873725,3,1
1528875622,1,2
1528877543,0,2
1528879473,0,1
1528881386,3,1
1528883298,2,3
1528885234,1,0
1528887146,2,1
1528889059,1,1
1528890992,1,2
1528892902,1,1
1528894904,1,2
1528896759,1,1
1528900577,1,0
1528902507,1,2
1528904423,2,0
1528906356,1,0
1528908266,0,1
1528910184,0,222
1528912115,0,1
1528914017,0,1
1528915958,5,0
1528918915,0,3
1528922662,0,4
1528926500,2,0
1528931674,4,1
1528933475,6,0
1528935398,2,1
1528937431,4,3
1528939235,1,0
1528941144,2,0
1528943062,2,1
1528946186,2,2
1528948091,1,2
1528950011,2,1
1528951946,0,1
1528953854,2,1
1528955771,1,0
1528957709,3,1
1528959751,0,4
1528961775,2,2
1528963702,1,1
1528965634,2,0
1528967535,0,2
1528969470,3,3
1528971376,1,2
1528973309,1,2
1528975218,1,0
1528977134,1,1
1528979063,1,1
1528980981,1,1
1528982916,0,1
1528984896,1,0
1528986755,1,1
1528988664,1,1
1528990577,0,2
1528992538,1,2
1528994419,1,0
1528996343,1,0
1528998274,2,0
1529000186,2,0
1529002099,1,3
1529004029,0,1
1529005941,1,0
1529009788,1,1
1529011858,4,2
1529013743,2,0
1529016830,0,3
1529018671,1,1
1529020574,1,5
1529022510,2,4
1529024502,1,4
1529026338,2,0
1529028282,2,3
1529030178,3,2
1529032102,0,1
1529035946,1,2
1529037859,4,1
1529039793,2,2
1529041704,1,0
1529043634,0,1
1529045554,0,3
1529047470,1,2
1529049391,4,1
1529051304,0,1
1529053302,1,1
1529055156,0,2
1529057069,0,1
1529058979,0,2
1529060920,0,1
1529062818,1,2
1529065895,1,1
1529067858,1,1
1529069784,1,1
1529071713,1,0
1529073620,2,2
1529075550,2,1
1529077470,2,1
1529079378,2,1
1529081307,1,1
1529083233,0,1
1529085134,1,2
1529087079,0,1
1529088982,1,1
1529091783,1,1
1529096015,0,1
1529097844,2,3
1529099864,0,2
1529101740,1,0
1529103761,1,0
1529107460,1,1
1529109398,0,2
1529111323,0,1
1529113244,1,2
1529115150,0,2
1529117100,1,3
1529120934,1,0
1529122834,0,2
1529124779,0,3
1529126659,1,2
1529128611,2,1
1529130757,3,0
1529132662,2,0
1529134587,2,2
1529136546,2,1
1529138421,0,1
1529140376,0,1
1529142292,1,0
1529146100,0,1
1529148053,0,1
1529149943,2,0
1529151880,1,0
1529153797,2,2
1529155715,2,0
1529157699,1,3
1529159582,1,1
1529161466,1,2
1529163394,0,3
1529165338,2,2
1529167258,1,0
1529169141,1,2
1529173225,1,0
1529175133,251,1
1529178986,0,1
1529182903,1,0
1529184750,0,2
1529189076,1,0
1529190983,0,2
1529192905,0,1
1529198658,1,0
1529200611,1,1
1529202508,0,1
1529206361,2,1
1529210181,1,0
1529214039,0,1
1529215944,0,4
1529217881,1,0
1529219783,1,4
1529223639,0,1
1529225542,0,1
1529227471,3,0
1529229395,1,0
1529231305,1,2
1529235159,1,2
1529237074,1,3
1529238983,2,0
1529240918,2,2
1529242822,1,2
1529244749,0,2
1529246682,2,1
1529250502,0,1
1529252440,0,2
1529256266,3,1
1529258204,1,0
1529260101,0,112
1529262095,1,140
1529263961,1,0
1529269719,0,1
1529271629,1,0
1529273705,1,0
1529277610,1,0
1529279532,1,0
1529281469,1,0
1529285292,1,0
1529287293,3,0
1529289138,1,0
1529291056,0,1
1529292984,0,2
1529294895,1,1
1529302569,1,0
1529304505,0,1
1529306411,1,2
1529308329,2,0
1529310269,2,0
1529312169,3,0
1529314092,0,3
1529316096,2,1
1529317937,0,1
1529319853,2,1
1529321791,3,0
1529323692,2,1
1529325615,1,2
1529327557,0,1
1529331385,1,1
1529333293,0,1
1529335224,2,0
1529337145,1,0
1529342895,1,3
1529344899,1,1
1529346742,1,0
1529348667,2,1
1529350574,0,1
1529352689,1,0
1529354654,1,0
1529356587,1,0
1529360429,0,1
1529362589,0,1
1529364496,2,1
1529368584,1,1
1529370507,5,1
1529372417,4,1
1529374359,2,1
1529376264,3,1
1529378186,2,0
1529380107,3,0
1529382033,2,1
1529383957,1,0
1529387778,3,1
1529389701,0,1
1529391711,1,0
1529393562,2,1
1529395469,2,2
1529397387,0,4
1529399308,1,1
1529401254,0,1
1529403142,1,1
1529405068,3,0
1529406985,0,1
1529408901,1,4
1529410840,1,0
1529412750,3,1
1529414908,1,0
1529416874,1,1
1529418768,0,1
1529420670,2,1
1529422574,4,1
1529424533,0,1
1529426417,1,0
1529428340,1,0
1529430274,1,1
1529432177,0,1
1529434112,0,4
1529436026,0,1
1529439857,2,1
1529443701,0,2
1529450176,1,0
1529452112,1,1
1529455949,1,5
1529457857,2,2
1529459787,2,3
1529461692,0,2
1529463695,3,4
1529465555,0,3
1529467460,3,2
1529469373,0,3
1529471314,1,0
1529473217,2,2
1529475141,5,1
1529476951,2,1
1529478976,1,1
1529480778,1,2
1529482583,3,3
1529484498,4,0
1529486432,1,1
1529488340,0,1
1529492193,1,2
1529496073,0,1
1529497957,0,2
1529499863,3,2
1529502020,0,1
1529503940,1,1
1529507785,1,4
1529509708,1,2
1529513551,0,1
1529515456,1,0
1529517663,0,1
1529521478,1,0
1529523707,2,0
1529525556,2,1
1529527461,0,1
1529529405,1,0
1529531298,2,1
1529533240,1,0
1529536223,2,1
1529538039,0,1
