DateTime,AddedIPs,RemovedIPs
1528486880,0,2
1528488751,1,1
1528490662,0,4
1528492601,0,1
1528494506,1,0
1528496442,0,1
1528498507,1,2
1528500515,1,0
1528502533,0,7
1528506273,1,0
1528513946,1,0
1528515893,1,1
1528517790,1,0
1528519707,1,0
1528521642,0,1
1528525478,1,3
1528527402,2,3
1528529302,0,1
1528531298,1,1
1528533176,0,3
1528535074,0,2
1528538911,1,0
1528540832,2,2
1528542764,0,3
1528544692,3,7
1528546602,3,0
1528548512,2,0
1528550428,0,1
1528552382,1,1
1528554284,1,1
1528556201,2,1
1528560106,1,0
1528563882,1,1
1528567712,1,1
1528569621,3,0
1528571542,0,4
1528575380,0,1
1528581159,1,0
1528583081,1,0
1528586028,1,0
1528587880,1,1
1528589817,2,0
1528593660,2,1
1528595566,1,0
1528597498,1,0
1528599396,0,1
1528601326,1,0
1528603310,1,2
1528605190,0,1
1528609043,2,1
1528610939,1,0
1528612883,1,2
1528614765,1,1
1528616701,1,1
1528620534,1,0
1528622460,1,0
1528624367,1,0
1528626272,1,1
1528628219,0,2
1528630101,0,1
1528632109,2,2
1528633959,3,0
1528635891,2,1
1528637790,0,1
1528639995,1,1
1528641874,0,2
1528643894,0,3
1528645725,2,0
1528647648,0,2
1528649563,1,0
1528651484,0,1
1528653397,0,1
1528655360,4,2
1528657306,1,1
1528659173,2,1
1528666382,1,1
1528668674,2,1
1528670579,0,1
1528672488,2,0
1528674414,0,1
1528676342,1,2
1528678233,3,0
1528680172,2,2
1528682086,1,1
1528684003,2,1
1528685934,1,0
1528689699,0,1
1528691648,2,0
1528695288,0,1
1528697332,2,2
1528699220,1,1
1528701145,1,1
1528703077,1,1
1528704976,2,0
1528707163,1,2
1528710975,0,1
1528712913,1,1
1528714894,1,0
1528716749,3,0
1528718685,0,3
1528720578,0,2
1528724416,1,1
1528726348,0,1
1528728267,1,0
1528732205,0,1
1528734468,1,1
1528742707,2,0
1528746429,1,1
1528748418,1,0
1528750334,2,0
1528754191,1,1
1528756101,2,2
1528760055,0,1
1528763776,0,2
1528767626,1,3
1528769541,0,1
1528771471,0,2
1528773372,2,1
1528775296,1,1
1528777234,1,1
1528779141,0,2
1528781060,2,0
1528782993,1,2
1528784902,4,2
1528786907,1,1
1528788755,0,1
1528790662,0,1
1528792576,1,1
1528794524,1,0
1528796420,1,1
1528798343,1,1
1528804102,0,3
1528806060,1,0
1528807937,1,0
1528809857,1,0
1528811791,0,1
1528813699,0,2
1528819895,0,1
1528823779,0,1
1528825711,1,0
1528827632,1,0
1528829535,0,4
1528831459,1,0
1528833390,0,1
1528835293,0,1
1528837111,0,3
1528838913,1,0
1528842972,1,1
1528846832,2,1
1528848735,1,0
1528852571,3,0
1528854492,0,1
1528856426,1,0
1528858349,1,1
1528862186,0,2
1528864094,1,0
1528866108,2,0
1528867956,1,3
1528869871,2,2
1528871778,1,5
1528873725,7,0
1528875622,1,0
1528877543,1,0
1528879473,2,0
1528881387,0,1
1528883299,2,2
1528885234,1,0
1528887146,2,0
1528889059,0,1
1528892902,1,2
1528894904,0,1
1528912115,0,1
1528914017,0,1
1528918915,0,1
1528924593,1,0
1528931674,2,1
1528933476,1,1
1528937431,1,1
1528939235,0,2
1528943062,0,2
1528946186,1,2
1528948091,4,0
1528950011,0,1
1528953855,1,2
1528955771,2,3
1528959752,0,9
1528961775,0,1
1528963702,0,1
1528965634,0,3
1528967535,1,0
1528969471,2,2
1528971376,0,1
1528973310,1,1
1528975218,2,0
1528977134,1,0
1528980982,0,2
1528982916,1,0
1528986755,1,0
1528992538,1,0
1528996344,1,0
1528998274,1,0
1529000186,1,0
1529002099,1,1
1529009788,1,0
1529011858,5,1
1529013743,1,0
1529016831,0,1
1529018672,2,3
1529020574,2,0
1529022510,0,1
1529028282,1,0
1529032102,2,1
1529034031,3,4
1529035946,2,0
1529039793,1,0
1529041705,1,1
1529043635,2,0
1529047470,1,0
1529053302,1,0
1529055157,2,2
1529057069,1,0
1529060921,0,2
1529062819,0,2
1529065895,1,0
1529069784,0,1
1529071713,0,1
1529073620,1,1
1529081307,0,1
1529083234,0,2
1529087079,0,1
1529088982,0,2
1529097844,0,5
1529099865,0,1
1529101740,1,0
1529103761,1,0
1529105579,0,2
1529107460,0,1
1529109398,0,1
1529111323,1,0
1529115150,1,1
1529117100,1,2
1529118988,0,2
1529120934,0,2
1529122834,0,2
1529126659,0,2
1529130757,0,2
1529132662,1,1
1529134587,2,0
1529136546,14,0
1529142293,0,2
1529144198,0,1
1529148054,2,0
1529151880,1,1
1529153797,1,1
1529155715,2,0
1529159583,0,1
1529167258,1,0
1529175133,1,0
1529178986,1,0
1529182903,2,0
1529189077,1,0
1529190983,0,1
1529192905,1,0
1529194844,2,0
1529196734,1,0
1529198658,1,1
1529200612,0,1
1529202508,0,1
1529204501,0,1
1529206361,1,0
1529215944,1,0
1529217881,0,2
1529219783,1,0
1529221703,0,13
1529223640,0,2
1529225543,0,1
1529231305,1,0
1529233301,0,1
1529235159,1,1
1529237075,1,0
1529238983,0,1
1529240919,0,1
1529242822,1,2
1529252441,1,0
1529254347,0,1
1529256267,2,0
1529263961,0,1
1529265878,1,1
1529269719,0,2
1529273705,0,1
1529277611,1,0
1529279532,0,1
1529281469,1,1
1529283371,0,1
1529285293,1,1
1529287293,1,0
1529291056,1,1
1529292985,6,1
1529294895,1,0
1529296812,1,1
1529298755,1,0
1529306411,0,1
1529308329,1,0
1529310269,1,0
1529316096,6,0
1529317937,0,1
1529319853,1,0
1529323693,1,1
1529329454,0,1
1529331385,2,0
1529340980,1,0
1529342895,0,2
1529346742,1,0
1529352690,0,1
1529356587,1,0
1529360430,1,0
1529362589,0,1
1529366560,0,1
1529372417,0,1
1529374359,0,1
1529376264,0,1
1529378186,0,5
1529380107,0,2
1529383958,3,1
1529385871,1,2
1529387778,2,0
1529395469,0,2
1529397387,3,0
1529403142,1,6
1529406985,0,1
1529408901,2,2
1529412750,1,0
1529418768,0,1
1529424534,2,0
1529426417,0,1
1529428341,2,0
1529434112,0,1
1529452112,4,0
1529454025,2,0
1529459787,2,0
1529463700,1,0
1529467461,1,1
1529469374,0,1
1529471314,0,3
1529473217,0,2
1529475141,1,1
1529476951,1,0
1529482583,1,0
1529484499,1,2
1529490259,1,1
1529494094,1,0
1529496089,0,2
1529499863,0,1
1529507785,0,1
1529511617,1,1
1529513551,0,2
1529520514,1,0
1529524586,1,0
1529530374,0,1
1529532288,1,0
1529538039,0,1
1529539952,1,5
1529541871,1,1
1529543806,1,0
1529545707,0,2
1529547633,1,0
1529549725,1,1
1529553718,0,1
1529561302,0,1
1529563489,1,1
1529565394,1,0
1529567310,1,0
1529569243,1,1
1529571181,0,1
1529573086,1,0
1529574988,1,0
1529577165,0,1
1529581219,0,1
1529583161,1,0
1529585063,0,1
1529591065,1,0
1529593008,1,0
1529596903,1,1
1529600925,1,0
1529602830,1,0
1529604754,2,0
1529606677,0,1
1529608598,6,0
1529612442,1,1
1529616276,1,0
1529621738,10,1
1529623717,2,0
1529627571,1,2
1529629476,2,0
1529631296,1,1
1529633334,1,0
1529635243,1,1
1529637152,1,1
1529640999,1,0
1529644845,1,0
1529648666,0,1
1529650601,2,0
1529652768,0,1
1529656585,0,1
1529658542,1,0
1529660687,0,2
1529662591,1,0
1529666537,1,0
1529668363,0,1
1529677945,1,1
1529679971,0,1
1529683726,1,1
1529687564,0,1
1529689461,1,1
1529691401,0,2
1529693306,1,0
1529695235,0,6
1529697141,3,0
1529699095,1,1
1529702916,0,1
1529706746,0,1
1529708684,0,11
1529710580,2,0
1529714420,0,1
1529716344,0,1
1529718275,0,1
1529720180,1,0
1529722120,0,1
1529724268,1,1
1529726185,1,0
1529728108,0,1
1529731958,0,1
1529735797,0,1
1529737717,0,1
1529741553,0,1
1529743482,2,0
1529745387,0,1
1529749224,0,1
1529751150,2,0
1529753077,2,1
1529758894,1,0
1529762841,1,0
1529764832,1,1
1529770844,1,1
1529774663,1,0
1529776603,1,1
1529782350,8,1
1529784275,0,1
1529786445,1,1
1529790264,6,0
1529792198,0,1
1529794710,1,2
1529796518,0,1
1529800367,0,1
1529802267,1,0
1529806109,1,1
1529808040,1,0
1529809965,0,1
1529811870,0,1
1529813802,1,0
1529815701,1,0
1529817640,2,0
1529819561,1,0
1529821477,1,0
1529823380,0,1
1529829163,1,2
1529833010,1,0
1529834906,1,0
1529836841,0,2
1529838756,0,1
1529840663,2,1
1529844405,1,0
1529846435,2,1
1529848349,1,1
1529850279,0,1
1529857966,1,1
1529862284,3,0
1529864216,2,1
1529866099,1,0
1529868034,0,8
1529871819,0,1
1529875697,1,2
1529877719,0,4
1529879542,0,1
1529887236,1,0
1529889146,0,1
1529891064,2,0
1529894899,3,0
1529896828,0,1
1529898751,1,0
1529900671,1,2
1529902580,1,0
1529904507,0,2
1529906513,2,1
1529910281,2,0
1529914126,2,0
1529916024,0,1
1529917947,1,0
1529919878,3,1
1529921788,0,1
