DateTime,AddedIPs,RemovedIPs
1528211081,1,0
1528213502,0,1
1528217315,1,1
1528219220,0,1
1528229017,2,0
1528232913,1,0
1528234821,1,0
1528238662,2,2
1528244428,1,0
1528250188,1,0
1528252097,1,0
1528254111,1,0
1528256036,0,1
1528263623,0,1
1528269628,1,0
1528273472,1,1
1528279300,0,1
1528281161,1,2
1528283082,1,0
1528285002,0,1
1528288828,1,0
1528290763,2,1
1528296507,0,1
1528300343,1,0
1528302280,1,1
1528304182,1,1
1528306279,1,0
1528311721,1,0
1528320509,1,1
1528324429,1,0
1528326790,0,0
1528331835,1,0
1528335446,1,0
1528337319,18,1
1528339243,0,1
1528343191,1,1
1528345011,1,0
1528346911,0,1
1528350769,1,0
1528352978,0,4
1528354907,1,1
1528358675,1,0
1528360580,1,1
1528362506,1,0
1528366343,1,1
1528370187,1,1
1528374032,1,1
1528377859,0,2
1528379781,1,0
1528381641,1,0
1528385564,2,0
1528387470,1,1
1528389391,1,1
1528391324,1,1
1528393230,0,1
1528398984,0,1
1528411115,0,2
1528413141,1,0
1528415087,9,0
1528418901,1,1
1528420834,1,0
1528422762,0,9
1528424670,1,10
1528426637,1,0
1528428509,1,0
1528430515,0,1
1528432347,0,1
1528436075,1,0
1528438099,1,1
1528440025,1,1
1528445777,0,2
1528447712,1,1
1528451456,2,1
1528453463,1,0
1528455371,1,0
1528457299,1,1
1528459302,1,0
1528461143,0,1
1528465161,2,1
1528467063,2,1
1528469278,0,1
1528471216,1,0
1528473155,0,2
1528475057,0,2
1528476974,5,1
1528478893,2,0
1528480905,1,0
1528484661,2,0
1528486881,1,0
1528490663,1,0
1528492602,2,0
1528494507,2,0
1528498509,2,1
1528500517,0,1
1528502535,0,7
1528504365,0,1
1528506275,0,1
1528512026,0,1
1528513947,1,2
1528519708,1,0
1528521643,1,1
1528525479,3,2
1528529303,1,0
1528533178,4,1
1528538913,1,1
1528540834,1,1
1528542765,0,1
1528546604,1,0
1528550429,1,2
1528552384,0,1
1528554285,2,1
1528556202,1,0
1528558107,0,1
1528560108,0,1
1528561968,1,0
1528563884,0,6
1528565808,1,5
1528569623,0,1
1528571543,0,1
1528573462,1,1
1528575381,2,0
1528577312,2,1
1528579222,0,2
1528581160,0,2
1528583082,1,0
1528586030,0,2
1528587882,1,0
1528597500,1,0
1528601327,0,1
1528603311,6,0
1528605191,1,1
1528607082,1,0
1528609044,0,1
1528610941,0,1
1528612885,0,2
1528620536,0,3
1528626274,1,1
1528632111,0,1
1528633961,2,0
1528637792,0,1
1528639998,1,1
1528641876,1,3
1528643896,1,0
1528647650,0,1
1528651487,0,1
1528653399,0,1
1528659175,0,1
1528661075,1,0
1528663131,0,3
1528668676,1,2
1528672489,1,0
1528674416,0,1
1528680173,12,0
1528684005,0,1
1528689700,1,7
1528691650,1,1
1528693466,0,1
1528699222,1,0
1528707164,1,0
1528709066,1,0
1528712915,0,1
1528714896,1,0
1528720580,0,2
1528724418,3,0
1528726349,0,1
1528728269,0,1
1528730194,1,1
1528734469,2,0
1528736593,1,0
1528746430,1,1
1528752265,1,0
1528754192,3,0
1528756103,1,1
1528758117,0,1
1528761875,2,0
1528763778,2,0
1528765714,2,0
1528767628,2,12
1528769542,2,0
1528773374,2,0
1528775298,1,0
1528779142,1,1
1528781061,1,0
1528782994,0,1
1528786908,1,0
1528788757,1,0
1528792577,1,0
1528794526,0,1
1528796421,0,1
1528800278,2,1
1528804104,1,0
1528806061,1,0
1528807938,1,0
1528809859,3,1
1528811793,0,3
1528813701,2,0
1528817564,0,1
1528819897,0,1
1528821876,0,2
1528825713,2,0
1528831461,1,0
1528835295,1,0
1528838915,0,2
1528840950,0,2
1528842973,0,1
1528848736,0,2
1528850669,0,4
1528852572,1,0
1528854494,0,2
1528856428,0,1
1528858350,1,0
1528860256,0,2
1528862187,0,1
1528864095,0,1
1528866109,1,2
1528867957,1,0
1528873727,0,1
1528875623,1,1
1528879475,2,2
1528881388,3,0
1528885236,0,1
1528887148,4,1
1528889061,0,1
1528890994,1,1
1528892905,3,0
1528894906,1,1
1528896761,0,3
1528900579,0,2
1528902509,3,0
1528904425,1,0
1528908268,2,0
1528910186,2,0
1528912117,0,2
1528914019,1,0
1528918917,0,1
1528922663,3,1
1528924594,1,0
1528928440,1,0
1528931675,1,0
1528933477,1,0
1528935400,1,0
1528939236,2,1
1528943064,3,0
1528948092,1,0
1528950013,1,0
1528953856,1,0
1528955772,1,1
1528963704,22,0
1528965636,1,2
1528967537,1,1
1528969473,1,0
1528973311,1,2
1528977136,1,0
1528979065,0,2
1528980983,4,0
1528984898,0,1
1528988666,0,2
1528990579,0,1
1528994421,0,1
1528996345,0,1
1529000188,1,1
1529004031,1,0
1529007857,1,11
1529009790,4,1
1529011859,0,1
1529016832,2,3
1529020575,0,2
1529022511,1,0
1529024504,0,1
1529026340,0,1
1529028283,2,3
1529032103,2,0
1529035947,1,2
1529039794,1,1
1529043636,0,1
1529047471,1,0
1529049392,0,24
1529051308,1,1
1529053304,0,1
1529055158,1,1
1529057071,1,0
1529058981,0,1
1529060922,1,0
1529062820,1,1
1529065897,0,1
1529067860,0,3
1529069786,1,0
1529071714,1,0
1529077472,1,0
1529083235,1,0
1529085136,1,0
1529087081,1,1
1529091785,0,1
1529093885,0,1
1529096016,0,4
1529101741,0,1
1529109399,1,1
1529111324,3,0
1529115152,0,2
1529118990,0,2
1529120936,0,1
1529124781,1,0
1529126661,0,1
1529130759,1,0
1529134589,0,1
1529138423,0,1
1529142294,0,1
1529144200,0,1
1529146102,1,0
1529148055,0,1
1529151882,1,0
1529159584,0,2
1529163396,1,1
1529169143,0,1
1529171246,0,1
1529189079,1,0
1529190985,3,0
1529196736,0,3
1529198660,2,0
1529200613,1,0
1529204503,1,0
1529208270,0,1
1529210182,2,1
1529212122,2,1
1529215945,1,0
1529217882,0,1
1529225544,1,0
1529229396,1,0
1529233303,0,1
1529235160,1,2
1529237076,2,0
1529240920,2,0
1529244750,1,0
1529246684,1,0
1529248586,0,1
1529250503,1,1
1529254348,2,0
1529262097,1,0
1529263962,1,0
1529267781,1,0
1529269721,3,0
1529273711,0,1
1529277612,0,3
1529281470,2,0
1529285294,0,2
1529287294,0,1
1529289139,0,1
1529296813,0,3
1529298756,0,1
1529302571,1,1
1529304506,1,0
1529312170,0,1
1529316097,1,1
1529319854,2,0
1529321793,1,2
1529323694,0,1
1529327559,0,2
1529331387,0,2
1529337146,0,1
1529339059,0,1
1529340981,0,1
1529346743,1,1
1529350575,0,1
1529354655,0,4
1529358555,1,0
1529366562,1,2
1529368586,1,0
1529372419,1,0
1529376266,1,0
1529385872,1,0
1529387780,1,0
1529389704,0,1
1529391714,1,1
1529399310,1,0
1529401256,0,1
1529403144,1,0
1529406987,0,3
1529432178,0,1
1529439858,1,0
1529441787,1,0
1529443702,0,1
1529445704,4,0
1529450177,1,0
1529452114,0,1
1529454027,1,0
1529455951,0,1
1529459788,0,1
1529461694,0,1
1529467462,1,0
1529471315,1,0
1529473218,0,2
1529478978,0,1
1529486434,0,1
1529488342,1,1
1529502022,1,0
1529503942,1,0
1529507787,1,0
1529509710,1,0
1529513553,1,0
1529515459,1,0
1529517691,2,0
1529527462,0,2
1529531299,1,0
1529533241,0,1
1529538042,1,0
1529539955,2,0
1529545709,3,0
1529547635,1,0
1529549727,1,0
1529553720,2,0
1529555546,3,0
1529557466,0,1
1529559384,0,1
1529561305,0,4
1529567312,1,0
1529569246,1,0
1529571185,1,0
1529574990,0,1
1529577168,1,0
1529581222,1,0
1529583164,1,0
1529585066,2,0
1529587135,0,1
1529591067,1,1
1529594903,0,2
1529596905,1,1
1529598752,1,0
1529600928,0,2
1529602832,0,2
1529604757,1,0
1529606680,4,0
1529610517,1,0
1529616279,2,1
1529623720,0,1
1529627574,0,1
1529633336,0,2
1529639072,1,1
1529641001,0,6
1529642910,0,1
1529644847,1,0
1529646759,0,1
1529660689,0,1
1529666539,2,0
1529670270,1,0
1529672196,0,1
1529676110,2,1
1529677947,1,0
1529683728,0,1
1529691404,0,1
1529693308,0,4
1529697143,0,1
1529700980,1,0
1529702918,0,1
1529704944,1,0
1529708687,1,0
1529726186,0,1
1529730110,1,0
1529731960,0,9
1529753080,0,2
1529755010,1,0
1529756909,0,1
1529758896,1,0
1529760747,1,2
1529764834,0,1
1529774665,2,0
1529784278,1,0
1529788358,0,1
1529790266,1,0
1529796520,0,1
1529811872,1,0
1529815703,1,1
1529819562,2,0
1529823382,1,0
1529827299,1,0
1529833011,1,0
1529838757,1,0
1529844407,1,2
1529846438,1,1
1529852182,1,0
1529854116,1,0
1529857969,2,0
1529860132,0,1
1529862287,0,1
1529864218,2,0
1529866101,1,0
1529868036,0,1
1529869967,0,1
1529871820,2,0
1529873779,1,0
1529875698,0,1
1529892982,3,0
1529896830,1,0
1529898753,0,1
1529902582,1,1
1529904509,1,0
1529906515,0,2
1529910283,0,1
1529914128,0,1
1529916026,1,0
1529917949,0,1
