DateTime,Entries,UniqueIPs
1528950013,689,689
1528951948,468,468
1528953856,487,487
1528955772,485,485
1528957711,482,482
1528959753,477,477
1528961776,496,496
1528963705,505,505
1528965636,502,502
1528967537,494,494
1528969473,495,495
1528971378,493,493
1528973312,495,495
1528975220,495,495
1528977136,491,491
1528979065,495,495
1528980984,496,496
1528982918,495,495
1528984899,491,491
1528986758,473,473
1528988666,464,464
1528990579,462,462
1528992540,454,454
1528994421,442,442
1528996346,435,435
1528998276,436,436
1529000188,416,416
1529002101,390,390
1529004032,392,392
1529005943,391,391
1529007858,362,362
1529009790,360,360
1529011860,333,333
1529013746,337,337
1529016832,330,330
1529018673,327,327
1529020576,328,328
1529022511,303,303
1529024504,299,299
1529026340,295,295
1529028284,286,286
1529030180,288,288
1529032103,267,267
1529034032,260,260
1529035948,257,257
1529037861,254,254
1529039795,234,234
1529041706,232,232
1529043636,228,228
1529045555,224,224
1529047472,220,220
1529049392,188,188
1529051308,187,187
1529053304,183,183
1529055159,178,178
1529057071,177,177
1529058981,175,175
1529060923,180,180
1529062821,180,180
1529065897,183,183
1529067860,183,183
1529069786,188,188
1529071714,197,197
1529073622,198,198
1529075552,201,201
1529077472,202,202
1529079379,208,208
1529081309,206,206
1529083235,204,204
1529085136,205,205
1529087081,208,208
1529088983,209,209
1529091785,207,207
1529093885,211,211
1529096016,209,209
1529097845,215,215
1529099866,212,212
1529101741,216,216
1529103762,221,221
1529105580,232,232
1529107461,228,228
1529109399,228,228
1529111324,230,230
1529113245,232,232
1529115152,237,237
1529117102,245,245
1529118990,245,245
1529120936,250,250
1529122836,260,260
1529124781,262,262
1529126661,262,262
1529128613,268,268
1529130759,274,274
1529132664,285,285
1529134589,290,290
1529136548,295,295
1529138423,301,301
1529140378,307,307
1529142294,312,312
1529144200,314,314
1529146102,315,315
1529148055,313,313
1529149945,313,313
1529151882,314,314
1529153799,319,319
1529155717,317,317
1529157701,310,310
1529159584,311,311
1529161468,310,310
1529163396,312,312
1529165340,316,316
1529167260,321,321
1529169144,324,324
1529171247,320,320
1529173228,323,323
1529175135,322,322
1529177057,323,323
1529178988,318,318
1529180897,364,364
1529182905,366,366
1529184752,365,365
1529186677,368,368
1529189079,359,359
1529190985,355,355
1529192907,354,354
1529194846,360,360
1529196736,355,355
1529198660,349,349
1529200613,357,357
1529202511,357,357
1529204503,352,352
1529206363,355,355
1529208270,357,357
1529210183,351,351
1529212122,351,351
1529214041,359,359
1529215946,360,360
1529217883,361,361
1529219785,365,365
1529221705,358,358
1529223642,360,360
1529225544,356,356
1529227473,350,350
1529229396,355,355
1529231306,362,362
1529233303,359,359
1529235160,362,362
1529237076,359,359
1529238985,364,364
1529240920,356,356
1529242824,354,354
1529244750,358,358
1529246684,355,355
1529248586,351,351
1529250503,349,349
1529252443,349,349
1529254349,347,347
1529256268,350,350
1529258205,349,349
1529260103,350,350
1529262097,356,356
1529263962,353,353
1529265880,310,310
1529267781,308,308
1529269721,304,304
1529271631,303,303
1529273712,300,300
1529275717,303,303
1529277613,304,304
1529279534,301,301
1529281471,298,298
1529283373,300,300
1529285294,301,301
1529287295,295,295
1529289140,291,291
1529291058,289,289
1529292986,279,279
1529294897,275,275
1529296813,275,275
1529298756,273,273
1529300657,263,263
1529302571,259,259
1529304507,260,260
1529306413,254,254
1529308331,253,253
1529310270,249,249
1529312170,249,249
1529314093,347,347
1529316097,334,334
1529317939,327,327
1529319854,325,325
1529321794,319,319
1529323695,316,316
1529325618,313,313
1529327559,310,310
1529329456,303,303
1529331387,303,303
1529333295,303,303
1529335226,305,305
1529337146,296,296
1529339059,291,291
1529340982,286,286
1529342896,278,278
1529344901,274,274
1529346743,271,271
1529348668,266,266
1529350576,263,263
1529352691,263,263
1529354656,263,263
1529356588,264,264
1529358556,266,266
1529360431,266,266
1529362591,266,266
1529364498,263,263
1529366562,263,263
1529368586,264,264
1529370509,265,265
1529372419,265,265
1529374361,266,266
1529376266,268,268
1529378188,275,275
1529380109,274,274
1529382035,277,277
1529383960,277,277
1529385873,279,279
1529387780,273,273
1529389705,270,270
1529391714,268,268
1529393564,267,267
1529395471,268,268
1529397389,545,545
1529399310,518,518
1529401257,446,446
1529403144,450,450
1529405070,450,450
1529406988,445,445
1529408903,449,449
1529410842,453,453
1529412752,452,452
1529414910,450,450
1529416896,458,458
1529418770,456,456
1529420672,453,453
1529422576,451,451
1529424536,447,447
1529426419,450,450
1529428343,651,651
1529430277,650,650
1529432179,650,650
1529434113,649,649
1529436028,653,653
1529437937,655,655
1529439859,651,651
1529441787,653,653
1529443703,656,656
1529445704,653,653
1529448265,653,653
1529450178,655,655
1529452114,655,655
1529454027,662,662
1529455951,663,663
1529457858,664,664
1529459789,665,665
1529461694,664,664
1529463704,662,662
1529465556,660,660
1529467462,664,664
1529469375,667,667
1529471315,667,667
1529473218,664,664
1529475143,667,667
1529476953,670,670
1529478978,667,667
1529480780,672,672
1529482586,679,679
1529484501,404,404
1529486435,408,408
1529488342,412,412
1529490261,418,418
1529492195,426,426
1529494097,428,428
1529496105,426,426
1529497960,434,434
1529499865,436,436
1529502023,437,437
1529503942,439,439
1529505885,443,443
1529507787,443,443
1529509711,444,444
1529511620,448,448
1529513554,357,357
1529515459,256,256
1529517693,262,262
1529519562,264,264
1529521480,262,262
1529523709,262,262
1529525557,262,262
1529527462,260,260
1529529406,260,260
1529531299,255,255
1529533241,256,256
1529536226,254,254
1529538042,270,270
1529539955,268,268
1529541874,265,265
1529543808,264,264
1529545710,266,266
1529547636,266,266
1529549728,264,264
1529551702,267,267
1529553720,263,263
1529555546,258,258
1529557467,261,261
1529559384,257,257
1529561306,256,256
1529563493,254,254
1529565397,253,253
1529567313,246,246
1529569246,245,245
1529571185,236,236
1529573088,225,225
1529574990,197,197
1529577168,191,191
1529579237,186,186
1529581222,186,186
1529583164,180,180
1529585066,180,180
1529587136,183,183
1529589146,183,183
1529591068,181,181
1529593011,181,181
1529594904,179,179
1529596905,174,174
1529598753,171,171
1529600928,172,172
