DateTime,AddedIPs,RemovedIPs
1528612887,1,1
1528618589,1,1
1528620538,2,0
1528626276,0,2
1528628223,0,1
1528630105,1,1
1528632113,1,3
1528633963,2,2
1528635895,0,1
1528637794,1,0
1528640000,1,1
1528641878,0,1
1528643898,0,1
1528645729,1,0
1528647652,0,3
1528649566,1,0
1528651489,2,0
1528657309,1,0
1528659177,0,1
1528661077,0,1
1528663133,2,1
1528666385,1,2
1528668678,1,0
1528670582,0,2
1528672491,0,1
1528676345,1,2
1528678237,1,0
1528680175,1,0
1528684007,0,1
1528687849,1,0
1528689702,1,0
1528691652,2,0
1528699224,0,1
1528701148,2,0
1528703081,1,0
1528704979,0,1
1528707166,0,1
1528710978,2,0
1528714898,1,0
1528716752,0,1
1528718689,0,1
1528720582,2,1
1528722527,1,0
1528724420,2,1
1528726351,0,1
1528730196,1,0
1528734471,2,0
1528736594,0,1
1528738617,0,2
1528740618,1,1
1528742710,0,1
1528744601,1,0
1528746432,1,0
1528748421,2,1
1528750338,0,2
1528752267,0,1
1528754194,1,0
1528756105,0,1
1528758119,1,0
1528760059,1,0
1528761877,1,0
1528763779,0,2
1528765715,1,1
1528773375,1,1
1528775299,1,1
1528777236,0,1
1528779144,0,1
1528782995,1,0
1528786910,1,1
1528788758,1,2
1528792579,1,0
1528798346,1,2
1528800280,1,0
1528802180,0,1
1528804105,1,0
1528806063,2,1
1528807939,2,0
1528809860,0,2
1528811794,1,0
1528817566,2,0
1528819898,0,1
1528821877,2,1
1528823782,2,0
1528825715,1,0
1528827636,1,2
1528831462,0,2
1528833393,0,1
1528835296,1,1
1528838916,1,1
1528840951,2,1
1528842974,1,0
1528844901,0,1
1528846834,1,1
1528848737,1,1
1528850671,0,1
1528852573,1,0
1528860257,1,1
1528862188,2,0
1528864096,1,0
1528866111,1,0
1528869874,0,1
1528873728,0,1
1528875624,0,1
1528879476,2,1
1528881390,2,0
1528885237,0,2
1528887149,0,1
1528889062,2,0
1528890996,1,1
1528892906,1,2
1528894907,0,1
1528896762,0,1
1528898670,1,1
1528900580,2,0
1528904426,0,2
1528906359,2,0
1528908269,0,1
1528910187,0,3
1528914020,0,1
1528920756,0,1
1528924596,0,1
1528926503,0,2
1528928441,0,2
1528931677,1,1
1528935402,1,1
1528939238,2,1
1528941147,1,0
1528943065,2,0
1528946189,0,1
1528948094,0,2
1528950014,0,1
1528951949,1,0
1528953857,0,1
1528959754,1,0
1528965637,1,1
1528967538,0,1
1528969474,0,2
1528971379,1,0
1528975222,2,2
1528977138,0,1
1528980985,0,1
1528982919,2,0
1528984900,0,1
1528986759,0,1
1528988668,2,1
1528990581,3,0
1528992541,0,1
1528994422,1,0
1528996347,2,0
1528998277,2,0
1529002102,1,0
1529004033,1,0
1529007859,1,0
1529016833,3,1
1529018674,1,0
1529020577,2,0
1529022512,0,1
1529024506,0,2
1529026341,1,3
1529028285,2,0
1529030181,1,0
1529032105,1,0
1529037862,1,1
1529043637,2,0
1529045556,1,1
1529051309,0,1
1529053306,0,3
1529057072,0,1
1529060924,1,1
1529067861,1,1
1529069787,1,0
1529071715,1,0
1529073623,1,0
1529075553,0,2
1529077473,2,3
1529079380,1,0
1529081310,0,1
1529083236,0,3
1529085137,0,1
1529087082,0,1
1529088985,0,1
1529091786,3,1
1529093887,0,1
1529096017,2,0
1529097847,1,0
1529099867,1,0
1529101742,0,2
1529103763,0,2
1529105581,1,0
1529107462,4,2
1529111326,3,0
1529113246,0,1
1529115153,1,3
1529118991,0,1
1529126662,1,1
1529128614,1,0
1529130760,0,2
1529132665,1,0
1529136549,2,0
1529148056,0,1
1529151883,3,0
1529153800,0,1
1529155718,0,1
1529157702,1,1
1529159585,2,1
1529163397,2,1
1529165340,0,2
1529167261,1,0
1529169144,2,0
1529171247,1,0
1529173229,2,0
1529177058,1,2
1529178988,1,1
1529180898,1,1
1529182906,2,1
1529184753,0,1
1529186678,1,1
1529190986,2,0
1529192907,0,4
1529194847,0,1
1529196737,1,3
1529198661,1,0
1529202511,0,1
1529204504,1,1
1529206364,1,0
1529210184,1,0
1529212123,2,1
1529214042,1,1
1529219786,0,1
1529221706,1,1
1529223642,2,1
1529225545,1,0
1529227474,2,0
1529238986,0,3
1529240922,4,0
1529242825,1,1
1529244751,0,1
1529246685,2,0
1529248588,1,1
1529250504,0,1
1529252444,3,0
1529254350,0,1
1529256269,1,2
1529258207,1,1
1529260104,1,2
1529262098,2,2
1529263963,0,1
1529265881,1,0
1529267782,1,2
1529269722,0,1
1529271632,1,0
1529273714,0,1
1529275718,0,1
1529277614,0,1
1529283374,0,1
1529285296,2,1
1529287296,4,0
1529291059,3,0
1529292987,0,1
1529294898,2,0
1529296814,0,1
1529298757,1,2
1529300658,0,2
1529304508,1,0
1529308332,0,1
1529310273,0,2
1529312172,0,1
1529314094,3,2
1529317940,2,0
1529319855,1,0
1529323696,3,0
1529325619,2,2
1529327561,0,2
1529329457,6,1
