DateTime,AddedIPs,RemovedIPs
1528950014,52,39
1528951948,42,34
1528953857,53,20
1528955773,36,25
1528957712,30,20
1528959754,41,29
1528961777,45,64
1528963705,56,32
1528965637,44,28
1528967538,56,52
1528969474,218,29
1528971379,209,22
1528973312,148,25
1528975221,119,38
1528977137,108,26
1528979066,108,48
1528980984,70,31
1528982919,61,23
1528984899,59,30
1528986758,45,25
1528988667,43,96
1528990580,100,891
1528992541,53,29
1528994422,41,35
1528996346,40,36
1528998277,57,32
1529000189,41,44
1529002102,37,53
1529004032,23,64
1529005944,42,52
1529007858,53,73
1529009791,58,37
1529011861,39,42
1529013746,33,53
1529016833,49,117
1529018674,34,100
1529020576,44,148
1529022512,35,220
1529024505,50,40
1529026341,30,36
1529028284,35,29
1529030180,36,26
1529032104,28,39
1529034033,25,31
1529035948,35,27
1529037862,87,56
1529039795,139,48
1529041707,32,33
1529043637,35,33
1529045556,27,27
1529047472,31,48
1529049393,22,49
1529051309,58,65
1529053305,50,39
1529055159,26,35
1529057072,28,51
1529058982,34,50
1529060923,52,46
1529062821,27,80
1529065898,40,127
1529067861,37,52
1529069787,44,55
1529071715,34,47
1529073622,31,50
1529075553,32,47
1529077473,103,101
1529079380,37,58
1529081309,43,36
1529083236,44,56
1529085137,22,48
1529087082,41,93
1529088984,48,43
1529091786,44,54
1529093886,39,58
1529096017,56,64
1529097846,42,25
1529099867,29,36
1529101742,43,27
1529103763,27,30
1529105581,24,35
1529107462,25,55
1529109400,43,34
1529111325,29,47
1529113246,49,43
1529115152,50,42
1529117103,33,47
1529118990,68,30
1529120937,35,33
1529122836,33,62
1529124782,33,119
1529126661,20,87
1529128613,53,39
1529130760,32,42
1529132664,35,37
1529134589,15,40
1529136549,342,50
1529138424,1689,47
1529140379,443,57
1529142295,30,35
1529144201,29,22
1529146102,32,42
1529148056,77,44
1529149946,88,28
1529151882,73,33
1529153800,57,32
1529155717,51,39
1529157702,47,36
1529159585,55,36
1529161468,40,39
1529163397,56,117
1529165340,40,42
1529167260,41,42
1529169144,55,43
1529171247,45,40
1529173229,36,39
1529175136,51,50
1529177058,33,27
1529178988,31,37
1529180897,37,44
1529182905,59,58
1529184753,169,37
1529186677,151,32
1529189079,58,38
1529190985,85,22
1529192907,28,24
1529194846,35,41
1529196737,44,32
1529198660,30,37
1529200614,40,42
1529202511,67,55
1529204504,23,64
1529206363,27,36
1529208270,24,27
1529210183,31,31
1529212123,36,37
1529214042,25,25
1529215946,33,55
1529217883,29,23
1529219786,15,39
1529221705,44,18
1529223642,28,1043
1529225545,1904,1396
1529227473,2074,38
1529229397,1843,31
1529231307,61,27
1529233303,36,34
1529235161,83,37
1529237077,40,32
1529238985,27,41
1529240921,52,45
1529242824,37,34
1529244751,45,41
1529246685,40,39
1529248587,55,49
1529250504,81,47
1529252443,131,40
1529254349,26,42
1529256269,43,43
1529258206,47,49
1529260104,33,59
1529262097,66,49
1529263963,30,45
1529265880,41,36
1529267782,29,34
1529269722,37,70
1529271632,42,178
1529273713,131,133
1529275718,27,27
1529277613,30,81
1529279535,78,36
1529281471,38,28
1529283374,31,47
1529285295,59,27
1529287296,56,54
1529289141,60,58
1529291059,35,27
1529292987,64,37
1529294898,45,24
1529296814,34,49
1529298757,62,33
1529300658,46,18
1529302572,42,42
1529304507,69,31
1529306413,41,28
1529308332,40,26
1529310272,74,30
1529312171,39,2061
1529314094,44,1906
1529316098,142,1624
1529317939,168,110
1529319855,32,36
1529321794,23,75
1529323695,87,36
1529325619,54,31
1529327560,29,53
1529329457,80,38
1529331388,39,44
1529333295,56,41
1529335226,38,59
1529337147,39,127
1529339060,28,94
1529340982,69,47
1529342897,49,47
1529344901,54,54
1529346744,40,36
1529348669,39,65
1529350576,41,43
1529352692,53,44
1529354656,28,40
1529356589,36,46
1529358556,57,98
1529360432,35,81
1529362592,89,55
1529364498,26,37
1529366563,21,101
1529368586,93,64
1529370510,21,56
1529372419,38,87
1529374362,51,86
1529376267,45,64
1529378189,52,62
1529380110,36,93
1529382036,35,66
1529383960,33,58
1529385873,25,85
1529387781,24,69
1529389705,33,75
1529391714,43,65
1529393565,61,52
1529395472,92,70
1529397389,76,66
1529399311,52,54
1529401257,46,68
1529403145,59,206
1529405071,120,102
1529406988,92,37
1529408904,50,37
1529410843,210,95
1529412753,261,56
1529414911,151,51
1529416897,114,119
1529418771,129,48
1529420673,149,49
1529422576,102,47
1529424537,74,40
1529426420,66,47
1529428343,194,89
1529430277,1682,45
1529432179,686,45
1529434114,53,56
1529436030,41,39
1529437937,40,39
1529439860,45,48
1529441788,45,34
1529443703,33,29
1529445705,42,43
1529448266,87,94
1529450178,108,33
1529452115,26,17
1529454028,17,78
1529455952,83,29
1529457859,25,36
1529459790,32,54
1529461695,38,38
1529463705,180,56
1529465557,49,43
1529467463,31,36
1529469376,28,32
1529471316,28,31
1529473219,21,24
1529475144,89,29
1529476954,51,21
1529478979,79,30
1529480781,53,39
1529482587,59,47
1529484502,116,53
1529486436,81,41
1529488343,73,46
1529490262,36,54
1529492196,51,150
1529494097,40,45
1529496106,36,74
1529497961,59,113
1529499866,94,47
1529502023,133,76
1529503943,132,69
1529505886,148,66
1529507788,91,106
1529509712,41,69
1529511621,33,51
1529513555,39,61
1529515460,48,709
1529517695,79,1562
1529519563,61,63
1529521480,54,51
1529523709,42,72
1529525558,35,72
1529527463,97,73
1529529407,80,52
1529531300,27,36
1529533242,48,51
1529536227,77,157
1529538043,35,39
1529539956,46,33
1529541875,34,77
1529543809,48,32
1529545711,29,33
1529547637,30,41
1529549728,38,181
1529551703,36,153
1529553721,30,48
1529555547,30,32
1529557468,30,36
1529559385,28,37
1529561307,31,53
1529563494,6066,48
1529565398,6424,46
1529567314,2586,45
1529569248,60,50
1529571187,72,141
1529573090,66,54
1529574991,17,88
1529577169,26,46
1529579238,76,46
1529581224,36,48
1529583165,33,66
1529585068,93,48
1529587137,40,118
1529589148,58,136
1529591069,31,140
1529593012,81,165
1529594905,57,65
1529596907,53,40
1529598754,60,46
1529600930,56,60
1529602834,44,42
1529604758,47,57
1529606681,54,49
1529608603,52,39
1529610519,38,21
1529612446,37,58
1529614394,53,129
1529616281,72,41
1529618192,60,47
1529621742,278,109
1529623721,54,36
1529625741,24,37
1529627575,34,48
1529629480,46,43
1529631300,42,45
1529633338,47,39
1529635248,40,31
1529637157,34,40
1529639074,24,39
1529641002,30,38
1529642912,33,35
1529644848,47,31
1529646761,26,29
1529648669,36,952
1529650604,23,7386
1529652771,49,6795
1529654680,41,32
1529656588,26,86
1529658545,40,113
1529660690,58,41
1529662593,33,30
1529664523,53,82
1529666540,39,64
1529668365,38,37
1529670271,32,64
1529672198,32,103
1529674110,46,52
1529676111,79,72
1529677948,39,45
1529679974,31,91
1529681799,36,42
1529683729,31,61
1529685642,53,56
1529687568,47,57
1529689464,46,56
1529691405,49,44
1529693310,52,39
1529695238,116,59
1529697145,199,43
1529699099,86,37
1529700981,90,59
1529702919,77,68
1529704945,76,69
1529706749,46,51
1529708688,26,272
1529710583,51,20
1529712520,36,23
1529714423,33,29
1529716347,46,44
1529718278,39,54
1529720183,43,48
1529722123,28,39
1529724270,37,41
1529726187,37,36
1529728110,30,38
1529730112,34,48
1529731961,47,40
1529733903,41,48
1529735799,36,44
1529737719,33,25
1529739630,41,41
1529741556,26,36
1529743485,23,37
1529745390,55,40
1529747321,52,62
1529749227,53,37
1529751153,33,57
1529753081,29,49
