DateTime,Entries,UniqueIPs
1528950014,3945,3945
1528951948,3953,3953
1528953857,3986,3986
1528955773,3997,3997
1528957712,4007,4007
1528959754,4019,4019
1528961777,4000,4000
1528963705,4024,4024
1528965637,4040,4040
1528967538,4044,4044
1528969474,4233,4233
1528971379,4420,4420
1528973312,4543,4543
1528975221,4624,4624
1528977137,4706,4706
1528979066,4766,4766
1528980984,4805,4805
1528982919,4843,4843
1528984899,4872,4872
1528986758,4892,4892
1528988667,4839,4839
1528990580,4048,4048
1528992541,4072,4072
1528994422,4078,4078
1528996346,4082,4082
1528998277,4107,4107
1529000189,4104,4104
1529002102,4088,4088
1529004032,4047,4047
1529005944,4037,4037
1529007858,4017,4017
1529009791,4038,4038
1529011861,4035,4035
1529013746,4015,4015
1529016833,3947,3947
1529018674,3881,3881
1529020576,3777,3777
1529022512,3592,3592
1529024505,3602,3602
1529026341,3596,3596
1529028284,3602,3602
1529030180,3612,3612
1529032104,3601,3601
1529034033,3595,3595
1529035948,3603,3603
1529037862,3634,3634
1529039795,3725,3725
1529041707,3724,3724
1529043637,3726,3726
1529045556,3726,3726
1529047472,3709,3709
1529049393,3682,3682
1529051309,3675,3675
1529053305,3686,3686
1529055159,3677,3677
1529057072,3654,3654
1529058982,3638,3638
1529060923,3644,3644
1529062821,3591,3591
1529065898,3504,3504
1529067861,3489,3489
1529069787,3478,3478
1529071715,3465,3465
1529073622,3446,3446
1529075553,3431,3431
1529077473,3433,3433
1529079380,3412,3412
1529081309,3419,3419
1529083236,3407,3407
1529085137,3381,3381
1529087082,3329,3329
1529088984,3334,3334
1529091786,3324,3324
1529093886,3305,3305
1529096017,3297,3297
1529097846,3314,3314
1529099867,3307,3307
1529101742,3323,3323
1529103763,3320,3320
1529105581,3309,3309
1529107462,3279,3279
1529109400,3288,3288
1529111325,3270,3270
1529113246,3276,3276
1529115152,3284,3284
1529117103,3270,3270
1529118990,3308,3308
1529120937,3310,3310
1529122836,3281,3281
1529124782,3195,3195
1529126661,3128,3128
1529128613,3142,3142
1529130760,3132,3132
1529132664,3130,3130
1529134589,3105,3105
1529136549,3397,3397
1529138424,5039,5039
1529140379,5425,5425
1529142295,5420,5420
1529144201,5427,5427
1529146102,5417,5417
1529148056,5450,5450
1529149946,5510,5510
1529151882,5550,5550
1529153800,5575,5575
1529155717,5587,5587
1529157702,5598,5598
1529159585,5617,5617
1529161468,5618,5618
1529163397,5557,5557
1529165340,5555,5555
1529167260,5554,5554
1529169144,5566,5566
1529171247,5571,5571
1529173229,5568,5568
1529175136,5569,5569
1529177058,5575,5575
1529178988,5569,5569
1529180897,5562,5562
1529182905,5563,5563
1529184753,5695,5695
1529186677,5814,5814
1529189079,5834,5834
1529190985,5897,5897
1529192907,5901,5901
1529194846,5895,5895
1529196737,5907,5907
1529198660,5900,5900
1529200614,5898,5898
1529202511,5910,5910
1529204504,5869,5869
1529206363,5860,5860
1529208270,5857,5857
1529210183,5857,5857
1529212123,5856,5856
1529214042,5856,5856
1529215946,5834,5834
1529217883,5840,5840
1529219786,5816,5816
1529221705,5842,5842
1529223642,4827,4827
1529225545,5335,5335
1529227473,7371,7371
1529229397,9183,9183
1529231307,9217,9217
1529233303,9219,9219
1529235161,9265,9265
1529237077,9273,9273
1529238985,9259,9259
1529240921,9266,9266
1529242824,9269,9269
1529244751,9273,9273
1529246685,9274,9274
1529248587,9280,9280
1529250504,9314,9314
1529252443,9405,9405
1529254349,9389,9389
1529256269,9389,9389
1529258206,9387,9387
1529260104,9361,9361
1529262097,9378,9378
1529263963,9363,9363
1529265880,9368,9368
1529267782,9363,9363
1529269722,9330,9330
1529271632,9194,9194
1529273713,9192,9192
1529275718,9192,9192
1529277613,9141,9141
1529279535,9183,9183
1529281471,9193,9193
1529283374,9177,9177
1529285295,9209,9209
1529287296,9211,9211
1529289141,9213,9213
1529291059,9221,9221
1529292987,9248,9248
1529294898,9269,9269
1529296814,9254,9254
1529298757,9283,9283
1529300658,9311,9311
1529302572,9311,9311
1529304507,9349,9349
1529306413,9362,9362
1529308332,9376,9376
1529310272,9420,9420
1529312171,7398,7398
1529314094,5536,5536
1529316098,4054,4054
1529317939,4112,4112
1529319855,4108,4108
1529321794,4056,4056
1529323695,4107,4107
1529325619,4130,4130
1529327560,4106,4106
1529329457,4148,4148
1529331388,4143,4143
1529333295,4158,4158
1529335226,4137,4137
1529337147,4049,4049
1529339060,3983,3983
1529340982,4005,4005
1529342897,4007,4007
1529344901,4007,4007
1529346744,4011,4011
1529348669,3985,3985
1529350576,3983,3983
1529352692,3992,3992
1529354656,3980,3980
1529356589,3970,3970
1529358556,3929,3929
1529360432,3883,3883
1529362592,3917,3917
1529364498,3906,3906
1529366563,3826,3826
1529368586,3855,3855
1529370510,3820,3820
1529372419,3771,3771
1529374362,3736,3736
1529376267,3717,3717
1529378189,3707,3707
1529380110,3650,3650
1529382036,3619,3619
1529383960,3594,3594
1529385873,3534,3534
1529387781,3489,3489
1529389705,3447,3447
1529391714,3425,3425
1529393565,3434,3434
1529395472,3456,3456
1529397389,3466,3466
1529399311,3464,3464
1529401257,3442,3442
1529403145,3295,3295
1529405071,3313,3313
1529406988,3368,3368
1529408904,3381,3381
1529410843,3496,3496
1529412753,3701,3701
1529414911,3801,3801
1529416897,3796,3796
1529418771,3877,3877
1529420673,3977,3977
1529422576,4032,4032
1529424537,4066,4066
1529426420,4085,4085
1529428343,4190,4190
1529430277,5827,5827
1529432179,6468,6468
1529434114,6465,6465
1529436030,6467,6467
1529437937,6468,6468
1529439860,6465,6465
1529441788,6476,6476
1529443703,6480,6480
1529445705,6479,6479
1529448266,6472,6472
1529450178,6547,6547
1529452115,6556,6556
1529454028,6495,6495
1529455952,6549,6549
1529457859,6538,6538
1529459790,6516,6516
1529461695,6516,6516
1529463705,6640,6640
1529465557,6646,6646
1529467463,6641,6641
1529469376,6637,6637
1529471316,6634,6634
1529473219,6631,6631
1529475144,6691,6691
1529476954,6721,6721
1529478979,6770,6770
1529480781,6784,6784
1529482587,6796,6796
1529484502,6859,6859
1529486436,6899,6899
1529488343,6926,6926
1529490262,6908,6908
1529492196,6809,6809
1529494097,6804,6804
1529496106,6766,6766
1529497961,6712,6712
1529499866,6759,6759
1529502023,6816,6816
1529503943,6879,6879
1529505886,6961,6961
1529507788,6946,6946
1529509712,6918,6918
1529511621,6900,6900
1529513555,6878,6878
1529515460,6217,6217
1529517695,4734,4734
1529519563,4732,4732
1529521480,4735,4735
1529523709,4705,4705
1529525558,4668,4668
1529527463,4692,4692
1529529407,4720,4720
1529531300,4711,4711
1529533242,4708,4708
1529536227,4628,4628
1529538043,4624,4624
1529539956,4637,4637
1529541875,4594,4594
1529543809,4610,4610
1529545711,4606,4606
1529547637,4595,4595
1529549728,4452,4452
1529551703,4335,4335
1529553721,4317,4317
1529555547,4315,4315
1529557468,4309,4309
1529559385,4300,4300
1529561307,4278,4278
1529563494,10296,10296
1529565398,16674,16674
1529567314,19215,19215
1529569248,19225,19225
1529571187,19156,19156
1529573090,19168,19168
1529574991,19097,19097
1529577169,19077,19077
1529579238,19107,19107
1529581224,19095,19095
1529583165,19062,19062
1529585068,19107,19107
1529587137,19029,19029
1529589148,18951,18951
1529591069,18842,18842
1529593012,18758,18758
1529594905,18750,18750
1529596907,18763,18763
1529598754,18777,18777
1529600930,18773,18773
1529602834,18775,18775
1529604758,18765,18765
1529606681,18770,18770
1529608603,18783,18783
1529610519,18800,18800
1529612446,18779,18779
1529614394,18703,18703
1529616281,18734,18734
1529618192,18747,18747
1529621742,18916,18916
1529623721,18934,18934
1529625741,18921,18921
1529627575,18907,18907
1529629480,18910,18910
1529631300,18907,18907
1529633338,18915,18915
1529635248,18924,18924
1529637157,18918,18918
1529639074,18903,18903
1529641002,18895,18895
1529642912,18893,18893
1529644848,18909,18909
1529646761,18906,18906
1529648669,17990,17990
1529650604,10627,10627
1529652771,3881,3881
1529654680,3890,3890
1529656588,3830,3830
1529658545,3757,3757
1529660690,3774,3774
1529662593,3777,3777
1529664523,3748,3748
1529666540,3723,3723
1529668365,3724,3724
1529670271,3692,3692
1529672198,3621,3621
1529674110,3615,3615
1529676111,3622,3622
1529677948,3616,3616
1529679974,3556,3556
1529681799,3550,3550
1529683729,3520,3520
1529685642,3517,3517
1529687568,3507,3507
1529689464,3497,3497
1529691405,3502,3502
1529693310,3515,3515
1529695238,3572,3572
1529697145,3728,3728
1529699099,3777,3777
1529700981,3808,3808
1529702919,3817,3817
1529704945,3824,3824
1529706749,3819,3819
1529708688,3573,3573
1529710583,3604,3604
1529712520,3617,3617
1529714423,3621,3621
1529716347,3623,3623
1529718278,3608,3608
1529720183,3603,3603
1529722123,3592,3592
1529724270,3588,3588
1529726187,3589,3589
1529728110,3581,3581
1529730112,3567,3567
1529731961,3574,3574
1529733903,3567,3567
1529735799,3559,3559
1529737719,3567,3567
1529739630,3567,3567
1529741556,3557,3557
1529743485,3543,3543
1529745390,3558,3558
1529747321,3548,3548
1529749227,3564,3564
1529751153,3540,3540
1529753081,3520,3520
1529755011,3511,3511
1529756911,4140,4140
1529758897,4123,4123
1529760748,3995,3995
1529762844,3950,3950
1529764835,3969,3969
1529766750,3968,3968
1529768677,3948,3948
1529770847,3935,3935
1529772752,3934,3934
1529774666,3922,3922
1529776606,3978,3978
1529778513,4001,4001
1529780504,4005,4005
1529782355,3989,3989
1529784279,3979,3979
1529786448,3956,3956
1529788359,3951,3951
1529790268,3936,3936
1529792200,3925,3925
1529794713,3941,3941
1529796521,3933,3933
1529798525,3942,3942
1529800370,3942,3942
1529802269,3932,3932
1529804198,3921,3921
1529806113,3915,3915
1529808043,3924,3924
1529809968,3929,3929
1529811873,3939,3939
1529813805,3945,3945
1529815704,3944,3944
1529817643,3931,3931
1529819564,3929,3929
1529821479,3930,3930
1529823383,3925,3925
1529825319,3913,3913
1529827300,3909,3909
1529829166,3931,3931
1529831075,3980,3980
1529833013,3932,3932
1529834909,3987,3987
1529836844,3987,3987
1529838758,4036,4036
1529840665,4032,4032
1529842599,3316,3316
1529844408,3324,3324
1529846439,3305,3305
1529848352,3291,3291
1529850283,3261,3261
1529852184,3248,3248
1529854118,3238,3238
1529856098,3239,3239
1529857970,3207,3207
1529860133,3178,3178
1529862288,3156,3156
1529864220,3159,3159
1529866103,3154,3154
1529868037,3164,3164
1529869968,3170,3170
1529871822,3171,3171
1529873780,3180,3180
1529875699,3172,3172
1529877721,3149,3149
1529879544,3163,3163
1529881478,3325,3325
1529883400,3467,3467
1529885329,3554,3554
1529887240,3774,3774
1529889149,5754,5754
1529891068,7760,7760
1529892984,8771,8771
1529894903,8765,8765
1529896831,8813,8813
1529898754,8818,8818
1529900674,8828,8828
1529902583,8832,8832
1529904510,8852,8852
1529906516,8861,8861
1529908349,8870,8870
1529910284,8876,8876
1529912191,9870,9870
1529914130,15170,15170
1529916028,15155,15155
1529917951,15120,15120
1529919881,15066,15066
1529921791,15393,15393
