DateTime,Entries,UniqueIPs
1528950015,1976,1976
1528951949,1966,1966
1528953858,1983,1983
1528955774,1987,1987
1528957712,1984,1984
1528959755,1981,1981
1528961778,1974,1974
1528963706,1971,1971
1528965638,1970,1970
1528967538,1981,1981
1528969475,2000,2000
1528971380,2027,2027
1528973313,2062,2062
1528975222,2076,2076
1528977138,2098,2098
1528979067,2130,2130
1528980985,2163,2163
1528982919,2184,2184
1528984900,2205,2205
1528986759,2227,2227
1528988668,2189,2189
1528990581,1347,1347
1528992542,1358,1358
1528994423,1367,1367
1528996347,1374,1374
1528998278,1389,1389
1529000189,1394,1394
1529002102,1394,1394
1529004033,1369,1369
1529005945,1348,1348
1529007859,1338,1338
1529009791,1320,1320
1529011861,1299,1299
1529013747,1275,1275
1529016833,1229,1229
1529018674,1208,1208
1529020577,1199,1199
1529022513,1169,1169
1529024506,1186,1186
1529026341,1188,1188
1529028285,1180,1180
1529030181,1185,1185
1529032105,1191,1191
1529034034,1191,1191
1529035949,1196,1196
1529037862,1192,1192
1529039796,1183,1183
1529041708,1186,1186
1529043637,1194,1194
1529045557,1207,1207
1529047473,1203,1203
1529049394,1209,1209
1529051309,1214,1214
1529053306,1229,1229
1529055160,1226,1226
1529057073,1210,1210
1529058983,1204,1204
1529060924,1197,1197
1529062822,1181,1181
1529065898,1146,1146
1529067861,1141,1141
1529069788,1136,1136
1529071715,1122,1122
1529073623,1118,1118
1529075553,1113,1113
1529077473,1096,1096
1529079381,1090,1090
1529081310,1087,1087
1529083237,1079,1079
1529085137,1069,1069
1529087082,1074,1074
1529088985,1062,1062
1529091787,1055,1055
1529093887,1047,1047
1529096018,1042,1042
1529097847,1040,1040
1529099867,1031,1031
1529101743,1025,1025
1529103763,1017,1017
1529105581,1014,1014
1529107462,997,997
1529109400,1000,1000
1529111326,989,989
1529113246,990,990
1529115153,989,989
1529117108,986,986
1529118991,978,978
1529120937,966,966
1529122837,964,964
1529124782,967,967
1529126662,958,958
1529128614,960,960
1529130760,960,960
1529132665,954,954
1529134590,953,953
1529136549,929,929
1529138424,918,918
1529140379,912,912
1529142295,912,912
1529144201,897,897
1529146103,894,894
1529148056,896,896
1529149946,903,903
1529151883,919,919
1529153800,930,930
1529155718,937,937
1529157702,954,954
1529159585,961,961
1529161469,960,960
1529163397,961,961
1529165341,969,969
1529167261,969,969
1529169145,976,976
1529171248,985,985
1529173230,977,977
1529175136,994,994
1529177059,984,984
1529178989,979,979
1529180898,975,975
1529182906,973,973
1529184753,974,974
1529186678,973,973
1529189080,994,994
1529190986,989,989
1529192908,987,987
1529194847,987,987
1529196737,1001,1001
1529198661,993,993
1529200615,1002,1002
1529202512,1005,1005
1529204504,1001,1001
1529206364,1009,1009
1529208271,1007,1007
1529210184,1011,1011
1529212123,1021,1021
1529214043,1018,1018
1529215947,999,999
1529217884,1005,1005
1529219786,1007,1007
1529221706,1009,1009
1529223643,1006,1006
1529225546,2824,2824
1529227474,4830,4830
1529229398,6568,6568
1529231308,6607,6607
1529233304,6630,6630
1529235162,6649,6649
1529237078,6669,6669
1529238986,6672,6672
1529240922,6683,6683
1529242825,6684,6684
1529244752,6711,6711
1529246686,6712,6712
1529248588,6731,6731
1529250505,6741,6741
1529252444,6742,6742
1529254350,6749,6749
1529256269,6756,6756
1529258207,6762,6762
1529260104,6753,6753
1529262098,6765,6765
1529263964,6769,6769
1529265881,6780,6780
1529267783,6783,6783
1529269723,6783,6783
1529271633,6782,6782
1529273714,6765,6765
1529275719,6769,6769
1529277614,6775,6775
1529279536,6773,6773
1529281472,6771,6771
1529283375,6763,6763
1529285296,6781,6781
1529287296,6772,6772
1529289142,6776,6776
1529291059,6772,6772
1529292988,6770,6770
1529294899,6773,6773
1529296815,6765,6765
1529298758,6761,6761
1529300658,6763,6763
1529302573,6763,6763
1529304508,6748,6748
1529306414,6738,6738
1529308333,6734,6734
1529310273,6738,6738
1529312172,4682,4682
1529314095,2795,2795
1529316099,1262,1262
1529317940,1257,1257
1529319855,1257,1257
1529321795,1248,1248
1529323696,1238,1238
1529325619,1227,1227
1529327561,1213,1213
1529329457,1207,1207
1529331388,1196,1196
1529333296,1199,1199
1529335227,1185,1185
1529337148,1177,1177
1529339060,1178,1178
1529340983,1165,1165
1529342898,1158,1158
1529344902,1153,1153
1529346745,1144,1144
1529348670,1132,1132
1529350577,1134,1134
1529352692,1121,1121
1529354657,1112,1112
1529356590,1100,1100
1529358557,1096,1096
1529360432,1072,1072
1529362592,1048,1048
1529364499,1025,1025
1529366563,1003,1003
1529368587,983,983
1529370511,961,961
1529372420,933,933
1529374363,912,912
1529376267,905,905
1529378189,887,887
1529380110,872,872
1529382037,860,860
1529383961,838,838
1529385874,821,821
1529387781,812,812
1529389706,810,810
1529391715,809,809
1529393566,820,820
1529395472,833,833
1529397390,836,836
1529399312,828,828
1529401258,818,818
1529403145,816,816
1529405071,817,817
1529406989,807,807
1529408905,814,814
1529410843,865,865
1529412753,903,903
1529414912,936,936
1529416898,956,956
1529418772,972,972
1529420674,986,986
1529422577,990,990
1529424537,988,988
1529426421,1000,1000
1529428344,1011,1011
1529430278,1018,1018
1529432180,1023,1023
1529434114,1032,1032
1529436030,1033,1033
1529437938,1037,1037
1529439860,1049,1049
1529441789,1062,1062
1529443704,1057,1057
1529445706,1053,1053
1529448267,1071,1071
1529450179,1085,1085
1529452116,1088,1088
1529454029,1098,1098
1529455953,1109,1109
1529457860,1114,1114
1529459790,1109,1109
1529461696,1121,1121
1529463705,1109,1109
1529465558,1116,1116
1529467463,1118,1118
1529469377,1111,1111
1529471317,1116,1116
1529473220,1120,1120
1529475145,1147,1147
1529476955,1167,1167
1529478980,1182,1182
1529480782,1181,1181
1529482587,1203,1203
1529484502,1218,1218
1529486436,1239,1239
1529488344,1252,1252
1529490263,1246,1246
1529492197,1247,1247
1529494098,1242,1242
1529496106,1206,1206
1529497962,1186,1186
1529499867,1181,1181
1529502024,1165,1165
1529503944,1151,1151
1529505886,1139,1139
1529507789,1123,1123
1529509712,1117,1117
1529511622,1111,1111
1529513556,1114,1114
1529515461,1147,1147
1529517696,1191,1191
1529519564,1206,1206
1529521481,1221,1221
1529523710,1220,1220
1529525559,1240,1240
1529527464,1271,1271
1529529408,1286,1286
1529531301,1290,1290
1529533243,1286,1286
1529536227,1282,1282
1529538044,1288,1288
1529539957,1292,1292
1529541876,1297,1297
1529543810,1312,1312
1529545711,1323,1323
1529547638,1326,1326
1529549729,1326,1326
1529551703,1314,1314
1529553722,1311,1311
1529555548,1320,1320
1529557469,1305,1305
1529559386,1305,1305
1529561308,1291,1291
1529563496,7388,7388
1529565399,13869,13869
1529567315,16454,16454
1529569249,16437,16437
1529571189,16408,16408
1529573091,16408,16408
1529574993,16387,16387
1529577171,16382,16382
1529579240,16377,16377
1529581225,16372,16372
1529583167,16379,16379
1529585069,16390,16390
1529587139,16394,16394
1529589149,16397,16397
1529591070,16386,16386
1529593014,16419,16419
1529594907,16430,16430
1529596908,16425,16425
1529598756,16424,16424
1529600931,16414,16414
1529602835,16405,16405
1529604760,16399,16399
1529606683,16409,16409
1529608604,16400,16400
1529610520,16398,16398
1529612448,16373,16373
1529614396,16349,16349
1529616282,16313,16313
1529618193,16282,16282
1529621743,16285,16285
1529623723,16284,16284
1529625743,16284,16284
1529627577,16291,16291
1529629482,16294,16294
1529631301,16302,16302
1529633340,16299,16299
1529635249,16292,16292
1529637158,16298,16298
1529639075,16297,16297
1529641004,16292,16292
1529642913,16296,16296
1529644850,16311,16311
1529646762,16314,16314
1529648670,15373,15373
1529650605,7961,7961
1529652772,1112,1112
1529654681,1113,1113
1529656589,1108,1108
1529658545,1105,1105
1529660692,1102,1102
1529662594,1109,1109
1529664524,1113,1113
1529666541,1108,1108
1529668366,1102,1102
1529670272,1088,1088
1529672198,1081,1081
1529674110,1057,1057
1529676111,1055,1055
1529677949,1045,1045
1529679974,1021,1021
1529681799,1014,1014
1529683730,1000,1000
1529685642,990,990
1529687568,985,985
1529689465,989,989
1529691406,985,985
1529693310,993,993
1529695240,1000,1000
1529697146,1037,1037
1529699099,1090,1090
1529700982,1107,1107
1529702920,1128,1128
1529704946,1150,1150
1529706750,1154,1154
1529708689,1162,1162
1529710584,1187,1187
1529712521,1200,1200
1529714424,1205,1205
1529716348,1203,1203
1529718279,1203,1203
1529720184,1215,1215
1529722124,1230,1230
1529724271,1220,1220
1529726188,1225,1225
1529728111,1224,1224
1529730112,1211,1211
1529731962,1218,1218
1529733904,1219,1219
1529735800,1220,1220
1529737720,1228,1228
1529739631,1223,1223
1529741556,1220,1220
1529743486,1213,1213
1529745391,1230,1230
1529747322,1232,1232
1529749227,1238,1238
1529751154,1216,1216
1529753083,1221,1221
1529755012,1211,1211
1529756911,1207,1207
1529758898,1201,1201
1529760748,1209,1209
1529762844,1198,1198
1529764836,1213,1213
1529766751,1216,1216
1529768678,1209,1209
1529770849,1220,1220
1529772752,1219,1219
1529774667,1217,1217
1529776607,1223,1223
1529778514,1216,1216
1529780505,1204,1204
1529782355,1203,1203
1529784280,1189,1189
1529786449,1182,1182
1529788360,1159,1159
1529790268,1157,1157
1529792201,1150,1150
1529794714,1141,1141
1529796522,1136,1136
1529798526,1136,1136
1529800370,1130,1130
1529802270,1118,1118
1529804199,1116,1116
1529806113,1114,1114
1529808043,1107,1107
1529809969,1108,1108
1529811874,1101,1101
1529813806,1107,1107
1529815704,1106,1106
1529817644,1098,1098
1529819565,1095,1095
1529821480,1093,1093
1529823384,1090,1090
1529825320,1085,1085
1529827302,1072,1072
1529829167,1083,1083
1529831076,1094,1094
1529833014,1060,1060
1529834910,1042,1042
1529836845,1052,1052
1529838759,1091,1091
1529840666,1081,1081
1529842600,1059,1059
1529844409,1048,1048
1529846440,1028,1028
1529848353,1028,1028
1529850284,1013,1013
1529852185,997,997
1529854119,989,989
1529856099,975,975
1529857971,968,968
1529860134,947,947
1529862289,938,938
1529864221,931,931
1529866104,941,941
1529868038,934,934
1529869969,932,932
1529871824,924,924
1529873781,918,918
1529875700,908,908
1529877722,900,900
1529879545,886,886
1529881479,909,909
1529883401,920,920
1529885330,935,935
1529887240,942,942
1529889150,957,957
1529891069,956,956
1529892984,968,968
1529894903,958,958
1529896832,974,974
1529898755,979,979
1529900675,985,985
1529902584,997,997
1529904511,1002,1002
1529906517,1008,1008
1529908350,1020,1020
1529910285,1029,1029
1529912192,2165,2165
1529914131,8238,8238
1529916029,8246,8246
1529917952,8238,8238
1529919882,8245,8245
1529921792,8244,8244
