DateTime,Entries,UniqueIPs
1528898671,143,143
1528900581,145,145
1528902511,143,143
1528904427,144,144
1528906360,143,143
1528908270,140,140
1528910187,138,138
1528912119,140,140
1528914021,144,144
1528915962,140,140
1528918918,140,140
1528920756,140,140
1528922665,141,141
1528924596,139,139
1528926503,139,139
1528928442,137,137
1528931677,132,132
1528933479,125,125
1528935403,123,123
1528937434,118,118
1528939238,112,112
1528941148,108,108
1528943066,103,103
1528946189,98,98
1528948094,91,91
1528950015,93,93
1528951949,88,88
1528953858,85,85
1528955774,85,85
1528957712,85,85
1528959755,82,82
1528961778,84,84
1528963706,81,81
1528965638,81,81
1528967539,77,77
1528969475,72,72
1528971380,70,70
1528973313,68,68
1528975222,68,68
1528979067,67,67
1528980986,64,64
1528982920,64,64
1528984900,63,63
1528986759,61,61
1528988668,60,60
1528990581,62,62
1528992542,62,62
1528994423,62,62
1528996347,64,64
1528998278,61,61
1529000190,56,56
1529004033,56,56
1529005945,56,56
1529007859,53,53
1529009792,54,54
1529011862,55,55
1529013747,57,57
1529016834,61,61
1529018675,60,60
1529020577,59,59
1529022513,56,56
1529024506,56,56
1529026342,56,56
1529028285,59,59
1529030182,58,58
1529032105,59,59
1529034034,57,57
1529035949,58,58
1529037863,58,58
1529039796,59,59
1529041708,58,58
1529043638,59,59
1529045557,59,59
1529047473,59,59
1529049394,61,61
1529051310,66,66
1529053306,63,63
1529055160,61,61
1529057073,62,62
1529058983,63,63
1529060925,61,61
1529062822,60,60
1529065899,62,62
1529067861,64,64
1529071715,66,66
1529073623,69,69
1529075554,69,69
1529077474,67,67
1529079381,68,68
1529081310,67,67
1529083237,69,69
1529085137,70,70
1529087083,71,71
1529088985,73,73
1529091787,71,71
1529093887,70,70
1529096018,73,73
1529097847,73,73
1529099868,72,72
1529101743,72,72
1529103763,69,69
1529105582,69,69
1529107463,70,70
1529109401,70,70
1529113247,67,67
1529115153,69,69
1529117108,71,71
1529118991,72,72
1529120937,71,71
1529122837,69,69
1529124783,70,70
1529126662,68,68
1529128614,67,67
1529130761,69,69
1529132665,69,69
1529134590,65,65
1529136550,64,64
1529138425,60,60
1529140380,62,62
1529142296,61,61
1529144202,62,62
1529146103,61,61
1529148057,62,62
1529149947,64,64
1529151883,64,64
1529153801,61,61
1529157703,60,60
1529159586,58,58
1529161469,58,58
1529163398,58,58
1529165341,59,59
1529169145,55,55
1529171248,55,55
1529173230,57,57
1529175136,55,55
1529177059,55,55
1529178989,56,56
1529180898,57,57
1529182906,55,55
1529184754,54,54
1529186678,55,55
1529189080,54,54
1529190986,54,54
1529192908,53,53
1529194847,52,52
1529196737,53,53
1529198661,54,54
1529202512,49,49
1529204505,52,52
1529206365,51,51
1529208271,50,50
1529210184,50,50
1529212124,50,50
1529214043,51,51
1529215947,50,50
1529217884,51,51
1529219787,50,50
1529221706,51,51
1529223643,49,49
1529225546,49,49
1529227474,52,52
1529229398,53,53
1529231308,53,53
1529233305,51,51
1529235162,49,49
1529237078,48,48
1529238986,47,47
1529240922,49,49
1529242826,53,53
1529244752,54,54
1529246686,54,54
1529248588,53,53
1529250505,51,51
1529252445,50,50
1529254350,52,52
1529256270,55,55
1529258207,55,55
1529260105,53,53
1529262099,54,54
1529263964,55,55
1529265882,54,54
1529267783,54,54
1529269723,54,54
1529273715,54,54
1529277614,52,52
1529279536,53,53
1529281473,54,54
1529283375,52,52
1529285296,53,53
1529287297,54,54
1529291060,50,50
1529292988,50,50
1529294899,51,51
1529296815,48,48
1529298758,47,47
1529300659,48,48
1529302573,50,50
1529304509,48,48
1529306415,49,49
1529308333,48,48
1529310274,49,49
1529312172,51,51
1529314095,47,47
1529316099,47,47
1529317941,49,49
1529319856,50,50
1529321795,49,49
1529323696,53,53
1529325620,52,52
1529327561,50,50
1529329458,50,50
1529331389,49,49
1529333296,51,51
1529337148,50,50
1529340983,51,51
1529342898,50,50
1529344902,50,50
1529346745,51,51
1529348670,50,50
1529350577,49,49
1529352693,49,49
1529354657,50,50
1529356590,50,50
1529358557,52,52
1529360433,51,51
1529362593,52,52
1529364499,52,52
1529366564,51,51
1529372420,50,50
1529374363,53,53
1529378190,54,54
1529380111,53,53
1529382037,55,55
1529385874,53,53
1529389706,51,51
1529391715,52,52
1529395473,53,53
1529397390,54,54
1529399312,52,52
1529401258,53,53
1529403146,51,51
1529405072,50,50
1529406989,49,49
1529408905,50,50
1529410844,49,49
1529414912,47,47
1529418772,47,47
1529420674,46,46
1529422577,48,48
1529426421,48,48
1529428344,46,46
1529430278,47,47
1529432180,49,49
1529434115,50,50
1529436031,51,51
1529437938,54,54
1529439861,55,55
1529441790,52,52
1529443704,55,55
1529445706,54,54
1529448267,58,58
1529450180,62,62
1529452116,65,65
1529454029,67,67
1529455953,73,73
1529457860,76,76
1529459791,78,78
1529461696,78,78
1529463706,77,77
