DateTime,AddedIPs,RemovedIPs
1528732211,1,3
1528736596,3,3
1528738618,0,3
1528740620,3,1
1528742712,3,1
1528744603,2,2
1528746434,2,3
1528748423,0,2
1528750340,2,3
1528752269,2,1
1528754196,3,1
1528756107,8,2
1528758121,1,4
1528760061,4,2
1528761881,0,3
1528763781,2,2
1528765717,2,1
1528767631,1,2
1528769545,2,4
1528771475,1,2
1528773377,2,1
1528775301,3,0
1528777238,2,2
1528779145,1,0
1528781064,0,3
1528784907,0,1
1528786911,1,0
1528788760,0,1
1528790666,1,1
1528792581,0,2
1528794532,1,0
1528798348,2,0
1528800282,2,2
1528802182,1,1
1528804107,1,0
1528806064,1,0
1528807941,3,3
1528809862,1,2
1528811796,1,1
1528813704,2,1
1528815723,2,0
1528817567,1,2
1528819899,2,0
1528821879,1,0
1528823784,3,2
1528825717,1,0
1528827638,0,3
1528829540,3,1
1528831464,2,1
1528833395,2,3
1528837115,1,2
1528838917,2,1
1528840953,0,2
1528842976,2,2
1528844903,1,0
1528846836,0,3
1528848739,3,3
1528850672,3,1
1528852575,1,1
1528854496,0,2
1528856430,2,1
1528858353,3,0
1528860259,1,4
1528862190,3,2
1528866112,1,1
1528869876,0,2
1528873730,1,0
1528877547,3,1
1528879478,0,1
1528883303,1,0
1528885239,2,2
1528887150,0,1
1528889064,0,2
1528892908,1,1
1528894909,4,1
1528896764,1,1
1528898672,0,1
1528900582,0,1
1528902512,2,2
1528904428,0,1
1528906361,1,0
1528910189,0,3
1528912120,0,2
1528915963,3,1
1528918920,1,2
1528920757,0,2
1528922666,3,0
1528924597,1,1
1528926504,2,3
1528928443,3,1
1528931679,1,0
1528933480,1,1
1528935404,0,1
1528937435,1,1
1528939239,0,2
1528941149,1,3
1528943067,1,3
1528946190,2,3
1528948095,1,2
1528950016,0,1
1528953859,1,1
1528955775,1,0
1528957714,0,1
1528959756,0,2
1528961779,1,1
1528963707,0,2
1528965639,1,1
1528967540,0,1
1528969476,0,1
1528971381,0,3
1528973315,1,0
1528977139,0,2
1528979068,0,1
1528982921,0,5
1528984902,0,1
1528986761,3,0
1528988669,1,3
1528992543,2,0
1528994424,0,1
1528996349,1,1
1529000191,1,0
1529002104,1,1
1529004035,2,0
1529005946,1,1
1529007860,0,2
1529009792,2,0
1529011862,0,2
1529013748,2,4
1529016834,1,9
1529018676,1,1
1529022514,1,0
1529026343,1,1
1529028286,1,1
1529030183,2,1
1529032106,0,2
1529034035,0,1
1529035950,1,0
1529039797,0,3
1529041709,1,1
1529043639,1,1
1529047474,2,0
1529053307,1,1
1529057074,1,1
1529058984,1,1
1529060926,0,1
1529062823,2,0
1529065900,0,1
1529067863,0,1
1529071716,1,0
1529073624,0,4
1529075554,2,1
1529077475,1,1
1529079382,0,1
1529081311,2,0
1529083238,3,1
1529085139,2,0
1529087084,2,1
1529088986,3,2
1529091788,1,1
1529093888,3,1
1529096019,1,3
1529097848,1,0
1529099869,1,0
1529103765,0,1
1529105583,1,1
1529107464,4,2
1529109402,3,1
1529111328,1,0
1529113248,3,1
1529115154,0,2
1529117109,1,2
1529118992,4,1
1529120939,0,1
1529122838,0,2
1529124784,2,0
1529138426,0,1
1529140381,1,1
1529142297,1,1
1529144203,1,0
1529146104,0,1
1529148057,0,2
1529149948,1,0
1529153801,5,2
1529155719,1,0
1529157704,2,0
1529159587,2,1
1529161470,3,0
1529163399,1,2
1529165342,0,1
1529167262,0,1
1529169146,0,5
1529171249,1,2
1529173231,0,3
1529175137,1,1
1529177060,1,0
1529178990,2,3
1529182908,0,1
1529186679,1,1
1529189081,2,0
1529190987,2,1
1529192909,0,1
1529194848,1,4
1529196738,7,2
1529198662,0,2
1529200616,1,1
1529202513,0,2
1529204505,0,2
1529210185,1,1
1529212125,1,0
1529214044,2,0
1529215948,1,0
1529221707,0,1
1529227475,3,0
1529231309,1,1
1529233305,1,0
1529237079,2,0
1529238988,2,5
1529240923,3,0
1529244753,0,3
1529246687,3,3
1529248590,1,4
1529250506,1,0
1529256271,0,1
1529260106,2,1
1529262100,1,2
1529263965,1,1
1529265883,0,1
1529267784,0,1
1529269724,1,0
1529271635,5,0
1529273716,0,1
1529275720,2,2
1529277616,0,3
1529279537,3,1
1529281474,1,1
1529283376,8,2
1529285297,3,0
1529287298,2,1
1529289143,1,0
1529291061,1,1
1529292989,1,0
1529294900,0,1
1529296816,1,1
1529298759,3,0
