DateTime,AddedIPs,RemovedIPs
1528943067,3,0
1528946191,6,7
1528948095,1,2
1528950017,2,2
1528951951,2,0
1528953859,1,1
1528955775,0,1
1528957714,7,1
1528959756,2,3
1528961780,4,0
1528963708,6,2
1528965640,7,2
1528967540,6,1
1528969477,5,2
1528971382,2,4
1528973315,14,6
1528975224,2,6
1528977140,2,4
1528979069,4,2
1528980987,1,0
1528982921,1,4
1528984902,3,1
1528986761,2,1
1528988670,4,92
1528990583,4,3
1528992544,6,0
1528994425,3,5
1528996349,6,3
1528998280,4,3
1529000191,5,1
1529002104,5,5
1529004035,2,1
1529005947,3,2
1529007861,4,1
1529009793,5,6
1529011863,4,3
1529013749,99,3
1529016835,12,2
1529018676,6,3
1529020579,2,2
1529022514,3,3
1529024508,3,1
1529026343,6,3
1529028287,3,2
1529030183,4,1
1529032107,5,3
1529034035,2,3
1529035951,4,1
1529037864,7,0
1529039798,4,2
1529041709,3,1
1529043639,3,5
1529045558,6,3
1529047475,5,3
1529049395,5,0
1529051312,3,6
1529053308,7,5
1529055162,3,7
1529057074,5,2
1529058985,3,2
1529060926,2,15
1529062824,2,1
1529065900,4,4
1529067863,6,3
1529069790,1,0
1529071717,1,3
1529073625,9,3
1529075555,6,6
1529077475,4,3
1529079382,4,5
1529081312,8,3
1529083238,4,4
1529085139,4,6
1529087084,8,2
1529088987,3,6
1529091789,3,2
1529093889,6,2
1529096019,2,6
1529097849,1,1
1529099869,2,96
1529101744,3,7
1529103765,2,4
1529105583,3,5
1529107464,1,2
1529109402,2,4
1529111329,6,2
1529113248,2,3
1529115155,2,2
1529117110,2,1
1529118993,5,4
1529120939,4,7
1529122839,1,7
1529124784,0,7
1529126664,3,6
1529128616,4,4
1529130762,6,2
1529132667,2,5
1529134592,1,5
1529136551,3,4
1529138426,4,4
1529140381,2,7
1529142297,4,8
1529144203,3,2
1529146105,0,2
1529148058,4,5
1529149948,3,6
1529151885,4,4
1529153802,2,5
1529155719,3,7
1529157704,2,5
1529159587,1,6
1529161470,4,4
1529163399,0,4
1529165343,1,6
1529167263,2,9
1529169147,5,5
1529171250,2,2
1529173232,3,7
1529175138,0,2
1529177061,5,2
1529178991,4,1
1529180900,4,1
1529182908,2,2
1529184755,3,3
1529186680,2,2
1529189082,2,2
1529190988,5,2
1529192910,2,1
1529194849,3,3
1529196739,2,2
1529198663,1,1
1529200616,3,1
1529202513,3,2
1529206366,2,4
1529208273,3,2
1529210185,4,1
1529212125,1,2
1529214044,3,6
1529215948,3,2
1529217885,3,5
1529219788,7,1
1529221708,6,3
1529223644,5,3
1529225547,3,1
1529227476,5,3
1529229399,6,5
1529231310,8,2
1529233306,6,2
1529235164,3,4
1529237080,2,4
1529238988,2,3
1529240924,3,2
1529242827,5,2
1529244754,4,5
1529246688,4,1
1529248590,4,3
1529250507,6,1
1529252447,3,2
1529254352,4,5
1529256272,4,1
1529258209,4,1
1529260107,6,4
1529262101,6,1
1529263966,1,6
1529265883,6,5
1529267785,3,3
1529269725,3,1
1529271636,5,0
1529273716,1,4
1529275721,2,3
1529277616,1,2
1529279537,3,4
1529281474,4,1
1529283377,2,0
1529285298,4,2
1529287298,3,3
1529289143,1,4
1529291061,1,1
1529292990,1,2
1529294901,1,4
1529296817,5,2
1529298760,4,3
1529300660,2,2
1529302575,3,2
1529304510,3,5
1529306416,2,9
1529308334,4,5
1529310275,3,6
1529312174,0,2
1529314097,2,6
1529316101,1,4
1529317942,3,6
1529319857,3,5
1529321797,5,5
1529323698,2,1
1529325621,7,2
1529327563,4,6
1529329459,1,4
1529331390,4,6
1529333298,2,5
1529335229,2,4
1529337150,3,6
1529339062,8,5
1529340985,1,4
1529342900,3,3
1529344904,2,8
1529346747,2,8
1529348672,1,4
1529350579,1,0
1529352694,4,6
1529354659,5,6
1529356591,6,4
1529358559,1,6
1529360435,5,2
1529362594,5,3
1529364501,2,1
1529366565,7,3
1529368589,1,4
1529370512,5,1
1529372422,6,3
1529374364,3,2
1529376269,5,3
1529378191,2,0
1529380112,5,5
1529382039,2,1
1529383963,5,2
1529385876,3,2
1529387783,3,3
1529389708,2,6
1529391717,4,3
1529393567,3,3
1529395474,4,6
1529397392,5,2
1529399314,2,1
1529401260,0,1
1529403147,0,5
1529405073,2,0
1529406991,2,7
1529408907,2,1
1529410845,2,4
1529412755,2,5
1529414913,2,1
1529416900,2,5
1529418774,0,3
1529420676,3,2
1529422579,2,5
1529424539,3,6
1529426423,2,0
1529428346,1,1
1529430280,2,4
1529432182,3,5
1529434116,1,2
1529436032,3,1
1529437940,1,3
1529439862,4,0
1529441791,8,4
1529443706,8,3
1529445710,53,1
1529448268,44,6
1529450181,0,4
1529452118,6,1
1529454031,2,6
1529455955,4,1
1529457862,5,5
1529459792,7,3
1529461698,0,5
1529463708,5,2
1529465560,5,1
1529467465,3,1
1529469379,3,5
1529471318,1,3
1529473222,3,3
1529475146,1,3
1529476956,8,3
1529478982,3,2
1529480784,3,4
1529482589,3,5
1529484504,2,1
