DateTime,Entries,UniqueIPs
1529529393,9150,9320
1529530355,9147,9317
1529531061,9153,9323
1529531779,9154,9324
1529532498,9158,9328
1529533227,9141,9311
1529533942,9149,9319
1529534664,9152,9322
1529536613,9155,9325
1529537294,9154,9324
1529538020,9152,9322
1529538739,9151,9321
1529539464,9154,9324
1529540180,9152,9322
1529540902,9143,9313
1529541619,9143,9313
1529542344,9144,9314
1529543067,9147,9317
1529543787,9155,9325
1529544752,9143,9313
1529545460,9155,9325
1529546180,9144,9316
1529547145,9147,9319
1529547860,9143,9315
1529548582,9137,9309
1529549564,9145,9317
1529550520,9139,9311
1529551465,9140,9313
1529552424,9141,9314
1529553138,9140,9313
1529553866,9139,9312
1529554582,9133,9306
1529555299,9127,9300
1529556270,9124,9297
1529557240,9128,9301
1529558186,9128,9301
1529559151,9123,9296
1529560110,9129,9302
1529560820,9127,9300
1529561548,9129,9302
1529562259,9125,9298
1529563072,9121,9294
1529563946,9123,9296
1529564913,9121,9294
1529565616,9124,9297
1529566345,9123,9296
1529567059,9125,9298
1529567780,9132,9305
1529568497,9137,9310
1529569220,9134,9307
1529569943,9138,9311
1529570661,9129,9302
1529571639,9136,9309
1529572341,9127,9300
1529573062,9129,9302
1529573777,9131,9304
1529574502,9134,9307
1529575474,9135,9308
1529576178,9133,9306
1529577145,9134,9307
1529577863,9149,9327
1529578577,9163,9348
1529579547,9160,9350
1529580265,9161,9355
1529580981,9162,9356
1529581697,9167,9361
1529582447,9165,9360
1529583143,9161,9357
1529583864,9160,9357
1529584826,9170,9367
1529585536,9166,9363
1529586263,9170,9367
1529586983,9179,9376
1529587949,9173,9370
1529588662,9179,9376
1529589379,9187,9384
1529590100,9162,9361
1529590829,9160,9359
1529591545,9159,9358
1529592261,9168,9367
1529592977,9159,9358
1529593711,9161,9360
1529594415,9169,9368
1529595150,9167,9366
1529595861,9169,9368
1529596580,9173,9373
1529597569,9169,9369
1529598260,9168,9366
1529598981,9178,9377
1529599702,9182,9382
1529600443,9181,9381
1529601388,9173,9373
1529602355,9171,9371
1529603060,9170,9370
1529603777,9177,9377
1529604499,9176,9376
1529605225,9171,9371
1529606196,9178,9378
1529607150,9180,9380
1529608114,9170,9370
1529608815,9173,9373
1529609545,9158,9358
1529610264,9168,9368
1529610980,9172,9372
1529611952,9174,9377
1529612904,9174,9377
1529613872,9168,9371
1529614838,9168,9371
1529615796,9154,9357
1529616494,9160,9363
1529617221,9164,9367
1529617940,9160,9363
1529618670,9161,9364
1529619630,9151,9354
1529620697,9146,9352
1529622283,9137,9343
1529622977,9143,9349
1529623699,9134,9340
1529624663,9138,9344
1529625374,9132,9336
1529626110,9133,9337
1529626815,9130,9334
1529627552,9134,9339
1529628260,9132,9337
1529628978,9132,9337
1529629699,9136,9341
1529630420,9125,9331
1529631145,9133,9339
1529631862,9114,9320
1529632575,9127,9333
1529633314,9126,9332
1529634262,9120,9326
1529635224,9112,9321
1529635954,9123,9332
1529636666,9123,9332
1529637378,9112,9321
1529638103,9115,9323
1529638817,9124,9332
1529639548,9112,9320
1529640263,9118,9326
1529640980,9116,9324
1529641947,9112,9320
1529642656,9119,9327
1529643382,9120,9328
1529644103,9115,9323
1529644824,9112,9320
1529645538,9118,9326
1529646261,9109,9317
1529646975,9102,9310
1529647723,9098,9306
1529648415,9101,9311
1529649150,9105,9315
1529649861,9103,9313
1529650582,9104,9314
1529651296,9111,9321
1529652015,9107,9317
1529652743,9100,9310
1529653458,9104,9314
1529654182,9094,9304
1529654912,9096,9306
1529655618,9105,9315
1529656344,9111,9321
1529657060,9113,9323
1529657775,9114,9324
1529658522,9120,9330
1529659701,9118,9328
1529660667,9121,9331
1529661633,9119,9328
1529662337,9114,9323
1529663066,9111,9320
1529663776,9109,9318
1529664504,9086,9293
1529665474,9064,9249
1529666421,9060,9244
1529667387,9052,9236
1529668345,9054,9238
1529669317,9054,9238
1529670026,9063,9247
1529670755,9068,9252
1529671458,9066,9250
1529672177,9058,9242
1529673155,9054,9240
1529673861,9048,9234
1529674585,9046,9234
1529675302,9047,9235
1529676032,9044,9232
1529676994,9037,9225
1529677695,9038,9226
1529678427,9038,9226
1529679398,9032,9220
1529680355,9037,9225
1529681058,9032,9220
1529681779,9033,9221
1529682751,9029,9221
