DateTime,AddedIPs,RemovedIPs
1529528448,1,0
1529529393,3,6
1529530355,2,3
1529531061,5,6
1529531779,4,0
1529532498,1,3
1529533227,4,11
1529533942,5,0
1529534664,4,21
1529536613,10,0
1529537294,5,3
1529538020,3,3
1529538739,4,6
1529539464,6,15
1529540180,3,5
1529540902,2,4
1529541619,6,3
1529542344,5,5
1529543067,6,5
1529543787,8,2
1529544752,6,18
1529545460,8,15
1529546180,9,5
1529547145,9,11
1529547860,6,6
1529548582,2,6
1529549564,13,16
1529550520,7,2
1529551465,9,9
1529552424,5,10
1529553138,6,0
1529553866,7,16
1529554582,5,4
1529555299,2,6
1529556270,5,2
1529557240,6,3
1529558186,2,15
1529559151,3,1
1529560110,5,1
1529560820,5,3
1529561548,3,7
1529562259,3,7
1529563072,2,7
1529563946,5,9
1529564913,3,3
1529565616,2,15
1529566345,8,5
1529567059,1,4
1529567780,12,2
1529568497,4,6
1529569220,2,3
1529569943,3,8
1529570661,1,5
1529571639,8,3
1529572341,1,6
1529573062,4,2
1529573777,2,5
1529574502,3,3
1529575474,3,15
1529576178,4,4
1529577145,3,4
1529577863,24,5
1529578577,29,4
1529579547,14,3
1529580265,7,1
1529580981,5,4
1529581697,7,0
1529582447,6,10
1529583143,2,3
1529583864,3,6
1529584826,15,7
1529585536,5,0
1529586263,4,5
1529586983,14,7
1529587949,8,8
1529588662,4,0
1529589379,5,5
1529590100,6,3
1529590829,7,7
1529591545,6,4
1529592261,8,6
1529592977,4,0
1529593711,3,6
1529594415,6,0
1529595150,6,6
1529595861,11,1
1529596580,3,16
1529597569,1,7
1529598260,6,8
1529598981,6,4
1529599702,6,2
1529600443,6,3
1529601388,7,2
1529602355,3,3
1529603060,5,0
1529603777,7,7
1529604499,3,0
1529605225,7,10
1529606196,9,4
1529607150,6,6
1529608114,2,11
1529608815,2,0
1529609545,2,11
1529610264,6,5
1529610980,5,6
1529611952,16,3
1529612904,4,1
1529613872,4,6
1529614838,4,1
1529615796,3,7
1529616494,4,4
1529617221,6,2
1529617940,1,2
1529618670,5,2
1529619630,1,4
1529620697,6,17
1529622283,8,1
1529622977,4,4
1529623699,3,4
1529624663,6,4
1529625374,2,10
1529626110,3,1
1529626815,4,1
1529627552,8,2
1529628260,4,4
1529628978,4,6
1529629699,8,3
1529630420,5,6
1529631145,6,5
1529631862,6,7
1529632575,10,12
1529633314,9,8
1529634262,10,7
1529635224,4,9
1529635954,6,5
1529636666,5,4
1529637378,6,0
1529638103,2,7
1529638817,8,0
1529639548,3,9
1529640263,6,0
1529640980,5,11
1529641947,4,1
1529642656,4,4
1529643382,3,4
1529644103,2,2
1529644824,3,4
1529645538,5,5
