DateTime,AddedIPs,RemovedIPs
1529529393,41,62
1529530355,58,45
1529531061,37,38
1529531779,39,41
1529532498,28,27
1529533227,27,38
1529533942,39,35
1529534664,38,49
1529536613,61,73
1529537294,38,40
1529538020,48,48
1529538739,33,30
1529539464,29,43
1529540180,34,30
1529540902,28,40
1529541619,49,32
1529542344,39,31
1529543067,31,28
1529543787,30,78
1529544752,86,93
1529545460,38,65
1529546180,43,51
1529547145,53,27
1529547860,29,28
1529548582,20,29
1529549564,39,47
1529550520,29,20
1529551465,24,56
1529552424,39,24
1529553138,31,35
1529553866,29,37
1529554582,36,40
1529555299,38,24
1529556270,30,36
1529557240,35,49
1529558186,40,35
1529559151,28,21
1529560110,31,57
1529560820,46,38
1529561548,34,32
1529562259,25,16
1529563072,41,31
1529563946,28,29
1529564913,22,31
1529565616,39,36
1529566345,35,41
1529567059,38,24
1529567780,39,30
1529568497,31,22
1529569220,23,29
1529569943,87,16
1529570661,31,26
1529571639,40,51
1529572341,34,30
1529573062,30,34
1529573777,40,31
1529574502,29,30
1529575474,43,55
1529576178,49,57
1529577145,52,64
1529577863,72,44
1529578577,77,57
1529579547,42,74
1529580265,31,82
1529580981,65,46
1529581697,50,38
1529582447,44,41
1529583143,35,37
1529583864,33,27
1529584826,57,47
1529585536,34,41
1529586263,42,47
1529586983,53,44
1529587949,44,37
1529588662,36,32
1529589379,33,41
1529590100,39,45
1529590829,44,39
1529591545,31,89
1529592261,89,36
1529592977,39,37
1529593711,24,84
1529594415,106,38
1529595150,49,40
1529595861,53,35
1529596580,26,50
1529597569,52,45
1529598260,31,29
1529598981,39,30
1529599702,29,20
1529600443,28,53
1529601388,53,37
1529602355,38,59
1529603060,46,35
1529603777,47,31
1529604499,37,36
1529605225,34,33
1529606196,47,30
1529607150,43,57
1529608114,47,30
1529608815,32,33
1529609545,30,48
1529610264,48,29
1529610980,36,45
1529611952,50,52
1529612904,43,31
1529613872,31,41
1529614838,28,35
1529615796,40,56
1529616494,36,37
1529617221,49,43
1529617940,41,31
1529618670,25,16
1529619630,20,31
1529620697,30,46
1529622283,51,44
1529622977,28,52
1529623699,45,29
1529624663,31,32
1529625374,25,28
1529626110,32,51
1529626815,49,26
1529627552,38,31
1529628260,32,39
1529628978,31,55
1529629699,49,44
1529630420,46,43
1529631145,41,25
1529631862,31,32
1529632575,28,41
1529633314,37,38
1529634262,59,47
1529635224,35,29
1529635954,35,34
1529636666,31,45
1529637378,40,30
1529638103,25,33
1529638817,35,29
1529639548,27,52
1529640263,47,35
1529640980,30,36
1529641947,34,28
1529642656,27,29
1529643382,30,21
1529644103,24,25
1529644824,24,42
1529645538,37,30
1529646261,22,32
1529646975,30,37
1529647723,25,22
1529648415,31,39
1529649150,36,40
1529649861,38,34
1529650582,31,66
1529651296,66,38
1529652015,46,24
1529652743,32,28
1529653458,29,33
1529654182,25,30
1529654912,31,32
1529655618,50,46
1529656344,49,26
1529657060,35,23
1529657775,30,43
1529658522,43,30
1529659701,44,26
1529660667,35,36
1529661633,25,30
1529662337,27,33
1529663066,36,35
1529663776,38,39
1529664504,43,31
1529665474,33,65
1529666421,68,44
1529667387,42,30
1529668345,30,22
1529669317,40,33
1529670026,34,40
1529670755,49,24
1529671458,24,38
1529672177,32,40
1529673155,35,33
1529673861,26,31
1529674585,27,28
1529675302,42,32
1529676032,35,39
1529676994,44,23
1529677695,24,39
1529678427,43,36
1529679398,40,34
1529680355,43,50
1529681058,37,42
1529681779,36,30
1529682751,34,50
1529683464,38,54
1529684188,65,40
1529684897,46,36
1529685620,38,38
1529686581,39,33
1529687548,39,48
1529688504,44,46
1529689217,34,38
1529689945,43,35
1529690672,38,31
1529691384,36,32
1529692351,44,41
1529693058,34,48
1529693782,48,51
1529694499,45,26
1529695217,30,40
1529696191,36,62
1529696899,44,31
1529697652,34,39
1529698343,38,35
1529699078,30,46
1529700024,49,49
1529700737,42,35
1529701475,29,40
1529702178,52,25
1529702900,14,41
1529703617,37,44
1529704339,63,29
1529705067,16,20
1529705790,24,49
1529706494,37,32
1529707828,54,60
1529708668,32,47
1529709373,45,26
1529710343,41,50
1529711063,40,29
1529711777,33,39
1529712500,29,45
1529713220,43,28
1529713943,35,22
1529714661,21,23
1529715376,27,39
1529716113,37,42
1529716814,52,32
1529717544,30,39
1529718258,48,30
1529718988,34,50
1529719951,50,45
1529720657,33,39
1529721382,32,30
1529722102,29,28
1529722845,25,27
1529723797,40,34
1529724758,34,39
1529725709,36,58
1529726422,41,26
1529727148,43,39
1529727858,35,26
1529728590,23,29
1529729300,33,38
1529730032,32,35
1529730995,46,37
1529731702,32,32
1529732425,31,25
1529733158,33,35
1529733876,38,26
1529734582,33,87
1529735303,39,40
1529736267,49,42
1529737321,44,35
1529738196,29,29
1529739146,39,39
1529739856,47,32
1529740580,24,88
1529741298,72,51
1529742025,54,32
1529742739,34,25
1529743460,29,44
1529744175,34,23
1529744912,39,30
1529745615,73,49
1529746345,50,38
1529747057,44,26
1529747783,22,56
1529748750,50,58
1529749459,62,39
1529750181,46,36
1529750897,34,56
1529751649,46,24
1529752589,36,29
1529753555,19,25
1529754508,37,42
1529755482,37,42
1529756430,45,54
1529757132,45,38
1529757856,39,23
1529758572,33,43
1529759318,40,31
1529760263,43,28
1529760978,29,38
1529761701,33,59
1529762431,62,25
1529763149,32,39
1529764105,34,44
1529764817,35,39
1529765541,38,54
1529766267,50,51
1529766985,47,37
1529767948,51,44
1529768657,40,33
1529769380,41,26
1529770115,27,50
1529770826,65,35
1529771543,29,50
1529772264,37,27
1529772975,30,52
1529773713,51,31
1529774414,35,50
1529775144,41,40
1529775857,53,49
1529776584,33,27
1529777551,41,23
1529778258,19,21
1529778980,25,46
1529779697,37,47
1529780432,37,51
1529781140,44,51
1529781861,66,47
1529782577,33,28
1529783303,37,46
1529784022,40,30
1529784747,36,61
1529785457,63,39
1529786427,25,39
1529787139,31,59
1529787868,41,40
1529788584,42,32
1529789298,29,37
1529790021,34,21
1529790744,31,48
1529791464,28,49
1529792182,47,36
1529793448,51,42
1529795082,39,62
1529795780,45,27
1529796500,25,27
1529797467,25,58
1529798174,51,23
1529798919,23,29
1529799614,28,32
1529800348,40,26
1529801311,29,37
1529802018,24,38
1529802754,46,24
1529803463,24,35
1529804179,33,35
1529805147,49,42
1529805864,38,43
1529806584,50,47
1529807296,42,33
1529808024,22,32
1529808982,39,34
1529809948,42,106
1529810657,106,34
1529811381,28,39
1529812100,43,38
1529812841,49,36
1529813785,35,32
1529814743,35,40
1529815450,35,41
1529816177,33,34
1529816890,34,45
1529817620,64,24
1529818593,22,55
1529819544,49,33
1529820516,24,28
1529821460,54,43
1529822422,34,47
1529823135,40,31
1529823870,33,23
1529824577,40,43
1529825301,40,39
1529826262,48,40
1529827232,35,44
1529828189,39,48
1529829145,38,62
1529829856,60,60
1529830598,55,38
1529831299,59,39
1529832016,37,30
1529832985,36,48
1529833940,45,50
1529834663,51,29
1529835383,28,87
1529836101,51,33
1529836825,39,55
1529837535,41,23
1529838264,32,39
1529838980,29,17
1529839696,31,30
1529840421,19,38
1529841145,38,29
1529841859,35,44
1529842580,41,21
1529843548,28,46
1529844257,43,41
1529844982,28,33
1529845702,41,40
1529846416,30,22
1529847390,40,60
1529848096,106,49
1529848901,42,26
1529849537,32,33
1529850262,41,36
1529850976,36,42
1529851698,30,46
1529852428,66,40
1529853406,44,44
1529854096,35,34
1529854827,33,61
1529855536,60,40
1529856266,42,38
1529857232,51,20
1529857948,9,39
1529858666,47,39
1529859375,30,38
1529860113,49,27
1529860815,39,32
1529861539,36,54
1529862267,51,31
1529862974,45,45
1529863702,38,29
1529864422,29,24
1529865150,29,49
1529865858,51,48
1529866577,46,36
1529867297,31,38
1529868017,48,37
1529868772,33,46
1529869462,45,31
1529870180,31,45
1529872127,73,62
1529872818,29,42
1529873545,29,37
1529874512,34,48
1529875215,33,45
1529875949,45,47
1529876660,43,62
1529877376,58,37
1529878347,35,49
1529879058,55,45
1529880420,54,61
1529881216,45,31
1529881941,23,51
1529882658,51,24
1529883371,35,45
1529884092,32,68
1529884820,60,29
1529885784,44,49
1529886506,35,35
1529887218,44,32
1529887939,37,48
1529888659,26,30
1529889382,31,28
1529890094,32,29
1529890827,37,33
1529891804,31,39
