DateTime,Entries,UniqueIPs
1529529393,8204,8204
1529530355,8217,8217
1529531061,8216,8216
1529531779,8214,8214
1529532498,8215,8215
1529533227,8204,8204
1529533942,8208,8208
1529534664,8197,8197
1529536613,8185,8185
1529537294,8183,8183
1529538020,8183,8183
1529538739,8186,8186
1529539464,8172,8172
1529540180,8176,8176
1529540902,8164,8164
1529541619,8181,8181
1529542344,8189,8189
1529543067,8192,8192
1529543787,8144,8144
1529544752,8137,8137
1529545460,8110,8110
1529546180,8102,8102
1529547145,8128,8128
1529547860,8129,8129
1529548582,8120,8120
1529549564,8112,8112
1529550520,8121,8121
1529551465,8089,8089
1529552424,8104,8104
1529553138,8100,8100
1529553866,8092,8092
1529554582,8088,8088
1529555299,8102,8102
1529556270,8096,8096
1529557240,8082,8082
1529558186,8087,8087
1529559151,8094,8094
1529560110,8068,8068
1529560820,8076,8076
1529561548,8078,8078
1529562259,8087,8087
1529563072,8097,8097
1529563946,8096,8096
1529564913,8087,8087
1529565616,8090,8090
1529566345,8084,8084
1529567059,8098,8098
1529567780,8107,8107
1529568497,8116,8116
1529569220,8110,8110
1529569943,8181,8181
1529570661,8186,8186
1529571639,8175,8175
1529572341,8179,8179
1529573062,8175,8175
1529573777,8184,8184
1529574502,8183,8183
1529575474,8171,8171
1529576178,8163,8163
1529577145,8151,8151
1529577863,8179,8179
1529578577,8199,8199
1529579547,8167,8167
1529580265,8116,8116
1529580981,8135,8135
1529581697,8147,8147
1529582447,8150,8150
1529583143,8148,8148
1529583864,8154,8154
1529584826,8164,8164
1529585536,8157,8157
1529586263,8152,8152
1529586983,8161,8161
1529587949,8168,8168
1529588662,8172,8172
1529589379,8164,8164
1529590100,8158,8158
1529590829,8163,8163
1529591545,8105,8105
1529592261,8158,8158
1529592977,8160,8160
1529593711,8100,8100
1529594415,8168,8168
1529595150,8177,8177
1529595861,8195,8195
1529596580,8171,8171
1529597569,8178,8178
1529598260,8180,8180
1529598981,8189,8189
1529599702,8198,8198
1529600443,8173,8173
1529601388,8189,8189
1529602355,8168,8168
1529603060,8179,8179
1529603777,8195,8195
1529604499,8196,8196
1529605225,8197,8197
1529606196,8214,8214
1529607150,8200,8200
1529608114,8217,8217
1529608815,8216,8216
1529609545,8198,8198
1529610264,8217,8217
1529610980,8208,8208
1529611952,8206,8206
1529612904,8218,8218
1529613872,8208,8208
1529614838,8201,8201
1529615796,8185,8185
1529616494,8184,8184
1529617221,8190,8190
1529617940,8200,8200
1529618670,8209,8209
1529619630,8198,8198
1529620697,8182,8182
1529622283,8189,8189
1529622977,8165,8165
1529623699,8181,8181
1529624663,8180,8180
1529625374,8177,8177
1529626110,8158,8158
1529626815,8181,8181
1529627552,8188,8188
1529628260,8181,8181
1529628978,8157,8157
1529629699,8162,8162
1529630420,8165,8165
1529631145,8181,8181
1529631862,8180,8180
1529632575,8167,8167
1529633314,8166,8166
1529634262,8178,8178
1529635224,8184,8184
1529635954,8185,8185
1529636666,8171,8171
1529637378,8181,8181
1529638103,8173,8173
1529638817,8179,8179
1529639548,8154,8154
1529640263,8166,8166
1529640980,8160,8160
1529641947,8166,8166
1529642656,8164,8164
1529643382,8173,8173
1529644103,8172,8172
1529644824,8154,8154
1529645538,8161,8161
1529646261,8151,8151
1529646975,8144,8144
1529647723,8147,8147
1529648415,8139,8139
1529649150,8135,8135
1529649861,8139,8139
1529650582,8104,8104
1529651296,8132,8132
1529652015,8154,8154
1529652743,8158,8158
1529653458,8154,8154
1529654182,8149,8149
1529654912,8148,8148
1529655618,8152,8152
1529656344,8175,8175
1529657060,8187,8187
1529657775,8174,8174
1529658522,8187,8187
1529659701,8205,8205
1529660667,8204,8204
1529661633,8199,8199
1529662337,8193,8193
1529663066,8194,8194
1529663776,8193,8193
1529664504,8205,8205
1529665474,8173,8173
1529666421,8197,8197
1529667387,8209,8209
1529668345,8217,8217
1529669317,8224,8224
1529670026,8218,8218
1529670755,8243,8243
1529671458,8229,8229
1529672177,8221,8221
1529673155,8223,8223
1529673861,8218,8218
1529674585,8217,8217
1529675302,8227,8227
1529676032,8223,8223
1529676994,8244,8244
1529677695,8229,8229
1529678427,8236,8236
1529679398,8242,8242
1529680355,8235,8235
1529681058,8230,8230
1529681779,8236,8236
1529682751,8220,8220
1529683464,8204,8204
1529684188,8229,8229
1529684897,8239,8239
1529685620,8239,8239
1529686581,8245,8245
1529687548,8236,8236
1529688504,8234,8234
1529689217,8230,8230
1529689945,8238,8238
1529690672,8245,8245
1529691384,8249,8249
1529692351,8252,8252
1529693058,8238,8238
1529693782,8235,8235
1529694499,8254,8254
1529695217,8244,8244
1529696191,8218,8218
1529696899,8231,8231
1529697652,8226,8226
1529698343,8229,8229
1529699078,8213,8213
1529700024,8213,8213
1529700737,8220,8220
1529701475,8209,8209
1529702178,8236,8236
1529702900,8209,8209
1529703617,8202,8202
1529704339,8236,8236
1529705067,8232,8232
1529705790,8207,8207
1529706494,8212,8212
1529707828,8206,8206
1529708668,8191,8191
1529709373,8210,8210
1529710343,8201,8201
1529711063,8212,8212
1529711777,8206,8206
1529712500,8190,8190
1529713220,8205,8205
1529713943,8218,8218
1529714661,8216,8216
1529715376,8204,8204
1529716113,8199,8199
1529716814,8219,8219
1529717544,8210,8210
1529718258,8228,8228
