DateTime,AddedIPs,RemovedIPs
1529172935,2,2
1529174124,3,4
1529176462,3,3
1529177303,1,0
1529178147,0,3
1529180061,1,2
1529180901,2,0
1529182235,3,4
1529183339,3,3
1529185248,5,5
1529187262,8,7
1529188107,3,0
1529188955,2,7
1529189790,3,0
1529190874,2,0
1529192313,4,4
1529193395,3,0
1529194462,2,3
1529196579,2,2
1529197834,0,3
1529199756,8,3
1529201684,0,6
1529203232,4,6
1529204743,2,4
1529205933,3,0
1529206962,2,6
1529208634,1,3
1529209833,3,8
1529211336,2,2
1529212473,4,0
1529213302,1,0
1529214625,2,10
1529216068,4,1
1529217654,1,5
1529219675,5,5
1529221236,4,6
1529223261,2,5
1529224475,1,2
1529226329,3,2
1529227854,1,4
1529230471,3,5
1529232629,1,2
1529233833,2,2
1529234915,1,0
1529236735,3,11
1529238509,1,0
1529239356,2,0
1529241262,9,0
1529243790,4,3
1529244874,2,5
1529246135,0,5
1529247325,5,0
1529248473,1,1
1529250508,1,3
1529251835,6,3
1529253041,2,0
1529254581,3,0
1529255736,2,0
1529257827,4,2
1529259035,2,0
1529260977,0,1
1529262331,0,2
1529263838,1,2
1529265385,2,0
1529266535,1,3
1529268142,1,2
1529269526,3,3
1529270931,2,0
1529273680,3,2
1529274804,0,2
1529276731,2,3
1529278103,1,0
1529278951,0,5
1529280899,0,3
1529282227,1,4
1529284529,3,3
1529285727,1,2
1529286934,1,1
1529288074,3,1
1529289338,1,1
1529290527,1,0
1529291666,2,2
1529293350,2,2
1529297787,1,0
1529298863,1,1
1529299702,1,0
1529301388,1,2
1529302543,2,3
1529304649,0,5
1529305835,1,0
1529306907,2,1
1529307747,0,3
1529309698,1,1
1529310502,1,0
1529311343,1,4
1529313270,1,5
1529315268,3,4
1529316869,2,4
1529318548,3,6
1529319397,4,0
1529320463,3,4
1529322037,2,3
1529323606,6,7
1529324068,1,0
1529325216,0,4
1529326583,1,0
1529329357,1,5
1529330200,1,0
1529331332,3,5
1529333734,5,2
1529334864,2,3
1529336457,8,2
1529338469,4,2
1529340158,0,2
1529342138,3,6
1529342917,2,0
1529344524,4,5
1529345669,1,4
1529347354,2,1
1529349330,0,1
1529351417,1,4
1529352868,1,2
1529354555,1,6
1529356472,3,5
1529357307,2,0
1529358833,1,6
1529360902,4,7
1529361743,0,6
1529363665,1,5
1529364892,1,1
1529366137,0,1
1529367335,2,2
1529369138,5,3
1529370863,5,5
1529371712,1,1
1529373473,5,6
1529374481,3,4
1529376045,7,3
1529376987,2,0
1529378079,8,5
1529378905,2,0
1529380392,3,6
1529381667,3,3
1529383251,1,7
1529384709,1,4
1529386206,1,6
1529387788,3,0
1529388862,2,4
1529390296,2,3
1529391933,3,4
1529393441,2,5
1529394941,2,0
1529396135,0,2
1529397748,0,3
1529399662,9,0
1529401352,3,1
1529402628,1,5
1529404098,3,0
1529405726,2,5
1529406928,3,6
1529409594,7,6
1529411314,1,2
1529412522,1,5
1529413837,3,3
1529414902,1,0
1529416124,2,5
1529417429,0,8
1529419347,1,6
1529420725,4,3
1529422946,3,6
1529424870,4,3
1529426556,2,6
1529428475,3,3
1529429301,2,0
1529430147,2,3
1529431716,2,1
1529432901,1,0
1529433752,3,4
1529434590,1,0
1529435661,1,4
1529436500,3,0
1529437825,4,2
1529439336,4,5
1529440951,2,1
