DateTime,Entries,UniqueIPs
1529172935,8649,8649
1529174124,8648,8648
1529176462,8648,8648
1529177303,8649,8649
1529178147,8646,8646
1529180061,8645,8645
1529180901,8647,8647
1529182235,8646,8646
1529183339,8646,8646
1529185248,8646,8646
1529187262,8647,8647
1529188107,8650,8650
1529188955,8645,8645
1529189790,8648,8648
1529190874,8650,8650
1529192313,8650,8650
1529193395,8653,8653
1529194462,8652,8652
1529196579,8652,8652
1529197834,8649,8649
1529199756,8654,8654
1529201684,8648,8648
1529203232,8646,8646
1529204743,8644,8644
1529205933,8647,8647
1529206962,8643,8643
1529208634,8641,8641
1529209833,8636,8636
1529211336,8636,8636
1529212473,8640,8640
1529213302,8641,8641
1529214625,8633,8633
1529216068,8636,8636
1529217654,8632,8632
1529219675,8632,8632
1529221236,8630,8630
1529223261,8627,8627
1529224475,8626,8626
1529226329,8627,8627
1529227854,8624,8624
1529230471,8622,8622
1529232629,8621,8621
1529233833,8621,8621
1529234915,8622,8622
1529236735,8614,8614
1529238509,8615,8615
1529239356,8617,8617
1529241262,8626,8626
1529243790,8627,8627
1529244874,8624,8624
1529246135,8619,8619
1529247325,8624,8624
1529248473,8624,8624
1529250508,8622,8622
1529251835,8625,8625
1529253041,8627,8627
1529254581,8630,8630
1529255736,8632,8632
1529257827,8634,8634
1529259035,8636,8636
1529260977,8635,8635
1529262331,8633,8633
1529263838,8632,8632
1529265385,8634,8634
1529266535,8632,8632
1529268142,8631,8631
1529269526,8631,8631
1529270931,8633,8633
1529273680,8634,8634
1529274804,8632,8632
1529276731,8631,8631
1529278103,8632,8632
1529278951,8627,8627
1529280899,8624,8624
1529282227,8621,8621
1529284529,8621,8621
1529285727,8620,8620
1529286934,8620,8620
1529288074,8622,8622
1529289338,8622,8622
1529290527,8623,8623
1529291666,8623,8623
1529293350,8623,8623
1529297787,8624,8624
1529298863,8624,8624
1529299702,8625,8625
1529301388,8624,8624
1529302543,8623,8623
1529304649,8618,8618
1529305835,8619,8619
1529306907,8620,8620
1529307747,8617,8617
1529309698,8617,8617
1529310502,8618,8618
1529311343,8615,8615
1529313270,8611,8611
1529315268,8610,8610
1529316869,8608,8608
1529318548,8605,8605
1529319397,8609,8609
1529320463,8608,8608
1529322037,8607,8607
1529323606,8606,8606
1529324068,8607,8607
1529325216,8603,8603
1529326583,8604,8604
1529329357,8600,8600
1529330200,8601,8601
1529331332,8599,8599
1529333734,8602,8602
1529334864,8601,8601
1529336457,8607,8607
1529338469,8609,8609
1529340158,8607,8607
1529342138,8604,8604
1529342917,8606,8606
1529344524,8605,8605
1529345669,8602,8602
1529347354,8603,8603
1529349330,8602,8602
1529351417,8599,8599
1529352868,8598,8598
1529354555,8593,8593
1529356472,8591,8591
1529357307,8593,8593
1529358833,8588,8588
1529360902,8585,8585
1529361743,8579,8579
1529363665,8575,8575
1529364892,8575,8575
1529366137,8574,8574
1529367335,8574,8574
1529369138,8576,8576
1529370863,8576,8576
1529371712,8576,8576
1529373473,8575,8575
1529374481,8574,8574
1529376045,8578,8578
1529376987,8580,8580
1529378079,8583,8583
1529378905,8585,8585
1529380392,8582,8582
1529381667,8582,8582
1529383251,8576,8576
1529384709,8573,8573
1529386206,8568,8568
1529387788,8571,8571
1529388862,8569,8569
1529390296,8568,8568
1529391933,8567,8567
1529393441,8564,8564
1529394941,8566,8566
1529396135,8564,8564
1529397748,8561,8561
1529399662,8570,8570
1529401352,8572,8572
1529402628,8568,8568
1529404098,8571,8571
1529405726,8568,8568
1529406928,8565,8565
1529409594,8566,8566
1529411314,8565,8565
1529412522,8561,8561
1529413837,8561,8561
1529414902,8562,8562
1529416124,8559,8559
1529417429,8551,8551
1529419347,8546,8546
1529420725,8547,8547
1529422946,8544,8544
1529424870,8545,8545
1529426556,8541,8541
1529428475,8541,8541
1529429301,8543,8543
1529430147,8542,8542
1529431716,8543,8543
1529432901,8544,8544
1529433752,8543,8543
1529434590,8544,8544
1529435661,8541,8541
1529436500,8544,8544
1529437825,8546,8546
1529439336,8545,8545
1529440951,8546,8546
1529441790,8547,8547
1529442878,8549,8549
1529443711,8550,8550
1529445382,8551,8551
1529446478,8550,8550
1529447303,8553,8553
1529449143,8551,8551
1529450071,8552,8552
1529451202,8553,8553
1529452587,8554,8554
1529453665,8553,8553
1529455346,8553,8553
1529456187,8555,8555
1529457332,8553,8553
1529458106,8556,8556
1529458939,8554,8554
1529460869,8553,8553
1529462564,8555,8555
1529465314,8559,8559
1529466988,8564,8564
1529468072,8566,8566
1529469741,8564,8564
