DateTime,AddedIPs,RemovedIPs
1528806524,1,0
1528809284,1,0
1528812942,1,0
1528815051,0,1
1528816469,1,0
1528819000,1,7
1528820139,0,1
1528821763,2,0
1528824657,0,2
1528827275,1,0
1528832174,1,1
1528837352,0,1
1528841680,2,0
1528844736,1,0
1528845901,1,0
1528846963,0,1
1528848939,0,1
1528850556,3,2
1528851401,1,0
1528852545,0,2
1528856081,2,1
1528857764,2,1
1528865434,0,2
1528866639,1,0
1528874148,2,1
1528875380,2,0
1528877669,1,0
1528879351,0,24
1528880747,1,1
1528882124,1,0
1528890998,1,0
1528895679,0,1
1528897128,1,0
1528900961,1,0
1528902335,1,0
1528906003,0,8
1528908149,3,1
1528909526,1,0
1528910909,1,0
1528912230,1,0
1528916208,1,0
1528918108,1,2
1528919434,1,0
1528920868,1,0
1528925309,1,0
1528928083,2,4
1528928914,1,0
1528929756,0,1
1528931143,2,1
1528934192,1,1
1528935343,0,2
1528936956,1,0
1528938882,3,1
1528940456,2,2
1528942240,4,1
1528943506,1,0
1528944944,1,0
1528946145,1,0
1528949681,1,1
1528951114,1,0
1528952736,1,1
1528953274,1,0
1528955821,2,0
1528956881,0,1
1528958135,0,1
1528961750,0,2
1528962971,1,0
1528964070,2,0
1528967674,1,0
1528970874,1,2
1528972669,0,1
1528977933,0,1
1528979129,1,0
1528982067,1,0
1528983663,1,1
1528985747,1,0
1528986509,1,0
1528987358,0,1
1528989341,0,1
1528990869,0,5
1528992889,3,0
1528995336,2,0
1529001763,1,1
1529005213,1,0
1529007043,1,0
1529008949,1,0
1529010878,1,0
1529012140,0,2
1529014480,0,1
1529016935,0,1
1529018142,1,0
1529019646,1,0
1529021675,0,4
1529023366,0,1
1529025268,3,0
1529028300,1,2
1529029724,2,0
1529030558,1,0
1529032484,3,1
1529035841,0,1
1529037068,1,0
1529039740,1,1
1529041348,1,0
1529042195,1,0
1529043336,0,1
1529044958,0,3
1529045797,3,0
1529050113,1,0
1529051449,1,1
1529057737,2,0
1529060188,1,0
1529065724,7,0
1529067390,2,0
1529070054,0,1
1529072085,0,1
1529073748,1,0
1529076509,1,0
1529077833,1,8
1529079278,0,1
1529080950,2,3
1529082878,3,1
1529084547,2,0
1529086553,2,1
1529088062,0,3
1529090077,1,1
1529090984,0,1
1529094947,3,1
1529096114,19,0
1529098539,0,2
1529100939,0,2
1529102549,2,0
1529103393,1,0
1529104478,1,0
1529108141,0,2
1529108911,0,1
1529110238,0,3
1529111673,1,2
1529113243,1,3
1529115051,0,3
1529120557,0,1
1529122195,0,1
1529124156,1,1
1529126142,0,1
1529132189,1,0
1529133342,1,2
1529134954,2,0
1529136868,2,1
1529138160,2,1
1529140543,0,1
1529144067,1,1
1529145659,1,0
1529149052,2,0
1529150184,3,0
1529151271,0,1
1529153444,0,1
1529156560,0,2
1529158480,1,1
1529160996,1,0
1529162143,0,1
1529163757,2,6
1529165668,6,2
1529166523,1,0
1529171804,1,0
1529172944,0,1
1529174130,1,0
1529176467,1,3
1529177308,2,0
1529180068,1,2
1529180907,1,0
1529183361,1,0
1529185258,2,1
1529187268,1,1
1529190880,1,0
1529193401,3,2
1529194468,3,1
1529196586,1,1
1529199763,1,1
1529201693,1,3
1529203240,2,1
1529205941,4,1
1529206969,0,1
1529209844,2,1
1529211342,2,1
1529212480,0,1
1529216073,0,2
1529217662,2,0
1529219683,0,1
1529222195,1,0
1529227882,1,1
1529228557,1,0
1529230476,1,1
1529233843,0,1
1529236740,1,7
1529243796,2,0
1529244880,2,1
1529246141,1,0
1529248479,1,1
1529250514,0,8
1529251840,0,4
1529253056,0,2
1529255742,1,2
1529257833,1,2
1529259041,0,1
1529261006,1,0
1529262337,2,0
1529263853,0,1
1529265390,1,2
1529266542,1,19
1529268147,1,0
1529273687,1,3
1529274811,3,0
1529277277,1,0
1529278963,1,0
1529279798,1,0
1529280924,1,0
1529282245,0,1
1529284534,3,0
1529291674,1,2
1529293357,1,1
1529295278,1,0
1529296840,0,1
1529298869,1,0
1529301396,1,1
1529302554,1,0
1529304655,1,1
1529305841,0,1
1529306914,2,0
1529307753,0,4
1529309718,4,0
1529310508,1,0
1529311349,0,1
1529315273,1,1
1529316876,1,0
1529318554,2,2
1529320468,0,1
1529322043,3,0
1529324074,1,0
1529325221,0,1
1529327734,0,1
1529331341,0,1
1529333740,2,1
1529334869,1,3
1529336463,3,5
1529338476,5,0
1529340164,2,0
1529340998,1,0
1529345675,1,1
1529347360,1,2
1529348194,2,0
1529351423,1,2
1529352874,1,0
1529354565,0,3
1529360908,1,0
1529361748,0,1
1529363672,2,2
1529364897,0,2
1529367371,1,0
1529369144,0,1
1529370868,1,0
1529373478,1,1
1529376052,1,3
1529378086,0,1
1529378911,0,1
1529380398,1,3
1529381673,1,0
1529383257,3,0
1529384727,1,0
1529386234,4,0
1529388868,0,1
1529390311,0,1
1529393454,1,0
1529394948,1,0
1529397754,0,2
1529399667,1,0
1529402636,1,0
1529406934,1,1
1529409638,0,1
1529412528,0,1
1529413844,2,1
1529414908,1,0
1529416130,0,3
1529417435,1,0
1529419352,2,0
1529420730,1,0
1529422954,2,6
1529424876,5,0
1529426562,1,1
1529428480,0,1
1529429307,2,0
1529430153,1,0
1529431721,1,1
1529433758,0,1
1529437831,1,1
1529441795,0,1
1529443718,1,0
1529445387,1,3
1529446484,0,1
1529449151,0,1
1529451214,0,2
1529452593,4,0
1529453671,5,0
1529455353,3,1
1529458944,0,1
1529462571,1,1
1529463945,0,1
1529465319,2,0
1529466994,1,1
1529469747,4,0
1529471679,1,0
1529474215,1,0
1529476112,1,1
1529479781,0,1
1529482473,1,0
1529485529,0,1
1529489667,2,0
1529492194,1,0
1529494501,0,2
1529496872,1,0
1529500479,1,0
1529503837,5,0
1529505045,1,0
1529507672,0,1
1529508928,0,18
1529510134,1,2
1529511267,0,1
1529512107,1,0
1529516459,1,2
1529518477,0,2
1529520153,1,0
1529522072,0,1
1529528083,1,0
1529530111,2,0
1529530956,0,1
1529532880,1,1
1529533712,4,0
1529537580,0,1
1529539840,5,0
1529541042,1,1
1529543740,0,1
1529547039,0,1
1529548952,2,1
1529550880,0,1
1529554244,2,0
1529556995,5,2
1529558138,1,0
1529559638,1,0
1529564055,1,1
1529565281,0,1
1529570548,0,1
1529572469,0,1
1529574041,2,0
1529575186,0,1
1529577750,2,0
1529579679,0,1
1529583344,1,0
1529584530,0,2
1529586332,1,0
1529592041,1,2
1529593533,1,0
1529594917,2,0
1529595760,4,19
1529597667,2,0
1529599355,1,3
1529601280,1,1
1529602958,0,3
1529604938,1,0
1529606267,1,0
1529607935,0,2
1529610148,0,1
1529611540,2,0
1529613047,0,1
1529614593,1,1
1529617352,3,0
1529619269,3,0
1529620979,0,1
1529622333,1,3
1529622876,2,0
1529624550,1,10
1529626237,1,0
1529628157,1,0
1529632599,1,2
1529633753,0,1
1529635537,0,2
1529636733,1,1
1529638966,0,1
1529642554,1,0
1529643939,0,2
1529646746,1,0
