DateTime,Entries,UniqueIPs
1529134960,328,328
1529136873,330,330
1529138179,334,334
1529139414,336,336
1529140549,333,333
1529142164,331,331
1529143000,335,335
1529144073,336,336
1529145668,335,335
1529146601,336,336
1529147746,340,340
1529149057,338,338
1529150190,340,340
1529151276,339,339
1529153449,344,344
1529154886,348,348
1529156565,347,347
1529158485,349,349
1529160154,350,350
1529161002,351,351
1529162150,350,350
1529162926,351,351
1529163762,349,349
1529165673,346,346
1529167363,342,342
1529169285,342,342
1529170114,343,343
1529171809,342,342
1529172950,342,342
1529174136,341,341
1529176472,339,339
1529178156,336,336
1529180912,337,337
1529182252,337,337
1529183366,335,335
1529185263,332,332
1529187273,331,331
1529188117,333,333
1529188965,329,329
1529189802,331,331
1529190885,333,333
1529192325,332,332
1529193406,334,334
1529194472,332,332
1529196591,333,333
1529197845,330,330
1529199769,332,332
1529201699,326,326
1529203246,322,322
1529204757,320,320
1529205946,323,323
1529206976,319,319
1529208644,316,316
1529209850,310,310
1529211348,308,308
1529212485,312,312
1529214636,303,303
1529216106,305,305
1529217667,301,301
1529219688,300,300
1529221248,296,296
1529223272,293,293
1529224486,292,292
1529226340,293,293
1529227891,291,291
1529230481,290,290
1529232640,289,289
1529233848,288,288
1529236754,288,288
1529239367,289,289
1529241273,295,295
1529243802,294,294
1529244886,291,291
1529246151,287,287
1529247337,292,292
1529248484,292,292
1529250519,291,291
1529251846,292,292
1529253062,293,293
1529254594,295,295
1529255750,296,296
1529257839,296,296
1529262342,295,295
1529263864,294,294
1529265397,295,295
1529266548,294,294
1529268152,293,293
1529269537,293,293
1529273692,293,293
1529274816,291,291
1529276744,290,290
1529278115,291,291
1529278975,287,287
1529279803,286,286
1529280934,285,285
1529282250,281,281
1529284540,282,282
1529285745,281,281
1529286948,281,281
1529288086,283,283
1529289358,284,284
1529291680,284,284
1529293363,284,284
1529297799,285,285
1529298874,284,284
1529301401,283,283
1529302559,282,282
1529304661,277,277
1529306918,278,278
1529307759,275,275
1529309734,275,275
1529311354,272,272
1529313282,268,268
1529315279,265,265
1529316881,263,263
1529318559,260,260
1529319414,263,263
1529320474,263,263
1529322049,263,263
1529323617,262,262
1529324079,263,263
1529325227,259,259
1529326594,260,260
1529329368,257,257
1529331347,254,254
1529333746,255,255
1529334874,255,255
