DateTime,AddedIPs,RemovedIPs
1529277253,63,0
1529278085,105,0
1529278926,144,84
1529279767,39,0
1529280884,59,105
1529282211,92,106
1529283310,151,28
1529284506,143,49
1529285710,74,82
1529286913,154,40
1529288046,185,82
1529289307,77,83
1529290506,92,0
1529291647,103,76
1529293326,141,152
1529295246,164,40
1529296806,192,84
1529297766,86,0
1529298846,79,95
1529299686,56,0
1529301366,142,112
1529302511,133,59
1529303286,95,0
1529304623,89,138
1529305806,65,70
1529306886,75,0
1529307727,75,172
1529308566,84,0
1529309681,152,130
1529310486,108,1
1529311327,59,120
1529312166,68,2
1529313246,101,91
1529314085,82,0
1529315250,186,87
1529316846,203,137
1529318526,150,173
1529319366,87,0
1529320447,129,89
1529322007,141,119
1529323591,164,122
1529324046,37,1
1529325194,116,119
1529326566,98,29
1529327707,122,101
1529328486,124,0
1529329326,218,177
1529330166,129,0
1529331311,210,78
1529332084,111,1
1529333706,256,92
1529334846,214,96
1529336427,324,219
1529338446,270,77
1529340125,230,99
1529340966,69,0
1529342108,135,108
1529342885,71,0
1529344508,155,189
1529345646,83,90
1529347332,118,161
1529348166,73,0
1529349306,108,96
1529350093,69,0
1529351395,119,164
1529352846,165,81
1529354535,223,128
1529356447,134,71
1529357286,60,0
1529358817,158,110
1529360107,108,95
1529360886,71,0
1529361727,43,119
1529363647,127,116
1529364875,75,146
1529366106,66,32
1529367310,83,81
1529369110,67,149
1529369766,37,0
1529370846,76,177
1529371686,72,0
1529373458,136,197
1529374447,90,109
1529376007,105,114
1529376967,43,1
1529378055,71,113
1529378887,80,0
1529380374,119,199
1529381647,131,116
1529383225,193,147
1529384400,93,104
1529385606,70,14
1529387107,148,128
1529387766,39,0
1529388846,73,115
1529390273,138,147
1529391913,163,223
1529393417,139,164
1529394911,197,0
1529396111,94,142
1529396893,40,0
1529397726,86,189
1529399646,150,94
1529401331,99,227
1529402612,74,120
1529404082,89,1
1529405707,84,228
1529406905,60,197
1529409576,196,372
1529411287,209,11
1529412507,222,173
1529413812,120,118
1529414886,114,0
1529416109,117,193
1529417407,116,71
1529419326,137,166
1529420706,94,123
1529422927,193,146
1529424845,168,92
1529426526,179,187
1529428452,119,126
1529429285,45,0
1529430126,61,207
1529431702,121,100
1529432885,92,0
1529433733,36,181
1529434565,53,0
1529435646,56,112
1529436486,82,0
1529437806,111,194
1529439306,89,51
1529440927,95,155
1529441766,35,0
1529442858,55,73
1529443685,55,0
1529445366,95,127
1529446455,42,147
1529447287,40,0
1529449086,92,285
1529450045,43,97
1529451186,105,116
1529452566,138,0
1529453646,78,224
1529455325,102,220
1529456171,48,0
1529457307,70,187
1529458086,71,0
1529458925,51,229
1529459765,59,1
1529460847,119,100
1529462534,118,181
1529463912,71,143
1529465287,67,0
1529466967,117,305
1529468047,51,123
1529469726,106,175
1529471652,123,93
1529472486,71,0
1529474166,143,226
1529476086,191,126
1529476926,90,175
1529478310,203,139
1529479722,196,0
1529481719,151,384
1529482446,41,1
1529483705,108,167
1529485247,111,274
1529486046,102,3
1529487306,83,195
1529489646,196,134
1529490487,58,0
1529491326,58,236
1529492166,84,0
1529493255,67,137
1529494478,100,196
1529495766,118,46
1529496845,78,97
1529498526,112,334
1529500446,107,164
1529501286,54,1
1529503805,172,583
1529505009,46,372
1529506176,76,96
1529507645,82,172
1529508906,59,343
1529510107,59,64
1529511247,77,148
1529512086,41,0
1529513492,88,249
1529514611,150,200
1529514851,42,0
1529516423,167,213
1529518447,257,126
1529520127,154,382
1529521358,63,217
1529522046,48,0
1529523726,85,331
1529524573,50,0
1529525647,52,206
1529526486,86,0
1529528061,78,182
1529529306,54,190
1529530086,65,0
1529530925,51,263
1529532846,129,95
1529533687,73,0
1529536446,323,217
1529537560,61,100
1529539813,178,87
1529541008,197,148
1529542566,149,0
1529543705,99,146
1529544486,105,0
1529547008,153,289
1529548927,175,148
1529550847,235,189
1529552440,147,323
1529554210,106,111
1529555286,99,0
1529556965,168,186
1529558107,179,93
1529559612,96,152
1529561412,132,148
1529561652,15,0
1529562486,66,0
1529564033,126,205
1529565251,143,157
1529566926,136,109
1529567766,80,0
1529568045,22,201
1529568846,60,2
1529570527,127,132
1529571366,69,1
1529572446,72,67
1529574011,148,102
1529575148,163,89
1529576410,110,9
1529576886,42,1
1529577726,106,149
1529579646,228,80
1529580486,119,0
1529582166,189,125
1529583306,112,202
1529584506,148,123
1529587210,327,122
1529588411,80,133
1529589641,148,102
1529590446,168,0
1529592010,183,119
1529593506,175,183
1529594886,149,1
1529595727,73,252
1529597647,143,98
1529599325,154,84
1529601246,131,133
1529602926,133,154
1529603766,70,0
1529604906,92,79
1529606246,80,122
1529607908,116,180
1529609286,117,0
1529610127,51,185
1529611518,99,87
1529613007,135,111
1529614566,90,31
1529615710,60,94
1529617326,112,103
1529619247,141,62
1529620925,78,214
1529622306,103,118
1529622845,37,0
1529624526,167,151
1529626212,104,77
1529627286,68,0
1529628127,68,143
1529629253,119,94
1529630410,72,1
1529631627,106,195
1529632568,98,0
1529633713,89,55
1529635507,116,81
1529636460,85,129
1529638094,232,0
1529638934,43,135
1529639778,55,0
1529640906,75,71
1529642526,131,161
1529643910,97,136
1529645410,98,153
1529647240,172,227
1529648046,39,0
1529648886,32,0
1529649727,82,282
1529650566,58,0
1529651647,73,112
1529652907,67,92
1529654173,127,0
1529655305,85,150
1529656086,60,1
1529657765,98,200
1529658854,81,95
1529659704,44,1
1529660525,32,181
1529662446,150,127
1529663707,91,139
1529665506,151,159
1529666886,126,0
1529668132,74,168
1529669646,95,67
1529670491,52,1
1529672166,159,101
1529673245,50,130
1529674927,97,123
1529676846,152,84
1529678526,80,67
1529679906,110,97
1529681410,122,103
1529682606,62,37
1529682967,11,0
1529684047,27,75
1529685734,64,166
1529687646,102,108
1529689206,78,147
1529691247,105,99
1529692927,91,119
1529693766,57,0
1529694846,118,87
1529695686,79,0
1529697366,174,141
1529699286,155,124
1529700126,55,131
1529700967,38,0
1529702106,48,90
1529702892,57,0
1529703727,61,173
1529704565,95,0
1529706486,156,142
1529707333,70,155
1529708706,99,132
1529709833,86,0
1529710926,104,296
1529712880,280,94
1529714526,145,164
1529715906,91,121
1529718027,242,145
1529718970,100,0
1529720113,109,153
1529720896,53,0
1529722508,113,253
1529723647,55,69
1529724493,68,0
1529725327,76,129
1529726166,84,0
1529727246,92,198
1529728927,91,241
1529730845,121,100
1529731686,68,0
1529732527,56,143
1529734446,114,185
1529735286,54,0
1529736965,122,233
1529738046,66,136
1529739726,140,186
1529741646,134,97
1529742907,90,140
1529744708,124,225
1529746208,77,154
1529747767,99,61
1529748911,59,170
1529749693,76,0
1529750989,128,227
1529752453,73,232
1529754023,94,425
1529755164,73,222
1529756406,80,39
1529757763,116,132
1529758947,131,223
1529760307,104,0
1529761508,70,351
1529763009,100,134
1529764933,100,156
1529766846,80,147
1529768534,62,330
1529769643,44,185
1529770446,46,0
1529772127,131,148
1529772966,58,0
1529774046,74,133
1529776565,173,138
1529777646,65,75
1529778487,35,0
1529779331,96,179
1529780175,30,0
1529782086,100,78
1529784845,191,289
1529786406,150,106
1529787905,85,165
1529788446,37,0
1529789285,77,0
1529790971,96,126
1529792112,39,85
1529794505,144,127
1529795710,107,163
1529796486,61,0
1529797326,74,125
1529799246,149,130
1529800830,75,171
1529802307,83,147
1529803812,118,129
1529804997,102,0
1529805652,35,128
1529806808,91,0
1529808128,181,263
1529808967,62,0
1529810115,96,100
1529811727,81,124
1529813410,155,155
1529814486,83,0
1529816166,101,170
1529817313,58,125
1529818092,74,0
1529818926,52,135
1529820853,161,86
1529821693,86,0
1529823305,78,116
1529824506,79,176
1529826174,101,189
1529828046,121,89
1529830206,184,145
