DateTime,Entries,UniqueIPs
1529241267,1287,1287
1529242121,1292,1292
1529243795,1295,1295
1529244879,1293,1293
1529246139,1294,1294
1529248477,1293,1293
1529250513,1290,1290
1529251839,1287,1287
1529253054,1288,1288
1529254586,1290,1290
1529255740,1290,1290
1529257832,1293,1293
1529259040,1293,1293
1529260113,1294,1294
1529261005,1291,1291
1529262336,1284,1284
1529263845,1283,1283
1529265389,1285,1285
1529266541,1282,1282
1529268146,1279,1279
1529269530,1284,1284
1529270936,1287,1287
1529272092,1287,1287
1529273685,1297,1297
1529274810,1292,1292
1529276737,1292,1292
1529277276,1293,1293
1529278107,1297,1297
1529278960,1292,1292
1529280912,1284,1284
1529282241,1273,1273
1529284533,1273,1273
1529285737,1268,1268
1529286941,1278,1278
1529288080,1279,1279
1529289349,1275,1275
1529290533,1287,1287
1529291673,1289,1289
1529293356,1292,1292
1529295277,1293,1293
1529296838,1291,1291
1529297793,1293,1293
1529298868,1283,1283
1529299707,1287,1287
1529301394,1285,1285
1529302553,1285,1285
1529303313,1286,1286
1529304654,1280,1280
1529305840,1276,1276
1529306912,1278,1278
1529307752,1272,1272
1529308599,1276,1276
1529309703,1275,1275
1529310507,1277,1277
1529311348,1269,1269
1529312187,1271,1271
1529313276,1272,1272
1529314119,1275,1275
1529315272,1273,1273
1529316875,1269,1269
1529318553,1257,1257
1529320467,1252,1252
1529322042,1252,1252
1529323611,1252,1252
1529325220,1248,1248
1529326587,1251,1251
1529327733,1249,1249
1529328522,1250,1250
1529329362,1247,1247
1529330204,1249,1249
1529331340,1247,1247
1529332116,1249,1249
1529333739,1239,1239
1529334868,1245,1245
1529336462,1241,1241
1529338475,1241,1241
1529340162,1245,1245
1529340997,1244,1244
1529342143,1243,1243
1529344529,1242,1242
1529345674,1236,1236
1529347359,1238,1238
1529348193,1239,1239
1529349335,1236,1236
1529350117,1240,1240
1529351422,1242,1242
1529352873,1244,1244
1529354564,1244,1244
1529356477,1238,1238
1529357312,1237,1237
1529358837,1235,1235
1529360906,1234,1234
1529361747,1230,1230
1529363671,1229,1229
1529364896,1230,1230
1529366141,1228,1228
1529367369,1231,1231
1529369143,1221,1221
1529369798,1226,1226
1529370867,1224,1224
1529371716,1229,1229
1529373477,1211,1211
1529374487,1206,1206
1529376051,1196,1196
1529376993,1203,1203
1529378085,1187,1187
1529378910,1195,1195
1529380397,1178,1178
1529381672,1184,1184
1529383256,1173,1173
1529384726,1173,1173
1529386217,1163,1163
1529387793,1174,1174
1529388867,1158,1158
1529390310,1153,1153
1529391938,1146,1146
1529393453,1134,1134
1529394946,1143,1143
1529396140,1123,1123
1529396919,1127,1127
1529397753,1093,1093
1529399666,1084,1084
1529401356,1049,1049
1529402634,1030,1030
1529404103,1038,1038
1529405731,991,991
1529406932,941,941
1529409599,911,911
1529411318,922,922
1529412527,912,912
1529413842,904,904
1529414907,911,911
1529416129,904,904
1529417434,905,905
1529419351,909,909
1529420729,909,909
1529422952,909,909
1529424875,916,916
1529426561,917,917
1529428479,921,921
1529429306,924,924
1529430151,928,928
1529431720,937,937
1529432905,942,942
1529433757,938,938
1529434595,938,938
1529435664,939,939
1529436505,940,940
1529437830,935,935
1529439340,933,933
1529440956,928,928
1529441794,930,930
1529442882,929,929
1529445386,920,920
1529446482,914,914
1529447307,916,916
1529449149,909,909
1529450076,911,911
1529451210,911,911
1529452592,916,916
1529453670,912,912
1529455352,915,915
1529456192,922,922
1529457337,929,929
1529458110,933,933
1529458944,928,928
1529459791,934,934
1529460875,936,936
1529462569,945,945
1529463944,951,951
1529465318,958,958
1529466993,962,962
1529468077,963,963
1529469746,956,956
1529471678,960,960
1529472505,965,965
1529474214,964,964
1529476111,968,968
1529476945,962,962
1529478341,965,965
1529479742,970,970
1529481763,963,963
1529482472,965,965
1529483744,970,970
1529485528,970,970
1529486067,973,973
1529487338,973,973
1529489666,979,979
1529490512,984,984
1529491352,978,978
1529492193,979,979
1529493294,979,979
1529494500,979,979
1529495789,984,984
1529496871,985,985
1529498546,985,985
1529500478,989,989
1529503836,987,987
1529505043,977,977
1529506196,983,983
1529507671,989,989
1529508927,990,990
1529510133,987,987
1529511266,986,986
1529512106,989,989
1529513529,989,989
1529514637,985,985
1529514882,986,986
1529516458,987,987
1529518476,988,988
1529520152,961,961
1529522071,958,958
1529523751,951,951
