DateTime,AddedIPs,RemovedIPs
1529265388,47,5
1529266540,81,23
1529267305,20,1
1529268144,12,41
1529269529,15,19
1529270935,50,2
1529272085,29,15
1529273684,22,31
1529274808,14,27
1529276736,78,21
1529277274,18,6
1529278106,27,0
1529278957,7,28
1529279796,20,1
1529280904,21,29
1529282238,28,21
1529284532,76,19
1529285731,27,25
1529286939,80,11
1529288078,42,21
1529289343,25,16
1529290532,10,5
1529291670,22,26
1529293354,26,29
1529295276,58,13
1529296837,92,15
1529297791,21,1
1529298866,14,20
1529299706,11,2
1529301392,30,33
1529302550,33,19
1529303312,29,4
1529304653,40,26
1529305838,33,15
1529306911,34,0
1529307751,22,102
1529308597,32,1
1529309701,66,74
1529310506,38,0
1529311346,19,25
1529312186,21,2
1529313274,29,27
1529314117,20,6
1529315271,55,21
1529316873,123,52
1529318552,35,46
1529319402,26,0
1529320466,87,19
1529322041,80,43
1529323610,61,27
1529324071,13,0
1529325219,21,28
1529326586,45,9
1529327732,35,62
1529328521,26,1
1529329361,136,76
1529330203,93,4
1529331338,106,25
1529332114,35,1
1529333738,148,37
1529334867,98,32
1529336460,125,77
1529338473,140,22
1529340161,43,36
1529340996,30,1
1529342142,35,32
1529342921,21,2
1529344528,64,60
1529345672,49,39
1529347357,52,70
1529348192,23,0
1529349334,46,29
1529350116,38,1
1529351421,82,108
1529352871,76,54
1529354559,43,42
1529356476,73,19
1529357311,17,0
1529358836,40,35
1529360905,65,38
1529361746,34,40
1529363669,63,34
1529364895,43,65
1529366140,51,11
1529367342,27,48
1529369142,27,59
1529369797,18,0
1529370866,34,77
1529371715,48,1
1529373476,56,43
1529374485,25,21
1529376049,29,44
1529376992,24,1
1529378084,33,26
1529378909,39,1
1529380396,58,90
1529381670,72,31
1529383255,85,36
1529384718,55,35
1529386215,63,38
1529387792,47,4
1529388866,23,43
1529390304,61,69
1529391937,50,85
1529393448,26,67
1529394945,42,0
1529396139,30,49
1529396918,12,1
1529397752,18,75
1529399665,45,27
1529401355,27,58
1529402632,26,42
1529404101,42,2
1529405730,26,99
1529406931,16,88
1529409598,71,176
1529411317,28,3
1529412525,69,57
1529413840,30,55
1529414906,34,4
1529416128,29,70
1529417432,31,27
1529419350,35,50
1529420728,33,69
1529422951,72,53
1529424874,52,26
1529426559,58,53
1529428478,46,72
1529429305,11,3
1529430150,40,55
1529431719,59,43
1529432904,37,1
1529433755,11,88
1529434594,31,1
1529435663,28,60
1529436504,52,1
1529437829,53,74
1529439339,47,12
1529440955,42,76
1529441793,7,0
1529442881,24,20
1529443715,35,1
1529445385,34,31
1529446481,23,32
1529447306,17,1
1529449148,39,97
1529450075,32,4
1529451205,78,43
1529452590,69,2
1529453669,45,44
1529455350,32,65
1529456191,18,1
1529457335,29,87
1529458109,57,0
1529458942,21,43
1529459790,35,2
1529460873,78,13
1529462568,63,29
1529463943,23,48
1529465317,28,2
1529466992,58,104
1529468076,28,29
1529469745,60,37
1529471677,75,13
1529472504,43,2
1529474212,112,56
1529476110,65,56
1529476944,55,65
1529478340,121,47
1529479741,116,5
1529481753,70,122
1529482471,16,2
1529483743,51,38
1529485527,73,113
1529486066,29,2
1529487335,39,81
