DateTime,Entries,UniqueIPs
1529265388,4585,4585
1529266540,4643,4643
1529267305,4662,4662
1529268144,4633,4633
1529269529,4629,4629
1529270935,4677,4677
1529272085,4691,4691
1529273684,4682,4682
1529274808,4669,4669
1529276736,4726,4726
1529277274,4738,4738
1529278106,4765,4765
1529278957,4744,4744
1529279796,4763,4763
1529280904,4755,4755
1529282238,4762,4762
1529284532,4819,4819
1529285731,4821,4821
1529286939,4890,4890
1529288078,4911,4911
1529289343,4920,4920
1529290532,4925,4925
1529291670,4921,4921
1529293354,4918,4918
1529295276,4963,4963
1529296837,5040,5040
1529297791,5060,5060
1529298866,5054,5054
1529299706,5063,5063
1529301392,5060,5060
1529302550,5074,5074
1529303312,5099,5099
1529304653,5113,5113
1529305838,5131,5131
1529306911,5165,5165
1529307751,5085,5085
1529308597,5116,5116
1529309701,5108,5108
1529310506,5146,5146
1529311346,5140,5140
1529312186,5159,5159
1529313274,5161,5161
1529314117,5175,5175
1529315271,5209,5209
1529316873,5280,5280
1529318552,5269,5269
1529319402,5295,5295
1529320466,5363,5363
1529322041,5400,5400
1529323610,5434,5434
1529324071,5447,5447
1529325219,5440,5440
1529326586,5476,5476
1529327732,5449,5449
1529328521,5474,5474
1529329361,5534,5534
1529330203,5623,5623
1529331338,5704,5704
1529332114,5738,5738
1529333738,5849,5849
1529334867,5915,5915
1529336460,5963,5963
1529338473,6081,6081
1529340161,6088,6088
1529340996,6117,6117
1529342142,6120,6120
1529342921,6139,6139
1529344528,6143,6143
1529345672,6153,6153
1529347357,6135,6135
1529348192,6158,6158
1529349334,6175,6175
1529350116,6212,6212
1529351421,6186,6186
1529352871,6208,6208
1529354559,6209,6209
1529356476,6263,6263
1529357311,6280,6280
1529358836,6285,6285
1529360905,6312,6312
1529361746,6306,6306
1529363669,6335,6335
1529364895,6313,6313
1529366140,6353,6353
1529367342,6332,6332
1529369142,6300,6300
1529369797,6318,6318
1529370866,6275,6275
1529371715,6322,6322
1529373476,6335,6335
1529374485,6339,6339
1529376049,6324,6324
1529376992,6347,6347
1529378084,6354,6354
1529378909,6392,6392
1529380396,6360,6360
1529381670,6401,6401
1529383255,6450,6450
1529384718,6470,6470
1529386215,6495,6495
1529387792,6538,6538
