DateTime,AddedIPs,RemovedIPs
1529266533,107,44
1529267299,36,0
1529268139,18,80
1529269524,25,32
1529270929,80,0
1529272080,61,42
1529273675,111,55
1529274802,30,56
1529276726,153,44
1529277269,41,1
1529278100,92,1
1529278948,112,47
1529279786,33,0
1529280897,35,53
1529282224,74,58
1529284525,249,45
1529285725,36,45
1529286932,130,24
1529288071,160,50
1529289332,53,42
1529290525,65,0
1529291663,83,49
1529293347,119,86
1529295265,146,26
1529296831,169,41
1529297780,79,0
1529298861,48,44
1529299700,21,2
1529301386,114,81
1529302534,111,37
1529303306,84,0
1529304647,62,74
1529305833,49,40
1529306905,59,1
1529307745,51,133
1529308591,72,0
1529309695,115,98
1529310500,82,0
1529311341,46,69
1529312180,44,0
1529313268,87,45
1529314108,74,1
1529315265,153,47
1529316868,183,80
1529318546,108,110
1529319392,41,0
1529320461,106,47
1529322035,118,69
1529323604,106,59
1529324066,31,1
1529325213,76,71
1529326581,76,25
1529327725,95,76
1529328512,115,0
1529329352,194,126
1529330193,105,0
1529331327,192,54
1529332109,101,1
1529333729,231,49
1529334861,189,68
1529336455,294,127
1529338467,237,37
1529340153,192,65
1529340991,52,0
1529342136,103,70
1529342911,48,0
1529344522,82,139
1529345667,63,61
1529347351,87,103
1529348186,50,0
1529349327,91,52
1529350110,60,1
1529351415,110,106
1529352866,137,71
1529354553,190,79
1529356467,101,43
1529357305,44,0
1529358830,108,53
1529360900,147,64
1529361741,37,65
1529363664,78,66
1529364890,49,91
1529366131,56,11
1529367332,29,65
1529369135,32,72
1529369788,27,0
1529370860,51,109
1529371710,54,0
1529373471,97,91
1529374479,49,40
1529376038,72,67
1529376985,24,1
1529378077,48,60
1529378902,56,0
1529380390,88,133
1529381665,97,49
1529383249,156,78
1529384459,69,74
1529385625,40,0
1529387133,94,76
1529387786,22,0
1529388860,36,65
1529390292,113,108
1529391931,92,126
1529393437,75,96
1529394935,123,0
1529396131,61,87
1529396912,20,0
1529397746,29,106
1529399659,89,51
1529401350,53,110
1529402626,41,63
1529404096,57,1
1529405725,52,126
1529406926,28,114
1529409592,95,265
1529411312,47,9
1529412520,78,116
1529413835,45,82
1529414900,42,0
1529416122,45,130
1529417427,50,48
1529419345,50,130
1529420723,38,102
1529422941,90,104
1529424868,76,60
1529426550,77,119
1529428473,53,96
1529429299,20,0
1529430145,46,110
1529431714,70,73
1529432899,42,1
1529433750,19,118
1529434587,33,0
1529435659,30,82
1529436498,61,0
1529437824,56,126
1529439331,56,23
1529440946,68,110
1529441788,17,0
1529442876,33,54
1529443709,35,0
1529445379,49,68
1529446476,26,78
1529447300,21,1
1529449137,49,253
1529450069,33,4
1529451199,83,75
1529452585,79,1
1529453663,54,167
1529455344,41,132
1529456186,27,0
1529457330,34,143
1529458104,59,0
1529458937,28,163
1529459785,36,1
1529460867,86,64
1529462558,76,149
1529463936,42,102
1529465311,41,0
1529466986,79,250
1529468069,36,102
1529469739,83,93
1529471671,96,72
1529472498,56,0
1529474207,124,181
1529476105,92,83
1529476938,65,124
1529478331,147,115
1529479736,127,2
1529481740,105,284
1529482465,24,0
1529483728,74,136
1529485521,92,237
1529486061,34,1
1529487325,49,163
1529489659,126,65
1529490506,51,1
1529491345,52,193
1529492185,70,1
1529493279,49,88
1529494492,68,132
1529495783,74,27
1529496865,46,75
1529498540,61,281
1529500472,75,121
1529501299,41,1
