DateTime,AddedIPs,RemovedIPs
1528949680,1,0
1528955819,1,0
1528962969,1,1
1528964069,1,0
1528970873,1,0
1528972668,1,1
1528974222,0,1
1528976561,1,0
1528977933,1,0
1528982066,1,0
1528990863,1,0
1528992888,2,1
1528996467,1,0
1528997732,0,27
1528998996,0,12
1529001763,0,1
1529003733,2,2
1529008948,1,2
1529010877,0,1
1529012139,0,1
1529016934,0,1
1529018142,0,1
1529019645,0,1
1529020600,1,0
1529021674,0,3
1529023365,0,1
1529025267,1,1
1529028299,0,1
1529030557,1,0
1529034153,1,0
1529037067,0,1
1529042195,1,0
1529048560,0,2
1529051447,1,0
1529055756,0,1
1529057736,0,1
1529058513,1,0
1529059358,1,0
1529060187,0,1
1529062853,1,1
1529065723,0,1
1529068467,1,0
1529073747,0,1
1529075680,0,2
1529077832,1,2
1529079278,2,0
1529080949,1,1
1529082877,2,0
1529084547,0,7
1529085392,1,0
1529086552,0,1
1529088061,0,1
1529090983,3,0
1529092529,1,0
1529093739,0,1
1529094946,1,0
1529100938,0,2
1529102548,0,2
1529105306,1,0
1529106993,0,2
1529108140,1,0
1529110237,2,2
1529111672,0,1
1529113242,2,0
1529115050,1,1
1529117433,3,1
1529118645,2,2
1529122194,0,1
1529124156,0,1
1529126141,0,2
1529130825,1,0
1529132188,0,1
1529133340,0,1
1529138159,1,0
1529139408,1,0
1529140542,1,0
1529142158,0,1
1529142995,1,0
1529144066,2,1
1529145658,19,2
1529146595,2,2
1529147739,0,4
1529149051,0,1
1529150183,3,1
1529151270,1,3
1529152109,0,2
1529153443,3,0
1529154880,2,0
1529156559,0,2
1529158479,2,0
1529162142,3,2
1529162921,0,1
1529163756,0,1
1529166522,0,1
1529169279,1,1
1529170107,2,0
1529171804,1,0
1529174129,0,1
1529176466,2,0
1529178988,1,2
1529180906,0,1
1529185257,1,0
1529188112,0,1
1529190879,0,1
1529192318,2,0
1529194467,0,1
1529195319,1,0
1529197838,3,0
1529201692,2,1
1529203239,1,1
1529204749,0,1
1529211341,2,0
1529214630,1,0
1529216072,0,1
1529217661,1,0
1529221242,1,0
1529222194,24,0
1529223266,1,0
1529224480,0,1
1529227881,1,0
1529230476,1,0
1529233842,1,0
1529234920,0,1
1529236739,2,0
1529238514,1,0
1529239360,1,2
1529241267,0,1
1529243795,0,1
1529244880,0,1
1529246140,3,0
1529248478,0,1
1529250513,0,2
1529254586,2,0
1529257832,1,0
1529259040,0,1
1529260113,0,1
1529261005,0,2
1529263849,4,1
1529265390,0,1
1529266541,1,0
1529268146,1,0
1529269531,0,1
1529272099,3,2
1529276737,2,1
1529278961,1,1
1529279797,0,1
1529280917,0,1
1529282244,0,1
1529284533,0,1
1529286942,0,1
1529288080,1,2
1529293356,1,0
1529295277,1,1
1529296839,1,0
1529297793,1,0
1529301395,1,1
1529302553,1,1
1529303313,0,1
1529304655,1,0
1529305840,2,0
1529307752,2,0
1529308599,2,0
1529309710,2,1
1529311348,0,1
1529312187,1,0
1529313276,0,1
1529315273,0,1
1529316875,0,3
1529318553,1,0
1529320467,3,0
1529322042,0,3
1529323611,2,4
1529325221,0,1
1529326588,0,1
1529327733,0,1
1529328523,1,1
1529329362,0,1
