DateTime,Entries,UniqueIPs
1528949680,126,126
1528955819,127,127
1528962969,127,127
1528964069,128,128
1528970873,129,129
1528972668,129,129
1528974222,128,128
1528976561,129,129
1528977933,130,130
1528982066,131,131
1528990863,132,132
1528992888,133,133
1528996467,134,134
1528997732,107,107
1528998996,95,95
1529001763,94,94
1529003733,94,94
1529008948,93,93
1529010877,92,92
1529012139,91,91
1529016934,90,90
1529018142,89,89
1529019645,88,88
1529020600,89,89
1529021674,86,86
1529023365,85,85
1529025267,85,85
1529028299,84,84
1529030557,85,85
1529034153,86,86
1529037067,85,85
1529042195,86,86
1529048560,84,84
1529051447,85,85
1529055756,84,84
1529057736,83,83
1529058513,84,84
1529059358,85,85
1529060187,84,84
1529062853,84,84
1529065723,83,83
1529068467,84,84
1529073747,83,83
1529075680,81,81
1529077832,80,80
1529079278,82,82
1529080949,82,82
1529082877,84,84
1529084547,77,77
1529085392,78,78
1529086552,77,77
1529088061,76,76
1529090983,79,79
1529092529,80,80
1529093739,79,79
1529094946,80,80
1529100938,78,78
1529102548,76,76
1529105306,77,77
1529106993,75,75
1529108140,76,76
1529110237,76,76
1529111672,75,75
1529113242,77,77
1529115050,77,77
1529117433,79,79
1529118645,79,79
1529122194,78,78
1529124156,77,77
1529126141,75,75
1529130825,76,76
1529132188,75,75
1529133340,74,74
1529138159,75,75
1529139408,76,76
1529140542,77,77
1529142158,76,76
1529142995,77,77
1529144066,78,78
1529145658,95,95
1529146595,95,95
1529147739,91,91
1529149051,90,90
1529150183,92,92
1529151270,90,90
1529152109,88,88
1529153443,91,91
1529154880,93,93
1529156559,91,91
1529158479,93,93
1529162142,94,94
1529162921,93,93
1529163756,92,92
1529166522,91,91
1529169279,91,91
1529170107,93,93
1529171804,94,94
1529174129,93,93
1529176466,95,95
1529178988,94,94
1529180906,93,93
1529185257,94,94
1529188112,93,93
1529190879,92,92
1529192318,94,94
1529194467,93,93
1529195319,94,94
1529197838,97,97
1529201692,98,98
1529203239,98,98
1529204749,97,97
1529211341,99,99
1529214630,100,100
1529216072,99,99
1529217661,100,100
1529221242,101,101
1529222194,125,125
1529223266,126,126
1529224480,125,125
1529227881,126,126
1529230476,127,127
1529233842,128,128
1529234920,127,127
1529236739,129,129
1529238514,130,130
1529239360,129,129
1529241267,128,128
1529243795,127,127
1529244880,126,126
1529246140,129,129
1529248478,128,128
1529250513,126,126
1529254586,128,128
1529257832,129,129
1529259040,128,128
1529260113,127,127
1529261005,125,125
1529263849,128,128
1529265390,127,127
1529266541,128,128
1529268146,129,129
1529269531,128,128
1529272099,129,129
1529276737,130,130
1529278961,130,130
1529279797,129,129
1529280917,128,128
1529282244,127,127
1529284533,126,126
1529286942,125,125
1529288080,124,124
1529293356,125,125
1529295277,125,125
1529296839,126,126
1529297793,127,127
1529301395,127,127
1529302553,127,127
1529303313,126,126
1529304655,127,127
1529305840,129,129
1529307752,131,131
1529308599,133,133
1529309710,134,134
1529311348,133,133
1529312187,134,134
1529313276,133,133
1529315273,132,132
1529316875,129,129
1529318553,130,130
1529320467,133,133
1529322042,130,130
1529323611,128,128
1529325221,127,127
1529326588,126,126
1529327733,125,125
1529328523,125,125
1529329362,124,124
1529330205,125,125
1529331340,124,124
1529332116,125,125
1529333739,123,123
1529334868,123,123
1529336462,123,123
1529338475,124,124
1529340163,123,123
1529342144,124,124
1529344529,126,126
1529345674,126,126
1529347359,126,126
1529348193,133,133
1529349336,131,131
1529350117,132,132
1529351422,133,133
1529354565,135,135
1529357312,134,134
1529358838,135,135
1529363671,135,135
1529364896,134,134
1529367370,135,135
1529369143,136,136
1529373478,138,138
1529374487,137,137
1529378085,138,138
1529380397,139,139
1529381672,138,138
1529383256,138,138
1529386229,139,139
1529390309,138,138
1529391938,103,103
1529393454,102,102
1529394946,100,100
1529397753,98,98
1529399667,97,97
1529401357,98,98
1529402635,97,97
1529404103,96,96
1529405731,98,98
1529406932,97,97
1529409600,96,96
1529412527,94,94
1529413843,95,95
1529414907,96,96
1529416129,94,94
1529419352,91,91
1529422953,92,92
1529424875,90,90
1529426561,88,88
1529428479,89,89
1529429306,90,90
1529430152,91,91
1529431720,90,90
1529435665,91,91
1529437830,90,90
1529440956,89,89
1529445386,91,91
1529449150,94,94
1529450076,93,93
1529451214,95,95
1529452592,98,98
1529453670,98,98
1529455352,98,98
1529456194,97,97
1529457337,95,95
1529458111,96,96
1529458944,94,94
1529462570,96,96
1529463944,95,95
1529465319,94,94
1529466993,95,95
1529468077,97,97
1529469746,95,95
1529471678,94,94
1529472506,95,95
1529474214,95,95
1529476111,92,92
1529478341,91,91
1529479775,92,92
1529481763,91,91
1529483745,92,92
1529487338,90,90
1529489666,92,92
1529491353,91,91
1529492193,93,93
1529494500,92,92
1529495789,91,91
1529498547,91,91
1529500478,92,92
1529503836,91,91
1529506196,90,90
1529507671,89,89
1529508927,88,88
1529510133,89,89
1529511267,88,88
1529514637,88,88
1529518476,86,86
1529520152,86,86
1529522071,85,85
1529523751,87,87
1529524597,88,88
1529528082,121,121
1529530110,119,119
1529530956,119,119
1529532880,120,120
1529533711,120,120
1529537579,121,121
1529539839,121,121
1529541041,118,118
1529543740,115,115
1529547039,114,114
1529548951,112,112
1529550880,112,112
1529552481,111,111
1529554243,110,110
1529555320,108,108
1529556994,107,107
1529561446,108,108
1529564055,109,109
1529572468,109,109
1529577749,108,108
1529582198,108,108
1529583343,99,99
1529584530,92,92
1529586332,91,91
1529587531,92,92
1529588727,93,93
1529592041,94,94
1529593532,90,90
1529595759,91,91
1529597666,92,92
1529599355,89,89
1529602958,88,88
1529604937,91,91
1529607935,89,89
1529610147,92,92
1529611539,94,94
1529613046,95,95
1529614592,95,95
1529615743,96,96
1529617351,98,98
1529619268,97,97
1529620978,96,96
1529622333,95,95
1529622876,96,96
1529624549,95,95
1529626237,96,96
1529627319,98,98
1529628157,98,98
1529629521,97,97
1529632599,97,97
1529633753,98,98
1529635536,99,99
1529636732,98,98
1529639808,97,97
1529640936,97,97
1529642554,99,99
1529643938,100,100
1529645447,99,99
1529646746,100,100
1529648073,101,101
1529650598,103,103
1529655339,104,104
1529656113,105,105
1529657789,105,105
1529658879,104,104
1529659732,103,103
1529660546,103,103
1529662481,102,102
1529663744,101,101
1529666912,105,105
1529668166,103,103
1529669667,102,102
1529670523,102,102
1529672187,101,101
1529673276,99,99
1529674958,100,100
1529678562,100,100
1529682626,101,101
1529682987,101,101
1529684078,99,99
1529685761,98,98
1529687673,100,100
1529689242,100,100
1529691267,101,101
1529692956,100,100
1529693796,102,102
1529694877,99,99
1529695705,100,100
1529697393,101,101
1529699311,92,92
1529700152,91,91
1529701003,93,93
1529702157,92,92
1529702926,91,91
1529703753,92,92
1529704590,93,93
1529706506,94,94
1529707361,93,93
1529710959,97,97
1529712916,99,99
1529714551,102,102
1529715961,101,101
1529718056,101,101
1529718999,103,103
1529720153,105,105
1529722535,104,104
1529724523,104,104
1529725373,104,104
1529727265,103,103
1529731717,103,103
1529734480,104,104
1529735308,105,105
1529736991,103,103
1529738068,104,104
1529739759,105,105
1529741683,104,104
1529742928,106,106
1529744734,105,105
1529746240,104,104
1529747788,105,105
1529748938,106,106
1529749719,107,107
1529751016,110,110
1529754060,109,109
1529755190,108,108
1529757801,107,107
1529758977,106,106
1529760333,106,106
1529761536,104,104
1529763036,106,106
1529764955,106,106
1529766867,107,107
1529768561,108,108
1529769391,109,109
1529772150,109,109
1529774077,110,110
1529776597,113,113
1529777665,113,113
1529778519,111,111
1529779351,110,110
1529780201,109,109
1529782112,111,111
1529786446,111,111
1529787937,114,114
1529788467,114,114
1529789306,113,113
1529790993,114,114
1529792140,113,113
1529794538,110,110
1529795740,109,109
1529796509,109,109
1529797351,106,106
1529799266,107,107
1529800868,106,106
1529802335,105,105
1529803849,104,104
1529805038,105,105
1529806532,105,105
1529808154,106,106
1529808991,107,107
1529810156,107,107
1529811753,100,100
1529813441,101,101
1529816198,100,100
1529818950,98,98
1529820883,99,99
1529824534,99,99
1529826210,102,102
1529828067,100,100
1529830234,100,100
1529831433,101,101
1529833368,102,102
1529834201,104,104
1529836948,102,102
1529838339,100,100
1529839712,101,101
1529841056,101,101
1529842238,101,101
1529843315,102,102
1529844989,102,102
1529848643,99,99
1529852032,99,99
1529853224,100,100
1529856929,98,98
1529858561,102,102
1529859944,102,102
1529862338,102,102
1529864066,106,106
1529864917,107,107
1529866348,108,108
1529867737,109,109
1529869348,107,107
1529872957,107,107
1529876551,107,107
1529878477,110,110
1529879307,111,111
1529880160,111,111
1529882074,113,113
1529883765,112,112
1529885695,109,109
1529887362,108,108
1529888752,108,108
1529890127,110,110
1529890964,109,109
1529892639,108,108
1529894558,109,109
1529895945,107,107
1529897316,109,109
1529899001,111,111
1529900069,110,110
