DateTime,Entries,UniqueIPs
1529268135,5316,5316
1529269517,5291,5291
1529270924,5302,5302
1529272075,5291,5291
1529273664,5265,5265
1529274794,5259,5259
1529276722,5307,5307
1529277264,5328,5328
1529278096,5338,5338
1529278941,5343,5343
1529279778,5349,5349
1529280893,5332,5332
1529282220,5316,5316
1529283320,5334,5334
1529284517,5327,5327
1529285720,5334,5334
1529286925,5334,5334
1529288061,5324,5324
1529289320,5312,5312
1529290519,5326,5326
1529291659,5317,5317
1529293341,5269,5269
1529295256,5274,5274
1529296821,5253,5253
1529297775,5256,5256
1529298857,5245,5245
1529299695,5277,5277
1529301378,5277,5277
1529302525,5278,5278
1529303297,5289,5289
1529304635,5262,5262
1529305824,5249,5249
1529306897,5261,5261
1529307737,5258,5258
1529308583,5264,5264
1529309691,5264,5264
1529310496,5285,5285
1529311337,5260,5260
1529312175,5279,5279
1529313263,5251,5251
1529314104,5258,5258
1529315260,5254,5254
1529316856,5225,5225
1529318538,5219,5219
1529319381,5260,5260
1529320457,5246,5246
1529322023,5219,5219
1529323600,5218,5218
1529324058,5221,5221
1529325205,5223,5223
1529326577,5239,5239
1529327717,5247,5247
1529328502,5253,5253
1529329341,5234,5234
1529330183,5254,5254
1529331322,5254,5254
1529332099,5261,5261
1529333717,5252,5252
1529334857,5244,5244
1529336440,5183,5183
1529338459,5168,5168
1529340142,5167,5167
1529340982,5186,5186
1529342121,5183,5183
1529342901,5205,5205
1529344518,5226,5226
1529345659,5227,5227
1529347343,5199,5199
1529348177,5211,5211
1529349316,5191,5191
1529350104,5195,5195
1529351405,5149,5149
1529352856,5162,5162
1529354548,5153,5153
1529356456,5167,5167
1529357297,5182,5182
1529358826,5181,5181
1529360895,5184,5184
1529361737,5147,5147
1529363655,5151,5151
1529364885,5125,5125
1529366121,5117,5117
1529367322,5149,5149
1529369122,5115,5115
1529369777,5122,5122
1529370856,5080,5080
1529371699,5092,5092
1529373466,5042,5042
1529374460,5020,5020
1529376025,5015,5015
1529376979,5024,5024
1529378069,5008,5008
1529378897,5023,5023
1529380385,5011,5011
1529381658,4972,4972
1529383240,4951,4951
1529384453,4937,4937
1529385617,4952,4952
1529387123,4968,4968
1529387778,4978,4978
1529388855,4984,4984
1529390282,4981,4981
1529391923,4995,4995
1529393432,5007,5007
1529394923,5070,5070
1529396122,5071,5071
1529396903,5087,5087
1529397735,5101,5101
1529399655,5120,5120
1529401342,5080,5080
1529402622,5080,5080
1529404092,5101,5101
1529405717,5080,5080
1529406918,5082,5082
1529409587,5107,5107
1529411301,5258,5258
1529412516,5363,5363
1529413827,5407,5407
1529414895,5470,5470
1529416118,5492,5492
1529417418,5541,5541
1529419336,5594,5594
1529420716,5628,5628
1529422937,5695,5695
1529424861,5745,5745
1529426540,5782,5782
1529428462,5814,5814
1529429294,5831,5831
1529430136,5744,5744
1529431710,5761,5761
1529432894,5804,5804
1529433743,5766,5766
1529434581,5784,5784
1529435655,5780,5780
1529436494,5797,5797
1529437819,5789,5789
1529439321,5796,5796
1529440936,5785,5785
1529441780,5799,5799
1529442867,5801,5801
1529443699,5819,5819
1529445375,5815,5815
1529446468,5770,5770
1529447295,5784,5784
1529449124,5710,5710
1529450059,5718,5718
1529451195,5697,5697
1529452578,5745,5745
1529453656,5711,5711
1529455336,5679,5679
1529456181,5692,5692
1529457317,5681,5681
1529458096,5686,5686
1529458933,5654,5654
1529459777,5670,5670
1529460858,5665,5665
1529462547,5663,5663
1529463925,5646,5646
1529465299,5661,5661
1529466981,5633,5633
1529468061,5622,5622
1529469734,5570,5570
1529471664,5575,5575
1529472494,5580,5580
1529474181,5556,5556
1529476097,5609,5609
1529476934,5595,5595
1529478322,5620,5620
1529479731,5685,5685
1529481730,5641,5641
1529482457,5653,5653
1529483718,5650,5650
1529485511,5663,5663
1529486055,5695,5695
1529487316,5698,5698
1529489655,5689,5689
1529490498,5691,5691
1529491339,5666,5666
1529492177,5677,5677
1529493268,5644,5644
1529494488,5620,5620
1529495779,5642,5642
1529496857,5648,5648
1529498535,5643,5643
1529500456,5627,5627
1529501295,5640,5640
1529503815,5600,5600
1529505020,5584,5584
1529506185,5602,5602
1529507657,5593,5593
1529508916,5575,5575
1529510118,5586,5586
1529511255,5570,5570
1529512095,5582,5582
1529513509,5548,5548
1529514621,5562,5562
1529514862,5591,5591
1529516437,5645,5645
1529518458,5739,5739
1529520137,5748,5748
1529521375,5756,5756
1529522057,5787,5787
1529523736,5779,5779
1529524586,5789,5789
1529525656,5775,5775
1529526494,5796,5796
1529528070,5751,5751
1529530097,5762,5762
1529530940,5758,5758
1529532858,5758,5758
1529533698,5782,5782
1529536457,5760,5760
1529537567,5745,5745
1529539825,5762,5762
