DateTime,Entries,UniqueIPs
1529524772,4335,4335
1529525491,4337,4337
1529526212,4334,4334
1529526932,4331,4331
1529527653,4329,4329
1529528432,4329,4329
1529529334,4326,4326
1529530291,4324,4324
1529531011,4321,4321
1529531733,4320,4320
1529532452,4320,4320
1529533172,4321,4321
1529533891,4324,4324
1529534611,4320,4320
1529536533,4320,4320
1529537252,4318,4318
1529537972,4316,4316
1529538691,4315,4315
1529539411,4314,4314
1529540132,4316,4316
1529540851,4314,4314
1529541572,4310,4310
1529542291,4306,4306
1529543013,4308,4308
1529543732,4310,4310
1529544691,4306,4306
1529545411,4304,4304
1529546132,4304,4304
1529547092,4306,4306
1529547811,4307,4307
1529548533,4306,4306
1529549491,4302,4302
1529550451,4306,4306
1529551412,4304,4304
1529552372,4305,4305
1529553123,4304,4304
1529553812,4306,4306
1529554532,4307,4307
1529555251,4307,4307
1529556212,4311,4311
1529557651,4310,4310
1529558372,4312,4312
1529559092,4314,4314
1529560053,4308,4308
1529560771,4305,4305
1529561492,4306,4306
1529562212,4284,4284
1529562931,4283,4283
1529563891,4286,4286
1529564852,4306,4306
1529565571,4303,4303
1529566292,4304,4304
1529567011,4308,4308
1529567732,4303,4303
1529568452,4300,4300
1529569172,4302,4302
1529569891,4298,4298
1529570612,4297,4297
1529571571,4296,4296
1529572292,4295,4295
1529573011,4293,4293
1529573732,4290,4290
1529574451,4292,4292
1529575411,4290,4290
1529576132,4289,4289
1529577091,4291,4291
1529577812,4290,4290
1529578532,4302,4302
1529579492,4304,4304
1529580211,4303,4303
1529580931,4308,4308
1529581651,4311,4311
1529582432,4307,4307
1529583092,4306,4306
1529583811,4307,4307
1529584771,4309,4309
1529585491,4311,4311
1529586212,4310,4310
1529586931,4309,4309
1529587892,4308,4308
1529588611,4307,4307
1529589331,4309,4309
1529590053,4307,4307
1529590771,4307,4307
1529591492,4308,4308
1529592212,4310,4310
1529592931,4310,4310
1529593652,4329,4329
1529594371,4332,4332
1529595092,4329,4329
1529595811,4331,4331
1529596532,4331,4331
1529597491,4331,4331
1529598211,4333,4333
1529598932,4328,4328
1529599652,4330,4330
1529600851,4333,4333
1529601571,4335,4335
1529602291,4337,4337
1529603012,4337,4337
1529603731,4336,4336
1529604452,4333,4333
1529605171,4332,4332
1529606132,4331,4331
1529607091,4331,4331
1529608052,4331,4331
1529608771,4332,4332
1529609492,4332,4332
1529610211,4333,4333
1529610932,4333,4333
1529611892,4331,4331
1529612852,4332,4332
1529613812,4335,4335
1529614772,4334,4334
1529615732,4339,4339
1529616451,4342,4342
1529617171,4343,4343
1529617891,4343,4343
1529618612,4343,4343
1529619572,4345,4345
1529622212,4343,4343
1529622933,4341,4341
1529623652,4343,4343
1529624611,4344,4344
1529625332,4344,4344
1529626051,4345,4345
1529626772,4343,4343
1529627491,4346,4346
1529628212,4348,4348
1529628931,4352,4352
1529629652,4348,4348
1529630371,4348,4348
1529631092,4349,4349
1529631812,4350,4350
1529632532,4353,4353
