DateTime,AddedIPs,RemovedIPs
1528754900,9,14
1528757110,33,17
1528758982,15,0
1528760892,21,22
1528762809,8,17
1528764757,8,22
1528766651,30,19
1528770488,20,0
1528772411,16,25
1528776303,10,15
1528778167,22,13
1528780102,10,21
1528782011,26,14
1528783935,16,28
1528785859,24,27
1528789692,34,27
1528791615,18,24
1528793526,12,0
1528795450,18,25
1528797374,24,4
1528799288,18,13
1528803138,14,21
1528805051,15,9
1528808899,12,15
1528810808,14,9
1528812735,16,31
1528815396,17,34
1528817296,35,13
1528819229,12,6
1528821148,13,0
1528823063,23,10
1528824970,11,8
1528828811,11,45
1528830740,25,18
1528832667,34,30
1528834576,22,8
1528836506,24,0
1528838418,18,7
1528840342,6,11
1528842257,31,8
1528846103,27,45
1528848028,7,23
1528849948,18,11
1528851860,15,7
1528853772,13,33
1528855708,10,0
1528857613,19,20
1528859540,21,19
1528861465,17,0
1528863404,22,12
1528865539,15,22
1528867457,25,10
1528869389,9,27
1528871296,45,17
1528873228,7,31
1528875145,24,0
1528877054,27,36
1528878969,21,19
1528880905,13,13
1528882818,6,18
1528884737,23,20
1528886661,33,25
1528888582,33,0
1528892429,16,30
1528894332,17,0
1528896253,25,10
1528898178,14,18
1528900091,18,15
1528902033,11,21
1528903939,7,28
1528905856,6,13
1528907781,4,14
1528909696,7,18
1528911617,7,12
1528913541,14,0
1528917371,8,36
1528919323,26,29
1528921233,12,23
1528923139,6,25
1528925055,13,17
1528932040,21,39
1528935854,35,37
1528937778,19,24
1528939696,24,17
1528941645,8,12
1528943546,36,9
1528945470,15,16
1528947376,24,22
1528949299,21,16
1528951261,28,23
1528955096,18,39
1528960850,27,64
1528962783,33,21
1528968529,10,64
1528970475,9,4
1528972332,23,22
1528974296,12,31
1528978108,9,34
1528980013,29,19
1528983870,27,37
1528985786,17,15
1528987693,25,17
1528989616,15,13
1528991542,18,8
1528993457,30,9
1528997297,37,16
1528999221,20,5
1529001144,10,15
1529003058,12,0
1529004972,12,10
1529008812,8,43
1529010735,36,7
1529012656,29,18
1529014572,9,0
1529019137,19,16
1529021068,3,0
1529022971,28,30
1529026820,6,47
1529028734,28,7
1529030656,26,31
1529032583,13,14
1529034491,31,22
1529036414,31,21
1529038341,14,34
1529042170,12,21
1529044101,17,0
1529046031,29,0
1529047950,21,27
1529049858,16,34
1529053705,12,0
1529055613,11,10
1529059463,18,26
1529061372,11,10
1529063296,29,0
1529068110,12,32
1529070009,18,0
1529071936,11,23
1529073859,35,23
1529079617,19,50
1529081529,10,29
1529083451,22,0
1529085378,11,36
1529087300,24,19
1529089227,15,5
1529095993,29,27
1529097795,28,36
1529099766,11,33
1529101700,28,6
1529103625,15,0
1529109371,25,19
1529111308,18,27
1529113213,31,0
1529117062,30,56
1529118978,19,0
1529120890,21,11
1529124751,31,74
1529126651,32,0
1529128577,21,13
1529130743,23,15
1529134580,24,42
1529136509,14,18
1529138414,16,0
1529140340,6,11
1529142278,8,13
1529144171,19,0
1529146093,26,19
1529149936,26,44
1529151853,14,0
1529153782,13,0
1529155691,38,15
1529157619,25,16
1529163370,18,40
1529165322,12,0
1529167232,10,18
1529169135,19,10
1529171062,21,21
1529172983,11,12
1529174892,25,19
1529180651,22,16
1529182576,23,27
1529184490,36,19
1529186667,19,17
1529189057,21,29
1529192893,29,14
1529196726,33,30
1529198649,25,20
1529200592,26,25
1529204419,29,26
1529206343,31,27
1529210169,34,26
1529212101,28,36
1529214027,28,26
1529215933,25,23
1529217856,19,19
1529219773,21,0
1529221693,28,20
1529223617,22,15
1529225532,35,14
1529227456,11,4
1529229376,10,7
1529231290,9,16
1529233228,34,28
1529237063,27,25
1529240900,10,29
1529242810,35,40
1529244735,31,21
1529246658,32,0
1529250491,27,16
1529254332,14,19
1529258186,15,37
1529260091,35,13
1529262023,24,27
1529263943,33,0
1529265866,27,0
1529267768,34,23
1529269701,34,21
1529271617,32,38
1529273551,16,16
1529275481,26,22
1529277377,26,0
1529281214,27,26
1529283129,21,31
1529285060,21,25
1529286971,6,0
1529288887,30,27
1529290821,17,30
1529292736,8,0
1529294651,8,33
1529296577,33,29
1529304250,29,87
1529306169,28,21
1529308098,19,60
1529310034,8,20
1529311929,21,0
1529313861,1,44
1529315771,10,0
1529317688,6,6
1529319627,14,9
1529323459,25,34
1529327301,19,37
1529329220,15,35
1529331140,17,32
1529333062,29,35
1529334983,14,0
1529337140,10,30
1529339052,28,0
1529340973,15,11
1529344817,6,15
1529346736,11,34
1529352516,11,95
1529354415,8,33
1529356339,8,32
1529358753,9,36
1529360895,16,16
1529362819,9,25
1529364730,6,29
1529368574,19,34
1529370491,18,28
1529372407,13,24
1529376246,26,44
1529380091,30,35
1529387768,12,47
1529389692,27,0
1529391621,18,38
1529393538,17,29
1529395459,13,18
1529397378,5,6
1529399291,24,23
1529401244,17,2
1529403131,21,8
1529405050,27,10
1529408890,28,19
1529410821,12,30
1529412734,19,0
1529414894,30,18
1529416822,6,21
1529418747,8,19
1529420663,8,31
1529422569,8,15
1529424522,13,10
1529426412,7,33
1529434108,37,33
1529436016,16,0
1529437932,11,0
1529439854,50,15
1529441775,6,8
1529443695,28,6
1529445620,17,10
1529448158,24,17
1529449958,14,8
1529451920,30,4
1529453771,9,0
1529455692,29,15
1529457615,17,14
1529459538,19,14
1529461449,31,0
1529463371,17,26
1529465284,25,0
1529467220,12,29
1529469142,15,0
1529471051,16,0
1529474898,26,11
1529476814,15,23
1529482577,15,46
1529486419,14,29
1529488335,8,17
1529490254,46,18
1529492179,23,31
1529494090,29,0
1529496031,12,29
1529499859,15,26
1529503934,9,35
1529505860,26,6
1529507780,13,8
1529509704,44,10
1529511613,18,10
1529513537,13,7
1529515449,35,0
1529517617,11,0
1529519548,10,0
1529521473,4,32
1529524120,32,17
1529527929,15,52
1529529861,34,6
1529531775,7,27
1529538496,26,82
1529540417,9,7
1529542340,18,23
1529544258,32,22
1529546176,12,25
1529548091,39,27
1529550025,8,19
1529551938,23,23
1529553862,7,11
1529555771,29,16
1529557714,18,17
1529559614,13,0
1529561544,18,27
1529563457,32,20
1529565375,38,0
1529567295,29,0
1529571151,16,15
1529574970,27,24
1529577142,21,38
1529579063,23,18
1529582902,25,41
1529584822,15,0
1529586752,37,16
1529588659,28,0
1529590826,17,8
1529592758,8,25
1529594656,20,16
1529596577,6,40
1529598490,34,18
1529600439,8,13
1529602352,8,36
1529604266,9,11
1529606193,15,10
1529608110,11,5
1529610022,7,0
1529613868,26,32
1529615792,22,15
1529617699,17,36
1529619626,33,6
1529622280,12,0
1529624187,35,0
1529626106,10,29
1529629943,7,28
1529633786,19,42
1529635694,28,37
1529637620,33,14
1529639545,25,24
1529641457,45,8
1529645291,38,60
1529647231,24,16
1529649147,7,17
1529651073,22,30
1529652970,9,39
1529654908,23,27
1529656812,12,0
1529658987,18,15
1529661140,35,0
1529663063,41,25
1529664972,15,27
1529666898,35,24
1529668858,12,0
1529670751,15,31
1529672658,10,14
1529676524,20,57
1529678423,11,18
1529680352,21,8
1529682254,31,24
1529684185,25,8
1529686101,31,38
1529688016,32,13
1529689941,16,9
1529691856,25,9
1529693779,18,11
1529695694,32,11
1529697649,9,10
1529699542,39,0
1529701472,17,24
1529703373,18,19
1529707825,23,45
1529709853,43,11
1529711773,15,27
1529713687,36,8
1529715625,38,0
1529717540,11,4
1529721377,47,16
1529725214,40,54
1529727144,38,22
1529729050,35,35
1529730991,31,0
1529732892,15,40
1529736740,10,29
1529738652,23,22
1529740576,33,9
1529742489,19,17
1529744419,29,10
1529746342,15,15
1529748280,17,34
1529750178,4,34
1529752106,26,22
1529754014,44,40
1529755949,35,10
1529757852,30,14
1529759784,9,8
1529761698,33,0
1529763631,39,19
1529765537,28,10
1529767451,27,18
1529769377,27,24
1529773224,9,57
1529775141,16,36
1529777070,17,14
1529778977,30,25
1529780908,17,16
1529784743,28,43
1529786647,28,35
1529788580,11,17
1529792406,33,17
1529795078,35,26
1529796976,34,41
1529798916,24,12
1529802751,28,74
1529804656,16,12
1529808496,34,38
1529810413,27,0
1529812335,31,34
1529816173,24,66
1529818099,39,33
1529820032,31,15
1529821948,27,0
1529823867,26,7
1529825779,29,22
1529827697,26,30
1529829628,28,19
1529831537,10,25
1529833460,26,12
1529835380,35,14
1529837293,38,5
1529839212,16,22
1529841142,29,38
1529843059,30,32
1529844979,11,34
1529846892,29,10
1529848897,29,28
1529850743,22,36
1529854823,17,54
1529856748,26,26
1529858663,36,0
1529860581,29,5
1529862491,26,15
1529866332,24,42
1529868258,27,17
1529870177,21,0
1529872123,28,33
1529875946,34,41
1529877864,21,0
1529880417,23,33
1529884329,16,56
1529886503,33,34
1529888425,15,0
1529890335,15,28
1529894177,25,17
1529896105,23,30
1529898017,20,27
1529899945,15,26
1529901857,25,0
1529903779,19,24
1529905695,28,35
1529907630,27,28
1529909537,12,28
1529911548,21,26
1529913374,22,32
1529915291,25,27
1529917231,31,28
1529919146,8,12
1529921060,5,31
