DateTime,Entries,UniqueIPs
1528754900,11346,11620
1528757110,11348,11622
1528758982,11344,11618
1528760892,11342,11616
1528762809,11333,11607
1528764757,11334,11608
1528766651,11348,11622
1528770488,11330,11603
1528772411,11339,11613
1528776303,11321,11595
1528778167,11333,11607
1528780102,11322,11596
1528782011,11324,11598
1528783935,11319,11593
1528785859,11327,11601
1528789692,11314,11587
1528791615,11317,11588
1528793526,11318,11589
1528795450,11327,11597
1528797374,11335,11606
1528799288,11322,11592
1528803138,11309,11578
1528805051,11304,11572
1528808899,11289,11555
1528810808,11285,11551
1528812735,11278,11544
1528815396,11281,11546
1528817296,11290,11556
1528819229,11293,11559
1528821148,11276,11542
1528823063,11287,11553
1528824970,11278,11543
1528828811,11276,11541
1528830740,11293,11558
1528832667,11291,11556
1528834576,11301,11566
1528836506,11296,11561
1528838418,11304,11569
1528840342,11300,11565
1528842257,11307,11572
1528846103,11313,11577
1528848028,11296,11560
1528849948,11299,11563
1528851860,11307,11571
1528853772,11301,11565
1528855708,11294,11558
1528857613,11287,11551
1528859540,11275,11538
1528861465,11267,11530
1528863404,11260,11523
1528865539,11251,11514
1528867457,11247,11510
1528869389,11234,11497
1528871296,11251,11516
1528873228,11242,11507
1528875145,11242,11507
1528877054,11239,11504
1528878969,11248,11513
1528880905,11249,11514
1528882818,11248,11513
1528884737,11253,11518
1528886661,11254,11520
1528888582,11269,11537
1528892429,11241,11509
1528894332,11230,11498
1528896253,11244,11512
1528898178,11231,11497
1528900091,11221,11486
1528902033,11218,11482
1528903939,11204,11468
1528905856,11197,11461
1528907781,11200,11464
1528909696,11197,11461
1528911617,11195,11459
1528913541,11196,11459
1528917371,11182,11445
1528919323,11187,11450
1528921233,11187,11449
1528923139,11191,11453
1528925055,11195,11457
1528932040,11169,11429
1528935854,11162,11422
1528937778,11163,11422
1528939696,11154,11413
1528941645,11158,11417
1528943546,11162,11422
1528945470,11160,11420
1528947376,11161,11421
1528949299,11164,11424
1528951261,11162,11421
1528955096,11165,11424
1528960850,11156,11416
1528962783,11154,11416
1528968529,11149,11411
1528970475,11150,11410
1528972332,11164,11425
1528974296,11168,11429
1528978108,11147,11408
1528980013,11161,11422
1528983870,11161,11423
1528985786,11171,11433
1528987693,11184,11446
1528989616,11187,11449
1528991542,11193,11455
1528993457,11205,11467
1528997297,11215,11477
1528999221,11227,11489
1529001144,11222,11484
1529003058,11223,11485
1529004972,11223,11485
1529008812,11224,11486
1529010735,11237,11499
1529012656,11248,11512
1529014572,11235,11498
1529019137,11229,11491
1529021068,11228,11490
1529022971,11235,11499
1529026820,11228,11492
1529028734,11230,11493
1529030656,11229,11492
1529032583,11222,11484
1529034491,11226,11488
1529036414,11234,11495
1529038341,11240,11501
1529042170,11234,11495
1529044101,11233,11494
1529046031,11237,11498
1529047950,11243,11504
1529049858,11247,11508
1529053705,11247,11508
1529055613,11252,11513
1529059463,11251,11512
1529061372,11253,11515
1529063296,11266,11528
1529068110,11255,11517
1529070009,11265,11527
1529071936,11262,11525
1529073859,11262,11525
1529079617,11247,11505
1529081529,11248,11506
1529083451,11252,11512
1529085378,11252,11512
1529087300,11264,11524
1529089227,11260,11520
1529095993,11257,11517
1529097795,11258,11518
1529099766,11252,11511
1529101700,11263,11522
1529103625,11268,11527
1529109371,11262,11520
1529111308,11265,11524
1529113213,11245,11503
1529117062,11250,11508
1529118978,11253,11511
1529120890,11249,11506
1529124751,11242,11498
1529126651,11247,11505
1529128577,11247,11506
1529130743,11255,11513
1529134580,11254,11512
1529136509,11260,11518
1529138414,11268,11526
1529140340,11266,11524
1529142278,11269,11527
1529144171,11267,11525
1529146093,11275,11533
1529149936,11275,11533
1529151853,11285,11543
1529153782,11286,11544
1529155691,11288,11547
1529157619,11303,11562
1529163370,11301,11560
1529165322,11309,11568
1529167232,11307,11566
1529169135,11314,11574
1529171062,11319,11580
1529172983,11323,11584
1529174892,11335,11596
1529180651,11331,11592
1529182576,11329,11590
1529184490,11349,11610
1529186667,11341,11603
1529189057,11352,11614
1529192893,11366,11628
1529196726,11382,11644
1529198649,11390,11652
1529200592,11406,11668
1529204419,11407,11668
1529206343,11425,11687
1529210169,11433,11695
1529212101,11443,11705
1529214027,11462,11722
1529215933,11461,11722
1529217856,11465,11726
1529219773,11477,11738
1529221693,11484,11745
1529223617,11496,11757
1529225532,11507,11768
1529227456,11514,11775
1529229376,11514,11775
1529231290,11501,11762
1529233228,11509,11770
1529237063,11513,11773
1529240900,11512,11772
1529242810,11522,11782
1529244735,11537,11797
1529246658,11549,11810
1529250491,11535,11796
1529254332,11531,11792
1529258186,11527,11786
1529260091,11547,11807
1529262023,11559,11819
1529263943,11573,11833
1529265866,11586,11846
1529267768,11602,11862
1529269701,11623,11885
1529271617,11637,11900
1529273551,11638,11901
1529275481,11649,11912
1529277377,11657,11920
1529281214,11657,11920
1529283129,11660,11924
1529285060,11665,11929
1529286971,11662,11926
1529288887,11682,11946
1529290821,11685,11949
1529292736,11683,11947
1529294651,11673,11936
1529296577,11680,11942
1529304250,11643,11905
1529306169,11645,11907
1529308098,11651,11915
1529310034,11642,11906
1529311929,11646,11911
1529313861,11634,11899
1529315771,11634,11901
1529317688,11631,11898
1529319627,11631,11898
1529323459,11634,11901
1529327301,11626,11895
1529329220,11622,11891
1529331140,11627,11896
1529333062,11627,11896
1529334983,11615,11884
1529337140,11601,11870
1529339052,11598,11868
1529340973,11589,11858
1529344817,11564,11832
1529346736,11552,11820
1529352516,11533,11798
1529354415,11514,11779
1529356339,11509,11773
1529358753,11493,11757
1529360895,11476,11739
1529362819,11464,11727
1529364730,11455,11718
1529368574,11454,11717
1529370491,11450,11712
1529372407,11444,11706
1529376246,11443,11705
1529380091,11444,11706
1529387768,11427,11689
1529389692,11441,11703
1529391621,11446,11706
1529393538,11452,11712
1529395459,11448,11708
1529397378,11446,11706
1529399291,11453,11713
1529401244,11461,11721
1529403131,11458,11719
1529405050,11465,11726
1529408890,11471,11734
1529410821,11469,11732
1529412734,11478,11741
1529414894,11478,11741
1529416822,11475,11737
1529418747,11469,11731
1529420663,11470,11732
1529422569,11475,11737
1529424522,11473,11735
1529426412,11461,11723
1529434108,11437,11698
1529436016,11430,11692
1529437932,11436,11698
1529439854,11439,11701
1529441775,11431,11693
1529443695,11431,11693
1529445620,11430,11692
1529448158,11446,11708
1529449958,11452,11714
1529451920,11450,11712
1529453771,11451,11713
1529455692,11453,11716
1529457615,11463,11726
1529459538,11456,11719
1529461449,11464,11727
1529463371,11460,11724
1529465284,11448,11712
1529467220,11433,11697
1529469142,11418,11682
1529471051,11425,11689
1529474898,11419,11682
1529476814,11425,11689
1529482577,11394,11656
1529486419,11394,11658
1529488335,11399,11663
1529490254,11422,11687
1529492179,11419,11684
1529494090,11431,11696
1529496031,11423,11689
1529499859,11416,11682
1529503934,11408,11674
1529505860,11416,11682
1529507780,11419,11684
1529509704,11444,11710
1529511613,11453,11719
1529513537,11445,11710
1529515449,11457,11726
1529517617,11456,11725
1529519548,11462,11731
1529521473,11458,11727
1529524120,11474,11743
1529527929,11456,11725
1529529861,11476,11747
1529531775,11478,11749
1529538496,11487,11758
1529540417,11487,11759
1529542340,11489,11760
1529544258,11500,11772
1529546176,11496,11768
1529548091,11507,11779
1529550025,11504,11776
1529551938,11516,11789
1529553862,11517,11790
1529555771,11537,11810
1529557714,11544,11818
1529559614,11553,11827
1529561544,11561,11835
1529563457,11578,11855
1529565375,11590,11868
1529567295,11605,11882
1529571151,11608,11885
1529574970,11603,11880
1529577142,11613,11890
1529579063,11619,11896
1529582902,11614,11890
1529584822,11616,11892
1529586752,11641,11917
1529588659,11649,11925
1529590826,11653,11929
1529592758,11653,11929
1529594656,11664,11941
1529596577,11660,11937
1529598490,11677,11954
1529600439,11680,11957
1529602352,11685,11962
1529604266,11690,11967
1529606193,11698,11975
1529608110,11699,11976
1529610022,11700,11977
1529613868,11692,11969
1529615792,11705,11982
1529617699,11716,11993
1529619626,11723,12001
1529622280,11730,12008
1529624187,11744,12022
1529626106,11743,12020
1529629943,11720,11996
1529633786,11723,12000
1529635694,11730,12006
1529637620,11731,12006
1529639545,11740,12016
1529641457,11761,12037
1529645291,11775,12051
1529647231,11778,12054
1529649147,11774,12050
1529651073,11780,12055
1529652970,11770,12045
1529654908,11780,12055
1529656812,11777,12052
1529658987,11777,12052
1529661140,11794,12070
1529663063,11811,12086
1529664972,11819,12094
1529666898,11821,12096
1529668858,11817,12091
1529670751,11821,12094
1529672658,11816,12091
1529676524,11810,12085
1529678423,11803,12080
1529680352,11817,12094
1529682254,11829,12106
1529684185,11823,12100
1529686101,11826,12102
1529688016,11846,12123
1529689941,11851,12127
1529691856,11859,12135
1529693779,11858,12134
1529695694,11868,12144
1529697649,11869,12144
1529699542,11892,12168
1529701472,11899,12175
1529703373,11909,12185
1529707825,11914,12192
1529709853,11930,12210
1529711773,11925,12204
1529713687,11933,12211
1529715625,11945,12224
1529717540,11946,12225
1529721377,11948,12228
1529725214,11948,12228
1529727144,11955,12235
1529729050,11964,12244
1529730991,11978,12258
1529732892,11985,12265
1529736740,11982,12262
1529738652,11989,12270
1529740576,12012,12293
1529742489,12018,12299
1529744419,12026,12307
1529746342,12029,12311
1529748280,12034,12317
1529750178,12034,12317
1529752106,12048,12331
1529754014,12064,12349
1529755949,12069,12354
1529757852,12078,12363
1529759784,12074,12360
1529761698,12094,12380
1529763631,12107,12393
1529765537,12123,12410
1529767451,12130,12417
1529769377,12136,12423
1529773224,12122,12408
1529775141,12131,12417
1529777070,12142,12428
1529778977,12153,12440
1529780908,12151,12438
1529784743,12143,12431
1529786647,12152,12440
1529788580,12145,12433
1529792406,12154,12442
1529795078,12155,12443
1529796976,12160,12447
1529798916,12155,12442
1529802751,12153,12440
1529804656,12151,12437
1529808496,12149,12435
1529810413,12155,12441
1529812335,12167,12453
1529816173,12174,12460
1529818099,12191,12477
1529820032,12194,12481
1529821948,12199,12484
1529823867,12201,12486
1529825779,12216,12501
1529827697,12222,12507
