DateTime,AddedIPs,RemovedIPs
1528754900,20,19
1528757110,55,20
1528758982,40,53
1528760892,42,39
1528762809,18,43
1528764757,16,19
1528766651,54,14
1528770488,43,53
1528772411,31,45
1528776303,20,32
1528778167,45,18
1528780102,18,42
1528782011,48,20
1528783935,31,49
1528785859,45,30
1528789692,54,42
1528791615,30,55
1528793526,20,31
1528795450,28,25
1528797374,43,28
1528799288,41,36
1528803138,28,41
1528805051,21,29
1528808899,15,25
1528810808,28,15
1528812735,23,27
1528815396,32,22
1528817296,47,32
1528819229,21,47
1528821148,22,24
1528823063,31,20
1528824970,17,33
1528828811,25,18
1528830740,42,25
1528832667,50,38
1528834576,35,49
1528836506,47,37
1528838418,33,47
1528840342,11,35
1528842257,58,12
1528846103,50,54
1528848028,17,52
1528849948,46,16
1528851860,29,41
1528853772,24,34
1528855708,18,25
1528857613,26,17
1528859540,38,27
1528861465,30,38
1528863404,38,31
1528865539,25,38
1528867457,42,24
1528869389,18,39
1528871296,61,20
1528873228,20,60
1528875145,45,17
1528877054,45,43
1528878969,30,47
1528880905,23,32
1528882818,7,29
1528884737,43,7
1528886661,45,39
1528888582,53,44
1528892429,29,48
1528894332,23,32
1528896253,42,27
1528898178,24,44
1528900091,32,20
1528902033,17,30
1528903939,16,19
1528905856,14,20
1528907781,13,14
1528909696,14,10
1528911617,11,17
1528913541,26,10
1528917371,15,25
1528919323,49,16
1528921233,18,47
1528923139,18,18
1528925055,30,18
1528932040,37,30
1528935854,44,35
1528937778,40,47
1528939696,43,39
1528941645,18,47
1528943546,64,17
1528945470,27,63
1528947376,47,25
1528949299,41,33
1528951261,52,53
1528955096,33,53
1528960850,42,31
1528962783,51,45
1528968529,17,54
1528970475,15,18
1528972332,35,13
1528974296,17,32
1528978108,12,19
1528980013,45,12
1528983870,41,41
1528985786,32,42
1528987693,38,35
1528989616,29,38
1528991542,27,28
1528993457,52,28
1528997297,60,49
1528999221,36,61
1529001144,17,38
1529003058,21,16
1529004972,21,22
1529008812,18,20
1529010735,58,19
1529012656,56,60
1529014572,15,56
1529019137,41,14
1529021068,10,37
1529022971,60,11
1529026820,12,59
1529028734,55,14
1529030656,49,50
1529032583,26,53
1529034491,59,24
1529036414,47,55
1529038341,27,53
1529042170,33,26
1529044101,38,31
1529046031,47,36
1529047950,40,48
1529049858,34,38
1529053705,30,34
1529055613,18,41
1529059463,50,18
1529061372,32,46
1529063296,59,32
1529068110,28,60
1529070009,33,31
1529071936,23,28
1529073859,53,25
1529079617,38,52
1529081529,21,38
1529083451,41,17
1529085378,19,43
1529087300,53,23
1529089227,29,52
1529095993,43,28
1529097795,42,40
1529099766,38,45
1529101700,47,38
1529103625,22,50
1529109371,67,23
1529111308,41,63
1529113213,44,40
1529117062,59,41
1529118978,43,61
1529120890,52,42
1529124751,52,55
1529126651,53,55
1529128577,39,47
1529130743,45,40
1529134580,38,44
1529136509,28,38
1529138414,32,29
1529140340,16,37
1529142278,15,16
1529144171,33,16
1529146093,49,29
1529149936,49,45
1529151853,37,52
1529153782,28,39
1529155691,55,29
1529157619,53,54
1529163370,28,48
1529165322,20,31
1529167232,19,18
1529169135,43,20
1529171062,36,44
1529172983,25,36
1529174892,53,29
1529180651,47,49
1529182576,45,45
1529184490,60,42
1529186667,37,64
1529189057,49,39
1529192893,47,53
1529196726,53,42
1529198649,42,50
1529200592,53,43
1529204419,56,55
1529206343,57,58
1529210169,57,56
1529212101,49,43
1529214027,52,60
1529215933,43,52
1529217856,37,46
1529219773,45,34
1529221693,46,46
1529223617,34,48
1529225532,56,33
1529227456,15,59
1529229376,14,17
1529231290,17,14
1529233228,57,15
1529237063,43,53
1529240900,20,41
1529242810,53,23
1529244735,48,50
1529246658,54,51
1529250491,47,56
1529254332,17,46
1529258186,33,18
1529260091,55,32
1529262023,50,53
1529263943,48,47
1529265866,52,51
1529267768,59,52
1529269701,50,55
1529271617,49,52
1529273551,36,49
1529275481,48,33
1529277377,45,51
1529281214,56,48
1529283129,42,54
1529285060,50,46
1529286971,15,49
1529288887,66,16
1529290821,35,62
1529292736,17,38
1529294651,17,19
1529296577,61,16
1529304250,52,60
1529306169,44,50
1529308098,31,42
1529310034,17,37
1529311929,44,16
1529313861,7,47
1529315771,24,6
1529317688,13,22
1529319627,37,15
1529323459,43,35
1529327301,29,42
1529329220,32,26
1529331140,25,36
1529333062,46,26
1529334983,18,45
1529337140,14,20
1529339052,46,15
1529340973,28,45
1529344817,13,25
1529346736,22,13
1529352516,23,23
1529354415,17,26
1529356339,10,16
1529358753,16,11
1529360895,29,14
1529362819,19,27
1529364730,14,20
1529368574,29,11
1529370491,27,31
1529372407,28,28
1529376246,41,25
1529380091,45,44
1529387768,22,47
1529389692,43,20
1529391621,31,43
1529393538,28,33
1529395459,24,25
1529397378,13,26
1529399291,39,14
1529401244,28,36
1529403131,34,29
1529405050,46,35
1529408890,48,47
1529410821,17,48
1529412734,27,16
1529414894,43,26
1529416822,10,45
1529418747,19,9
1529420663,15,20
1529422569,14,14
1529424522,19,15
1529426412,9,19
1529434108,56,8
1529436016,31,56
1529437932,14,30
1529439854,64,15
1529441775,12,65
1529443695,45,10
1529445620,23,46
1529448158,39,22
1529449958,21,37
1529451920,47,23
1529453771,18,48
1529455692,42,16
1529457615,35,41
1529459538,35,35
1529461449,51,37
1529463371,28,47
1529465284,41,32
1529467220,18,41
1529469142,26,20
1529471051,36,26
1529474898,42,37
1529476814,33,38
1529482577,21,35
1529486419,22,21
1529488335,15,24
1529490254,61,15
1529492179,36,61
1529494090,45,33
1529496031,22,46
1529499859,28,21
1529503934,15,30
1529505860,46,14
1529507780,22,46
1529509704,57,23
1529511613,26,55
1529513537,24,27
1529515449,53,25
1529517617,25,54
1529519548,18,22
1529521473,8,19
1529524120,51,8
1529527929,27,51
1529529861,51,28
1529531775,18,51
1529538496,44,16
1529540417,18,45
1529542340,49,13
1529544258,37,48
1529546176,24,40
1529548091,54,25
1529550025,18,54
1529551938,42,19
1529553862,11,41
1529555771,54,11
1529557714,29,52
1529559614,23,33
1529561544,32,23
1529563457,46,29
1529565375,51,47
1529567295,42,48
1529571151,22,48
1529574970,44,21
1529577142,34,41
1529579063,36,34
1529582902,49,38
1529584822,19,49
1529586752,52,19
1529588659,45,53
1529590826,26,43
1529592758,16,28
1529594656,31,16
1529596577,13,30
1529598490,52,13
1529600439,21,52
1529602352,9,23
1529604266,21,9
1529606193,17,21
1529608110,16,17
1529610022,12,15
1529613868,38,12
1529615792,38,35
1529617699,28,39
1529619626,44,28
1529622280,14,44
1529624187,58,15
1529626106,14,59
1529629943,17,15
1529633786,32,13
1529635694,33,32
1529637620,47,32
1529639545,45,46
1529641457,56,44
1529645291,56,61
1529647231,39,53
1529649147,19,41
1529651073,41,18
1529652970,16,40
1529654908,30,20
1529656812,20,29
1529658987,29,21
1529661140,57,28
1529663063,52,57
1529664972,33,52
1529666898,50,34
1529668858,22,51
1529670751,19,22
1529672658,18,19
1529676524,37,16
1529678423,19,32
1529680352,32,23
1529682254,46,34
1529684185,39,43
1529686101,55,42
1529688016,54,54
1529689941,24,54
1529691856,39,24
1529693779,35,37
1529695694,56,36
1529697649,21,55
1529699542,56,21
1529701472,33,57
1529703373,32,33
1529707825,37,35
1529709853,62,38
1529711773,29,56
1529713687,57,29
1529715625,63,59
1529717540,20,65
1529721377,68,21
1529725214,57,63
1529727144,56,58
1529729050,52,57
1529730991,53,51
1529732892,33,54
1529736740,18,36
1529738652,38,18
1529740576,51,37
1529742489,42,49
1529744419,47,38
1529746342,24,49
1529748280,36,24
1529750178,14,36
1529752106,49,16
1529754014,64,45
1529755949,55,68
1529757852,54,57
1529759784,18,55
1529761698,57,18
1529763631,57,52
1529765537,48,57
1529767451,47,51
1529769377,55,47
1529773224,18,52
1529775141,28,21
1529777070,29,27
1529778977,48,28
1529780908,33,45
1529784743,53,35
1529786647,47,51
1529788580,17,53
1529792406,64,16
1529795078,59,58
1529796976,66,62
1529798916,45,49
1529802751,59,60
1529804656,39,61
1529808496,60,39
1529810413,54,58
1529812335,46,56
1529816173,52,45
1529818099,62,58
1529820032,52,55
1529821948,53,48
1529823867,51,55
1529825779,54,52
1529827697,47,55
1529829628,50,45
1529831537,18,60
1529833460,49,16
1529835380,56,49
1529837293,63,56
1529839212,42,59
1529841142,61,44
1529843059,44,60
1529844979,30,45
1529846892,58,31
1529848897,54,53
1529850743,55,54
1529854823,35,61
1529856748,36,33
1529858663,56,38
1529860581,55,54
1529862491,44,56
1529866332,44,44
1529868258,46,45
1529870177,39,42
1529872123,56,43
1529875946,60,52
1529877864,39,60
1529880417,36,36
1529884329,36,39
1529886503,62,35
1529888425,26,61
1529890335,41,31
1529894177,64,37
1529896105,54,61
1529898017,44,58
1529899945,37,47
1529901857,57,37
1529903779,40,55
1529905695,50,38
1529907630,53,54
1529909537,35,50
1529911548,43,35
1529913374,50,46
1529915291,34,50
1529917231,56,33
1529919146,13,57
1529921060,13,14
