DateTime,AddedIPs,RemovedIPs
1529433615,116,101
1529434586,79,118
1529435539,113,231
1529436490,82,108
1529437467,87,5
1529438423,66,101
1529439371,108,68
1529440346,78,147
1529441294,121,10
1529442259,90,101
1529443224,115,204
1529444172,63,2
1529445131,115,5
1529446109,67,72
1529447074,107,87
1529448258,79,95
1529449219,128,105
1529450171,74,107
1529451143,93,107
1529452108,71,106
1529453063,131,95
1529454020,87,113
1529454967,108,115
1529455945,118,105
1529456904,107,106
1529457852,118,115
1529458807,59,110
1529459782,100,118
1529460733,108,92
1529461688,94,108
1529462663,150,80
1529463614,88,102
1529464575,133,94
1529465549,77,96
1529466492,107,118
1529467456,136,108
1529468428,80,104
1529469369,138,115
1529470332,98,104
1529471309,76,55
1529472252,99,80
1529473212,99,106
1529474184,122,87
1529475135,69,67
1529476353,78,81
1529477292,87,117
1529478254,120,104
1529479229,75,65
1529480170,78,111
1529481134,89,93
1529482114,124,93
1529483053,96,70
1529484012,51,120
1529484986,69,102
1529485934,113,98
1529486890,89,104
1529487867,174,99
1529488823,164,101
1529489772,219,79
1529490754,127,126
1529491792,134,97
1529492904,185,103
1529493853,168,111
1529494810,144,97
1529495782,147,83
1529496737,155,108
1529497690,152,77
1529498665,169,100
1529499621,174,98
1529500578,150,75
1529501554,136,125
1529502493,138,61
1529503465,117,132
1529504424,143,69
1529505371,163,113
1529506333,135,77
1529507310,151,111
1529508256,146,96
1529509216,169,100
1529510443,189,212
1529511375,159,89
1529512340,156,6
1529513294,157,112
1529514275,171,203
1529515216,139,10
1529516181,136,203
1529517148,146,110
1529518096,101,7
1529519072,140,184
1529520015,137,7
1529520989,148,175
1529521939,136,15
1529522892,147,157
1529524134,139,86
1529525061,126,60
1529526022,99,112
1529526988,135,72
1529527941,138,112
1529528908,140,71
1529529865,119,90
1529530813,152,63
1529531788,142,80
1529532747,125,65
1529533692,142,99
1529534691,147,57
1529536623,172,179
1529537536,114,6
1529538500,104,103
1529539473,132,189
1529540428,122,67
1529541380,128,104
1529542366,117,99
1529543295,134,8
1529544262,90,208
1529545213,50,58
1529546189,43,102
1529547156,66,114
1529548095,48,98
1529549077,40,108
1529550037,47,103
1529550987,157,114
1529551942,219,9
1529552899,161,151
1529553874,146,121
1529554815,145,5
1529555775,124,192
1529556754,86,83
1529557748,109,89
1529558672,77,124
1529559646,38,125
1529560576,38,5
1529561564,51,198
1529562497,40,6
1529563473,38,104
1529564439,17,106
1529565379,209,111
1529566353,191,94
1529567298,140,94
1529568257,131,128
1529569229,131,140
1529570172,93,100
1529571164,84,92
1529572096,155,109
1529573071,80,160
1529574013,84,121
1529574975,82,175
1529576660,113,327
1529577614,48,105
1529578585,57,135
1529579556,56,174
1529580491,37,168
1529581461,41,117
1529582455,45,153
1529583374,56,152
1529584340,45,139
1529585301,187,149
1529586271,195,177
1529587465,190,160
1529588412,152,142
1529589390,128,179
1529590341,147,125
1529591298,173,153
1529592273,112,186
1529593226,139,168
1529594174,133,184
1529595160,129,180
1529596094,118,202
1529597060,136,180
1529598012,140,240
1529598991,115,147
1529599934,117,155
1529600910,171,171
1529601854,131,133
1529602814,111,159
1529603786,112,137
1529604739,132,107
1529605696,111,188
1529606662,101,208
1529607620,152,157
1529608581,66,196
1529609554,105,182
1529610498,115,5
1529611458,115,162
1529612423,129,269
1529613384,91,5
1529614371,104,322
1529615313,97,162
1529616260,112,1
1529617230,70,363
1529618172,102,6
1529619145,93,193
1529620705,133,339
1529622294,139,217
1529623211,123,175
1529624192,147,164
1529625142,123,180
1529626118,106,135
1529627058,112,168
1529628017,93,168
1529628987,127,170
1529629948,103,172
1529630894,108,97
1529631874,101,46
1529632825,118,57
1529633791,93,91
1529634743,102,66
1529635699,112,65
1529636674,111,113
1529637625,83,217
1529638573,97,182
1529639558,118,184
1529640496,124,167
