DateTime,Entries,UniqueIPs
1529433615,42561,42561
1529434586,42543,42543
1529435539,42549,42549
1529436490,42524,42524
1529437467,42536,42536
1529438423,42503,42503
1529439371,42497,42497
1529440346,42474,42474
1529441294,42487,42487
1529442259,42478,42478
1529443224,42460,42460
1529444172,42487,42487
1529445131,42500,42500
1529446109,42459,42459
1529447074,42464,42464
1529448258,42473,42473
1529449219,42471,42471
1529450171,42466,42466
1529451143,42428,42428
1529452108,42402,42402
1529453063,42411,42411
1529454020,42388,42388
1529454967,42384,42384
1529455945,42371,42371
1529456904,42347,42347
1529457852,42342,42342
1529458807,42303,42303
1529459782,42284,42284
1529460733,42289,42289
1529461688,42269,42269
1529462663,42298,42298
1529463614,42261,42261
1529464575,42282,42282
1529465549,42263,42263
1529466492,42269,42269
1529467456,42281,42281
1529468428,42263,42263
1529469369,42286,42286
1529470332,42317,42317
1529471309,42296,42296
1529472252,42298,42298
1529473212,42255,42255
1529474184,42291,42291
1529475135,42259,42259
1529476353,42209,42209
1529477292,42171,42171
1529478254,42183,42183
1529479229,42178,42178
1529480170,42149,42149
1529481134,42141,42141
1529482114,42170,42170
1529483053,42165,42165
1529484012,42137,42137
1529484986,42096,42096
1529485934,42068,42068
1529486890,42047,42047
1529487867,42093,42093
1529488823,42146,42146
1529489772,42243,42243
1529490754,42274,42274
1529491792,42297,42297
1529492904,42354,42354
1529493853,42406,42406
1529494810,42464,42464
1529495782,42499,42499
1529496737,42538,42538
1529497690,42583,42583
1529498665,42642,42642
1529499621,42681,42681
1529500578,42710,42710
1529501554,42737,42737
1529502493,42757,42757
1529503465,42776,42776
1529504424,42803,42803
1529505371,42829,42829
1529506333,42852,42852
1529507310,42895,42895
1529508256,42911,42911
1529509216,42941,42941
1529510443,42985,42985
1529511375,43046,43046
1529512340,43110,43110
1529513294,43189,43189
1529514275,43248,43248
1529515216,43294,43294
1529516181,43301,43301
1529517148,43331,43331
1529518096,43339,43339
1529519072,43370,43370
1529520015,43376,43376
1529520989,43422,43422
1529521939,43432,43432
1529522892,43445,43445
1529524134,43478,43478
1529525061,43514,43514
1529526022,43565,43565
1529526988,43569,43569
1529527941,43635,43635
1529528908,43632,43632
1529529865,43651,43651
1529530813,43726,43726
1529531788,43755,43755
1529532747,43730,43730
1529533692,43799,43799
1529534691,43732,43732
1529536623,43826,43826
1529537536,43838,43838
1529538500,43841,43841
1529539473,43834,43834
1529540428,43868,43868
1529541380,43845,43845
1529542366,43856,43856
1529543295,43857,43857
1529544262,43871,43871
1529545213,43804,43804
1529546189,43748,43748
1529547156,43723,43723
1529548095,43716,43716
1529549077,43682,43682
1529550037,43659,43659
1529550987,43690,43690
1529551942,43798,43798
1529552899,43860,43860
1529553874,43892,43892
1529554815,43938,43938
1529555775,43972,43972
1529556754,43962,43962
1529557748,43974,43974
1529558672,43953,43953
1529559646,43906,43906
1529560576,43875,43875
1529561564,43847,43847
1529562497,43801,43801
1529563473,43761,43761
1529564439,43724,43724
1529565379,43798,43798
1529566353,43862,43862
1529567298,43844,43844
1529568257,43841,43841
1529569229,43873,43873
1529570172,43859,43859
1529571164,43843,43843
1529572096,43877,43877
1529573071,43853,43853
1529574013,43847,43847
1529574975,43815,43815
1529576660,43758,43758
1529577614,43724,43724
1529578585,43682,43682
1529579556,43657,43657
1529580491,43594,43594
1529581461,43563,43563
1529582455,43536,43536
1529583374,43510,43510
1529584340,43474,43474
1529585301,43516,43516
1529586271,43547,43547
1529587465,43614,43614
1529588412,43580,43580
1529589390,43572,43572
1529590341,43616,43616
1529591298,43649,43649
1529592273,43682,43682
1529593226,43701,43701
1529594174,43732,43732
1529595160,43732,43732
1529596094,43748,43748
1529597060,43778,43778
1529598012,43809,43809
1529598991,43819,43819
1529599934,43819,43819
1529600910,43855,43855
1529601854,43878,43878
1529602814,43890,43890
1529603786,43895,43895
1529604739,43902,43902
1529605696,43934,43934
1529606662,43922,43922
1529607620,43954,43954
1529608581,43962,43962
1529609554,43974,43974
1529610498,43987,43987
1529611458,43999,43999
1529612423,44016,44016
1529613384,44020,44020
1529614371,44028,44028
1529615313,44033,44033
1529616260,44029,44029
1529617230,44027,44027
1529618172,44009,44009
1529619145,44008,44008
1529620705,43965,43965
1529622294,43983,43983
1529623211,43967,43967
1529624192,44002,44002
1529625142,44008,44008
1529626118,44013,44013
1529627058,44017,44017
1529628017,44019,44019
1529628987,44023,44023
1529629948,44025,44025
1529630894,44033,44033
1529631874,44052,44052
1529632825,44056,44056
1529633791,44054,44054
1529634743,44066,44066
1529635699,44095,44095
1529636674,44114,44114
1529637625,44115,44115
1529638573,44130,44130
1529639558,44141,44141
1529640496,44175,44175
1529641461,44165,44165
1529642413,44175,44175
1529643391,44148,44148
1529644341,44149,44149
1529645296,44125,44125
1529646272,44096,44096
1529647235,44078,44078
1529648175,44035,44035
1529649159,43995,43995
1529650187,43985,43985
1529651305,44018,44018
1529652257,44086,44086
1529653213,44096,44096
1529654191,44120,44120
1529655136,44148,44148
1529656094,44144,44144
1529657072,44147,44147
1529658029,44145,44145
1529658992,44154,44154
1529660186,44152,44152
1529661146,44146,44146
1529662101,44135,44135
1529663074,44128,44128
1529664012,44113,44113
1529664978,44114,44114
1529665945,44093,44093
1529666903,44088,44088
1529667861,44081,44081
1529668862,44094,44094
1529669775,44073,44073
1529670763,44108,44108
1529671695,44089,44089
1529672662,44080,44080
1529673611,44046,44046
1529674596,44030,44030
1529675533,44026,44026
1529676531,44038,44038
1529677453,44036,44036
1529678436,44053,44053
1529679410,44041,44041
1529680375,44049,44049
1529681292,44043,44043
1529682259,44047,44047
1529683223,44044,44044
1529684199,44030,44030
1529685137,44029,44029
1529686105,44022,44022
1529687061,43994,43994
1529688021,43977,43977
1529688974,43971,43971
1529689953,43958,43958
1529690896,43946,43946
1529691860,43938,43938
1529692813,43935,43935
1529693792,43918,43918
1529694739,43905,43905
1529695700,43906,43906
1529696655,43864,43864
1529697662,43872,43872
1529698577,43908,43908
1529699548,43903,43903
1529700499,43902,43902
1529701486,43909,43909
1529702413,43907,43907
1529703377,43884,43884
1529704351,43851,43851
1529705300,43841,43841
1529706253,43833,43833
1529707837,43849,43849
1529708898,43815,43815
1529709860,43734,43734
1529710818,43719,43719
1529711788,43780,43780
1529712738,43758,43758
1529713691,43772,43772
1529714671,43725,43725
1529715630,43750,43750
1529716579,43739,43739
1529717552,43730,43730
1529718496,43718,43718
1529719468,43724,43724
1529720412,43755,43755
1529721391,43745,43745
1529722336,43731,43731
1529723300,43763,43763
1529724255,43758,43758
1529725218,43715,43715
1529726171,43764,43764
1529727157,43729,43729
1529728095,43725,43725
1529729058,43763,43763
1529730041,43748,43748
1529731004,43736,43736
1529731946,43761,43761
1529732897,43768,43768
1529733888,43781,43781
1529734843,43797,43797
1529735785,43801,43801
1529736744,43800,43800
1529737704,43806,43806
1529738661,43823,43823
1529739614,43820,43820
1529740589,43828,43828
1529741541,43820,43820
1529742495,43817,43817
1529743469,43833,43833
1529744425,43831,43831
1529745375,43846,43846
1529746354,43866,43866
1529747307,43879,43879
1529748287,43871,43871
