DateTime,AddedIPs,RemovedIPs
1529433615,496,503
1529434586,478,467
1529435539,509,508
1529436490,488,486
1529437467,497,503
1529438423,486,478
1529439371,503,508
1529440346,484,481
1529441294,503,513
1529442259,485,475
1529443224,497,512
1529444172,484,471
1529445131,502,506
1529446109,495,488
1529447074,497,507
1529448258,481,477
1529449219,504,504
1529450171,481,484
1529451143,498,505
1529452108,487,476
1529453063,508,515
1529454020,493,491
1529454967,502,497
1529455945,499,506
1529456904,494,488
1529457852,507,510
1529458807,479,479
1529459782,510,505
1529460733,502,507
1529461688,480,478
1529462663,516,516
1529463614,472,474
1529464575,511,511
1529465549,493,488
1529466492,507,508
1529467456,504,509
1529468428,489,483
1529469369,508,516
1529470332,492,486
1529471309,491,491
1529472252,499,501
1529473212,499,496
1529474184,496,503
1529475135,493,488
1529476353,492,490
1529477292,503,503
1529478254,506,509
1529479229,483,481
1529480170,489,493
1529481134,488,495
1529482114,498,499
1529483053,486,474
1529484012,486,485
1529484986,493,500
1529485934,499,496
1529486890,499,496
1529487867,538,534
1529488823,551,556
1529489772,559,569
1529490754,531,520
1529491792,499,498
1529492904,522,519
1529493853,495,502
1529494810,507,506
1529495782,490,488
1529496737,501,502
1529497690,513,515
1529498665,508,508
1529499621,501,506
1529500578,499,487
1529501554,505,515
1529502493,489,486
1529503465,511,508
1529504424,476,471
1529505371,486,488
1529506333,483,488
1529507310,490,483
1529508256,497,497
1529509216,487,491
1529510443,511,511
1529511375,502,498
1529512340,545,547
1529513294,518,523
1529514275,511,511
1529515216,495,502
1529516181,480,473
1529517148,495,499
1529518096,467,463
1529519072,489,487
1529520015,486,487
1529520989,511,515
1529521939,502,493
1529522892,507,511
1529524134,515,513
1529525061,501,498
1529526022,434,439
1529526988,495,495
1529527941,481,484
1529528908,485,476
1529529865,484,488
1529530813,505,508
1529531788,501,504
1529532747,505,499
1529533692,509,512
1529534691,508,506
1529536623,534,533
1529537536,494,497
1529538500,452,448
1529539473,483,484
1529540428,498,497
1529541380,493,494
1529542366,506,509
1529543295,498,498
1529544262,473,463
1529545213,386,386
1529546189,360,360
1529547156,381,381
1529548095,370,371
1529549077,364,363
1529550037,381,381
1529550987,497,514
1529551942,568,572
1529552899,504,498
1529553874,508,517
1529554815,469,468
1529555775,476,480
1529556754,410,402
1529557748,468,479
1529558672,475,461
1529559646,152,153
1529560576,179,181
1529561564,245,241
1529562497,185,184
1529563473,209,220
1529564439,184,189
1529565379,533,517
1529566353,509,535
1529567298,498,478
1529568257,469,466
1529569229,489,488
1529570172,482,476
1529571164,363,374
1529572096,479,473
1529573071,462,462
1529574013,411,416
1529574975,377,374
1529576660,406,411
1529577614,215,216
1529578585,247,244
1529579556,243,241
1529580491,231,234
1529581461,197,205
1529582455,196,198
1529583374,204,197
1529584340,211,201
1529585301,518,518
1529586271,525,533
1529587465,542,540
1529588412,492,478
1529589390,491,501
1529590341,480,480
1529591298,485,481
1529592273,476,476
1529593226,461,459
1529594174,451,453
1529595160,469,469
1529596094,455,460
1529597060,442,442
1529598012,474,472
1529598991,479,482
1529599934,431,432
1529600910,474,466
1529601854,481,483
1529602814,427,426
1529603786,455,467
1529604739,476,459
1529605696,469,487
1529606662,452,443
1529607620,471,468
1529608581,458,460
1529609554,438,439
1529610498,464,462
1529611458,470,468
1529612423,489,488
1529613384,466,465
1529614371,441,447
1529615313,448,439
1529616260,457,468
1529617230,451,438
1529618172,465,465
1529619145,461,463
1529620705,485,488
1529622294,478,484
1529623211,455,456
1529624192,487,481
1529625142,486,489
1529626118,483,476
1529627058,457,459
1529628017,452,454
1529628987,420,426
1529629948,410,412
1529630894,420,421
1529631874,423,423
1529632825,455,459
1529633791,432,432
1529634743,440,439
1529635699,426,431
1529636674,447,434
1529637625,412,419
1529638573,407,406
1529639558,407,410
1529640496,417,415
1529641461,411,405
1529642413,407,408
1529643391,471,454
1529644341,365,365
1529645296,367,368
1529646272,371,370
1529647235,368,368
1529648175,365,365
1529649159,367,367
1529650187,457,483
1529651305,497,491
1529652257,538,538
1529653213,492,483
1529654191,497,518
1529655136,497,483
1529656094,499,491
1529657072,497,507
1529658029,484,484
1529658992,464,462
1529660186,482,469
1529661146,503,507
1529662101,480,491
1529663074,464,460
1529664012,457,454
1529664978,439,443
1529665945,457,452
1529666903,460,469
1529667861,454,445
1529668862,452,462
1529669775,443,442
1529670763,430,429
1529671695,401,398
1529672662,434,433
1529673611,452,449
1529674596,447,449
1529675533,444,442
1529676531,445,447
1529677453,445,441
1529678436,452,456
1529679410,459,460
1529680375,449,444
1529681292,461,461
1529682259,463,459
1529683223,462,464
1529684199,441,449
1529685137,479,471
1529686105,452,459
1529687061,427,428
1529688021,463,460
1529688974,475,467
1529689953,450,464
1529690896,475,468
1529691860,451,444
1529692813,440,446
1529693792,425,430
1529694739,421,418
1529695700,444,444
1529696655,447,451
1529697662,478,469
1529698577,440,446
1529699548,450,449
1529700499,448,443
1529701486,456,461
1529702413,452,454
1529703377,431,425
1529704351,438,442
1529705300,446,444
1529706253,384,382
1529707837,466,473
1529708898,461,456
1529709860,417,417
1529710818,425,426
1529711788,431,439
1529712738,457,448
1529713691,483,484
1529714671,466,475
1529715630,452,450
1529716579,455,461
1529717552,440,444
1529718496,440,448
1529719468,441,433
1529720412,438,431
1529721391,433,432
1529722336,394,405
1529723300,417,398
1529724255,407,426
1529725218,403,401
1529726171,411,408
1529727157,406,407
1529728095,422,419
1529729058,418,419
1529730041,441,436
1529731004,389,394
1529731946,381,383
1529732897,399,390
1529733888,475,492
1529734843,413,406
1529735785,436,437
1529736744,455,452
1529737704,460,456
1529738661,444,452
1529739614,440,429
1529740589,446,454
1529741541,449,434
1529742495,452,459
1529743469,444,453
1529744425,405,401
1529745375,415,415
1529746354,409,406
1529747307,466,459
1529748287,469,480
1529749212,474,466
1529750190,441,433
1529751138,460,477
1529752112,389,377
1529753057,464,476
1529754020,467,454
1529754996,479,481
1529755953,471,469
1529756896,451,446
1529757869,463,468
1529758833,473,476
1529759788,472,471
1529760734,465,467
1529761712,413,411
1529762668,481,480
1529763636,485,483
1529764573,491,489
1529765551,479,488
1529766496,435,425
1529767467,472,476
1529768419,484,476
1529769389,447,458
1529770340,470,461
1529771294,464,470
1529772276,487,482
1529773229,481,488
1529774174,404,393
1529775154,461,474
1529776095,463,462
1529777075,495,489
1529778014,452,457
1529778989,450,445
1529779936,472,478
1529780912,492,481
1529781872,406,415
1529782818,427,421
1529783774,430,433
1529784758,379,383
1529785940,485,484
1529786897,480,474
1529787877,493,490
1529788814,439,448
1529789776,503,494
1529790753,490,491
1529791698,485,490
1529792656,465,468
1529795092,503,499
1529796014,442,448
1529796980,488,478
1529797953,391,412
1529798930,505,485
1529799855,492,494
1529800822,400,401
1529801774,457,461
1529802763,479,471
1529803691,441,451
1529804666,385,382
1529805620,436,434
1529806592,443,448
1529807538,464,461
1529808502,467,469
1529809465,425,431
1529810418,409,410
1529811390,473,470
1529812339,423,416
1529813304,469,474
1529814267,475,470
1529815228,480,473
1529816185,436,446
1529817140,426,417
1529818103,481,495
1529819061,454,446
1529820040,490,492
1529820988,484,480
1529821955,441,451
1529822894,438,440
1529823879,437,438
1529824813,405,404
1529825783,453,451
1529826733,395,398
1529827701,488,482
1529828653,502,496
1529829633,479,484
1529830607,461,460
1529831544,461,458
1529832498,442,446
1529833468,433,429
1529834423,438,452
1529835392,440,445
1529836341,445,433
1529837300,418,419
1529838273,388,377
1529839219,396,411
1529840172,437,426
1529841157,435,430
1529842101,415,423
1529843063,422,420
1529844014,424,418
1529844990,392,403
1529845937,386,381
1529846897,433,434
1529847857,433,434
1529848910,391,393
1529850025,448,452
1529850985,450,440
1529851929,429,426
1529852912,449,447
1529853852,403,407
1529854836,399,404
1529855773,421,412
1529856752,414,423
1529857690,448,438
1529858675,438,439
1529859688,417,420
1529860826,410,406
1529861775,394,397
1529862733,413,422
1529863711,431,423
1529864653,426,430
1529865615,420,413
1529866586,454,460
1529867536,449,446
1529868491,418,417
1529869475,374,369
1529870426,360,358
1529872135,421,423
1529873059,433,437
1529874046,434,432
1529874987,374,377
1529875958,414,414
1529876916,418,410
1529877868,360,369
1529878814,414,414
1529880429,422,417
1529881462,389,393
1529882417,406,413
1529883380,409,415
1529884334,417,407
1529885312,421,417
1529886519,398,401
1529887462,439,436
1529888431,455,465
1529889391,478,478
1529890339,460,457
1529891296,454,463
1529892273,449,455
1529893218,422,418
1529894186,446,437
1529895132,424,426
1529896110,405,418
1529897055,418,412
1529898030,431,441
1529898977,353,345
1529899951,403,424
1529900905,424,408
1529901868,421,421
1529902822,434,440
1529903783,427,427
1529904738,454,448
1529905700,428,425
1529906677,470,452
1529907636,406,451
1529908572,92,77
1529909549,69,58
1529910497,6,6
1529911554,8,5
1529912684,5,4
1529913628,2046,0
1529914577,8,41
1529915556,0,18
1529916497,0,10
1529917456,0,19
1529918427,1,12
1529919381,11,20
1529920334,0,16
1529921310,1,25
1529922260,1,19
