DateTime,AddedIPs,RemovedIPs
1529429770,7,27
1529430731,9,14
1529431708,17,36
1529432654,8,33
1529433614,14,0
1529434585,6,27
1529435538,18,19
1529436489,3,28
1529437466,7,0
1529438422,11,27
1529439370,12,25
1529440345,15,22
1529441292,17,12
1529442256,16,24
1529443223,17,24
1529444171,12,0
1529445130,12,9
1529446108,10,51
1529447071,10,32
1529448257,18,10
1529449217,14,27
1529450169,20,19
1529451142,20,41
1529452105,14,36
1529453062,24,35
1529454019,27,42
1529454966,13,29
1529455944,22,43
1529456903,17,41
1529457850,22,34
1529458806,11,33
1529459781,17,44
1529460732,16,19
1529461687,10,30
1529462661,34,19
1529463613,11,47
1529464574,24,15
1529465547,19,15
1529466491,15,31
1529467454,18,26
1529468427,11,19
1529469368,24,14
1529470331,6,0
1529471308,9,23
1529472250,12,9
1529473211,9,31
1529474182,11,0
1529475134,6,34
1529476352,4,36
1529477291,11,45
1529478253,18,12
1529479228,8,14
1529480169,2,18
1529481132,8,24
1529482113,22,12
1529483052,8,18
1529484011,5,19
1529484985,8,25
1529485933,11,15
1529486888,17,20
1529487865,59,26
1529488820,84,17
1529489771,94,14
1529490753,61,19
1529491789,36,17
1529492902,55,18
1529493851,33,15
1529494809,46,9
1529495781,27,15
1529496736,34,11
1529497689,43,22
1529498662,43,11
1529499620,39,38
1529500575,28,20
1529501553,36,13
1529502492,21,18
1529503464,33,29
1529504423,39,27
1529505370,25,10
1529506332,24,17
1529507309,26,6
1529508255,20,20
1529509215,31,7
1529510442,57,18
1529511374,30,13
1529512339,69,21
1529513292,58,11
1529514274,55,13
1529515214,47,13
1529516175,12,12
1529517147,23,17
1529518095,26,11
1529519071,18,14
1529520013,24,19
1529520984,45,18
1529521938,27,24
1529522890,37,70
1529524133,41,23
1529525059,35,13
1529526020,34,0
1529526986,36,35
1529527931,22,0
1529528907,30,41
1529529864,20,21
1529530812,36,0
1529531786,45,31
1529532738,30,23
1529533691,36,0
1529534672,31,83
1529536621,68,0
1529537535,41,44
1529538499,28,38
1529539472,46,42
1529540420,35,24
1529541372,36,48
1529542358,28,29
1529543294,18,47
1529544261,7,8
1529545212,0,60
1529546187,0,20
1529547155,0,23
1529548093,0,11
1529549060,0,16
1529550029,0,30
1529550986,50,22
1529551941,118,34
1529552898,60,15
1529553873,50,30
1529554814,53,23
1529555774,49,16
1529556744,16,41
1529557747,28,14
1529558660,0,29
1529559623,2,21
1529560574,0,18
1529561558,0,16
1529562496,0,40
1529563464,1,17
1529564437,3,28
1529565378,75,14
1529566352,72,13
1529567297,38,41
1529568255,35,22
1529569227,35,15
1529570171,39,35
1529571154,10,29
1529572094,23,4
1529573069,3,31
1529574012,26,18
1529574973,12,30
1529576658,16,31
1529577613,1,16
1529578584,2,27
1529579554,1,15
1529580490,2,25
1529581457,4,20
1529582453,6,32
1529583373,1,11
1529584339,0,16
1529585297,46,21
1529586270,82,21
1529587463,78,20
1529588411,20,17
1529589386,26,24
1529590340,18,15
1529591293,20,14
1529592268,21,5
1529593224,21,20
1529594173,16,16
1529595158,21,12
1529596092,29,21
1529597059,27,21
1529598010,26,24
1529598989,26,12
1529599932,12,21
1529600909,25,17
1529601852,20,19
1529602813,19,8
1529603785,31,19
1529604737,12,22
1529605695,30,9
1529606658,14,43
1529607619,25,12
1529608580,14,16
1529609552,29,23
1529610496,10,30
1529611456,29,14
1529612422,22,19
1529613383,13,15
1529614370,10,20
1529615311,16,20
1529616258,20,30
1529617228,7,12
1529618171,13,40
1529619141,19,19
1529620704,29,78
1529622290,43,22
1529623209,24,35
1529624190,29,22
1529625139,26,29
1529626117,24,36
1529627056,27,21
1529628015,24,29
1529628985,39,38
1529629947,24,37
1529630891,36,30
1529631871,26,8
1529632824,44,41
1529633789,22,34
1529634742,33,23
1529635698,20,16
1529636673,35,17
1529637623,24,30
1529638572,27,12
1529639555,27,26
1529640495,31,19
1529641460,29,30
1529642412,24,18
1529643389,1,19
1529644339,0,18
1529645294,0,23
1529646269,0,25
1529647234,0,13
1529648174,0,26
1529649158,0,22
1529650183,8,21
1529651304,55,24
1529652255,75,28
