DateTime,AddedIPs,RemovedIPs
1529430733,27,103
1529431710,23,76
1529432657,17,50
1529433615,28,94
1529434586,16,182
1529435539,22,0
1529436490,13,65
1529437467,23,125
1529438423,12,49
1529439371,26,113
1529440346,11,99
1529441294,26,106
1529442259,17,99
1529443224,24,235
1529444172,12,0
1529445131,20,150
1529446109,10,1246
1529447074,21,126
1529448258,22,377
1529449219,33,0
1529450171,20,102
1529451143,22,140
1529452108,13,131
1529453063,31,176
1529454020,21,173
1529454967,23,177
1529455945,30,178
1529456904,25,254
1529457852,32,240
1529458807,12,212
1529459782,17,178
1529460733,19,223
1529461688,28,245
1529462663,26,214
1529463614,24,214
1529464575,26,323
1529465549,20,363
1529466492,24,349
1529467456,33,275
1529468428,13,382
1529469369,21,408
1529470332,14,220
1529471309,20,226
1529472252,20,242
1529473212,24,189
1529474184,34,142
1529475135,16,295
1529476353,14,314
1529477292,22,202
1529478254,25,57
1529479229,19,51
1529480170,22,35
1529481134,32,34
1529482114,40,43
1529483053,15,47
1529484012,12,31
1529484986,23,44
1529485934,19,30
1529486890,20,51
1529487867,22,24
1529488823,18,48
1529489772,46,58
1529490754,18,46
1529491792,26,24
1529492904,37,70
1529493853,47,38
1529494810,43,51
1529495782,44,46
1529496737,26,51
1529497690,36,38
1529498665,43,55
1529499621,36,53
1529500578,37,52
1529501554,37,78
1529502493,40,36
1529503465,28,43
1529504424,15,44
1529505371,26,43
1529506333,37,37
1529507310,36,56
1529508256,25,3
1529509216,31,55
1529510443,42,43
1529511375,46,46
1529512340,29,48
1529513294,45,43
1529514275,40,49
1529515216,46,49
1529516181,35,27
1529517148,48,35
1529518096,29,32
1529519072,29,40
1529520015,31,0
1529520989,33,86
1529521939,31,0
1529522892,35,45
1529524134,29,37
1529525061,31,0
1529526022,26,69
1529526988,32,0
1529527941,42,40
1529528908,27,25
1529529865,33,42
1529530813,40,37
1529531788,27,25
1529532747,29,1636
1529533692,36,36
1529534691,36,32
1529536623,35,40
1529537536,33,0
1529538500,26,23
1529539473,33,54
1529540428,37,28
1529541380,27,0
1529542366,37,60
1529543295,43,0
1529544262,12,59
1529545213,3,0
1529546189,7,27
1529547156,8,47
1529548095,10,43
1529549077,5,28
1529550037,5,58
1529550987,55,0
1529551942,40,37
1529552899,43,67
1529553874,57,46
1529554815,44,0
1529555775,40,42
1529556754,25,34
1529557748,44,60
1529558672,37,130
1529559646,8,50
1529560576,13,43
1529561564,10,66
1529562497,13,66
1529563473,12,38
1529564439,5,47
1529565379,39,70
1529566353,60,68
1529567298,29,38
1529568257,33,33
1529569229,39,0
1529570172,24,58
1529571164,43,33
1529572096,41,75
1529573071,23,26
1529574013,26,25
1529574975,30,38
1529576660,40,32
1529577614,11,0
1529578585,14,41
1529579556,19,0
1529580491,10,46
1529581461,16,22
1529582455,14,26
1529583374,11,40
1529584340,20,110
1529585301,45,1
1529586271,30,0
1529587465,34,40
1529588412,20,56
1529589390,34,116
1529590341,38,42
1529591298,41,39
1529592273,30,47
1529593226,38,77
1529594174,35,35
1529595160,27,43
1529596094,34,30
1529597060,38,45
1529598012,44,66
1529598991,29,53
1529599934,39,62
1529600910,35,64
1529601854,23,36
1529602814,17,71
1529603786,25,106
1529604739,17,0
1529605696,28,74
1529606662,27,0
1529607620,32,35
1529608581,20,56
1529609554,17,113
1529610498,38,0
1529611458,21,48
1529612423,22,77
1529613384,14,0
1529614371,25,148
1529615313,23,0
1529616260,26,64
1529617230,12,83
1529618172,13,68
1529619145,14,1685
1529620705,24,168
1529622294,32,49
1529623211,27,76
1529624192,24,77
1529625142,32,55
1529626118,18,84
1529627058,17,74
1529628017,17,106
1529628987,31,72
1529629948,25,62
1529630894,32,76
1529631874,30,47
1529632825,38,65
1529633791,24,38
1529634743,25,61
1529635699,42,64
1529636674,22,53
1529637625,30,37
1529638573,23,36
1529639558,35,33
1529640496,32,28
1529641461,24,32
1529642413,24,50
1529643391,6,41
1529644341,10,39
1529645296,18,40
1529646272,12,61
1529647235,5,61
1529648175,8,51
1529649159,6,73
1529650187,31,67
1529651305,27,45
1529652257,46,48
1529653213,32,60
1529654191,54,28
1529655136,40,56
1529656094,18,27
1529657072,34,35
1529658029,41,60
1529658992,38,26
1529660186,31,70
1529661146,21,145
1529662101,35,0
1529663074,25,9
1529664012,27,0
1529664978,32,133
1529665945,27,0
1529666903,28,88
1529667861,27,97
1529668862,35,63
1529669775,35,41
1529670763,24,64
1529671695,21,89
1529672662,24,91
1529673611,30,90
1529674596,10,107
1529675533,18,206
1529676531,19,0
1529677453,20,0
1529678436,18,145
1529679410,25,82
1529680375,16,63
1529681292,21,93
1529682259,16,89
1529683223,20,111
1529684199,24,92
1529685137,22,153
1529686105,25,279
1529687061,23,160
1529688021,24,160
1529688974,26,236
1529689953,25,221
1529690896,15,264
1529691860,24,117
1529692813,18,154
1529693792,16,57
1529694739,9,67
1529695700,23,4
1529696655,19,61
1529697662,19,46
1529698577,34,0
1529699548,17,0
1529700499,23,3
1529701486,29,52
1529702413,25,53
1529703377,14,58
1529704351,12,79
1529705300,12,1635
1529706253,12,127
1529707837,25,93
1529708898,7,71
1529709860,16,114
1529710818,18,140
1529711788,25,142
1529712738,18,105
1529713691,21,108
1529714671,40,170
1529715630,25,202
1529716579,44,130
1529717552,33,58
1529718496,35,49
1529719468,31,51
1529720412,29,63
1529721391,27,55
1529722336,22,56
1529723300,13,45
1529724255,29,83
1529725218,14,44
1529726171,23,77
1529727157,27,44
1529728095,21,79
1529729058,28,32
1529730041,22,80
1529731004,22,48
1529731946,24,83
1529732897,18,55
1529733888,25,76
1529734843,36,29
1529735785,23,81
1529736744,33,67
1529737704,19,62
1529738661,21,68
1529739614,18,65
1529740589,28,0
1529741541,15,148
1529742495,28,0
1529743469,18,158
1529744425,19,91
1529745375,25,0
1529746354,24,139
1529747307,28,0
1529748287,19,156
1529749212,27,0
1529750190,22,130
1529751138,28,0
1529752112,23,162
1529753057,28,0
1529754020,24,98
1529754996,21,111
1529755953,24,0
1529756896,25,0
1529757869,27,0
1529758833,35,0
1529759788,32,0
1529760734,23,0
1529761712,31,1
1529762668,29,0
1529763636,24,81
1529764573,20,0
1529765551,21,11
1529766496,25,7
1529767467,32,15
1529768419,24,0
1529769389,23,1
1529770340,14,37
1529771294,23,0
1529772276,15,76
1529773229,21,93
1529774174,14,0
1529775154,22,93
1529776095,20,0
1529777075,26,2
1529778014,28,7
1529778989,24,26
1529779936,21,47
1529780912,35,23
1529781872,19,20
1529782818,22,10
1529783774,25,15
1529784758,28,37
1529785940,24,26
1529786897,25,26
1529787877,20,58
1529788814,23,38
1529789776,9,0
1529790753,21,89
1529791698,24,0
1529792656,27,1935
1529795092,27,158
1529796014,36,69
1529796980,27,47
1529797953,33,62
1529798930,24,76
1529799855,19,29
1529800822,16,25
1529801774,25,16
1529802763,22,30
1529803691,27,16
1529804666,36,30
1529805620,20,28
1529806592,25,58
1529807538,25,70
1529808502,28,61
1529809465,24,54
1529810418,28,81
1529811390,19,138
1529812339,16,55
1529813304,16,29
1529814267,31,40
1529815228,12,41
1529816185,25,32
1529817140,8,43
1529818103,28,46
1529819061,20,79
1529820040,28,61
1529820988,17,123
1529821955,21,128
1529822894,18,96
1529823879,26,26
1529824813,28,16
1529825783,23,24
1529826733,23,24
1529827701,32,59
1529828653,22,21
1529829633,22,24
1529830607,27,24
1529831544,29,32
1529832498,22,40
1529833468,29,34
1529834423,32,34
1529835392,34,65
1529836341,21,2
1529837300,17,28
1529838273,21,37
1529839219,28,50
1529840172,24,83
1529841157,11,82
1529842101,12,84
1529843063,22,126
1529844014,16,261
1529844990,24,0
1529845937,19,100
1529846897,24,64
1529847857,16,25
1529848910,21,41
1529850025,26,27
1529850985,14,37
1529851929,15,39
1529852912,15,81
1529853852,14,104
1529854836,18,242
1529855773,16,249
1529856752,32,231
1529857690,29,51
1529858675,16,33
1529859688,27,77
1529860826,15,70
1529861775,9,163
1529862733,27,115
1529863711,10,147
1529864653,21,153
1529865615,19,133
1529866586,24,91
1529867536,17,33
1529868491,15,39
1529869475,6,62
1529870426,6,52
1529872135,20,79
1529873059,14,59
1529874046,15,59
1529874987,19,62
1529875958,14,58
1529876916,6,56
1529877868,15,1597
1529878814,16,29
1529880429,20,60
1529881462,16,0
1529882417,20,107
1529883380,19,0
1529884334,12,351
1529885312,13,0
1529886519,22,425
1529887462,26,0
1529888431,30,0
1529889391,30,447
1529890339,28,0
1529891296,24,66
1529892273,26,0
1529893218,27,29
1529894186,20,94
1529895132,28,0
1529896110,23,152
1529897055,39,0
1529898030,27,0
1529898977,9,76
1529899951,37,43
1529900905,18,0
1529901868,25,56
1529902822,23,63
1529903783,23,0
1529904738,15,80
1529905700,18,76
1529906677,17,0
1529907636,24,76
1529908572,0,97
1529909549,1,40
1529910497,0,70
1529911554,1,85
1529912684,0,66
1529913628,56,61
1529914577,0,51
1529916497,0,101
1529917456,0,244
1529918427,0,188
1529919381,0,233
1529920334,0,391
