DateTime,Entries,UniqueIPs
1529430733,150233,173220
1529431710,150195,173167
1529432657,150172,173134
1529433615,150128,173068
1529434586,149986,172902
1529435539,150002,172924
1529436490,149956,172872
1529437467,149872,172770
1529438423,149840,172733
1529439371,149775,172646
1529440346,149702,172558
1529441294,149632,172478
1529442259,149559,172396
1529443224,149393,172185
1529444172,149402,172197
1529445131,149280,172067
1529446109,148090,170831
1529447074,148000,170726
1529448258,147697,170371
1529449219,147725,170404
1529450171,147652,170322
1529451143,147548,170204
1529452108,147456,170086
1529453063,147315,169941
1529454020,147189,169789
1529454967,147051,169635
1529455945,146906,169487
1529456904,146692,169258
1529457852,146511,169050
1529458807,146344,168850
1529459782,146202,168689
1529460733,146029,168485
1529461688,145852,168268
1529462663,145684,168080
1529463614,145515,167890
1529464575,145242,167593
1529465549,144922,167250
1529466492,144624,166925
1529467456,144404,166683
1529468428,144063,166314
1529469369,143704,165927
1529470332,143512,165721
1529471309,143312,165515
1529472252,143119,165293
1529473212,142986,165128
1529474184,142881,165020
1529475135,142640,164741
1529476353,142368,164441
1529477292,142204,164261
1529478254,142173,164229
1529479229,142158,164197
1529480170,142143,164184
1529481134,142143,164182
1529482114,142143,164179
1529483053,142116,164147
1529484012,142099,164128
1529484986,142079,164107
1529485934,142064,164096
1529486890,142045,164065
1529487867,142045,164063
1529488823,142024,164033
1529489772,142032,164021
1529490754,142013,163993
1529491792,142016,163995
1529492904,141995,163962
1529493853,142007,163971
1529494810,141996,163963
1529495782,142004,163961
1529496737,141975,163936
1529497690,141972,163934
1529498665,141952,163922
1529499621,141946,163905
1529500578,141935,163890
1529501554,141899,163849
1529502493,141906,163853
1529503465,141891,163838
1529504424,141873,163809
1529505371,141863,163792
1529506333,141864,163792
1529507310,141859,163772
1529508256,141880,163794
1529509216,141864,163770
1529510443,141865,163769
1529511375,141863,163769
1529512340,141846,163750
1529513294,141854,163752
1529514275,141861,163743
1529515216,141868,163740
1529516181,141877,163748
1529517148,141883,163761
1529518096,141883,163758
1529519072,141877,163747
1529520015,141903,163778
1529520989,141868,163725
1529521939,141892,163756
1529522892,141894,163746
1529524134,141890,163738
1529525061,141917,163769
1529526022,141890,163726
1529526988,141920,163758
1529527941,141925,163760
1529528908,141923,163762
1529529865,141912,163753
1529530813,141914,163756
1529531788,141922,163758
1529532747,140361,162151
1529533692,140367,162151
1529534691,140376,162155
1529536623,140374,162150
1529537536,140404,162183
1529538500,140405,162186
1529539473,140392,162165
1529540428,140415,162174
1529541380,140439,162201
1529542366,140427,162178
1529543295,140464,162221
1529544262,140412,162174
1529545213,140415,162177
1529546189,140397,162157
1529547156,140362,162118
1529548095,140334,162085
1529549077,140314,162062
1529550037,140262,162009
1529550987,140312,162064
1529551942,140314,162067
1529552899,140285,162043
1529553874,140300,162054
1529554815,140342,162098
1529555775,140345,162096
1529556754,140335,162087
1529557748,140326,162071
1529558672,140240,161978
1529559646,140208,161936
1529560576,140181,161906
1529561564,140131,161850
1529562497,140079,161797
1529563473,140059,161771
1529564439,140027,161729
1529565379,140012,161698
1529566353,140017,161690
1529567298,140010,161681
1529568257,140015,161681
1529569229,140052,161720
1529570172,140024,161686
1529571164,140046,161696
1529572096,140034,161662
1529573071,140039,161659
1529574013,140041,161660
1529574975,140039,161652
1529576660,140045,161660
1529577614,140050,161671
1529578585,140039,161644
1529579556,140058,161663
1529580491,140033,161627
1529581461,140031,161621
1529582455,140027,161609
1529583374,140000,161580
1529584340,139937,161490
1529585301,139980,161534
1529586271,140009,161564
1529587465,140007,161558
1529588412,139988,161522
1529589390,139933,161440
1529590341,139936,161436
1529591298,139958,161438
1529592273,139943,161421
1529593226,139910,161382
1529594174,139910,161382
1529595160,139896,161366
1529596094,139905,161370
1529597060,139899,161363
1529598012,139900,161341
1529598991,139878,161317
1529599934,139862,161294
1529600910,139835,161265
1529601854,139827,161252
1529602814,139787,161198
1529603786,139734,161117
1529604739,139746,161134
1529605696,139719,161088
1529606662,139743,161115
1529607620,139739,161112
1529608581,139717,161076
1529609554,139656,160980
1529610498,139690,161018
1529611458,139670,160991
1529612423,139627,160936
1529613384,139640,160950
1529614371,139525,160827
1529615313,139543,160850
1529616260,139519,160812
1529617230,139453,160741
1529618172,139406,160686
1529619145,137791,159015
1529620705,137679,158871
1529622294,137667,158854
1529623211,137634,158805
1529624192,137595,158752
