DateTime,AddedIPs,RemovedIPs
1528121317,34,20
1528124884,16,21
1528128492,15,29
1528132088,27,38
1528135686,12,25
1528139284,33,20
1528142870,24,16
1528146484,26,13
1528150074,27,26
1528153685,14,32
1528157284,12,25
1528160882,6,25
1528164479,23,25
1528168085,28,19
1528171683,11,18
1528175280,25,27
1528178885,17,29
1528182483,17,19
1528186084,13,21
1528189683,11,13
1528193288,39,25
1528196881,19,38
1528200482,9,20
1528204079,10,49
1528207669,18,53
1528211271,29,103
1528214878,175,73
1528218483,170,58
1528222089,101,65
1528225688,81,64
1528229287,73,72
1528232883,66,37
1528236486,60,39
1528240085,35,49
1528243689,26,42
1528247286,21,51
1528250885,22,44
1528254485,42,42
1528258081,17,28
1528261708,37,48
1528265284,22,91
1528268880,20,30
1528272489,23,27
1528276086,30,23
1528279701,72,21
1528283293,21,40
1528286893,31,40
1528290498,14,42
1528294091,21,45
1528297687,51,46
1528301292,33,32
1528304898,18,25
1528308502,99,31
1528312101,66,42
1528315682,36,23
1528319282,31,28
1528322882,31,13
1528330088,84,59
1528333684,12,23
1528337281,10,33
1528340883,21,20
1528344482,31,25
1528348081,15,30
1528351675,31,25
1528355279,21,46
1528358880,27,28
1528362483,27,12
1528366072,27,31
1528369687,35,25
1528373291,20,48
1528376881,17,23
1528380479,8,34
1528384078,18,20
1528387678,31,26
1528391275,13,21
1528394879,27,25
1528398473,14,38
1528402077,25,19
1528405677,15,9
1528409276,20,17
1528412879,50,21
1528416480,20,38
1528420079,9,19
1528423671,9,25
1528427271,13,26
1528430872,16,28
1528434477,5,17
1528438077,22,19
1528441676,28,24
1528445278,11,43
1528448882,11,11
1528452482,6,13
1528456087,20,12
1528459695,28,28
1528463292,14,49
1528466900,59,17
1528470480,15,40
1528474085,23,26
1528477671,24,40
1528481289,21,24
1528484891,36,24
1528488486,10,66
1528492085,9,21
1528495678,18,7
1528499268,19,9
1528502871,25,16
1528506469,18,35
1528510069,25,19
1528513673,10,29
1528517269,25,17
1528520875,19,19
1528524481,16,9
1528528078,35,19
1528531679,58,38
1528535273,8,55
1528538874,12,7
1528542479,23,17
1528546081,38,18
1528549686,18,39
1528553274,27,11
1528556864,15,30
1528560476,25,12
1528564077,21,33
1528567677,11,29
1528571273,32,17
1528574877,34,39
1528578478,16,25
1528582074,15,16
1528585676,2,21
1528589288,35,17
1528592875,11,27
1528596476,16,37
1528600065,24,23
1528603671,19,26
1528607259,15,35
1528610864,18,39
1528614460,13,55
1528618058,30,28
1528621649,13,46
1528625256,13,28
1528628868,7,25
1528632466,15,17
1528636068,33,28
1528639666,12,28
1528643267,21,20
1528646866,17,32
1528650465,23,18
1528654066,20,23
1528657666,17,13
1528661266,38,15
1528664862,14,32
1528668464,15,13
1528672079,14,12
1528675665,16,11
1528679271,27,14
1528682858,18,31
1528686464,24,15
1528690063,16,21
1528693667,23,16
1528697274,14,25
1528700931,18,19
1528704469,27,17
1528708069,21,18
1528711666,10,17
1528715267,12,10
1528718867,12,13
1528722470,43,12
1528726067,13,36
1528729668,14,15
1528733270,20,15
1528736866,18,28
1528740466,17,17
1528744071,15,25
1528747666,19,22
1528751268,45,22
1528754872,38,24
1528758467,16,14
1528762067,10,18
1528765668,15,9
1528769294,31,20
1528772875,13,26
1528776478,24,13
1528780066,21,26
1528783661,24,21
1528787261,16,24
1528790868,46,15
1528794466,38,14
1528798063,16,41
1528801686,14,13
1528805270,9,9
1528808877,20,17
1528812471,25,20
1528816065,15,31
1528819677,22,74
1528823280,17,87
1528826872,27,50
1528830460,16,55
1528834071,15,64
1528837651,36,40
1528841251,15,61
1528844851,8,41
1528848450,14,32
1528852043,13,24
1528855648,32,42
1528859244,13,53
1528862835,19,32
1528866438,13,47
1528870034,19,37
1528873636,19,32
1528877238,20,34
1528880838,30,44
1528884435,19,86
1528888030,10,40
1528891634,12,53
1528895227,15,31
1528898827,38,40
1528902417,13,71
1528906021,15,65
1528909613,21,35
1528913221,20,50
1528916823,125,33
1528920427,83,36
1528924032,32,37
1528927629,64,43
1528931229,16,57
1528934829,19,53
1528938422,6,33
1528942017,20,28
1528945632,34,38
1528949227,10,57
1528952825,25,33
1528956427,14,62
1528960017,16,37
1528963619,58,59
1528967217,16,40
1528970827,243,30
1528974437,231,50
1528978044,148,27
1528981651,89,23
1528985249,84,14
1528988850,74,25
1528992449,38,44
1528996051,48,27
1528999654,40,48
1529003255,44,22
1529006855,32,27
1529010448,40,21
1529014058,43,28
1529017654,26,56
1529021254,17,19
1529024857,61,18
1529028454,24,22
1529032057,48,22
1529035659,15,21
1529039255,24,8
1529042855,18,29
1529046455,14,30
1529050057,11,13
1529053656,23,10
1529057257,28,13
1529060856,17,25
1529064455,16,34
1529068057,16,15
1529071651,10,64
1529075253,36,23
1529078852,23,27
1529082456,18,18
1529086054,27,21
1529089656,19,36
1529093254,12,16
1529096855,20,12
1529100450,21,15
1529104058,35,23
1529107657,9,31
1529111249,14,21
1529114851,5,33
1529118439,22,18
1529122048,28,29
1529125647,10,23
1529129254,28,15
1529132846,19,45
1529136445,17,54
1529140046,17,9
1529143643,21,20
1529147245,37,21
1529150851,122,49
1529154447,69,16
1529158056,49,28
1529161655,43,19
1529165255,53,27
1529168859,36,33
1529172458,59,17
1529176061,28,34
1529179654,34,31
1529183255,19,23
1529186863,36,17
1529190459,39,9
1529194061,17,36
1529197659,11,12
1529201261,13,21
1529204858,13,27
1529208459,36,23
1529212060,15,19
1529215654,24,16
1529219258,22,15
1529222858,40,32
1529226461,34,9
1529230065,37,14
1529233663,38,15
1529237271,24,19
1529240862,15,30
1529244462,16,20
1529248064,17,24
1529251662,42,18
1529255264,8,22
1529258862,17,18
1529262463,24,19
1529266069,25,34
1529269666,25,19
1529273263,34,12
1529276868,32,16
1529280465,29,24
1529284066,12,31
1529287655,14,18
1529291264,8,29
1529294862,22,20
1529298469,33,20
1529302063,15,19
1529305666,25,17
1529309268,29,34
1529312865,20,19
1529316467,14,9
1529320066,20,19
1529323675,33,15
1529327270,17,43
1529330866,21,16
1529334472,11,19
1529338077,29,24
1529341670,33,20
1529345280,18,17
1529348872,23,14
1529352475,14,24
1529356076,21,29
1529359666,13,20
1529363268,19,12
1529366866,33,13
1529370466,16,24
1529374065,8,28
1529377667,7,15
1529381268,14,28
1529384868,33,18
1529388463,24,26
1529392064,21,16
1529395660,13,49
1529399278,21,35
1529402864,15,15
1529406460,18,23
1529410066,31,11
1529413670,111,28
1529417272,50,32
1529420869,58,22
1529424471,43,34
1529428071,54,24
1529431675,27,32
1529435275,19,14
1529438874,36,15
1529442485,30,33
1529446074,26,24
1529449676,68,13
1529453277,31,19
1529456881,34,15
1529460474,7,35
1529464078,13,15
1529467675,7,28
1529471281,22,14
1529474878,34,23
1529478475,15,17
1529482083,22,14
1529485681,23,27
1529489279,39,23
1529492878,11,10
1529496480,10,11
1529500076,14,18
1529503672,12,42
1529507278,35,26
1529510882,15,22
1529514478,27,25
1529518075,35,20
1529521679,28,27
1529525276,41,50
1529528877,24,35
1529532478,34,68
1529536069,17,47
1529539677,12,53
1529543271,9,45
1529546872,10,24
1529550474,24,28
1529554071,25,8
1529557673,11,22
1529561269,22,18
1529564870,18,13
1529568465,17,59
1529572065,18,16
1529575667,25,64
1529579266,30,39
1529582868,17,34
1529586467,16,33
1529590062,8,41
1529593665,27,53
1529597269,34,37
1529600866,13,48
1529604454,25,31
1529608062,24,22
1529611662,31,28
1529615265,18,31
1529618862,20,57
1529622459,34,27
1529626055,17,14
1529629649,8,67
1529633252,6,26
1529636850,54,47
1529640454,36,14
1529644051,12,39
1529647648,37,23
1529651254,24,24
1529654850,29,26
1529658452,10,22
1529662052,18,37
1529665652,33,21
1529669257,9,30
1529672850,12,19
1529676453,19,9
1529680048,12,41
1529683650,36,31
1529687248,8,19
1529690849,20,33
1529694461,19,25
1529698069,151,21
1529701675,84,30
1529705372,38,24
1529708968,42,38
1529712469,20,12
1529716066,9,13
1529719670,13,5
1529723270,9,25
1529726867,25,31
1529730458,20,17
1529734056,11,30
1529737651,19,24
1529741259,19,27
1529744852,25,15
1529748462,19,25
1529752056,22,39
1529755660,23,32
1529759255,11,24
1529762866,12,23
1529766456,7,22
1529770072,29,46
1529773658,27,31
1529777262,12,61
1529780859,57,28
1529784461,12,43
1529788057,27,14
1529791659,10,29
1529795255,20,44
1529798857,34,29
1529802460,20,11
1529806059,15,21
1529809647,7,18
1529813260,13,50
1529816853,34,19
1529820453,18,33
1529824049,22,27
1529827640,11,46
