DateTime,AddedIPs,RemovedIPs
1528121380,30,13
1528124932,11,13
1528128537,13,17
1528132137,21,30
1528135736,11,22
1528139338,28,15
1528142938,22,10
1528146539,22,8
1528150139,24,25
1528153737,10,25
1528157335,7,17
1528160932,4,22
1528164535,17,18
1528168135,23,17
1528171736,7,14
1528175340,23,23
1528178937,13,20
1528182533,14,17
1528186138,12,16
1528189735,11,8
1528193343,37,18
1528196938,15,29
1528200537,6,16
1528204138,8,42
1528207729,15,29
1528211326,17,63
1528214934,90,56
1528218535,98,42
1528222146,57,40
1528225737,56,42
1528229335,23,23
1528232933,42,27
1528236536,40,22
1528240135,24,34
1528243736,17,23
1528247335,12,38
1528250936,16,32
1528254530,34,25
1528258127,12,24
1528261801,26,35
1528265334,12,84
1528268929,16,26
1528272555,22,20
1528276152,24,15
1528279761,69,16
1528283363,19,30
1528286963,26,33
1528290561,15,26
1528294157,17,33
1528297755,41,23
1528301363,32,29
1528304974,12,20
1528308584,96,26
1528312185,66,32
1528315738,34,13
1528319340,29,17
1528322939,26,11
1528326540,39,19
1528330138,35,28
1528333735,14,20
1528337337,6,32
1528340933,18,20
1528344534,26,21
1528348137,11,22
1528351737,31,19
1528355336,18,40
1528358939,29,25
1528362535,24,10
1528366137,24,21
1528369758,28,21
1528373356,15,44
1528376944,10,22
1528380536,6,25
1528384132,13,17
1528387736,29,18
1528391333,10,15
1528394933,23,22
1528398530,14,35
1528402131,18,17
1528405733,11,5
1528409335,16,11
1528412936,47,17
1528416535,14,33
1528420137,8,14
1528423734,6,19
1528427334,10,26
1528430928,13,18
1528434535,3,14
1528438136,19,14
1528441736,21,17
1528445333,11,35
1528448962,9,8
1528452562,4,4
1528456178,17,5
1528459782,28,26
1528463377,11,43
1528466976,53,14
1528470559,13,33
1528474155,20,23
1528477756,19,30
1528481361,17,19
1528484962,33,16
1528488564,7,29
1528492164,7,16
1528495766,13,6
1528499335,14,4
1528502937,18,12
1528506535,11,32
1528510138,21,13
1528513742,8,27
1528517336,22,11
1528520948,17,10
1528524550,16,5
1528528153,31,17
1528531751,41,31
1528535341,1,50
1528538938,8,4
1528542566,17,6
1528546149,35,12
1528549751,15,33
1528553348,24,7
1528556925,10,25
1528560543,16,10
1528564148,14,22
1528567746,9,22
1528571345,27,15
1528574946,16,28
1528578546,7,23
1528582143,13,13
1528585745,1,11
1528589344,35,7
1528592942,7,18
1528596544,11,29
1528600143,18,13
1528603734,16,20
1528607327,14,26
1528610926,17,30
1528614524,11,46
1528618125,29,19
1528621726,10,33
1528625325,9,17
1528628946,6,13
1528632547,12,9
1528636145,27,19
1528639744,7,26
1528643344,19,12
1528646941,16,25
1528650545,17,13
1528654144,16,15
1528657740,14,11
1528661347,33,14
1528664942,11,26
1528668540,9,12
1528672145,9,7
1528675742,12,10
1528679346,24,12
1528682942,12,29
1528686542,21,14
1528690140,12,21
1528693747,20,15
1528697350,8,20
1528700949,15,14
1528704550,24,11
1528708149,17,15
1528711751,7,14
1528715342,10,7
1528718943,6,9
1528722543,39,10
1528726141,6,30
1528729743,11,10
1528733343,17,16
1528736943,13,23
1528740542,10,12
1528744142,13,23
1528747741,18,18
1528751347,40,19
1528754947,32,21
1528758550,16,11
1528762146,5,10
1528765747,12,5
1528769358,28,17
1528772953,12,25
1528776553,19,10
1528780143,15,22
1528783738,23,18
1528787328,13,19
1528790944,42,13
1528794534,33,14
1528798142,14,38
1528801754,13,13
1528805349,7,9
1528808950,16,17
1528812545,24,20
1528816140,11,23
1528819762,19,42
1528823364,9,60
1528826964,23,23
1528830562,13,31
1528834159,14,28
1528837727,33,32
1528841328,13,39
1528844926,4,26
1528848529,10,20
1528852128,9,17
1528855732,32,24
1528859324,10,41
1528862927,15,22
1528866518,8,36
1528870113,17,22
1528873712,9,25
1528877313,15,24
1528880911,29,28
1528884509,16,69
1528888110,4,24
1528891707,9,40
1528895308,10,22
1528898906,35,30
1528902500,9,53
1528906103,11,50
1528909702,17,26
1528913301,16,33
1528916907,122,29
1528920513,80,27
1528924113,31,28
1528927711,31,33
1528931311,13,46
1528934911,14,48
1528938505,3,31
1528942104,15,22
1528945714,30,25
1528949313,8,48
1528952911,23,22
1528956505,13,50
1528960104,12,26
1528963706,55,45
1528967298,13,33
1528970903,160,29
1528974513,133,42
1528978116,85,20
1528981718,47,12
1528985317,47,9
1528988917,46,21
1528992522,24,39
1528996123,33,17
1528999722,28,37
1529003325,32,20
1529006925,25,19
1529010524,32,12
1529014125,33,26
1529017720,18,49
1529021322,13,15
1529024923,54,16
1529028524,17,18
1529032124,37,17
1529035724,9,18
1529039325,20,5
1529042923,13,22
1529046523,14,25
1529050124,9,13
1529053723,20,8
1529057322,25,8
1529060924,11,20
1529064521,11,31
1529068124,13,12
1529071720,7,57
1529075317,32,18
1529078920,21,19
1529082519,15,14
1529086120,17,17
1529089718,17,36
1529093318,11,11
1529096917,14,10
1529100519,16,9
1529104122,29,16
1529107727,4,20
1529111321,7,15
1529114919,1,29
1529118517,17,9
1529122117,27,23
1529125716,6,16
1529129315,19,13
1529132910,15,40
1529136509,18,47
1529140109,13,4
1529143709,15,16
1529147309,31,13
1529150913,57,41
1529154515,38,14
1529158115,24,27
1529161713,26,14
1529165314,40,23
1529168916,22,23
1529172517,47,15
1529176117,18,27
1529179718,23,15
1529183316,13,7
1529186920,25,15
1529190518,33,5
1529194119,13,33
1529197720,8,7
1529201319,9,12
1529204919,7,19
1529208518,34,17
1529212118,9,17
1529215717,17,15
1529219319,17,13
1529222918,38,29
1529226519,37,6
1529230122,35,9
1529233719,30,9
1529237324,22,14
1529240923,9,24
1529244523,12,13
1529248120,8,18
1529251725,42,18
1529255326,8,17
1529258926,15,13
1529262527,20,14
1529266130,20,31
1529269727,19,15
1529273327,13,8
1529276927,21,10
1529280531,23,16
1529284128,5,26
1529287726,6,12
1529291324,3,26
1529294925,14,16
1529298528,31,17
1529302129,9,9
1529305730,17,12
1529309327,23,28
1529312926,13,17
1529316528,12,6
1529320127,17,13
1529323733,27,10
1529327331,9,35
1529330935,7,8
1529334528,7,17
1529338140,22,20
1529341735,30,13
1529345337,15,11
1529348935,21,12
1529352534,12,22
1529356134,16,27
1529359727,9,14
1529363328,14,10
1529366929,31,6
1529370528,12,20
1529374127,4,25
1529377725,5,15
1529381324,12,23
1529384927,31,13
1529388523,21,24
1529392123,18,10
1529395720,11,43
1529399322,17,31
1529402922,13,11
1529406523,15,17
1529410127,28,9
1529413731,67,23
1529417326,24,31
1529420924,38,19
1529424527,33,29
1529428126,44,18
1529431725,21,23
1529435328,15,12
1529442529,53,44
1529446129,22,20
1529449733,61,5
1529453337,25,13
1529456932,26,10
1529460531,5,34
1529464132,8,12
1529467728,2,24
1529471326,20,10
1529474930,27,23
1529478528,11,11
1529482130,18,13
1529485733,17,26
1529489329,33,21
1529492935,11,6
1529496533,3,10
1529500128,9,9
1529503732,9,38
1529507331,32,15
1529510930,13,18
1529514532,24,22
1529518130,34,16
1529521733,30,27
1529525331,38,46
1529528932,19,31
1529532531,32,42
1529536131,13,42
1529539732,11,51
1529543335,7,48
1529546929,5,16
1529550527,23,25
1529554127,21,8
1529557726,9,20
1529561322,20,12
1529564923,15,10
1529568523,15,55
1529572122,17,14
1529575722,22,53
1529579323,26,29
1529582924,12,21
1529586522,8,19
1529590119,5,26
1529593724,23,39
1529597329,30,28
1529600933,10,32
1529604519,20,23
1529608126,12,15
1529611723,24,17
1529615324,11,22
1529618924,16,44
1529622520,31,19
1529626118,13,12
1529629713,6,58
1529633314,3,21
1529636916,49,44
1529640517,31,12
1529644109,11,31
1529647714,32,22
1529651309,22,22
1529654913,25,22
1529658513,5,20
1529662114,18,30
1529665715,27,14
1529669318,7,16
1529672916,6,12
1529676514,10,5
1529680112,6,33
1529683712,34,27
1529687313,7,17
1529690913,19,21
1529694540,16,17
1529698150,152,20
1529701751,81,21
1529705559,38,22
1529709158,39,33
1529712546,17,11
1529716142,8,8
1529719745,10,5
1529723344,5,19
1529726943,21,27
1529730522,19,11
1529734123,9,25
1529737720,17,19
1529741320,17,26
1529744922,18,12
1529748528,15,16
1529752122,15,34
1529755728,21,18
1529759329,8,9
1529762928,9,15
1529766519,2,19
1529770154,21,40
1529773739,27,20
1529777338,10,47
1529780940,50,15
1529784536,10,26
1529788141,24,7
1529791738,6,20
1529795338,16,34
1529798940,31,24
1529802538,13,5
1529806137,10,10
1529809739,5,9
1529813336,9,38
1529816937,31,11
1529820518,15,25
1529824116,19,14
1529827714,6,43
1529831317,23,18
1529834914,4,20
1529838512,21,30
1529842120,34,19
1529845713,9,10
1529849313,7,13
1529852910,6,13
1529856531,8,43
1529860134,31,12
1529863733,9,20
1529867334,26,24
1529870939,11,22
1529874537,22,23
1529878132,16,17
1529881733,14,21
1529885337,27,32
1529888932,9,15
1529892533,15,26
1529896129,9,11
1529899730,8,21
1529903327,18,39
1529906909,25,16
1529910508,10,18
1529914109,25,28
1529917707,17,17
1529921309,25,11
