DateTime,Entries,UniqueIPs
1528121380,5117,5117
1528124932,5115,5115
1528128537,5111,5111
1528132137,5102,5102
1528135736,5091,5091
1528139338,5104,5104
1528142938,5116,5116
1528146539,5130,5130
1528150139,5129,5129
1528153737,5114,5114
1528157335,5104,5104
1528160932,5086,5086
1528164535,5085,5085
1528168135,5091,5091
1528171736,5084,5084
1528175340,5084,5084
1528178937,5077,5077
1528182533,5074,5074
1528186138,5070,5070
1528189735,5073,5073
1528193343,5092,5092
1528196938,5078,5078
1528200537,5068,5068
1528204138,5034,5034
1528207729,5020,5020
1528211326,4974,4974
1528214934,5008,5008
1528218535,5064,5064
1528222146,5081,5081
1528225737,5095,5095
1528229335,5095,5095
1528232933,5110,5110
1528236536,5128,5128
1528240135,5118,5118
1528243736,5112,5112
1528247335,5086,5086
1528250936,5070,5070
1528254530,5079,5079
1528258127,5067,5067
1528261801,5058,5058
1528265334,4986,4986
1528268929,4976,4976
1528272555,4978,4978
1528276152,4987,4987
1528279761,5040,5040
1528283363,5029,5029
1528286963,5022,5022
1528290561,5011,5011
1528294157,4995,4995
1528297755,5013,5013
1528301363,5016,5016
1528304974,5008,5008
1528308584,5078,5078
1528312185,5112,5112
1528315738,5133,5133
1528319340,5145,5145
1528322939,5160,5160
1528326540,5180,5180
1528330138,5187,5187
1528333735,5181,5181
1528337337,5155,5155
1528340933,5153,5153
1528344534,5158,5158
1528348137,5147,5147
1528351737,5159,5159
1528355336,5137,5137
1528358939,5141,5141
1528362535,5155,5155
1528366137,5158,5158
1528369758,5165,5165
1528373356,5136,5136
1528376944,5124,5124
1528380536,5105,5105
1528384132,5101,5101
1528387736,5112,5112
1528391333,5107,5107
1528394933,5108,5108
1528398530,5087,5087
1528402131,5088,5088
1528405733,5094,5094
1528409335,5099,5099
1528412936,5129,5129
1528416535,5110,5110
1528420137,5104,5104
1528423734,5091,5091
1528427334,5075,5075
1528430928,5070,5070
1528434535,5059,5059
1528438136,5064,5064
1528441736,5068,5068
1528445333,5044,5044
1528448962,5045,5045
1528452562,5045,5045
1528456178,5057,5057
1528459782,5059,5059
1528463377,5027,5027
1528466976,5066,5066
1528470559,5046,5046
1528474155,5043,5043
1528477756,5032,5032
1528481361,5030,5030
1528484962,5047,5047
1528488564,5025,5025
1528492164,5016,5016
1528495766,5023,5023
1528499335,5033,5033
1528502937,5039,5039
1528506535,5018,5018
1528510138,5026,5026
1528513742,5007,5007
1528517336,5018,5018
1528520948,5025,5025
1528524550,5036,5036
1528528153,5050,5050
1528531751,5060,5060
1528535341,5011,5011
1528538938,5015,5015
1528542566,5026,5026
1528546149,5049,5049
1528549751,5031,5031
1528553348,5048,5048
1528556925,5033,5033
1528560543,5039,5039
1528564148,5031,5031
1528567746,5018,5018
1528571345,5030,5030
1528574946,5018,5018
1528578546,5002,5002
1528582143,5002,5002
1528585745,4992,4992
1528589344,5020,5020
1528592942,5009,5009
1528596544,4991,4991
1528600143,4996,4996
1528603734,4992,4992
1528607327,4980,4980
1528610926,4967,4967
1528614524,4932,4932
1528618125,4942,4942
1528621726,4919,4919
1528625325,4911,4911
1528628946,4904,4904
1528632547,4907,4907
1528636145,4915,4915
1528639744,4896,4896
1528643344,4903,4903
1528646941,4894,4894
1528650545,4898,4898
1528654144,4899,4899
1528657740,4902,4902
1528661347,4921,4921
1528664942,4906,4906
1528668540,4903,4903
1528672145,4905,4905
1528675742,4907,4907
1528679346,4919,4919
