DateTime,AddedIPs,RemovedIPs
1528206962,65,63
1528210812,69,65
1528213682,62,73
1528217522,72,66
1528221363,86,65
1528225215,92,76
1528227122,89,58
1528231202,73,96
1528235043,73,78
1528238882,70,110
1528242722,93,107
1528246563,49,70
1528250416,66,78
1528252322,12,5478
1528254242,5452,0
1528256162,89,111
1528260002,83,82
1528263843,96,62
1528268163,74,69
1528272016,78,65
1528273923,0,483
1528275842,550,53
1528277763,66,74
1528281602,76,59
1528285443,76,73
1528291202,77,74
1528293122,70,60
1528296963,58,65
1528300817,71,72
1528302730,98,76
1528306563,94,84
1528309715,0,0
1528313407,141,133
1528318759,87,92
1528322730,105,174
1528325289,0,0
1528330052,93,103
1528333249,69,74
1528335363,77,72
1528339202,71,114
1528343042,103,115
1528346882,84,81
1528350722,112,68
1528354562,67,67
1528358417,65,69
1528360323,80,50
1528364163,57,51
1528368003,71,63
1528371842,76,68
1528373762,81,63
1528379522,65,79
1528381442,67,67
1528385523,69,65
1528389362,75,70
1528393203,75,77
1528397042,81,72
1528398962,83,70
1528404722,75,80
1528406643,72,65
1528412419,65,72
1528414322,164,208
1528418163,61,93
1528423922,76,77
1528425844,58,95
1528431602,154,171
1528439522,132,108
1528443362,74,55
1528445282,56,73
1528451284,67,49
1528455122,70,47
1528458963,57,50
1528464722,120,102
1528469524,72,60
1528473362,79,84
1528477215,65,72
1528479122,74,78
1528482963,91,64
1528486812,80,80
1528490642,71,85
1528494482,64,82
1528498818,60,76
1528500722,106,91
1528504803,52,86
1528508642,68,67
1528512482,54,90
1528516322,90,102
1528520162,68,76
1528524015,77,62
1528525924,72,49
1528529763,68,50
1528533603,80,68
1528539363,74,66
1528541284,63,66
1528545122,60,56
1528548963,77,66
1528552812,59,59
1528554723,78,64
1528556643,64,84
1528562403,96,76
1528566243,85,68
1528570323,66,76
1528574163,65,74
1528578015,79,80
1528579923,59,75
1528583763,62,96
1528588322,86,77
1528592164,47,83
1528596010,68,72
1528597922,78,81
1528601763,73,119
1528605603,75,71
1528609443,84,70
1528613282,57,57
1528615202,66,50
1528620964,76,52
1528624816,70,48
1528626723,84,59
1528630563,75,70
1528636563,78,59
1528638482,91,75
1528642323,61,79
1528646163,76,67
1528648082,78,74
1528651922,73,79
1528655763,73,67
1528659603,89,71
1528661523,71,89
1528663443,89,71
1528666803,121,144
1528670883,93,71
1528672803,108,172
1528674722,90,100
1528676643,65,80
1528682418,79,80
1528684324,76,90
1528686243,92,102
1528692002,66,90
1528695843,79,57
1528701603,110,97
1528703522,61,69
1528705443,69,61
1528707363,70,64
