DateTime,Entries,UniqueIPs
1528206962,6247,6247
1528210812,6251,6251
1528213682,6240,6240
1528217522,6246,6246
1528221363,6267,6267
1528225215,6283,6283
1528227122,6314,6314
1528231202,6291,6291
1528235043,6286,6286
1528238882,6246,6246
1528242722,6232,6232
1528246563,6211,6211
1528250416,6199,6199
1528252322,733,733
1528254242,6185,6185
1528256162,6163,6163
1528260002,6164,6164
1528263843,6198,6198
1528268163,6203,6203
1528272016,6216,6216
1528273923,5733,5733
1528275842,6230,6230
1528277763,6222,6222
1528281602,6239,6239
1528285443,6242,6242
1528291202,6245,6245
1528293122,6255,6255
1528296963,6248,6248
1528300817,6247,6247
1528302730,6269,6269
1528306563,6279,6279
1528309715,6279,6279
1528313407,6287,6287
1528318759,6282,6282
1528322730,6213,6213
1528325289,6213,6213
1528330052,6203,6203
1528333249,6198,6198
1528335363,6203,6203
1528339202,6160,6160
1528343042,6148,6148
1528346882,6151,6151
1528350722,6195,6195
1528354562,6195,6195
1528358417,6191,6191
1528360323,6221,6221
1528364163,6227,6227
1528368003,6235,6235
1528371842,6243,6243
1528373762,6261,6261
1528379522,6247,6247
1528381442,6247,6247
1528385523,6251,6251
1528389362,6256,6256
1528393203,6254,6254
1528397042,6263,6263
1528398962,6276,6276
1528404722,6271,6271
1528406643,6278,6278
1528412419,6271,6271
1528414322,6227,6227
1528418163,6195,6195
1528423922,6194,6194
1528425844,6157,6157
1528431602,6140,6140
1528439522,6164,6164
1528443362,6183,6183
1528445282,6166,6166
1528451284,6184,6184
1528455122,6207,6207
1528458963,6214,6214
1528464722,6232,6232
1528469524,6244,6244
1528473362,6239,6239
1528477215,6232,6232
1528479122,6228,6228
1528482963,6255,6255
1528486812,6255,6255
1528490642,6241,6241
1528494482,6223,6223
1528498818,6207,6207
1528500722,6222,6222
1528504803,6188,6188
1528508642,6189,6189
1528512482,6153,6153
1528516322,6141,6141
1528520162,6133,6133
1528524015,6148,6148
1528525924,6171,6171
1528529763,6189,6189
1528533603,6201,6201
1528539363,6209,6209
1528541284,6206,6206
1528545122,6210,6210
1528548963,6221,6221
1528552812,6221,6221
1528554723,6235,6235
1528556643,6215,6215
1528562403,6235,6235
1528566243,6252,6252
1528570323,6242,6242
1528574163,6233,6233
1528578015,6232,6232
1528579923,6216,6216
1528583763,6182,6182
1528588322,6191,6191
1528592164,6155,6155
1528596010,6151,6151
1528597922,6148,6148
1528601763,6102,6102
1528605603,6106,6106
1528609443,6120,6120
1528613282,6120,6120
1528615202,6136,6136
1528620964,6160,6160
1528624816,6182,6182
1528626723,6207,6207
1528630563,6212,6212
1528636563,6231,6231
1528638482,6247,6247
1528642323,6229,6229
1528646163,6238,6238
1528648082,6242,6242
1528651922,6236,6236
1528655763,6242,6242
1528659603,6260,6260
1528661523,6242,6242
1528663443,6260,6260
1528666803,6237,6237
1528670883,6259,6259
1528672803,6195,6195
1528674722,6185,6185
1528676643,6170,6170
1528682418,6169,6169
1528684324,6155,6155
1528686243,6145,6145
1528692002,6121,6121
1528695843,6143,6143
1528701603,6156,6156
1528703522,6148,6148
1528705443,6156,6156
1528707363,6162,6162
1528711221,6180,6180
1528713124,6198,6198
1528715042,6188,6188
1528720802,6207,6207
1528724643,6212,6212
1528726566,6217,6217
1528732562,6226,6226
1528734964,6226,6226
1528739043,6241,6241
1528742882,6233,6233
1528746722,6222,6222
1528750818,6216,6216
1528752723,6200,6200
1528756562,6163,6163
1528760403,6145,6145
1528764242,6120,6120
1528768322,6120,6120
1528772162,6105,6105
1528776017,6086,6086
1528777926,6066,6066
1528781762,6101,6101
1528785603,6122,6122
1528791362,6148,6148
1528797123,6147,6147
1528800963,6149,6149
1528804814,6146,6146
1528806722,6165,6165
1528810562,6154,6154
1528815362,6164,6164
1528819214,6187,6187
1528821123,6205,6205
1528824962,6216,6216
1528828802,6232,6232
1528832643,6254,6254
1528836484,6236,6236
1528840322,6213,6213
1528844162,6187,6187
1528848016,6167,6167
1528849922,6147,6147
1528853762,6155,6155
1528855682,6152,6152
1528857603,6148,6148
1528861443,6122,6122
1528865522,6112,6112
1528867443,6148,6148
1528869362,6121,6121
1528871282,6122,6122
1528873214,6121,6121
1528875122,6140,6140
1528880882,6147,6147
1528884723,6140,6140
1528886644,6158,6158
1528890482,6169,6169
1528892412,6158,6158
