DateTime,AddedIPs,RemovedIPs
1529574321,15,0
1529574921,2,0
1529575523,1,0
1529577024,1,0
1529579122,1,0
1529580022,4,0
1529580325,1,0
1529583926,5,0
1529584223,20,0
1529584822,6,0
1529585121,3,0
1529587824,1,0
1529588123,3,0
1529590822,1,0
1529591723,13,0
1529592623,1,0
1529593225,1,0
1529595627,4,0
1529597724,17,0
1529598027,2,0
1529598327,7,0
1529598925,1,0
1529600424,1,0
1529600724,1,0
1529601625,1,0
1529605222,8,0
1529605525,4,0
1529606122,8,0
1529607023,2,0
1529609125,2,0
1529610924,1,0
1529611225,2,0
1529611823,3,0
1529612424,8,0
1529612721,22,0
1529613323,12,0
1529613622,6,0
1529614223,5,0
1529614823,26,0
1529615124,1,0
1529617224,1,0
1529617523,1,0
1529617824,1,0
1529618429,2,0
1529618724,3,0
1529619625,2,0
1529621723,19,0
1529622021,2,0
1529622623,2,0
1529622922,2,0
1529623225,1,0
1529623822,10,0
1529624423,52,0
1529624724,182,0
1529625326,1,1
1529626524,1,0
1529626829,2,0
1529627425,4,0
1529627725,1,0
1529628930,2,0
1529629524,2,0
1529630429,1,0
1529630728,1,0
1529631329,3,0
1529631632,2,0
1529632225,13,0
1529632528,2,0
1529632824,5,0
1529633125,1,0
1529633730,9,0
1529634627,4,0
1529635225,2,0
1529635825,1,0
1529637023,1,0
1529637321,1,0
1529637625,1,0
1529637922,5,0
1529638222,5,0
1529638523,15,0
1529638822,9,0
1529639124,1,0
1529640028,3,0
1529640623,3,0
1529640922,4,0
1529641822,8,0
1529642126,2,0
1529642430,2,0
1529642726,2,0
1529643024,2,0
1529643329,1,0
1529643631,10,0
1529643923,16,0
1529644226,3,0
1529645429,7,0
1529645726,2,0
1529646031,2,0
1529646628,1,0
1529646932,1,0
1529647232,1,0
1529647828,2,0
1529648424,1,0
1529648729,9,0
1529649029,3,0
1529649326,1,0
1529649627,3,0
1529649928,1,0
1529650530,22,0
1529650827,6,0
1529651729,3,0
1529652625,7,0
1529653230,3,0
1529653528,1,0
1529653822,1,0
1529654425,1,0
1529654725,1,0
1529655622,2,0
1529655922,4,0
1529656224,24,0
1529656826,3,0
1529657422,3,0
1529658026,4,0
1529658326,2,0
1529658922,4,0
1529659527,3,0
1529660125,4,0
1529660424,1,0
1529661629,4,0
1529662224,2,0
1529662824,8,0
1529663424,33,0
1529663724,1,0
1529664026,1,0
1529664324,1,0
1529664625,2,0
1529664922,1,0
1529665224,1,0
1529665829,1,0
1529666423,2,0
1529666724,2,0
1529667322,1,0
1529667622,1,0
1529668223,3,0
1529668520,1,0
1529669423,2,0
1529670324,4,0
1529670623,23,0
1529670925,2,0
1529671226,5,0
1529671822,1,0
1529672123,1,0
1529672426,1,0
1529673627,1,0
1529673928,2,0
1529674225,6,0
1529674529,1,0
1529674825,1,0
1529675123,1,0
1529675423,1,0
1529676025,4,0
1529677223,18,0
1529677523,12,0
1529677823,25,0
1529679922,1,0
1529681122,3,0
1529681728,1,0
1529682624,0,3
1529683522,5,0
1529683823,7,0
1529684121,1,0
1529684426,7,0
1529684724,5,0
1529685320,4,0
1529685925,1,0
1529686523,2,0
1529687721,1,0
1529688023,1,0
1529688324,4,0
1529690425,1,0
1529691022,8,0
1529691321,14,0
1529691624,5,0
1529692222,10,0
1529692526,9,0
1529692825,1,0
1529695222,3,0
1529696121,2,0
1529698524,1,0
1529698828,1,0
1529699425,16,0
1529700022,13,0
1529700328,2,0
1529700625,3,0
1529702428,1,0
1529702723,3,0
1529703023,2,0
1529704826,1,0
1529705721,4,0
1529706623,5,0
1529706921,9,0
1529707824,4,0
1529708122,13,0
1529708722,3,0
1529709022,2,0
1529710222,3,0
1529710827,2,0
1529713529,3,0
1529713828,5,0
1529714127,3,0
1529714424,2,0
1529715025,2,0
1529716521,1,0
1529717127,1,0
1529717421,10,0
1529717727,6,0
1529718027,1,0
1529718327,4,0
1529718923,2,0
1529720123,2,0
1529721023,2,0
1529721327,1,0
1529721632,4,0
1529722525,15,0
1529722830,3,0
1529723127,4,0
1529723723,3,0
1529724622,3,0
1529725225,1,0
1529727621,1,0
1529727922,2,0
1529728523,7,0
1529728822,9,0
1529729125,6,0
1529729723,2,0
1529731224,1,0
1529731527,1,0
1529732426,12,0
1529733024,2,0
1529734225,12,0
1529734823,2,0
1529735128,3,0
1529735722,10,0
1529736029,8,0
1529736622,5,0
1529737225,2,0
1529738429,5,0
1529739022,10,0
1529739924,3,0
1529740224,9,0
1529740525,5,0
1529741726,1,0
1529742330,1,0
1529743223,1,0
1529743828,7,0
1529744126,3,0
1529744426,1,0
1529745927,10,0
1529746823,7,0
1529747125,2,0
1529747721,5,0
1529749526,3,0
1529749824,4,0
1529751623,2,0
1529751922,8,0
1529752822,2,0
1529753421,1,0
1529754023,1,0
1529754323,1,0
1529754923,4,0
1529755823,1,0
1529756724,17,0
1529757023,12,0
1529757323,5,0
1529757627,1,0
1529758221,3,0
1529760321,1,0
1529761521,1,0
1529763026,1,0
1529763321,6,0
1529763624,13,0
1529764223,1,0
1529765422,2,0
1529766922,1,0
1529767823,5,0
1529768426,1,0
1529769322,1,0
1529770223,27,0
1529770825,29,0
1529771126,9,0
1529771424,7,0
1529772025,2,0
1529772622,2,0
1529775626,1,0
1529775922,1,0
1529777422,37,0
1529777721,6,0
1529778025,9,0
1529778323,22,0
1529778622,4,0
1529779224,2,0
1529779524,2,0
1529780125,3,0
1529781023,1,0
1529781625,1,0
1529782526,11,0
1529784027,1,0
1529785224,29,0
1529785522,1,0
1529785822,2,0
1529786422,38,0
1529787323,2,0
1529789423,2,0
1529790028,3,0
1529790325,1,0
1529790622,2,0
1529791530,1,0
1529792123,2,0
1529792425,11,0
1529794522,70,0
1529795425,1,0
1529795725,1,0
1529796321,2,0
1529796623,5,0
1529796921,3,0
1529797522,4,0
1529798123,1,0
1529799327,2,0
1529799929,14,0
1529800827,3,0
1529801425,17,0
1529801721,33,0
1529802024,7,0
1529802327,22,0
1529802628,23,0
1529802930,2,0
1529803522,5,0
1529804425,4,0
1529806522,2,0
1529806821,15,0
1529807122,2,0
1529807424,24,0
1529808025,13,0
1529808322,5,0
1529808927,7,0
1529809231,1,0
1529810724,7,0
1529811021,1,0
1529811622,1,0
1529811922,17,0
1529812822,1,0
1529813123,7,0
1529813724,5,0
1529814026,9,0
1529814627,8,0
1529815224,2,0
1529817021,2,0
1529817923,1,0
1529818824,2,0
1529819724,2,0
1529820027,12,0
1529820322,13,0
1529820922,1,0
1529821225,2,0
1529821825,2,0
1529822425,2,0
1529822724,1,0
1529823026,3,0
1529823322,3,0
1529825425,3,0
1529825721,10,0
1529826324,1,0
1529826628,4,0
1529827526,3,0
1529828427,6,0
1529829026,1,0
1529829322,4,0
1529830526,5,0
1529830824,2,0
1529832324,7,0
1529832923,1,0
1529833222,5,0
1529833824,2,0
1529834722,3,0
1529835326,1,0
1529836225,3,0
1529836826,7,0
1529837726,2,0
1529838025,2,0
1529839526,1,0
1529839822,2,0
1529840123,1,0
1529840423,2,0
1529842521,1,0
1529843425,20,0
1529843725,13,0
1529844322,5,0
1529845223,1,0
1529845523,2,0
1529845823,1,0
1529846423,2,0
1529847328,2,0
1529847623,3,0
1529850322,9,0
1529850623,1,0
1529851222,1,0
1529851522,4,0
1529851823,1,0
1529852122,5,0
1529852424,1,0
1529853626,1,0
1529853927,2,0
1529854522,4,0
1529855123,1,0
1529855427,1,0
1529857224,20,0
1529857526,2,0
1529857827,4,0
1529858131,3,0
1529858428,4,0
1529859329,3,0
1529860527,1,0
1529861427,2,0
1529861732,2,0
1529862324,3,0
1529864129,1,0
1529864424,6,0
1529864727,2,0
1529865028,4,0
1529865930,3,0
1529866225,1,0
1529866524,2,0
1529866825,1,0
1529868925,1,0
1529871630,8,0
1529872523,8,0
1529872829,7,0
1529874630,1,0
1529875223,2,0
1529875522,1,0
1529876123,2,0
1529877629,1,0
1529878523,11,0
1529878827,4,0
1529879122,5,0
1529879423,3,0
1529880322,9,0
1529880632,2,0
1529881223,1,0
1529882726,2,0
1529883624,1,0
1529884228,1,0
1529886024,8,0
1529886325,2,0
1529887222,1,0
1529887824,1,0
1529889623,5,0
1529890226,2,0
1529890826,1,0
1529891124,9,0
1529891725,8,0
1529892626,2,0
1529893524,3,0
1529894123,3,0
1529895026,1,0
1529895622,1,0
1529895924,1,0
1529896827,8,0
1529898025,4,0
1529900422,1,0
1529900724,2,0
1529901324,3,0
1529902224,2,0
1529902826,6,0
1529903126,7,0
1529904026,5,0
1529904331,1,0
1529904626,1,0
1529906127,3,0
1529907026,1,0
1529908229,4,0
1529908528,11,0
1529910024,6,0
1529911521,4,0
1529911825,1,0
1529913021,4,0
1529915427,7,0
1529915727,10,0
1529916029,5,0
1529916326,1,0
1529916631,2,0
1529916926,3,0
1529917229,1,0
1529918126,1,0
1529918427,5,0
1529918726,3,0
1529919026,3,0
1529919327,5,0
1529919627,2,0
1529920521,5,0
1529922025,15,0
1529922324,3,0
