DateTime,AddedIPs,RemovedIPs
1529431710,22,65
1529432657,16,40
1529433615,27,86
1529434586,16,155
1529435539,29,0
1529436490,9,53
1529437467,15,100
1529438423,17,40
1529439371,31,100
1529440346,13,84
1529441294,26,69
1529442259,28,66
1529443224,25,177
1529444172,15,0
1529445131,23,95
1529446109,18,1060
1529447074,24,85
1529448258,24,250
1529449219,31,0
1529450171,17,60
1529451143,27,78
1529452108,18,88
1529453063,41,114
1529454020,35,156
1529454967,31,167
1529455945,30,202
1529456904,27,247
1529457852,34,220
1529458807,17,184
1529459782,29,167
1529460733,25,216
1529461688,28,218
1529462663,42,185
1529463614,18,196
1529464575,34,289
1529465549,30,334
1529466492,26,310
1529467456,35,252
1529468428,96,610
1529469369,31,390
1529470332,11,169
1529471309,15,120
1529472252,18,147
1529473212,19,134
1529474184,25,117
1529475135,15,241
1529476353,11,267
1529477292,18,154
1529478254,29,53
1529479229,17,37
1529480170,15,36
1529481134,21,38
1529482114,34,52
1529483053,15,49
1529484012,9,43
1529484986,19,50
1529485934,21,35
1529486890,29,48
1529487867,71,24
1529488823,88,48
1529489772,114,56
1529490754,67,42
1529491792,51,35
1529492904,69,57
1529493853,62,40
1529494810,63,45
1529495782,46,46
1529496737,823,1421
1529497690,55,45
1529498665,55,42
1529499621,54,58
1529500578,50,56
1529501554,51,68
1529502493,31,34
1529503465,47,41
1529504424,42,47
1529505371,34,36
1529506333,40,38
1529507310,44,47
1529508256,31,28
1529509216,45,46
1529510443,74,33
1529511375,53,36
1529512340,78,46
1529513294,78,33
1529514275,75,57
1529515216,62,47
1529516181,28,18
1529517148,48,36
1529518096,41,33
1529519072,32,46
1529520015,39,0
1529520989,55,76
1529521939,48,0
1529522892,56,44
1529524134,49,45
1529525061,58,0
1529526022,47,70
1529526988,51,0
1529527941,45,47
1529528908,44,18
1529529865,37,32
1529530813,54,38
1529531788,52,22
1529532747,43,1450
1529533692,54,30
1529534691,42,34
1529536623,87,40
1529537536,50,0
1529538500,38,27
1529539473,64,64
1529540428,54,32
1529541380,44,0
1529542366,40,63
1529543295,41,0
1529544262,13,66
1529545213,3,0
1529546189,6,70
1529547156,7,27
1529548095,8,37
1529549077,5,24
1529550037,4,63
1529550987,79,0
1529551942,130,30
1529552899,84,61
1529553874,77,48
1529554815,292,192
1529555775,60,39
1529556754,19,24
1529557748,40,51
1529558672,14,99
1529559646,3,34
1529560576,9,41
1529561564,3,44
1529562497,4,48
1529563473,5,32
1529564439,4,40
1529565379,94,52
1529566353,84,48
1529567298,47,33
1529568257,51,26
1529569229,54,14
1529570172,49,27
1529571164,29,36
1529572096,45,63
1529573071,12,29
1529574013,36,30
1529574975,24,42
1529576660,38,51
1529577614,5,0
1529578585,10,50
1529579556,11,0
1529580491,3,52
1529581461,8,26
1529582455,10,33
1529583374,833,2104
1529584340,8,80
1529585301,70,11
1529586271,86,12
1529587465,95,40
1529588412,30,53
1529589390,37,101
1529590341,38,26
1529591298,40,42
1529592273,37,46
1529593226,48,65
1529594174,32,35
1529595160,38,49
1529596094,39,32
1529597060,47,44
1529598012,50,70
1529598991,38,37
1529599934,29,54
1529600910,40,48
1529601854,30,43
1529602814,27,54
1529603786,38,99
1529604739,23,0
1529605696,37,65
1529606662,27,0
1529607620,39,36
1529608581,18,39
1529609554,34,93
1529610498,29,5
1529611458,33,27
