DateTime,Entries,UniqueIPs
1529431710,284859,317210
1529432657,284837,317186
1529433615,284801,317127
1529434586,284677,316988
1529435539,284705,317017
1529436490,284663,316973
1529437467,284593,316888
1529438423,284573,316865
1529439371,284524,316796
1529440346,284471,316725
1529441294,284433,316682
1529442259,284401,316644
1529443224,284289,316492
1529444172,284300,316507
1529445131,284240,316435
1529446109,283238,315393
1529447074,283193,315332
1529448258,283016,315106
1529449219,283042,315137
1529450171,283009,315094
1529451143,282968,315043
1529452108,282921,314973
1529453063,282850,314900
1529454020,282747,314779
1529454967,282629,314643
1529455945,282463,314471
1529456904,282260,314251
1529457852,282095,314065
1529458807,281948,313898
1529459782,281834,313760
1529460733,281667,313569
1529461688,281508,313379
1529462663,281398,313236
1529463614,281247,313058
1529464575,281018,312803
1529465549,280740,312499
1529466492,280495,312215
1529467456,280298,311998
1529468428,280012,311484
1529469369,279675,311125
1529470332,279525,310967
1529471309,279435,310862
1529472252,279334,310733
1529473212,279245,310618
1529474184,279164,310526
1529475135,278975,310300
1529476353,278743,310044
1529477292,278622,309908
1529478254,278598,309884
1529479229,278594,309864
1529480170,278573,309843
1529481134,278560,309826
1529482114,278545,309808
1529483053,278512,309774
1529484012,278484,309740
1529484986,278455,309709
1529485934,278440,309695
1529486890,278425,309676
1529487867,278472,309723
1529488823,278517,309763
1529489772,278586,309821
1529490754,278616,309846
1529491792,278631,309862
1529492904,278651,309874
1529493853,278674,309896
1529494810,278690,309914
1529495782,278696,309914
1529496737,278178,309316
1529497690,278187,309326
1529498665,278197,309339
1529499621,278204,309335
1529500578,278198,309329
1529501554,278193,309312
1529502493,278193,309309
1529503465,278197,309315
1529504424,278204,309310
1529505371,278212,309308
1529506333,278211,309310
1529507310,278225,309307
1529508256,278227,309310
1529509216,278235,309309
1529510443,278278,309350
1529511375,278296,309367
1529512340,278327,309399
1529513294,278375,309444
1529514275,278405,309462
1529515216,278433,309477
1529516181,278445,309487
1529517148,278451,309499
1529518096,278461,309507
1529519072,278451,309493
1529520015,278486,309532
1529520989,278477,309511
1529521939,278518,309559
1529522892,278538,309571
1529524134,278546,309575
1529525061,278601,309633
1529526022,278594,309610
1529526988,278642,309661
1529527941,278641,309659
1529528908,278664,309685
1529529865,278668,309690
1529530813,278684,309706
1529531788,278722,309736
1529532747,277354,308329
1529533692,277382,308353
1529534691,277393,308361
1529536623,277445,308408
1529537536,277494,308458
1529538500,277503,308469
1529539473,277507,308469
1529540428,277536,308491
1529541380,277577,308535
1529542366,277561,308512
1529543295,277596,308553
1529544262,277542,308500
1529545213,277545,308503
1529546189,277483,308439
1529547156,277466,308419
1529548095,277440,308390
1529549077,277423,308371
1529550037,277366,308312
1529550987,277441,308391
1529551942,277539,308491
1529552899,277556,308514
1529553874,277589,308543
1529554815,277756,308643
1529555775,277781,308664
1529556754,277777,308659
1529557748,277768,308648
1529558672,277687,308563
1529559646,277666,308532
1529560576,277635,308500
1529561564,277597,308459
1529562497,277556,308415
1529563473,277533,308388
1529564439,277508,308352
1529565379,277562,308394
1529566353,277606,308430
1529567298,277622,308444
1529568257,277648,308469
1529569229,277686,308509
1529570172,277710,308531
1529571164,277707,308524
1529572096,277709,308506
1529573071,277703,308489
1529574013,277710,308495
1529574975,277694,308477
1529576660,277680,308464
1529577614,277684,308469
1529578585,277654,308429
1529579556,277665,308440
1529580491,277620,308391
1529581461,277605,308373
1529582455,277590,308350
1529583374,276444,307079
1529584340,276390,307007
1529585301,276447,307066
1529586271,276520,307140
1529587465,276580,307195
1529588412,276569,307172
1529589390,276523,307108
1529590341,276543,307120
1529591298,276560,307118
1529592273,276551,307109
1529593226,276539,307092
1529594174,276530,307089
1529595160,276519,307078
1529596094,276531,307085
1529597060,276537,307088
1529598012,276528,307068
1529598991,276529,307069
1529599934,276509,307044
1529600910,276507,307036
1529601854,276496,307023
1529602814,276473,306996
1529603786,276436,306935
1529604739,276456,306958
1529605696,276444,306930
1529606662,276468,306957
1529607620,276471,306960
1529608581,276465,306939
1529609554,276446,306880
1529610498,276468,306904
1529611458,276483,306910
1529612423,276463,306879
1529613384,276484,306901
1529614371,276404,306806
1529615313,276424,306832
1529616260,276419,306814
1529617230,276387,306778
1529618172,276365,306756
1529619145,274990,305332
1529620705,274961,305272
1529622294,274984,305294
1529623211,274988,305281
1529624192,274978,305276
1529625142,274981,305275
1529626118,274958,305253
1529627058,274957,305243
1529628017,274932,305206
1529628987,274928,305198
1529629948,274927,305200
1529630894,274936,305205
1529631874,274947,305210
1529632825,274973,305224
1529633791,274980,305229
1529634743,274982,305227
1529635699,274984,305222
1529636674,274997,305231
1529637625,274995,305232
1529638573,275006,305237
1529639558,275032,305263
1529640496,275052,305293
1529641461,275095,305300
1529642413,275097,305301
1529643391,275080,305281
1529644341,275058,305259
1529645296,275048,305250
1529646272,275021,305222
1529647235,274988,305190
1529648175,274959,305165
1529649159,274923,305128
1529650187,274907,305114
1529651305,274929,305134
1529652257,274995,305198
1529653213,275003,305203
1529654191,275043,305252
1529655136,275058,305262
1529656094,275075,305281
1529657072,275089,305293
1529658029,275086,305292
1529658992,275091,305302
1529660186,275089,305287
1529661146,275037,305224
1529662101,275066,305258
1529663074,275078,305270
1529664012,275110,305303
1529664978,275049,305228
1529665945,275073,305257
1529666903,275042,305224
1529667861,274986,305160
1529668862,274984,305150
1529669775,274362,304477
1529670763,274345,304454
1529671695,274317,304420
1529672662,274290,304383
1529673611,274281,304354
1529674596,274260,304321
1529675533,274159,304190
1529676531,274182,304215
1529677453,274205,304242
1529678436,274162,304170
1529679410,274126,304134
1529680375,274115,304114
1529681292,274074,304058
1529682259,274030,303998
1529683223,274001,303963
1529684199,273974,303931
1529685137,273922,303852
1529686105,273722,303633
1529687061,273663,303556
1529688021,273574,303458
1529688974,273409,303280
1529689953,273282,303140
1529690896,273104,302950
1529691860,273036,302877
1529692813,272945,302778
1529693792,272917,302747
1529694739,272879,302709
1529695700,272886,302717
1529696655,272874,302695
1529697662,272865,302686
1529698577,272879,302702
1529699548,272891,302716
1529700499,272899,302725
1529701486,272908,302721
1529702413,272901,302702
1529703377,272883,302676
1529704351,272852,302635
1529705300,271545,301276
1529706253,271515,301205
1529707837,271495,301170
1529708898,271472,301126
1529709860,271413,301051
1529710818,271372,300997
1529711788,271350,300936
1529712738,271307,300876
1529713691,271277,300828
1529714671,271188,300724
1529715630,271127,300619
1529716579,271066,300548
1529717552,271068,300536
1529718496,271077,300534
1529719468,271066,300518
1529720412,271052,300496
1529721391,271040,300472
1529722336,271019,300449
1529723300,271000,300420
1529724255,270974,300388
1529725218,270943,300353
1529726171,270924,300326
1529727157,270754,300105
1529728095,270730,300060
1529729058,270735,300056
1529730041,270722,300041
1529731004,270717,300026
1529731946,270693,299987
1529732897,270664,299957
1529733888,270662,299945
1529734843,270655,299937
1529735785,270638,299895
1529736744,270625,299868
1529737704,270620,299849
1529738661,270615,299841
1529739614,270602,299820
1529740589,270640,299859
1529741541,270571,299770
1529742495,270597,299798
1529743469,270533,299688
1529744425,270510,299643
1529745375,270533,299666
1529746354,270492,299582
1529747307,270518,299610
1529748287,270486,299522
1529749212,270515,299551
1529750190,270478,299466
1529751138,270502,299496
1529752112,270421,299374
1529753057,270433,299387
1529754020,270411,299327
1529754996,270365,299273
1529755953,269955,298862
1529756896,269954,298861
1529757869,269979,298888
1529758833,269995,298906
1529759788,269982,298898
1529760734,270017,298934
1529761712,270013,298932
1529762668,270029,298952
1529763636,270006,298904
1529764573,270036,298936
1529765551,270054,298951
1529766496,270059,298957
1529767467,270059,298947
1529768419,270093,298983
1529769389,270108,298998
1529770340,270102,298990
1529771294,270123,299012
1529772276,270094,298976
1529773229,270092,298944
1529774174,270107,298964
1529775154,270098,298937
1529776095,270107,298950
1529777075,270138,298981
1529778014,270135,298982
1529778989,270130,298965
1529779936,270108,298938
1529780912,270112,298937
1529781872,270104,298930
1529782818,270114,298939
1529783774,270130,298953
1529784758,270119,298947
1529785940,270111,298939
1529786897,270117,298942
1529787877,270087,298903
1529788814,270085,298891
1529789776,270111,298921
1529790753,270076,298873
1529791698,270103,298905
1529792656,268478,297226
1529795092,268438,297142
1529796014,268401,297106
1529796980,268406,297107
1529797953,268377,297072
1529798930,268361,297046
1529799855,268320,297004
1529800822,268308,296989
1529801774,268315,296994
1529802763,268309,296984
1529803691,268334,297001
1529804666,268344,297007
1529805620,268333,296995
1529806592,268332,296987
1529807538,268316,296956
1529808502,268292,296932
1529809465,268310,296924
1529810418,268276,296872
1529811390,268239,296790
1529812339,268229,296770
1529813304,268224,296757
1529814267,268265,296783
1529815228,268277,296783
1529816185,268274,296775
1529817140,268267,296756
1529818103,268279,296748
1529819061,268272,296702
1529820040,268267,296689
1529820988,268211,296625
1529821955,268155,296558
1529822894,268130,296519
1529823879,268136,296522
1529824813,268135,296526
1529825783,268130,296518
1529826733,268113,296501
1529827701,268155,296508
1529828653,268168,296521
1529829633,268178,296528
1529830607,268185,296526
1529831544,268193,296535
1529832498,268201,296527
1529833468,268207,296533
1529834423,268228,296554
1529835392,268217,296529
1529836341,268238,296553
1529837300,268240,296548
1529838273,268255,296542
1529839219,268262,296543
1529840172,268261,296520
1529841157,268244,296491
1529842101,268247,296477
1529843063,267678,295803
1529844014,267622,295665
1529844990,267659,295702
1529845937,267620,295654
1529846897,267608,295639
1529847857,267603,295637
1529848910,267603,295626
1529850025,267615,295636
1529850985,267608,295627
1529851929,267604,295623
1529852912,267592,295597
1529853852,267577,295568
1529854836,267492,295435
1529855773,267357,295263
1529856752,267188,295073
1529857690,267156,295043
1529858675,267127,295014
1529859688,267111,294990
1529860826,267114,294988
1529861775,267043,294914
1529862733,266979,294845
1529863711,266898,294737
1529864653,266826,294637
1529865615,266758,294560
1529866586,266724,294512
1529867536,266710,294493
1529868491,266701,294484
1529869475,266671,294445
1529870426,266650,294407
1529872135,266628,294378
1529873059,266629,294364
1529874046,266623,294352
1529874987,266600,294329
1529875958,266577,294292
1529876916,266547,294258
1529877868,265197,292865
1529878814,265187,292849
1529880429,265160,292812
1529881462,265176,292829
1529882417,265110,292755
1529883380,265124,292770
1529884334,264934,292548
1529885312,264942,292557
1529886519,264810,292339
1529887462,264844,292373
1529888431,264869,292400
