DateTime,AddedIPs,RemovedIPs
1529562122,18,0
1529563322,1,0
1529564748,1,2
1529565842,4,131
1529566922,3,0
1529567282,78,0
1529567521,2,0
1529568169,11,1
1529568721,5,0
1529569321,2,1
1529569921,1,0
1529570522,1,2
1529571122,84,13
1529572562,0,103
1529572922,3,1
1529573581,1,0
1529574121,7,0
1529574722,4,1
1529574963,46,0
1529575368,5,2
1529575921,1,0
1529576403,0,56
1529576522,5,0
1529577123,63,0
1529577722,1,0
1529578969,2,0
1529579522,1,0
1529580122,5,1
1529580963,69,15
1529581321,13,0
1529582629,4,0
1529583721,6,1
1529584082,0,96
1529584321,6,0
1529584922,6,0
1529586168,9,1
1529586723,60,0
1529587321,7,0
1529587922,2,0
1529588644,52,15
1529589121,3,0
1529589843,2,89
1529590322,7,0
1529590922,1,0
1529591521,6,0
1529592121,1,0
1529592723,70,0
1529593368,5,3
1529594643,60,16
1529595121,1,0
1529595603,16,45
1529595721,4,0
1529596968,8,1
1529597522,0,70
1529598122,19,0
1529598722,2,0
1529599321,13,0
1529599922,6,0
1529600419,70,0
1529600628,2,2
1529601121,4,0
1529601722,1,0
1529602323,121,54
1529602921,1,0
1529603282,15,60
1529604168,2,0
1529604722,3,0
1529605321,5,0
1529606163,64,15
1529606522,12,0
1529607123,18,57
1529607769,3,2
1529608922,2,0
1529610004,60,12
1529610122,2,0
1529611429,5,0
1529611921,6,0
1529612883,5,97
1529613181,3,0
1529613844,77,0
1529614969,6,0
1529615764,4,68
1529616722,4,0
1529617685,78,0
1529618569,4,1
1529619721,2,0
1529622245,53,184
1529622722,2,0
1529624163,100,0
1529624522,1,0
1529625121,2,0
1529625722,14,0
1529626321,9,0
1529626922,15,0
1529628003,42,81
1529628122,2,0
1529629368,3,3
1529630523,1,0
1529631844,1,63
1529632970,8,1
1529633763,71,0
1529634121,2,0
1529634722,2,0
1529635322,22,0
1529635683,73,145
1529636628,8,5
1529637123,1,0
1529637721,7,0
1529638922,1,0
1529639522,80,0
1529640122,1,0
1529640229,0,2
1529641444,2,90
1529641931,3,0
1529642523,2,0
1529643122,6,0
1529643363,71,0
1529643769,3,1
1529644322,9,0
1529644922,2,0
1529646122,4,0
1529646721,1,0
1529647220,89,134
1529647371,0,1
1529647922,3,0
1529649122,71,0
1529649721,5,0
1529650322,10,0
1529651044,68,12
1529651522,16,0
